city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ghayrat Khēl,Ghayrat Khel,Ghayratkheyl|Ghayrakheyl|Gheyratkheyl|Ghayṟat Khēl|Gayratkheyl’,34.8436,69.6756,Afghanistan,AF,AFG,Kāpīsā,Kapisa,AF-KAP,province,,169.2,,,4,Asia/Kabul,FALSE,1004909175
Kōtā,Kota,Kowtā|Kota|Kōṯā,34.9039,70.1027,Afghanistan,AF,AFG,Laghmān,Laghman,AF-LAG,province,,131.7,,,4,Asia/Kabul,FALSE,1004195689
Sūrgay,Surgay,,32.1592,68.4764,Afghanistan,AF,AFG,Paktīkā,Paktika,AF-PKA,province,,14.5,,,4,Asia/Kabul,FALSE,1004083123
Bāz Khēl,Baz Khel,Bazkheyl’|Bēzkhēl|Bēzkheyl,34.7412,69.8604,Afghanistan,AF,AFG,Kābul,Kabul,AF-KAB,province,,53.9,,,4,Asia/Kabul,FALSE,1004808069
Ganjūn,Ganjun,Gandzhnun,34.7130,70.1429,Afghanistan,AF,AFG,Laghmān,Laghman,AF-LAG,province,,217.7,,,3,Asia/Kabul,FALSE,1004772817
Qal‘ah-ye Bābā,Qal`ah-ye Baba,Qal‘eh-ye Bābā|Qal‘a-i-Bāba|Qal‘a Bāba|Kalababa,34.2302,67.9964,Afghanistan,AF,AFG,Wardak,Wardak,AF-WAR,province,,44.1,,,4,Asia/Kabul,FALSE,1004345839
Lilah,Lilah,Lelah|Lela,35.6202,67.1449,Afghanistan,AF,AFG,Samangān,Samangan,AF-SAM,province,,25.3,,,4,Asia/Kabul,FALSE,1004081099
Dū Shākhah,Du Shakhah,Došākha|Dushakha|Dō Shākhah|Do Shākheh,33.3808,68.4647,Afghanistan,AF,AFG,Ghaznī,Ghazni,AF-GHA,province,,124.2,,,4,Asia/Kabul,FALSE,1004824616
Qarah’ī,Qarah'i,Qara‘i,35.8384,67.3154,Afghanistan,AF,AFG,Samangān,Samangan,AF-SAM,province,,25.3,,,4,Asia/Kabul,FALSE,1004054931
Qāshqāl,Qashqal,Shinwārī|Qaryah-ye Qāshqāl|Kashkal’|Shinvari|Shenwārī|Kakshal|Qāšqal|Shenvārī|S̄inwāṟ|Šenwāri|Qāqshāl,35.0397,69.0069,Afghanistan,AF,AFG,Parwān,Parwan,AF-PAR,province,minor,59.3,,,3,Asia/Kabul,FALSE,1004704656
Āmurtak,Amurtak,Āmortak|Āmuṟtak|Amurtak,34.8119,68.5821,Afghanistan,AF,AFG,Parwān,Parwan,AF-PAR,province,,36.5,,,4,Asia/Kabul,FALSE,1004493824
Pārksūr,Parksur,Pāṟksūṟ,34.8064,62.6115,Afghanistan,AF,AFG,Herāt,Herat,AF-HER,province,,36.3,,,4,Asia/Kabul,FALSE,1004541354
Khwājah Angūr,Khwajah Angur,Khwājaangūṟ|Khvājeh Angūr|Khodzhaangur,33.6985,69.0349,Afghanistan,AF,AFG,Lōgar,Logar,AF-LOG,province,,66.3,,,4,Asia/Kabul,FALSE,1004665747
‘Īsá Khēl,`Isa Khel,‘Isākhēl|‘Isá Kheyl,32.8308,67.8429,Afghanistan,AF,AFG,Ghaznī,Ghazni,AF-GHA,province,,40.4,,,4,Asia/Kabul,FALSE,1004342907
Now Ashār,Now Ashar,Naw-ašār|Nauashar,34.0521,66.5706,Afghanistan,AF,AFG,Bāmyān,Bamyan,AF-BAM,province,,42.6,,,4,Asia/Kabul,FALSE,1004119319
Sar Farāz Kalā,Sar Faraz Kala,Sarfarazkala|Sarfarāz Kalā,33.3850,68.4875,Afghanistan,AF,AFG,Ghaznī,Ghazni,AF-GHA,province,,124.2,,,4,Asia/Kabul,FALSE,1004900426
Bābā Şāḩib,Baba Sahib,Bābā Şāḩeb|Babasakhib,31.6614,65.6610,Afghanistan,AF,AFG,Kandahār,Kandahar,AF-KAN,province,minor,129.9,,,3,Asia/Kabul,FALSE,1004403050
Tangī,Tangi,Tangi|Tangey,35.0356,68.7407,Afghanistan,AF,AFG,Parwān,Parwan,AF-PAR,province,,112.0,,,4,Asia/Kabul,FALSE,1004614284
Tangī,Tangi,Tangi|Tangey,34.7417,68.7328,Afghanistan,AF,AFG,Parwān,Parwan,AF-PAR,province,,36.5,,,4,Asia/Kabul,TRUE,1004468437
Shahābuddīn,Shahabuddin,Shahāboddīn|Šahābuddin|Miān Sāhib|Shakhabuddin|Shahāb od Dīn,36.0353,68.6400,Afghanistan,AF,AFG,Baghlān,Baghlan,AF-BGL,province,,447.2,,,3,Asia/Kabul,FALSE,1004450501
Saqā,Saqa,Saka,34.9976,68.7429,Afghanistan,AF,AFG,Parwān,Parwan,AF-PAR,province,,112.0,,,4,Asia/Kabul,FALSE,1004841328
Saqā,Saqa,Saka,34.9504,68.5163,Afghanistan,AF,AFG,Parwān,Parwan,AF-PAR,province,,28.1,,,4,Asia/Kabul,TRUE,1004098181
Jum‘ah Khān Mēnah,Jum`ah Khan Menah,Jum‘a Khān Mēna|Jom‘eh Khān Mēnah|Dzhumakhanmena,32.1233,69.0433,Afghanistan,AF,AFG,Paktīkā,Paktika,AF-PKA,province,,2.1,,,4,Asia/Kabul,FALSE,1004284353
Chāh Gaz,Chah Gaz,Chāh Gāv|Čāh Gaz,34.4302,61.0595,Afghanistan,AF,AFG,Herāt,Herat,AF-HER,province,,16.0,,,4,Asia/Kabul,FALSE,1004973927
Shingirāb,Shingirab,Shengerāb|Senegeṟāb,36.9643,69.9665,Afghanistan,AF,AFG,Takhār,Takhar,AF-TAK,province,,102.8,,,4,Asia/Kabul,FALSE,1004601801
Arbāb Mowdūd,Arbab Mowdud,Aṟbāb Mawḏūḏ,35.2020,63.8400,Afghanistan,AF,AFG,Bādghīs,Badghis,AF-BDG,province,,15.0,,,4,Asia/Kabul,FALSE,1004129429
Pasāband,Pasaband,Pasaband,33.6896,64.8531,Afghanistan,AF,AFG,Ghōr,Ghor,AF-GHO,province,minor,25.7,,,3,Asia/Kabul,FALSE,1004527299
Qal‘eh-ye Kūmah,Qal`eh-ye Kumah,Kalayi-Kuma|Qal‘a-i-Kūmah,34.2711,62.0719,Afghanistan,AF,AFG,Herāt,Herat,AF-HER,province,,74.8,,,4,Asia/Kabul,FALSE,1004640183
Jar-e Maykhak,Jar-e Maykhak,Jar-e Mēkhak|Jar-e Mīkhak,35.1283,68.0507,Afghanistan,AF,AFG,Baghlān,Baghlan,AF-BGL,province,,11.4,,,4,Asia/Kabul,FALSE,1004398309
Darwājī Pā’īn,Darwaji Pa'in,Darvājī Pā’īn|Darwājī-e Pā‘īn|Deh Mardah va Darwājī|Ḏaṟwāji Pā’īn|Darvadzhi-Pain,33.0910,62.1145,Afghanistan,AF,AFG,Herāt,Herat,AF-HER,province,,35.2,,,4,Asia/Kabul,FALSE,1004971885
Kalahtaṟī,Kalahtari,Kalatari|Kalatali,34.8412,69.8042,Afghanistan,AF,AFG,Kāpīsā,Kapisa,AF-KAP,province,,154.8,,,4,Asia/Kabul,FALSE,1004714855
Māhī Khōrhā,Mahi Khorha,Māhī Khvorhā|Mahi Khorha,36.0908,66.2263,Afghanistan,AF,AFG,Sar-e Pul,Sar-e Pul,AF-SAR,province,,103.3,,,4,Asia/Kabul,FALSE,1004838354
Gazāz,Gazaz,Gazaz,34.3433,70.2053,Afghanistan,AF,AFG,Nangarhār,Nangarhar,AF-NAN,province,,393.3,,,3,Asia/Kabul,FALSE,1004594335
Jī-Khushk,Ji-Khushk,Jī Khoshk|Ji-Khus̄k,35.7278,66.6414,Afghanistan,AF,AFG,Balkh,Balkh,AF-BAL,province,,53.3,,,4,Asia/Kabul,FALSE,1004735138
Khwājah Akbar,Khwajah Akbar,Khvājeh Akbar|Khwāja Akbar,36.4191,64.9303,Afghanistan,AF,AFG,Fāryāb,Faryab,AF-FYB,province,,22.1,,,4,Asia/Kabul,FALSE,1004146363
Mandzazaī,Mandzazai,Manjazay|Mandzazay|Mandzhazay,33.5489,69.7274,Afghanistan,AF,AFG,Khōst,Khost,AF-KHO,province,,143.2,,,4,Asia/Kabul,FALSE,1004774726
Isī Khēl,Isi Khel,Isi Khēl|Isi Kheyl,32.0016,67.6839,Afghanistan,AF,AFG,Zābul,Zabul,AF-ZAB,province,,9.6,,,5,Asia/Kabul,FALSE,1004305137
Qōl-e Gurg,Qol-e Gurg,Qowl-e Goṟg|Qōle Guṟg,33.0297,67.3098,Afghanistan,AF,AFG,Ghaznī,Ghazni,AF-GHA,province,,58.7,,,4,Asia/Kabul,FALSE,1004080309
Shēlē Kêlay,Shele Kelay,Shēlē Kalay|Shaylē Kêlay|Šēlē Kalay,31.6158,67.3665,Afghanistan,AF,AFG,Kandahār,Kandahar,AF-KAN,province,,12.2,,,4,Asia/Kabul,FALSE,1004317487
Sar Jangal,Sar Jangal,Sarjangal|Sardzhangal’,34.4635,67.7863,Afghanistan,AF,AFG,Wardak,Wardak,AF-WAR,province,,44.1,,,4,Asia/Kabul,FALSE,1004410068
Sar Jangal,Sar Jangal,Sardzhangal’|Sarjangal,34.5994,67.5672,Afghanistan,AF,AFG,Wardak,Wardak,AF-WAR,province,,44.1,,,4,Asia/Kabul,TRUE,1004619685
Qilishlī,Qilishli,Qeles̄li|Qeleshlī,35.7980,64.5205,Afghanistan,AF,AFG,Fāryāb,Faryab,AF-FYB,province,,58.5,,,4,Asia/Kabul,FALSE,1004207176
