city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Messiaf,Messiaf,,35.1644,1.1869,Algeria,DZ,DZA,Tiaret,Tiaret,DZ-14,province,,70.3,,,4,Africa/Algiers,FALSE,1012262040
Tahmat,Tahmat,,27.4362,-0.2646,Algeria,DZ,DZA,Adrar,Adrar,DZ-01,province,,1.6,,,5,Africa/Algiers,FALSE,1012772358
Douar el Mekki,Douar el Mekki,,35.2814,0.8492,Algeria,DZ,DZA,Mascara,Mascara,DZ-29,province,,41.8,,,4,Africa/Algiers,FALSE,1012863900
Mechtat Bou Rougaa,Mechtat Bou Rougaa,,36.6194,7.8750,Algeria,DZ,DZA,El Tarf,El Tarf,DZ-36,province,,55.6,,,4,Africa/Algiers,FALSE,1012476461
Ouled Hamou,Ouled Hamou,,36.0352,1.4800,Algeria,DZ,DZA,Chlef,Chlef,DZ-02,province,,149.9,,,4,Africa/Algiers,FALSE,1012545404
Bitaoua,Bitaoua,,35.1683,6.1013,Algeria,DZ,DZA,Batna,Batna,DZ-05,province,,82.5,,,4,Africa/Algiers,FALSE,1012689536
Tizerouine,Tizerouine,Tizerouïn,36.8000,4.6167,Algeria,DZ,DZA,Tizi Ouzou,Tizi Ouzou,DZ-15,province,,32.1,,,4,Africa/Algiers,FALSE,1012199242
Ouled Adda,Ouled Adda,,35.7517,0.9769,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,49.9,,,4,Africa/Algiers,FALSE,1012357137
Adjahil,Adjahil,,24.5297,9.4917,Algeria,DZ,DZA,Illizi,Illizi,DZ-33,province,,0.4,,,3,Africa/Algiers,FALSE,1012466207
Merrika,Merrika,Merika,35.0500,-2.1667,Algeria,DZ,DZA,Tlemcen,Tlemcen,DZ-13,province,,104.4,,,4,Africa/Algiers,FALSE,1012855502
Mechtat el Hammam,Mechtat el Hammam,,36.7103,8.4001,Algeria,DZ,DZA,El Tarf,El Tarf,DZ-36,province,,56.5,,,4,Africa/Algiers,FALSE,1012082468
Douar R’Hamnia,Douar R'Hamnia,,35.7236,0.7076,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,159.0,,,4,Africa/Algiers,FALSE,1012915721
Ouled Saad,Ouled Saad,,35.4063,0.5110,Algeria,DZ,DZA,Mascara,Mascara,DZ-29,province,,116.1,,,4,Africa/Algiers,FALSE,1012776393
Mechta Ouled Mefla,Mechta Ouled Mefla,,35.9260,5.5999,Algeria,DZ,DZA,Sétif,Setif,DZ-19,province,,189.3,,,4,Africa/Algiers,FALSE,1012341595
Douar Slemnia,Douar Slemnia,,35.9155,0.3959,Algeria,DZ,DZA,Mostaganem,Mostaganem,DZ-27,province,,257.8,,,3,Africa/Algiers,FALSE,1012730239
Mechta Beni Brahim,Mechta Beni Brahim,,36.2044,5.6608,Algeria,DZ,DZA,Sétif,Setif,DZ-19,province,,130.6,,,4,Africa/Algiers,FALSE,1012943764
Affirou,Affirou,,36.2492,4.6254,Algeria,DZ,DZA,Bejaïa,Bejaia,DZ-06,province,,37.7,,,4,Africa/Algiers,FALSE,1012512650
Douar Khedaichia,Douar Khedaichia,,35.9259,0.2511,Algeria,DZ,DZA,Mostaganem,Mostaganem,DZ-27,province,,572.8,,,3,Africa/Algiers,FALSE,1012177968
Afir Imzourhene,Afir Imzourhene,,36.6180,3.8670,Algeria,DZ,DZA,Boumerdes,Boumerdes,DZ-35,province,,331.4,,,3,Africa/Algiers,FALSE,1012767751
Douar Sadaouia Seghaïra,Douar Sadaouia Seghaira,,36.2439,1.0091,Algeria,DZ,DZA,Chlef,Chlef,DZ-02,province,,139.8,,,4,Africa/Algiers,FALSE,1012428471
Fontaine du Génie,Fontaine du Genie,Grani,36.5735,2.0519,Algeria,DZ,DZA,Tipaza,Tipaza,DZ-42,province,,115.5,,,4,Africa/Algiers,FALSE,1012483912
Zaouia el Kbira,Zaouia el Kbira,Zaouïa el Kebira,29.4836,-1.5008,Algeria,DZ,DZA,Béchar,Bechar,DZ-08,province,,0.6,,,5,Africa/Algiers,FALSE,1012524322
Tazêmmourt,Tazemmourt,,36.7600,5.7138,Algeria,DZ,DZA,Jijel,Jijel,DZ-18,province,,1031.7,,,3,Africa/Algiers,FALSE,1012368564
Ouled Hadj Ahmed,Ouled Hadj Ahmed,,35.4887,0.2017,Algeria,DZ,DZA,Mascara,Mascara,DZ-29,province,,169.5,,,4,Africa/Algiers,FALSE,1012331110
Mechtat el Ababsia,Mechtat el Ababsia,,36.2822,7.4506,Algeria,DZ,DZA,Guelma,Guelma,DZ-24,province,,44.3,,,4,Africa/Algiers,FALSE,1012306938
Medroussa,Medroussa,Douar Oulad el Had Medroussa,35.1667,1.2000,Algeria,DZ,DZA,Tiaret,Tiaret,DZ-14,province,,70.3,,,3,Africa/Algiers,FALSE,1012949066
Oulad el Hadj,Oulad el Hadj,,36.5980,5.9388,Algeria,DZ,DZA,Jijel,Jijel,DZ-18,province,,166.4,,,4,Africa/Algiers,FALSE,1012516804
Azayza,Azayza,,35.3610,0.0436,Algeria,DZ,DZA,Mascara,Mascara,DZ-29,province,,116.5,,,4,Africa/Algiers,FALSE,1012965113
Mechtat el Rhil,Mechtat el Rhil,Mechtet el Rhil,35.7984,4.8172,Algeria,DZ,DZA,M’sila,M'sila,DZ-28,province,,102.5,,,4,Africa/Algiers,FALSE,1012690247
Douar es Smaikia,Douar es Smaikia,,35.6150,0.3429,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,177.8,,,4,Africa/Algiers,FALSE,1012923741
Mechtat el Amri,Mechtat el Amri,,35.9449,4.8147,Algeria,DZ,DZA,Bordj Bou Arréridj,Bordj Bou Arreridj,DZ-34,province,,248.2,,,3,Africa/Algiers,FALSE,1012219200
Oulad el Hadj,Oulad el Hadj,,35.5385,1.5537,Algeria,DZ,DZA,Tiaret,Tiaret,DZ-14,province,,40.1,,,4,Africa/Algiers,FALSE,1012234934
Moknea,Moknea,,36.6757,4.4550,Algeria,DZ,DZA,Tizi Ouzou,Tizi Ouzou,DZ-15,province,,221.7,,,3,Africa/Algiers,FALSE,1012435909
Mechta Ouled Ahmed,Mechta Ouled Ahmed,Mechtat Oulad Ahmed,34.9833,8.2833,Algeria,DZ,DZA,Tébessa,Tebessa,DZ-12,province,,20.1,,,4,Africa/Algiers,FALSE,1012585795
Bitam,Bitam,,35.3000,5.3000,Algeria,DZ,DZA,Batna,Batna,DZ-05,province,,16.9,,,3,Africa/Algiers,FALSE,1012077187
Mechtet es Schraf,Mechtet es Schraf,,35.8472,5.8822,Algeria,DZ,DZA,Batna,Batna,DZ-05,province,,106.4,,,4,Africa/Algiers,FALSE,1012864991
Douar el Bouakria,Douar el Bouakria,,35.5210,0.6169,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,24.6,,,4,Africa/Algiers,FALSE,1012597543
Douar Douchebba,Douar Douchebba,,35.1430,0.5996,Algeria,DZ,DZA,Tiaret,Tiaret,DZ-14,province,,70.6,,,4,Africa/Algiers,FALSE,1012821172
Douar Ouled Cheikh,Douar Ouled Cheikh,,35.3354,0.1733,Algeria,DZ,DZA,Mascara,Mascara,DZ-29,province,,347.3,,,3,Africa/Algiers,FALSE,1012666533
Mechta Hannech,Mechta Hannech,,36.2748,5.6796,Algeria,DZ,DZA,Sétif,Setif,DZ-19,province,,91.8,,,4,Africa/Algiers,FALSE,1012935679
Aït Ali,Ait Ali,,36.6259,3.8002,Algeria,DZ,DZA,Boumerdes,Boumerdes,DZ-35,province,,510.5,,,3,Africa/Algiers,FALSE,1012063571
Zemmouri el Bahri,Zemmouri el Bahri,Port-aux-Poules|Courbet Marine|Zemmouri Bahar,36.8028,3.5650,Algeria,DZ,DZA,Boumerdes,Boumerdes,DZ-35,province,,630.6,,,3,Africa/Algiers,FALSE,1012685201
Moulay Larbi,Moulay Larbi,Wagram,34.6500,0.0167,Algeria,DZ,DZA,Saïda,Saida,DZ-20,province,,28.0,,,3,Africa/Algiers,FALSE,1012043975
Ziaïnia,Ziainia,Douar Ziaïna,35.4691,0.7553,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,33.4,,,4,Africa/Algiers,FALSE,1012973709
Er Raf,Er Raf,Er Rof,36.4965,1.6743,Algeria,DZ,DZA,Chlef,Chlef,DZ-02,province,,243.5,,,3,Africa/Algiers,FALSE,1012950582
Hamlil,Hamlil,,36.3892,1.5278,Algeria,DZ,DZA,Chlef,Chlef,DZ-02,province,,230.5,,,3,Africa/Algiers,FALSE,1012971254
Mazra’at Mohammed Salah,Mazra'at Mohammed Salah,,34.7050,-1.7608,Algeria,DZ,DZA,Tlemcen,Tlemcen,DZ-13,province,,43.3,,,4,Africa/Algiers,FALSE,1012577779
Hâdj Ya’koûb,Hadj Ya'koub,Ben Yakoub,36.6501,2.9252,Algeria,DZ,DZA,Tipaza,Tipaza,DZ-42,province,,1946.0,,,3,Africa/Algiers,FALSE,1012242476
Cheragua,Cheragua,,35.5449,0.9173,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,33.4,,,4,Africa/Algiers,FALSE,1012947120
Douar Bekhedda,Douar Bekhedda,Douar el Akegda,35.7291,0.2895,Algeria,DZ,DZA,Mostaganem,Mostaganem,DZ-27,province,,299.8,,,3,Africa/Algiers,FALSE,1012894694
Taberdga,Taberdga,Talberdga|Tabendga,35.0384,7.0048,Algeria,DZ,DZA,Khenchela,Khenchela,DZ-40,province,,39.2,,,4,Africa/Algiers,FALSE,1012404081
Aït Hamsi,Ait Hamsi,,36.5370,4.3034,Algeria,DZ,DZA,Tizi Ouzou,Tizi Ouzou,DZ-15,province,,211.8,,,3,Africa/Algiers,FALSE,1012946721
Douar Ouled Sidi Mannsour,Douar Ouled Sidi Mannsour,Ouled Sidi Mannsour,34.8560,8.2461,Algeria,DZ,DZA,Tébessa,Tebessa,DZ-12,province,,12.3,,,4,Africa/Algiers,FALSE,1012350055
Mehalif,Mehalif,Douar Mehalif,36.0537,0.2535,Algeria,DZ,DZA,Mostaganem,Mostaganem,DZ-27,province,,82.5,,,4,Africa/Algiers,FALSE,1012158588
Douar Sidi Tayeb,Douar Sidi Tayeb,Douar Sidi Tâyeb|Oulad Sidi Taïeb|Douar Oulad Sidi Taïeb,35.6860,0.3167,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,299.8,,,3,Africa/Algiers,FALSE,1012430759
Mechta Lachraf,Mechta Lachraf,,35.8819,5.8408,Algeria,DZ,DZA,Batna,Batna,DZ-05,province,,106.4,,,4,Africa/Algiers,FALSE,1012041842
Bir Zaâtra,Bir Zaatra,,36.7533,3.6056,Algeria,DZ,DZA,Boumerdes,Boumerdes,DZ-35,province,,664.8,,,3,Africa/Algiers,FALSE,1012551146
Hassi Ben Madjeb,Hassi Ben Madjeb,Hassi Ben Madjed,35.1737,3.8620,Algeria,DZ,DZA,M’sila,M'sila,DZ-28,province,,15.7,,,4,Africa/Algiers,FALSE,1012969634
Dar Ould el Hadj Taïeb,Dar Ould el Hadj Taieb,,35.5967,0.2833,Algeria,DZ,DZA,Mascara,Mascara,DZ-29,province,,83.9,,,4,Africa/Algiers,FALSE,1012037260
El Khrefa,El Khrefa,,36.0891,1.4424,Algeria,DZ,DZA,Chlef,Chlef,DZ-02,province,,149.9,,,4,Africa/Algiers,FALSE,1012003953
Ouled Ben Ali,Ouled Ben Ali,,35.7872,0.8637,Algeria,DZ,DZA,Relizane,Relizane,DZ-48,province,,159.0,,,4,Africa/Algiers,FALSE,1012953254
El Melaâb,El Melaab,El Malaab,35.1293,0.6224,Algeria,DZ,DZA,Tiaret,Tiaret,DZ-14,province,,70.6,,,4,Africa/Algiers,FALSE,1012053310
Erdjaouna Techt,Erdjaouna Techt,Techt,36.7305,4.0223,Algeria,DZ,DZA,Tizi Ouzou,Tizi Ouzou,DZ-15,province,,1527.2,,,3,Africa/Algiers,FALSE,1012186545
Aïn Kaddour Ben Larbi,Ain Kaddour Ben Larbi,,35.0610,1.5581,Algeria,DZ,DZA,Tiaret,Tiaret,DZ-14,province,,4.7,,,5,Africa/Algiers,FALSE,1012746688
El Azaïzia,El Azaizia,,36.1196,2.1694,Algeria,DZ,DZA,Aïn Defla,Ain Defla,DZ-44,province,,62.5,,,4,Africa/Algiers,FALSE,1012256353
Douar Zeradla,Douar Zeradla,,35.5092,0.2797,Algeria,DZ,DZA,Mascara,Mascara,DZ-29,province,,217.8,,,3,Africa/Algiers,FALSE,1012605808
El Ahmar,El Ahmar,,27.4224,-0.2516,Algeria,DZ,DZA,Adrar,Adrar,DZ-01,province,,1.6,,,5,Africa/Algiers,FALSE,1012006523
Douar Zeradla,Douar Zeradla,,35.9897,0.6608,Algeria,DZ,DZA,Mostaganem,Mostaganem,DZ-27,province,,103.1,,,4,Africa/Algiers,FALSE,1012660288
Cheurfa,Cheurfa,,36.7167,4.7667,Algeria,DZ,DZA,Bejaïa,Bejaia,DZ-06,province,,83.4,,,4,Africa/Algiers,FALSE,1012118741
