city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Algiers,Algiers,"Argel|Algier|Algeri|Al Jazair|Al-jezair|Al Jazā’ir|Alger",36.7539,3.0589,Algeria,DZ,DZA,Alger,Alger,DZ-16,province,primary,9409.9,3415811,3415811,1,Africa/Algiers,FALSE,1012973369
Constantine,Constantine,,36.3500,6.6000,Algeria,DZ,DZA,Constantine,Constantine,DZ-25,province,admin,203.3,465138,465138,2,Africa/Algiers,FALSE,1012275076
Batna,Batna,,35.5500,6.1667,Algeria,DZ,DZA,Batna,Batna,DZ-05,province,admin,3419.4,290645,290645,2,Africa/Algiers,FALSE,1012093229
Sétif,Setif,,36.1900,5.4100,Algeria,DZ,DZA,Sétif,Setif,DZ-19,province,admin,2266.0,288461,288461,2,Africa/Algiers,FALSE,1012981116
Djelfa,Djelfa,Jelfa,34.6667,3.2500,Algeria,DZ,DZA,Djelfa,Djelfa,DZ-17,province,admin,490.3,265833,265833,2,Africa/Algiers,FALSE,1012268984
Annaba,Annaba,Bône|Bona,36.9000,7.7667,Algeria,DZ,DZA,Annaba,Annaba,DZ-23,province,admin,5252.2,257359,257359,2,Africa/Algiers,FALSE,1012600001
"Sidi Aïssa","Sidi Aissa","Sid Aïssa",36.5000,4.2978,Algeria,DZ,DZA,M’sila,M'sila,DZ-28,province,,149.3,215000,215000,2,Africa/Algiers,FALSE,1012091250
"Sidi Bel Abbès","Sidi Bel Abbes","Sidi-Bal-Abbès|Sid Bel Abbès",35.1939,-0.6414,Algeria,DZ,DZA,"Sidi Bel Abbès","Sidi Bel Abbes",DZ-22,province,admin,23.3,212935,212935,2,Africa/Algiers,FALSE,1012123414
Biskra,Biskra,Briskra,34.8500,5.7333,Algeria,DZ,DZA,Biskra,Biskra,DZ-07,province,admin,1604.6,204661,204661,2,Africa/Algiers,FALSE,1012947247
Tébessa,Tebessa,Theveste,35.4000,8.1167,Algeria,DZ,DZA,Tébessa,Tebessa,DZ-12,province,admin,13.7,194461,194461,2,Africa/Algiers,FALSE,1012196375
Ouargla,Ouargla,Quargla|Warqla,31.9500,5.3167,Algeria,DZ,DZA,Ouargla,Ouargla,DZ-30,province,admin,16.9,191136,133024,2,Africa/Algiers,FALSE,1012425687
"El Khroub","El Khroub","El-Kroub|Kroubs|Le Khroub|Le Kroub",36.2667,6.7000,Algeria,DZ,DZA,Constantine,Constantine,DZ-25,province,,731.8,179033,179033,2,Africa/Algiers,FALSE,1012245786
Tiaret,Tiaret,,35.3667,1.3167,Algeria,DZ,DZA,Tiaret,Tiaret,DZ-14,province,admin,1605.3,178915,178915,2,Africa/Algiers,FALSE,1012785868
Bejaïa,Bejaia,Bougie,36.7511,5.0642,Algeria,DZ,DZA,Bejaïa,Bejaia,DZ-06,province,admin,1465.1,176139,176139,2,Africa/Algiers,FALSE,1012140298
Tlemcen,Tlemcen,Tlemsen,34.8828,-1.3167,Algeria,DZ,DZA,Tlemcen,Tlemcen,DZ-13,province,admin,19.2,173531,173531,2,Africa/Algiers,FALSE,1012978325
"Bir el Djir","Bir el Djir",Arcole,35.7367,-0.5542,Algeria,DZ,DZA,Oran,Oran,DZ-31,province,,5295.2,171883,171883,2,Africa/Algiers,FALSE,1012283284
"Bordj Bou Arreridj","Bordj Bou Arreridj","Borj Bu Arrerij|Bordj Bou Arerridj",36.0667,4.7667,Algeria,DZ,DZA,"Bordj Bou Arréridj","Bordj Bou Arreridj",DZ-34,province,admin,2075.8,168346,168346,2,Africa/Algiers,FALSE,1012016677
Béchar,Bechar,Colomb-Béchar,31.6167,-2.2167,Algeria,DZ,DZA,Béchar,Bechar,DZ-08,province,admin,32.8,165627,165627,2,Africa/Algiers,FALSE,1012371820
Blida,Blida,Dilida,36.4686,2.8319,Algeria,DZ,DZA,Blida,Blida,DZ-09,province,admin,2268.9,163586,163586,2,Africa/Algiers,FALSE,1012045589
Skikda,Skikda,Philippeville|Phillippville,36.8667,6.9000,Algeria,DZ,DZA,Skikda,Skikda,DZ-21,province,admin,3140.7,163318,163318,2,Africa/Algiers,FALSE,1012619903
