city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Pago Pago","Pago Pago",,-14.2740,-170.7046,"American Samoa",AS,ASM,,,,,primary,378.1,12576,11500,1,Pacific/Pago_Pago,FALSE,1016976740
Aasu,Aasu,,-14.3031,-170.7566,"American Samoa",AS,ASM,,,,,,62.2,,,4,Pacific/Pago_Pago,FALSE,1016751458
Afao,Afao,,-14.3229,-170.8011,"American Samoa",AS,ASM,,,,,,120.8,,,4,Pacific/Pago_Pago,FALSE,1016561791
Afono,Afono,,-14.2607,-170.6493,"American Samoa",AS,ASM,,,,,,154.2,,,4,Pacific/Pago_Pago,FALSE,1016425381
Agugulu,Agugulu,,-14.3264,-170.8201,"American Samoa",AS,ASM,,,,,,122.4,,,4,Pacific/Pago_Pago,FALSE,1016503399
Alao,Alao,,-14.2623,-170.5687,"American Samoa",AS,ASM,,,,,,297.4,,,3,Pacific/Pago_Pago,FALSE,1016451200
Alega,Alega,,-14.2766,-170.6407,"American Samoa",AS,ASM,,,,,,50.4,,,4,Pacific/Pago_Pago,FALSE,1016287430
Alofau,Alofau,,-14.2761,-170.6010,"American Samoa",AS,ASM,,,,,,508.2,,,3,Pacific/Pago_Pago,FALSE,1016718645
Amaluia,Amaluia,,-14.3231,-170.7884,"American Samoa",AS,ASM,,,,,,111.5,,,4,Pacific/Pago_Pago,FALSE,1016276711
Amanave,Amanave,,-14.3234,-170.8340,"American Samoa",AS,ASM,,,,,,215.4,,,3,Pacific/Pago_Pago,FALSE,1016413972
Amaua,Amaua,,-14.2682,-170.6257,"American Samoa",AS,ASM,,,,,,229.2,,,3,Pacific/Pago_Pago,FALSE,1016810181
Amouli,Amouli,,-14.2731,-170.5884,"American Samoa",AS,ASM,,,,,,653.5,,,3,Pacific/Pago_Pago,FALSE,1016852249
Anua,Anua,,-14.2689,-170.6881,"American Samoa",AS,ASM,,,,,,686.7,,,3,Pacific/Pago_Pago,FALSE,1016036917
Aoa,Aoa,,-14.2635,-170.5869,"American Samoa",AS,ASM,,,,,,616,,,3,Pacific/Pago_Pago,FALSE,1016109503
Aoloau,Aoloau,,-14.3032,-170.7801,"American Samoa",AS,ASM,,,,,,88.8,,,4,Pacific/Pago_Pago,FALSE,1016934040
Asili,Asili,,-14.3213,-170.7944,"American Samoa",AS,ASM,,,,,,137.3,,,4,Pacific/Pago_Pago,FALSE,1016092803
Atu'u,Atu'u,,-14.2676,-170.6862,"American Samoa",AS,ASM,,,,,,686.7,,,3,Pacific/Pago_Pago,FALSE,1016852412
Aua,Aua,,-14.2724,-170.6618,"American Samoa",AS,ASM,,,,,,704.3,,,3,Pacific/Pago_Pago,FALSE,1016993657
Auasi,Auasi,,-14.2681,-170.5773,"American Samoa",AS,ASM,,,,,,403.2,,,3,Pacific/Pago_Pago,FALSE,1016528506
Auma,Auma,,-14.3330,-170.7859,"American Samoa",AS,ASM,,,,,,273.4,,,3,Pacific/Pago_Pago,FALSE,1016342571
Aumi,Aumi,,-14.2794,-170.6477,"American Samoa",AS,ASM,,,,,,77.9,,,4,Pacific/Pago_Pago,FALSE,1016418396
Aunu'u,Aunu'u,,-14.2838,-170.5535,"American Samoa",AS,ASM,,,,,,237.8,,,3,Pacific/Pago_Pago,FALSE,1016730807
Auto,Auto,,-14.2730,-170.6305,"American Samoa",AS,ASM,,,,,,229.2,,,3,Pacific/Pago_Pago,FALSE,1016888617
Avaio,Avaio,,-14.2748,-170.6351,"American Samoa",AS,ASM,,,,,,88,,,4,Pacific/Pago_Pago,FALSE,1016694340
Faga'alu,Faga'alu,,-14.2901,-170.6860,"American Samoa",AS,ASM,,,,,,686,,,3,Pacific/Pago_Pago,FALSE,1016850159
Faga'itua,Faga'itua,,-14.2657,-170.6135,"American Samoa",AS,ASM,,,,,,269.4,,,3,Pacific/Pago_Pago,FALSE,1016647903
Fagali'i,Fagali'i,,-14.3126,-170.8246,"American Samoa",AS,ASM,,,,,,94,,,4,Pacific/Pago_Pago,FALSE,1016040129
Fagamalo,Fagamalo,,-14.3009,-170.7995,"American Samoa",AS,ASM,,,,,,13.5,,,4,Pacific/Pago_Pago,FALSE,1016807754
Faganeanea,Faganeanea,,-14.2995,-170.6968,"American Samoa",AS,ASM,,,,,,266.3,,,3,Pacific/Pago_Pago,FALSE,1016101411
Fagasa,Fagasa,,-14.2882,-170.7250,"American Samoa",AS,ASM,,,,,,174.8,,,4,Pacific/Pago_Pago,FALSE,1016228422
Fagatogo,Fagatogo,,-14.2834,-170.6937,"American Samoa",AS,ASM,,,,,,711.6,,,3,Pacific/Pago_Pago,FALSE,1016098130
Failolo,Failolo,,-14.3254,-170.8244,"American Samoa",AS,ASM,,,,,,122.4,,,4,Pacific/Pago_Pago,FALSE,1016377983
Faleasao,Faleasao,,-14.2255,-169.4920,"American Samoa",AS,ASM,,,,,,23.3,,,4,Pacific/Pago_Pago,FALSE,1016450273
Faleniu,Faleniu,,-14.3276,-170.7438,"American Samoa",AS,ASM,,,,,,2156.9,,,2,Pacific/Pago_Pago,FALSE,1016109162
Fatumafuti,Fatumafuti,,-14.2965,-170.6788,"American Samoa",AS,ASM,,,,,,598.5,,,3,Pacific/Pago_Pago,FALSE,1016969832
