city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Andorra la Vella","Andorra la Vella","Andorra-Vieille|Andorre-la-Vieille|Andorre|Andorra|la Vieja|Andorre-Vieille",42.5000,1.5000,Andorra,AD,AND,"Andorra la Vella","Andorra la Vella",AD-07,parish,primary,1884.6,22615,22615,1,Europe/Andorra,FALSE,1020828846
Escaldes-Engordany,Escaldes-Engordany,"Escaldes|Escaldas|Las Escadas|Les Escaldes",42.5089,1.5408,Andorra,AD,AND,Escaldes-Engordany,Escaldes-Engordany,AD-08,parish,admin,497.2,14917,14917,2,Europe/Andorra,FALSE,1020008674
Encamp,Encamp,,42.5361,1.5828,Andorra,AD,AND,Encamp,Encamp,AD-03,parish,admin,164.3,12155,12155,2,Europe/Andorra,FALSE,1020417470
"La Massana","La Massana","La Maçana",42.5444,1.5144,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,admin,171.0,11113,11113,2,Europe/Andorra,FALSE,1020543453
"Sant Julià de Lòria","Sant Julia de Loria","Santa Juliá de Loria|San Juliá|Sant Juliá",42.4650,1.4911,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,admin,158.9,9694,9694,2,Europe/Andorra,FALSE,1020885733
Canillo,Canillo,,42.5667,1.6000,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,admin,42.6,5160,5160,2,Europe/Andorra,FALSE,1020594179
Ordino,Ordino,,42.5550,1.5331,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,admin,57.15,4858,4858,2,Europe/Andorra,FALSE,1020655238
"Santa Coloma","Santa Coloma",,42.4939,1.4977,Andorra,AD,AND,"Andorra la Vella","Andorra la Vella",AD-07,parish,,1236.9,3002,3002,3,Europe/Andorra,FALSE,1020982062
"Pas de la Casa","Pas de la Casa",,42.5423,1.7338,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,14.6,2996,2996,4,Europe/Andorra,FALSE,1020286931
Arinsal,Arinsal,,42.5667,1.4833,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,1722,1722,3,Europe/Andorra,FALSE,1020029223
"El Tarter","El Tarter",,42.5833,1.6500,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,1678,1678,4,Europe/Andorra,FALSE,1020079668
Vila,Vila,"Casas Vila",42.5333,1.5667,Andorra,AD,AND,Encamp,Encamp,AD-03,parish,,282.5,1418,1418,3,Europe/Andorra,FALSE,1020579418
"Les Bons","Les Bons","Els Bons",42.5333,1.5833,Andorra,AD,AND,Encamp,Encamp,AD-03,parish,,282.5,1252,1252,3,Europe/Andorra,FALSE,1020703236
Soldeu,Soldeu,,42.5769,1.6672,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,1109,1109,4,Europe/Andorra,FALSE,1020542857
Sispony,Sispony,,42.5333,1.5167,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,1081,1081,3,Europe/Andorra,FALSE,1020055319
"La Cortinada","La Cortinada",,42.5667,1.5167,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,883,883,4,Europe/Andorra,FALSE,1020256984
Aixirivall,Aixirivall,Eixirivall|Aixirvall|Aixirivali,42.4667,1.5000,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,871,871,4,Europe/Andorra,FALSE,1020931821
Anyós,Anyos,,42.5346,1.5416,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,853,853,3,Europe/Andorra,FALSE,1020770586
Escàs,Escas,,42.5500,1.5167,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,740,740,3,Europe/Andorra,FALSE,1020280837
Erts,Erts,Ercz|Ercs|Erez,42.5636,1.4950,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,451,451,3,Europe/Andorra,FALSE,1020960672
Ransol,Ransol,,42.5833,1.6333,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,294,294,4,Europe/Andorra,FALSE,1020190166
Sornàs,Sornas,,42.5667,1.5333,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,251,251,4,Europe/Andorra,FALSE,1020109322
Aubinyà,Aubinya,Auvinya,42.4528,1.4930,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,238,238,4,Europe/Andorra,FALSE,1020172594
Arans,Arans,,42.5833,1.5167,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,238,238,4,Europe/Andorra,FALSE,1020379963
Pal,Pal,,42.5500,1.4833,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,235,235,3,Europe/Andorra,FALSE,1020877526
Llorts,Llorts,Llorta|Llors|Lors,42.6000,1.5333,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,204,204,3,Europe/Andorra,FALSE,1020823640
Juberri,Juberri,Juverri,42.4400,1.5067,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,183,183,3,Europe/Andorra,FALSE,1020974278
"El Serrat","El Serrat","Lo Serrat",42.6167,1.5500,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,138,138,3,Europe/Andorra,FALSE,1020283962
Aixovall,Aixovall,,42.4764,1.4895,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,104,104,4,Europe/Andorra,FALSE,1020741399
Fontaneda,Fontaneda,,42.4539,1.4575,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,98,98,4,Europe/Andorra,FALSE,1020379594
Meritxell,Meritxell,"Sanctuaire de Meritxell|Sanctuaire de Meritxeli|Santuari de Meritxell",42.5542,1.5906,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,75,75,4,Europe/Andorra,FALSE,1020120752
Certers,Certers,Sertes|Certés,42.4753,1.5058,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,73,73,4,Europe/Andorra,FALSE,1020597770
Nagol,Nagol,,42.4711,1.5033,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,63,63,4,Europe/Andorra,FALSE,1020860412
Prats,Prats,,42.5667,1.6000,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,60,60,4,Europe/Andorra,FALSE,1020618756
"Els Plans","Els Plans",,42.5810,1.6330,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,54,54,4,Europe/Andorra,FALSE,1020600638
Segudet,Segudet,,42.5500,1.5333,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,45,45,4,Europe/Andorra,FALSE,1020042081
Ansalonga,Ansalonga,,42.5684,1.5229,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,44,44,4,Europe/Andorra,FALSE,1020704490
Bixessarri,Bixessarri,Biçisarri|Vixesarri|Bixisarri,42.4833,1.4586,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,40,40,4,Europe/Andorra,FALSE,1020397863
"El Vilar","El Vilar",,42.5667,1.6000,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,9,9,4,Europe/Andorra,FALSE,1020866569
Llumeneres,Llumeneres,,42.4725,1.5111,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,1,1,4,Europe/Andorra,FALSE,1020874524
Ràmio,Ramio,,42.4973,1.5740,Andorra,AD,AND,Escaldes-Engordany,Escaldes-Engordany,AD-08,parish,,398.0,,,3,Europe/Andorra,FALSE,1020646312
"Tossalet i Vinyals","Tossalet i Vinyals",,42.4860,1.4891,Andorra,AD,AND,"Andorra la Vella","Andorra la Vella",AD-07,parish,,188.4,,,4,Europe/Andorra,FALSE,1020000001
"Puiol del Piu","Puiol del Piu",,42.5667,1.5000,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,,,3,Europe/Andorra,FALSE,1020161553
Aixàs,Aixas,,42.4864,1.4672,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,188.4,,,4,Europe/Andorra,FALSE,1020513323
"Sant Pere","Sant Pere",,42.5833,1.6500,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,,,4,Europe/Andorra,FALSE,1020982719
"El Pui","El Pui",,42.5473,1.5144,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,,,3,Europe/Andorra,FALSE,1020038002
"El Tremat","El Tremat",,42.5335,1.5806,Andorra,AD,AND,Encamp,Encamp,AD-03,parish,,282.5,,,3,Europe/Andorra,FALSE,1020000000
"Les Salines","Les Salines",,42.6095,1.5362,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,,,4,Europe/Andorra,FALSE,1020033228
Engordany,Engordany,,42.5116,1.5414,Andorra,AD,AND,Escaldes-Engordany,Escaldes-Engordany,AD-08,parish,,1406.9,,,3,Europe/Andorra,FALSE,1020530932
"Els Vilars","Els Vilars",,42.5164,1.5336,Andorra,AD,AND,Escaldes-Engordany,Escaldes-Engordany,AD-08,parish,,1406.9,,,3,Europe/Andorra,FALSE,1020000004
L’Aldosa,L'Aldosa,,42.5789,1.6287,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,,,4,Europe/Andorra,FALSE,1020948798
L’Aldosa,L'Aldosa,,42.5430,1.5237,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,,,3,Europe/Andorra,FALSE,1020980495
"La Comella","La Comella",,42.5012,1.5288,Andorra,AD,AND,"Andorra la Vella","Andorra la Vella",AD-07,parish,,2120.7,,,2,Europe/Andorra,FALSE,1020000003
"La Margineda","La Margineda",,42.4859,1.4905,Andorra,AD,AND,"Andorra la Vella","Andorra la Vella",AD-07,parish,,188.4,,,4,Europe/Andorra,FALSE,1020000002
"La Costa","La Costa",,42.5797,1.6428,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,,,4,Europe/Andorra,FALSE,1020927256
Molleres,Molleres,,42.5500,1.5833,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,,,4,Europe/Andorra,FALSE,1020924517
"Les Sobiranes","Les Sobiranes",,42.6201,1.5399,Andorra,AD,AND,Ordino,Ordino,AD-05,parish,,106.0,,,4,Europe/Andorra,FALSE,1020740743
"Sant Joan de Caselles","Sant Joan de Caselles","San Joan de Casettas|Sant Joan de Casellas",42.5704,1.6076,Andorra,AD,AND,Canillo,Canillo,AD-02,parish,,122.3,,,4,Europe/Andorra,FALSE,1020655059
"La Plana","La Plana",,42.5047,1.5386,Andorra,AD,AND,Escaldes-Engordany,Escaldes-Engordany,AD-08,parish,,553.7,,,3,Europe/Andorra,FALSE,1020000005
"Mas d’Alins","Mas d'Alins",,42.4411,1.4513,Andorra,AD,AND,"Sant Julià de Lòria","Sant Julia de Loria",AD-06,parish,,114.1,,,4,Europe/Andorra,FALSE,1020671209
"Mas de Ribafeta","Mas de Ribafeta",,42.5693,1.4886,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,,,3,Europe/Andorra,FALSE,1020063440
Xixerella,Xixerella,,42.5500,1.4833,Andorra,AD,AND,"La Massana","La Massana",AD-04,parish,,231.7,,,3,Europe/Andorra,FALSE,1020642311
Engolasters,Engolasters,,42.5000,1.5667,Andorra,AD,AND,Escaldes-Engordany,Escaldes-Engordany,AD-08,parish,,397.5,,,3,Europe/Andorra,FALSE,1020000006
