city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Brita,Brita,,-9.4488,15.7301,Angola,AO,AGO,Malanje,Malanje,AO-MAL,province,,10.9,,,4,Africa/Luanda,FALSE,1024484879
Vitória Certa,Vitoria Certa,,-11.4856,20.6233,Angola,AO,AGO,Moxico,Moxico,AO-MOX,province,,20.8,,,4,Africa/Luanda,FALSE,1024057189
Fucole,Fucole,,-9.0000,15.9500,Angola,AO,AGO,Malanje,Malanje,AO-MAL,province,,11.6,,,4,Africa/Luanda,FALSE,1024138512
Chiuaco,Chiuaco,Chibuaco|Chihuaco,-14.5333,16.2667,Angola,AO,AGO,Huíla,Huila,AO-HUI,province,,11.4,,,4,Africa/Luanda,FALSE,1024729688
Quianda,Quianda,Quibanda,-9.3500,14.8333,Angola,AO,AGO,Cuanza-Norte,Cuanza-Norte,AO-CNO,province,,57.4,,,4,Africa/Luanda,FALSE,1024162501
Quianda,Quianda,,-8.7500,15.3667,Angola,AO,AGO,Cuanza-Norte,Cuanza-Norte,AO-CNO,province,,6.6,,,5,Africa/Luanda,TRUE,1024014021
Vihamba,Vihamba,,-14.2522,13.6821,Angola,AO,AGO,Huíla,Huila,AO-HUI,province,,23.8,,,4,Africa/Luanda,FALSE,1024000912
Vavaiela Segundo,Vavaiela Segundo,,-12.1902,15.4451,Angola,AO,AGO,Huambo,Huambo,AO-HUA,province,,42.9,,,4,Africa/Luanda,FALSE,1024087238
Cacula,Cacula,Caungue,-9.2002,16.1128,Angola,AO,AGO,Malanje,Malanje,AO-MAL,province,,11.6,,,4,Africa/Luanda,FALSE,1024574383
Canhande,Canhande,,-14.1837,13.7813,Angola,AO,AGO,Huíla,Huila,AO-HUI,province,,23.8,,,4,Africa/Luanda,FALSE,1024002385
J. C. Campos,J. C. Campos,,-12.7500,15.0167,Angola,AO,AGO,Huambo,Huambo,AO-HUA,province,,22.9,,,4,Africa/Luanda,FALSE,1024775041
Catambi Segundo,Catambi Segundo,,-7.5198,15.1590,Angola,AO,AGO,Uíge,Uige,AO-UIG,province,,233.2,,,3,Africa/Luanda,FALSE,1024586509
Sapucusso,Sapucusso,,-12.3008,14.8013,Angola,AO,AGO,Benguela,Benguela,AO-BGU,province,,36.0,,,4,Africa/Luanda,FALSE,1024967654
