city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"The Valley","The Valley",Valley,18.2208,-63.0517,Anguilla,AI,AIA,,,,,primary,183.8,3269,3269,1,America/Anguilla,FALSE,1660698387
"North Side","North Side",,18.2303,-63.0433,Anguilla,AI,AIA,,,,,,220.2,1980,1980,3,America/Anguilla,FALSE,1660317697
"Lower South Hill","Lower South Hill",,18.1874,-63.0926,Anguilla,AI,AIA,,,,,,284.6,1722,1722,3,America/Anguilla,FALSE,1660780824
"Stoney Ground","Stoney Ground",,18.2212,-63.0475,Anguilla,AI,AIA,,,,,,208.5,1549,1549,3,America/Anguilla,FALSE,1660208055
"Island Harbour","Island Harbour",,18.2569,-63.0068,Anguilla,AI,AIA,,,,,,162.5,988,988,4,America/Anguilla,FALSE,1660000000
"The Quarter","The Quarter",,18.2126,-63.0505,Anguilla,AI,AIA,,,,,,302.5,959,959,3,America/Anguilla,FALSE,1660732695
"George Hill","George Hill",,18.1992,-63.0686,Anguilla,AI,AIA,,,,,,147.0,879,879,4,America/Anguilla,FALSE,1660657554
"Blowing Point","Blowing Point",,18.1771,-63.0939,Anguilla,AI,AIA,,,,,,168.9,870,870,4,America/Anguilla,FALSE,1660000001
"East End Village","East End Village","East End",18.2344,-62.9946,Anguilla,AI,AIA,,,,,,134.7,671,671,4,America/Anguilla,FALSE,1660591932
"The Farrington","The Farrington",,18.2128,-63.0300,Anguilla,AI,AIA,,,,,,138.7,624,624,4,America/Anguilla,FALSE,1660490244
"North Hill Village","North Hill Village",,18.2088,-63.0756,Anguilla,AI,AIA,,,,,,354.2,464,464,3,America/Anguilla,FALSE,1660430300
"White Hill","White Hill",,18.2533,-62.9957,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660984545
"Long Ground","Long Ground",,18.2022,-63.0598,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660997696
Cannifist,Cannifist,,18.2336,-63.0197,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660657069
Bungalows,Bungalows,,18.1848,-63.1010,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660000002
Bethel,Bethel,,18.2000,-63.1000,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660779432
"Shoal Bay Village","Shoal Bay Village","Shoal Village",18.2542,-63.0308,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660164757
"West End Village","West End Village",,18.1700,-63.1589,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660907800
"Little Dix","Little Dix","Little Dicks",18.2332,-63.0364,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660577003
"Crocus Hill","Crocus Hill","Saint Mary’s",18.2177,-63.0658,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660669728
"Long Bay Village","Long Bay Village",,18.1876,-63.1288,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660155768
"The Fountain","The Fountain",,18.2490,-63.0312,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660000009
"Long Bay","Long Bay",,18.1838,-63.1266,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660000003
"Long Path","Long Path",,18.2148,-63.0245,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660408856
Brimegin,Brimegin,,18.2360,-63.0494,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660000005
"Betty Hill","Betty Hill",,18.2247,-63.0043,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660441578
"Mount Fortune","Mount Fortune",,18.2414,-62.9962,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660194430
Cul-de-Sac,Cul-de-Sac,,18.1719,-63.1020,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660000007
"Rey Hill","Rey Hill",,18.2083,-63.0435,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660812718
"Cedar Village","Cedar Village",,18.2273,-63.0591,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660000006
"Deep Waters","Deep Waters",,18.2350,-63.0260,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660961040
"Cauls Bottom","Cauls Bottom",,18.2217,-63.0422,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660989869
"Captains Ridge","Captains Ridge",,18.2617,-62.9892,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660000004
"Sandy Ground Village","Sandy Ground Village",,18.2000,-63.0900,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660844133
"Junks Hole","Junks Hole",,18.2520,-62.9892,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660470426
Chalvilles,Chalvilles,,18.2348,-63.0150,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660925823
Ebenezer,Ebenezer,,18.2167,-63.0667,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660524433
"Blowing Point Village","Blowing Point Village",,18.1771,-63.0938,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660329969
"The Copse","The Copse",,18.2337,-62.9968,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660149435
"Mahogany Tree","Mahogany Tree",,18.2149,-63.0471,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660141432
"Welches Hill","Welches Hill",Welches,18.2428,-63.0149,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660671715
"The Forest","The Forest",,18.2004,-63.0452,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660581150
Wattices,Wattices,,18.2267,-63.0337,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660955105
"South Hill Village","South Hill Village",,18.1929,-63.0906,Anguilla,AI,AIA,,,,,,183.8,,,4,America/Anguilla,FALSE,1660477588
