city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Saint John’s","Saint John's","Saint John",17.1167,-61.8500,"Antigua and Barbuda",AG,ATG,"Saint John","Saint John",AG-04,parish,primary,2221.9,22219,22219,1,America/Antigua,FALSE,1028912067
"All Saints","All Saints","All Saints Village",17.0500,-61.7833,"Antigua and Barbuda",AG,ATG,"Saint Peter","Saint Peter",AG-07,parish,,275.9,3438,3438,3,America/Antigua,FALSE,1028325067
Bolans,Bolans,"Boland Village|Bolands",17.0658,-61.8739,"Antigua and Barbuda",AG,ATG,"Saint Mary","Saint Mary",AG-05,parish,,376.7,2053,2053,3,America/Antigua,FALSE,1028880859
Liberta,Liberta,"Liberta Village",17.0333,-61.7833,"Antigua and Barbuda",AG,ATG,"Saint Paul","Saint Paul",AG-06,parish,,183.5,2003,2003,4,America/Antigua,FALSE,1028248939
Piggotts,Piggotts,"Saint Marks Village|Saint Mark’s",17.1167,-61.8000,"Antigua and Barbuda",AG,ATG,"Saint George","Saint George",AG-03,parish,,362.8,1931,1931,3,America/Antigua,FALSE,1028196356
Swetes,Swetes,"Swetes Village|Sweets|Sweets Village",17.0500,-61.8000,"Antigua and Barbuda",AG,ATG,"Saint Paul","Saint Paul",AG-06,parish,,211.8,1720,1720,3,America/Antigua,FALSE,1028688465
Jennings,Jennings,"Jennings Village",17.0833,-61.8667,"Antigua and Barbuda",AG,ATG,"Saint Mary","Saint Mary",AG-05,parish,,126.7,1481,1481,4,America/Antigua,FALSE,1028779545
"Clare Hall","Clare Hall",,17.1167,-61.8167,"Antigua and Barbuda",AG,ATG,"Saint John","Saint John",AG-04,parish,,1191.7,1459,1459,3,America/Antigua,FALSE,1028334212
Parham,Parham,,17.1000,-61.7667,"Antigua and Barbuda",AG,ATG,"Saint Peter","Saint Peter",AG-07,parish,,152.3,1307,1307,4,America/Antigua,FALSE,1028716112
Willikies,Willikies,Willikie’s,17.0833,-61.7000,"Antigua and Barbuda",AG,ATG,"Saint Philip","Saint Philip",AG-08,parish,,73.6,1270,1270,4,America/Antigua,FALSE,1028912983
"New Winthorpes","New Winthorpes","Winthorpes Village",17.1481,-61.8131,"Antigua and Barbuda",AG,ATG,"Saint George","Saint George",AG-03,parish,,375.9,1266,1266,3,America/Antigua,FALSE,1028212511
Codrington,Codrington,"Codrington Village",17.6333,-61.8333,"Antigua and Barbuda",AG,ATG,Barbuda,Barbuda,AG-10,dependency,,13.4,1252,1252,3,America/Antigua,FALSE,1028011359
"Old Road","Old Road","Old Road Village|Carlisle’s Estate|Carlisle|Old Road Town",17.0168,-61.8358,"Antigua and Barbuda",AG,ATG,"Saint Mary","Saint Mary",AG-05,parish,,126.7,1251,1251,4,America/Antigua,FALSE,1028286899
"Potters Village","Potters Village",Potters,17.1031,-61.8069,"Antigua and Barbuda",AG,ATG,"Saint John","Saint John",AG-04,parish,,646.6,1116,1116,3,America/Antigua,FALSE,1028444541
Bendals,Bendals,"Bendals Village",17.0717,-61.8378,"Antigua and Barbuda",AG,ATG,"Saint John","Saint John",AG-04,parish,,646.6,973,973,3,America/Antigua,FALSE,1028360980
"Cedar Grove","Cedar Grove","Willock Village|Cedar Grove Village",17.1667,-61.8167,"Antigua and Barbuda",AG,ATG,"Saint John","Saint John",AG-04,parish,,646.6,934,934,3,America/Antigua,FALSE,1028324591
Freemans,Freemans,Freemonville|Freemanville|Freeman,17.0794,-61.7853,"Antigua and Barbuda",AG,ATG,"Saint Peter","Saint Peter",AG-07,parish,,342.6,860,860,3,America/Antigua,FALSE,1028620999
Tomlinson,Tomlinson,,17.1126,-61.8158,"Antigua and Barbuda",AG,ATG,"Saint John","Saint John",AG-04,parish,,408.9,808,808,3,America/Antigua,FALSE,1028142940
