city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Los Molinos,Los Molinos,Molinos,-31.8547,-64.3786,Argentina,AR,ARG,Córdoba,Cordoba,AR-X,province,,14.4,,,4,America/Argentina/Cordoba,FALSE,1032473747
Benjamín Zorrilla,Benjamin Zorrilla,Benjamin Zorrillo|B. Zorrilla,-39.0960,-65.4809,Argentina,AR,ARG,Río Negro,Rio Negro,AR-R,province,,1.9,,,5,America/Argentina/Salta,FALSE,1032366525
Crispi,Crispi,,-31.7398,-62.0377,Argentina,AR,ARG,Santa Fe,Santa Fe,AR-S,province,,13.7,,,4,America/Argentina/Cordoba,FALSE,1032413818
La Yerba,La Yerba,,-29.2381,-63.2841,Argentina,AR,ARG,Santiago del Estero,Santiago del Estero,AR-G,province,,2.5,,,5,America/Argentina/Cordoba,FALSE,1032000219
Cabo Primero Lugones,Cabo Primero Lugones,Fortín Lugones|Fortín Cabo Luganes,-24.2870,-59.8297,Argentina,AR,ARG,Formosa,Formosa,AR-P,province,,2.8,,,5,America/Argentina/Cordoba,FALSE,1032481200
Balneario Mar Chiquita,Balneario Mar Chiquita,Mar Chiquita,-37.6778,-57.5000,Argentina,AR,ARG,Buenos Aires,Buenos Aires,AR-B,province,,8.5,,,4,America/Argentina/Buenos_Aires,FALSE,1032564839
Las Trampas,Las Trampas,,-30.3356,-64.3855,Argentina,AR,ARG,Córdoba,Cordoba,AR-X,province,,5.1,,,5,America/Argentina/Cordoba,FALSE,1032650473
General Mansilla,General Mansilla,,-35.0793,-57.7479,Argentina,AR,ARG,Buenos Aires,Buenos Aires,AR-B,province,,12.3,,,4,America/Argentina/Buenos_Aires,FALSE,1032211983
Fortín Acha,Fortin Acha,De Bruyn,-34.3433,-61.5268,Argentina,AR,ARG,Buenos Aires,Buenos Aires,AR-B,province,,11.1,,,4,America/Argentina/Buenos_Aires,FALSE,1032334559
General Mansilla,General Mansilla,,-26.6550,-58.6308,Argentina,AR,ARG,Chaco,Chaco,AR-H,province,,5.0,,,3,America/Argentina/Cordoba,FALSE,1032870366
Monte del Rosario,Monte del Rosario,,-30.9837,-63.6019,Argentina,AR,ARG,Córdoba,Cordoba,AR-X,province,,7.7,,,5,America/Argentina/Cordoba,FALSE,1032627192
Antilo,Antilo,,-27.7516,-64.6083,Argentina,AR,ARG,Santiago del Estero,Santiago del Estero,AR-G,province,,138.0,,,4,America/Argentina/Cordoba,FALSE,1032000227
Baibiene,Baibiene,,-29.6020,-58.1654,Argentina,AR,ARG,Corrientes,Corrientes,AR-W,province,,5.7,,,5,America/Argentina/Cordoba,FALSE,1032026292
Toledo,Toledo,,-31.5558,-64.0094,Argentina,AR,ARG,Córdoba,Cordoba,AR-X,province,,35.2,,,4,America/Argentina/Cordoba,FALSE,1032325055
Manuel J. Cobo,Manuel J. Cobo,Lezama,-35.8750,-57.8980,Argentina,AR,ARG,Buenos Aires,Buenos Aires,AR-B,province,,11.3,,,4,America/Argentina/Buenos_Aires,FALSE,1032579086
Los Sunchos,Los Sunchos,Suncho|Sunchu|Los Suncho,-29.4000,-65.2333,Argentina,AR,ARG,Catamarca,Catamarca,AR-K,province,,2.9,,,4,America/Argentina/Catamarca,FALSE,1032445820
La Olla,La Olla,,-30.2479,-64.4387,Argentina,AR,ARG,Córdoba,Cordoba,AR-X,province,,6.5,,,5,America/Argentina/Cordoba,FALSE,1032967053
Monte Alto,Monte Alto,,-26.9667,-62.8167,Argentina,AR,ARG,Santiago del Estero,Santiago del Estero,AR-G,province,,2.3,,,5,America/Argentina/Cordoba,FALSE,1032121197
Villa D. Sobral,Villa D. Sobral,,-34.7585,-58.2454,Argentina,AR,ARG,Buenos Aires,Buenos Aires,AR-B,province,,4033.5,,,2,America/Argentina/Buenos_Aires,FALSE,1032554458
Toledo,Toledo,,-28.8276,-62.4426,Argentina,AR,ARG,Santiago del Estero,Santiago del Estero,AR-G,province,,6.4,,,5,America/Argentina/Cordoba,FALSE,1032000159
Traill,Traill,Traili,-31.9207,-61.7014,Argentina,AR,ARG,Santa Fe,Santa Fe,AR-S,province,,13.7,,,4,America/Argentina/Cordoba,FALSE,1032441173
Media Luna,Media Luna,,-31.2399,-63.8725,Argentina,AR,ARG,Córdoba,Cordoba,AR-X,province,,7.7,,,5,America/Argentina/Cordoba,FALSE,1032483458
Alférez San Martín,Alferez San Martin,Venancio,-38.6328,-62.5322,Argentina,AR,ARG,Buenos Aires,Buenos Aires,AR-B,province,,141.3,,,4,America/Argentina/Buenos_Aires,FALSE,1032557031
Escoipe,Escoipe,Quebrada de Escoipe,-25.1751,-65.7436,Argentina,AR,ARG,Salta,Salta,AR-A,province,,23.4,,,4,America/Argentina/Salta,FALSE,1032249676
Media Luna,Media Luna,,-23.0500,-62.0833,Argentina,AR,ARG,Formosa,Formosa,AR-P,province,,4.6,,,5,America/Argentina/Cordoba,FALSE,1032556187
San Genaro,San Genaro,San Jenaro,-32.3667,-61.3167,Argentina,AR,ARG,Santa Fe,Santa Fe,AR-S,province,,20.5,,,4,America/Argentina/Cordoba,FALSE,1032729278
