city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Averak,Averak,,40.4111,43.9375,Armenia,AM,ARM,Aragatsotn,Aragatsotn,AM-AG,region,,22.9,,,4,Asia/Yerevan,FALSE,1051038235
Noragyugh,Noragyugh,,39.3223,46.5029,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,46.4,,,4,Asia/Yerevan,FALSE,1051292151
Hin Akhpradzor,Hin Akhpradzor,,40.1055,45.6417,Armenia,AM,ARM,Geghark’unik’,Geghark'unik',AM-GR,region,,14.4,,,4,Asia/Yerevan,FALSE,1051438442
Yerknist,Yerknist,,39.8723,44.8333,Armenia,AM,ARM,Ararat,Ararat,AM-AR,region,,4.8,,,5,Asia/Yerevan,FALSE,1051797666
Aygegortsakan Tntesut’yun,Aygegortsakan Tntesut'yun,,39.5319,46.0417,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,302.3,,,3,Asia/Yerevan,FALSE,1051851508
Karmir Avetaran,Karmir Avetaran,,40.0555,43.9291,Armenia,AM,ARM,Armavir,Armavir,AM-AV,region,,143.2,,,4,Asia/Yerevan,FALSE,1051388151
K’ark’rra,K'ark'rra,,39.6459,45.4445,Armenia,AM,ARM,Vayots’ Dzor,Vayots' Dzor,AM-VD,region,,10.3,,,4,Asia/Yerevan,FALSE,1051670915
Galusti,Galusti,,40.8931,44.6279,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,56.6,,,4,Asia/Yerevan,FALSE,1051350269
Yaroyi Lich,Yaroyi Lich,,40.4723,44.4001,Armenia,AM,ARM,Aragatsotn,Aragatsotn,AM-AG,region,,73.6,,,4,Asia/Yerevan,FALSE,1051444512
Glkhavor,Glkhavor,,40.4473,43.7861,Armenia,AM,ARM,Aragatsotn,Aragatsotn,AM-AG,region,,15.4,,,4,Asia/Yerevan,FALSE,1051361221
Vranat’agh,Vranat'agh,,40.6445,45.1223,Armenia,AM,ARM,Geghark’unik’,Geghark'unik',AM-GR,region,,14.0,,,4,Asia/Yerevan,FALSE,1051581757
Dashkerpi,Dashkerpi,,40.9667,43.7667,Armenia,AM,ARM,Shirak,Shirak,AM-SH,region,,39.6,,,4,Asia/Yerevan,FALSE,1051718459
Gndevank’i,Gndevank'i,,39.7585,45.6111,Armenia,AM,ARM,Vayots’ Dzor,Vayots' Dzor,AM-VD,region,,13.1,,,4,Asia/Yerevan,FALSE,1051485107
Lmbatavank’,Lmbatavank',,40.6083,43.9597,Armenia,AM,ARM,Shirak,Shirak,AM-SH,region,,506.6,,,3,Asia/Yerevan,FALSE,1051226897
Geghabak,Geghabak,,40.4111,43.7557,Armenia,AM,ARM,Aragatsotn,Aragatsotn,AM-AG,region,,24.4,,,4,Asia/Yerevan,FALSE,1051042879
Tsar,Tsar,Kabakhlu,40.5845,44.5805,Armenia,AM,ARM,Kotayk’,Kotayk',AM-KT,region,,30.7,,,4,Asia/Yerevan,FALSE,1051510855
Krp’adzor,Krp'adzor,,39.4959,45.9403,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,25.9,,,4,Asia/Yerevan,FALSE,1051332623
Yeghts’adzor,Yeghts'adzor,,40.8375,45.4751,Armenia,AM,ARM,Tavush,Tavush,AM-TV,region,,57.3,,,4,Asia/Yerevan,FALSE,1051408482
Khach’aghbyur,Khach'aghbyur,,40.4793,44.3375,Armenia,AM,ARM,Aragatsotn,Aragatsotn,AM-AG,region,,48.1,,,4,Asia/Yerevan,FALSE,1051757387
Petros Bidzu Khach’er,Petros Bidzu Khach'er,,40.6529,45.2557,Armenia,AM,ARM,Geghark’unik’,Geghark'unik',AM-GR,region,,28.4,,,4,Asia/Yerevan,FALSE,1051792715
Ərkenats,Arkenats,,39.2771,46.4589,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,7.7,,,5,Asia/Yerevan,FALSE,1051000007
Saratun,Saratun,,39.1833,46.2001,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,7.7,,,5,Asia/Yerevan,FALSE,1051307181
Sapatadzor,Sapatadzor,,39.4389,45.9751,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,7.6,,,5,Asia/Yerevan,FALSE,1051683237
Chanakhchi,Chanakhchi,,39.2833,46.3833,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,17.0,,,4,Asia/Yerevan,FALSE,1051555009
Monastyr’ Gekhard,Monastyr' Gekhard,Tazagyukh,40.1405,44.8183,Armenia,AM,ARM,Ararat,Ararat,AM-AR,region,,14.6,,,4,Asia/Yerevan,FALSE,1051075858
Andzavi,Andzavi,,40.7667,44.1431,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,49.8,,,4,Asia/Yerevan,FALSE,1051305021
Hats’ut,Hats'ut,,40.7347,43.7597,Armenia,AM,ARM,Shirak,Shirak,AM-SH,region,,131.7,,,4,Asia/Yerevan,FALSE,1051785614
Hanesi,Hanesi,,40.7029,45.1529,Armenia,AM,ARM,Geghark’unik’,Geghark'unik',AM-GR,region,,17.8,,,4,Asia/Yerevan,FALSE,1051716127
Oskanadzor,Oskanadzor,,40.8681,44.4043,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,23.7,,,4,Asia/Yerevan,FALSE,1051472917
Damblut,Damblut,,40.9029,44.6237,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,45.3,,,4,Asia/Yerevan,FALSE,1051077532
Garov,Garov,,38.9639,46.2973,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,3.3,,,5,Asia/Yerevan,FALSE,1051428437
Hyurategh,Hyurategh,,40.7833,44.1931,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,63.4,,,4,Asia/Yerevan,FALSE,1051867427
T’njumnats’,T'njumnats',,39.0611,46.4583,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,2.7,,,5,Asia/Yerevan,FALSE,1051031070
Mets Zhamer,Mets Zhamer,,40.1639,45.6417,Armenia,AM,ARM,Geghark’unik’,Geghark'unik',AM-GR,region,,136.1,,,4,Asia/Yerevan,FALSE,1051656362
Shahatu,Shahatu,,40.9529,44.3167,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,8.9,,,5,Asia/Yerevan,FALSE,1051330579
