city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Yerevan,Yerevan,Iravan|Erivan|Erewan|Erevan|Yervandavan|Ereun|Revan|Ayrivan,40.1814,44.5144,Armenia,AM,ARM,Yerevan,Yerevan,AM-ER,city,primary,4739.2,1075800,1075800,1,Asia/Yerevan,FALSE,1051074169
Gyumri,Gyumri,Kümri|Alexandropol’|Aleksandropol’|Gumri|Alek’pol|Gimri|Kyumayri|Kyumri|Gumry|Kumayri|Leninakan|Alek’sandrobol|Alek’sandrapol,40.7894,43.8475,Armenia,AM,ARM,Shirak,Shirak,AM-SH,region,admin,2640.2,121976,121976,2,Asia/Yerevan,FALSE,1051341374
Vanadzor,Vanadzor,"Mets Karakilisa|Korovakan|Karakilis|Gharak’ilisa|Karaklis|Karakhs|Kirowakan|Kirovakan",40.8128,44.4883,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,admin,3606.6,90525,90525,2,Asia/Yerevan,FALSE,1051691929
Ejmiatsin,Ejmiatsin,"Üçkilise|Vagharshapat|Iejmiatsin|Norak’aghak’|Echmiatsin|Avan Vardgesi|Artemed|Kaynepolis|Kayrak’aghak’|Uch’k’ilisa|Echmiadzin|Vardgesavan|Valeroktista",40.1728,44.2925,Armenia,AM,ARM,Armavir,Armavir,AM-AV,region,,1043.2,57500,57500,3,Asia/Yerevan,FALSE,1051214432
Hrazdan,Hrazdan,"Akhta|Razdan|Nizhne Akhti|Nizhnyaya Akhta|Nerkin Akhta|Akhtala|Nizhniye Akhty|Akhti",40.5000,44.7667,Armenia,AM,ARM,Kotayk’,Kotayk',AM-KT,region,admin,347.6,52808,52808,2,Asia/Yerevan,FALSE,1051566733
Abovyan,Abovyan,Elar,40.2739,44.6256,Armenia,AM,ARM,Kotayk’,Kotayk',AM-KT,region,,6342.9,44400,44400,2,Asia/Yerevan,FALSE,1051509043
Kapan,Kapan,Qafan|Kafan|Ghap’an|Zangezur|Madan|Katan|Kafin,39.2011,46.4150,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,admin,1199.7,43190,43190,2,Asia/Yerevan,FALSE,1051527958
Armavir,Armavir,Oktemberyan|Sardarapat|Sardar-Abad|Hoktemberyan,40.1500,44.0400,Armenia,AM,ARM,Armavir,Armavir,AM-AV,region,admin,4540.0,38635,38635,2,Asia/Yerevan,FALSE,1051878002
Charentsavan,Charentsavan,Ch’arants’avan|Lusavan|Choentsavan,40.4097,44.6431,Armenia,AM,ARM,Kotayk’,Kotayk',AM-KT,region,,5007.8,25039,25039,2,Asia/Yerevan,FALSE,1051304472
Stepanavan,Stepanavan,Stepanawan-Lori|Stepahavan|Dzhalalogly|Dzhelaloglu,41.0096,44.3841,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,194.7,23782,23782,3,Asia/Yerevan,FALSE,1051221961
Sevan,Sevan,Yelenovka|Ssewan,40.5550,44.9536,Armenia,AM,ARM,Geghark’unik’,Geghark'unik',AM-GR,region,,1307.0,23200,23200,3,Asia/Yerevan,FALSE,1051586680
Ashtarak,Ashtarak,"Achtarak|Ashtarakats’ Gyugh",40.2975,44.3617,Armenia,AM,ARM,Aragatsotn,Aragatsotn,AM-AG,region,admin,438.3,21600,21600,2,Asia/Yerevan,FALSE,1051714712
Masis,Masis,Narimanlu|Razdan|Hrazdan|Zangibasar|Tokhanshalu|Takhanshalu|Ulukhanlu,40.0633,44.4408,Armenia,AM,ARM,Ararat,Ararat,AM-AR,region,,1000.7,21376,21376,3,Asia/Yerevan,FALSE,1051588635
Artashat,Artashat,Kamarlyu|Kamarlu|Kamarl,39.9539,44.5506,Armenia,AM,ARM,Ararat,Ararat,AM-AR,region,admin,1163.9,21300,21300,2,Asia/Yerevan,FALSE,1051969157
Ararat,Ararat,"Davalinskiy Tsemzavod|Davalu",39.8303,44.7025,Armenia,AM,ARM,Ararat,Ararat,AM-AR,region,,133.5,20800,20800,3,Asia/Yerevan,FALSE,1051804328
Gavarr,Gavarr,"Novo Bayazet|Nor-Bajaset|Kyavar|Kamo",40.3589,45.1267,Armenia,AM,ARM,Geghark’unik’,Geghark'unik',AM-GR,region,admin,94.5,20765,20765,2,Asia/Yerevan,FALSE,1051983153
Goris,Goris,Geryusy,39.5078,46.3386,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,572.0,20591,20591,3,Asia/Yerevan,FALSE,1051724931
Ijevan,Ijevan,"Istibulagh|Karavan Savan|K’arvansara|K’aravansaray|Karavansarai|Idzhevan|İcevan|Karvansara",40.8792,45.1472,Armenia,AM,ARM,Tavush,Tavush,AM-TV,region,admin,1289.0,20509,20509,2,Asia/Yerevan,FALSE,1051007129
Artik,Artik,,40.6167,43.9500,Armenia,AM,ARM,Shirak,Shirak,AM-SH,region,,550.9,19543,19543,3,Asia/Yerevan,TRUE,1051915203
Artik,Artik,,40.6172,43.9758,Armenia,AM,ARM,Shirak,Shirak,AM-SH,region,,559.9,19534,19534,3,Asia/Yerevan,FALSE,1051264283
Dilijan,Dilijan,"Delizhan|Delishan|Dili|Dilichan|Dilizhan|Hin|Dili P’ok’r|Tili|Tilichan|Dilishan|Delijan",40.7408,44.8631,Armenia,AM,ARM,Tavush,Tavush,AM-TV,region,,311.1,16600,16600,3,Asia/Yerevan,FALSE,1051278149
Spitak,Spitak,Amamth|Amamlu,40.8372,44.2675,Armenia,AM,ARM,Lorri,Lorri,AM-LO,region,,260.4,15000,15000,3,Asia/Yerevan,FALSE,1051088654
Sisian,Sisian,Karakilisa|Sisavan,39.5208,46.0322,Armenia,AM,ARM,Syunik’,Syunik',AM-SU,region,,302.3,14894,14894,3,Asia/Yerevan,FALSE,1051297901
