city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Oranjestad,Oranjestad,Playa,12.5186,-70.0358,Aruba,AW,ABW,,,,,primary,2093.6,34980,34980,1,America/Aruba,FALSE,1533513057
"Tanki Leendert","Tanki Leendert","Tanki Lender",12.5418,-70.0220,Aruba,AW,ABW,,,,,,2112.7,21495,21495,2,America/Aruba,FALSE,1533786612
"Tanki Flip","Tanki Flip",,12.5459,-70.0307,Aruba,AW,ABW,,,,,,1285.9,,,3,America/Aruba,FALSE,1533563371
Druif,Druif,,12.5333,-70.0667,Aruba,AW,ABW,,,,,,123.0,,,4,America/Aruba,FALSE,1533335795
Savaneta,Savaneta,Savonet|Sabaneta|Savoneta,12.4503,-69.9381,Aruba,AW,ABW,,,,,,917.2,,,3,America/Aruba,FALSE,1533956894
Noord,Noord,,12.5660,-70.0320,Aruba,AW,ABW,,,,,,1175.2,,,3,America/Aruba,FALSE,1533536166
Fontein,Fontein,,12.4926,-69.9057,Aruba,AW,ABW,,,,,,3.7,,,5,America/Aruba,FALSE,1533023439
Cadushi,Cadushi,,12.5483,-69.9781,Aruba,AW,ABW,,,,,,509.1,,,3,America/Aruba,FALSE,1533000003
"Santa Cruz","Santa Cruz",,12.5095,-69.9810,Aruba,AW,ABW,,,,,,815.9,,,3,America/Aruba,FALSE,1533379558
"San Nicolas","San Nicolas","Sint Nicolaas",12.4362,-69.9071,Aruba,AW,ABW,,,,,,1738.1,,,3,America/Aruba,FALSE,1533520053
Brasil,Brasil,,12.4480,-69.9254,Aruba,AW,ABW,,,,,,1268.6,,,3,America/Aruba,FALSE,1533730234
Tibushi,Tibushi,,12.6000,-70.0373,Aruba,AW,ABW,,,,,,690.6,,,3,America/Aruba,FALSE,1533000001
Butucu,Butucu,,12.4725,-69.9144,Aruba,AW,ABW,,,,,,3.5,,,5,America/Aruba,FALSE,1533849186
Arasji,Arasji,,12.6167,-70.0667,Aruba,AW,ABW,,,,,,734.1,,,3,America/Aruba,FALSE,1533342337
"Coba Lodo","Coba Lodo",,12.5000,-69.9500,Aruba,AW,ABW,,,,,,341.7,,,3,America/Aruba,FALSE,1533783915
"Pos Chiquito","Pos Chiquito","Pos Chikitu|Pos Chikito",12.4650,-69.9623,Aruba,AW,ABW,,,,,,1111.4,,,3,America/Aruba,FALSE,1533594540
Hubada,Hubada,,12.5543,-69.9962,Aruba,AW,ABW,,,,,,126.4,,,4,America/Aruba,FALSE,1533000004
"Sabana Serbete","Sabana Serbete",,12.4475,-69.8868,Aruba,AW,ABW,,,,,,338.0,,,3,America/Aruba,FALSE,1533000002
Paradera,Paradera,,12.5351,-70.0069,Aruba,AW,ABW,,,,,,1523.3,,,3,America/Aruba,FALSE,1533266766
"Sero Colorado","Sero Colorado","Ceru Colorado",12.4188,-69.8821,Aruba,AW,ABW,,,,,,24.6,,,4,America/Aruba,FALSE,1533401853
"Sint Anna","Sint Anna","Santa Anna",12.5667,-70.0333,Aruba,AW,ABW,,,,,,939.3,,,3,America/Aruba,FALSE,1533091641
Bushiribana,Bushiribana,Bushiribans,12.5502,-69.9732,Aruba,AW,ABW,,,,,,16.2,,,4,America/Aruba,FALSE,1533381507
