city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Currawang,Currawang,Currowang,-34.9658,149.5172,Australia,AU,AUS,New South Wales,New South Wales,AU-NSW,state,,1.8,167,167,3,Australia/Sydney,FALSE,1036279660
Moonambel,Moonambel,,-36.9843,143.3110,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,1.2,167,167,3,Australia/Melbourne,FALSE,1036348843
Dederang,Dederang,,-36.4833,147.0167,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,2.1,167,167,3,Australia/Melbourne,FALSE,1036527765
Bohena Creek,Bohena Creek,,-30.4167,149.7000,Australia,AU,AUS,New South Wales,New South Wales,AU-NSW,state,,0.5,167,167,4,Australia/Sydney,FALSE,1036642452
Berringa,Berringa,,-37.7667,143.6833,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,3.4,167,167,3,Australia/Melbourne,FALSE,1036719889
Langshaw,Langshaw,,-26.3013,152.5805,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,4.0,167,167,3,Australia/Brisbane,FALSE,1036779674
Allworth,Allworth,,-32.5500,151.9500,Australia,AU,AUS,New South Wales,New South Wales,AU-NSW,state,,11.4,166,166,3,Australia/Sydney,FALSE,1036378631
Josephville,Josephville,,-28.0333,152.9016,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,2.8,166,166,3,Australia/Brisbane,FALSE,1036412657
Hill End,Hill End,,-38.0000,146.1500,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,2.3,166,166,3,Australia/Melbourne,FALSE,1036473166
Pooncarie,Pooncarie,Pooncaira|Village of Pooncaira,-33.3833,142.5667,Australia,AU,AUS,New South Wales,New South Wales,AU-NSW,state,,0.0,166,166,3,Australia/Sydney,FALSE,1036132181
Allendale,Allendale,,-37.3667,143.9333,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,5.7,166,166,3,Australia/Melbourne,FALSE,1036924903
Mulgowie,Mulgowie,,-27.7208,152.3752,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,4.0,166,166,3,Australia/Brisbane,FALSE,1036329711
Yarrowitch,Yarrowitch,,-31.2667,151.9667,Australia,AU,AUS,New South Wales,New South Wales,AU-NSW,state,,0.1,166,166,3,Australia/Sydney,FALSE,1036379620
Ridgelands,Ridgelands,,-23.2788,150.2597,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,1.5,166,166,3,Australia/Brisbane,FALSE,1036995022
Wilby,Wilby,,-36.1578,146.0158,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,1.0,166,166,3,Australia/Melbourne,FALSE,1036102078
Glencoe,Glencoe,,-29.9290,151.7260,Australia,AU,AUS,New South Wales,New South Wales,AU-NSW,state,,0.4,166,166,3,Australia/Sydney,FALSE,1036729096
