city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Melbourne,Melbourne,,-37.8142,144.9631,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,admin,503.5,5031195,5031195,1,Australia/Melbourne,FALSE,1036533631
Sydney,Sydney,"City of Sydney",-33.8678,151.2100,Australia,AU,AUS,"New South Wales","New South Wales",AU-NSW,state,admin,398.6,4840600,4840600,1,Australia/Sydney,FALSE,1036074917
Brisbane,Brisbane,,-27.4678,153.0281,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,admin,149.1,2360241,2360241,1,Australia/Brisbane,FALSE,1036192929
Perth,Perth,"Perth City",-31.9559,115.8606,Australia,AU,AUS,"Western Australia","Western Australia",AU-WA,state,admin,333.7,2141834,2141834,1,Australia/Perth,FALSE,1036178956
Adelaide,Adelaide,Tarndanya|Tarndarnya,-34.9275,138.6000,Australia,AU,AUS,"South Australia","South Australia",AU-SA,state,admin,1000.6,1295714,1295714,1,Australia/Adelaide,FALSE,1036538171
"Gold Coast","Gold Coast","City of Gold Coast",-28.0167,153.4000,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,433.4,607665,607665,2,Australia/Brisbane,FALSE,1036153217
Cranbourne,Cranbourne,,-38.0996,145.2834,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,923.0,460491,460491,2,Australia/Melbourne,FALSE,1036685862
Canberra,Canberra,,-35.2931,149.1269,Australia,AU,AUS,"Australian Capital Territory","Australian Capital Territory",AU-ACT,territory,primary,808.6,381488,381488,1,Australia/Sydney,FALSE,1036142029
"Central Coast","Central Coast",,-33.3000,151.2000,Australia,AU,AUS,"New South Wales","New South Wales",AU-NSW,state,,206.2,346596,346596,2,Australia/Sydney,FALSE,1036067845
Wollongong,Wollongong,"City of Greater Wollongong",-34.4331,150.8831,Australia,AU,AUS,"New South Wales","New South Wales",AU-NSW,state,,382.9,261896,261896,2,Australia/Sydney,FALSE,1036502269
Ipswich,Ipswich,Ipswitch,-27.6144,152.7608,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,213.7,232930,232930,2,Australia/Brisbane,FALSE,1036244388
Hobart,Hobart,"Hobart Town",-42.8806,147.3250,Australia,AU,AUS,Tasmania,Tasmania,AU-TAS,state,admin,145.5,197451,197451,2,Australia/Hobart,FALSE,1036679838
Geelong,Geelong,,-38.1500,144.3500,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,145.4,180239,180239,2,Australia/Melbourne,FALSE,1036870987
Townsville,Townsville,,-19.2500,146.8167,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,379.5,173724,173724,2,Australia/Brisbane,FALSE,1036500020
Newcastle,Newcastle,,-32.9167,151.7500,Australia,AU,AUS,"New South Wales","New South Wales",AU-NSW,state,,584.4,152984,152984,2,Australia/Sydney,FALSE,1036468001
Cairns,Cairns,,-16.9200,145.7800,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,300.7,146778,146778,2,Australia/Brisbane,FALSE,1036016939
Darwin,Darwin,"Port Darwin|Palmerston",-12.4381,130.8411,Australia,AU,AUS,"Northern Territory","Northern Territory",AU-NT,territory,admin,1249.0,139902,139902,2,Australia/Darwin,FALSE,1036497565
Ballarat,Ballarat,Ballaarat,-37.5608,143.8475,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,1022.0,116201,116201,2,Australia/Melbourne,FALSE,1036567186
Toowoomba,Toowoomba,,-27.5667,151.9500,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,285.4,108398,108398,2,Australia/Brisbane,FALSE,1036765315
Bendigo,Bendigo,,-36.7500,144.2667,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,705.7,103034,103034,2,Australia/Melbourne,FALSE,1036537913
Mandurah,Mandurah,,-32.5289,115.7231,Australia,AU,AUS,"Western Australia","Western Australia",AU-WA,state,,847.1,90306,90306,3,Australia/Perth,FALSE,1036773118
Launceston,Launceston,Patersonia|Launcestown,-41.4419,147.1450,Australia,AU,AUS,Tasmania,Tasmania,AU-TAS,state,,851.1,80943,80943,3,Australia/Hobart,FALSE,1036170383
Melton,Melton,,-37.6833,144.5833,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,315.6,76346,76346,3,Australia/Melbourne,FALSE,1036007778
Mackay,Mackay,,-21.1411,149.1858,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,584.5,72900,72900,3,Australia/Brisbane,FALSE,1036507374
Bunbury,Bunbury,,-33.3272,115.6369,Australia,AU,AUS,"Western Australia","Western Australia",AU-WA,state,,512.5,71090,71090,3,Australia/Perth,FALSE,1036561011
Bundaberg,Bundaberg,,-24.8661,152.3494,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,571.7,70540,70540,3,Australia/Brisbane,FALSE,1036377333
Rockhampton,Rockhampton,,-23.3781,150.5136,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,139.7,63151,63151,3,Australia/Brisbane,FALSE,1036768986
"Hervey Bay","Hervey Bay",,-25.2900,152.8400,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,586.6,57722,57722,3,Australia/Brisbane,FALSE,1036833938
Buderim,Buderim,,-26.6847,153.0532,Australia,AU,AUS,Queensland,Queensland,AU-QLD,state,,713.1,54483,54483,3,Australia/Brisbane,FALSE,1036787785
"Wagga Wagga","Wagga Wagga",,-35.1189,147.3689,Australia,AU,AUS,"New South Wales","New South Wales",AU-NSW,state,,1618.4,49686,49686,3,Australia/Sydney,FALSE,1036273188
Pakenham,Pakenham,,-38.0712,145.4878,Australia,AU,AUS,Victoria,Victoria,AU-VIC,state,,1472.0,46421,46421,3,Australia/Melbourne,FALSE,1036063031
"Port Macquarie","Port Macquarie",,-31.4333,152.9000,Australia,AU,AUS,"New South Wales","New South Wales",AU-NSW,state,,691.8,44830,44830,3,Australia/Sydney,FALSE,1036051032
