city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Wodmaier,Wodmaier,,46.6833,12.8833,Austria,AT,AUT,Kärnten,Karnten,AT-2,state,,7.2,,,5,Europe/Vienna,FALSE,1040050905
Kirchboden,Kirchboden,,47.3333,13.3000,Austria,AT,AUT,Salzburg,Salzburg,AT-5,state,,58.2,,,4,Europe/Vienna,FALSE,1040582760
Hundsdörfl,Hundsdorfl,,47.3500,13.4000,Austria,AT,AUT,Salzburg,Salzburg,AT-5,state,,23.4,,,4,Europe/Vienna,FALSE,1040770628
Unterjoch,Unterjoch,,47.6500,13.6000,Austria,AT,AUT,Oberösterreich,Oberosterreich,AT-4,state,,67.8,,,4,Europe/Vienna,FALSE,1040469913
Wurzwoll,Wurzwoll,,48.5300,13.8083,Austria,AT,AUT,Oberösterreich,Oberosterreich,AT-4,state,,47.8,,,4,Europe/Vienna,FALSE,1040399990
Zeiling,Zeiling,,48.0167,13.5167,Austria,AT,AUT,Oberösterreich,Oberosterreich,AT-4,state,,118.0,,,4,Europe/Vienna,FALSE,1040538339
Schaufelberg,Schaufelberg,,47.2667,12.7333,Austria,AT,AUT,Salzburg,Salzburg,AT-5,state,,38.7,,,4,Europe/Vienna,FALSE,1040768366
Oberleidenberg,Oberleidenberg,,46.8867,14.7925,Austria,AT,AUT,Kärnten,Karnten,AT-2,state,,88.8,,,4,Europe/Vienna,FALSE,1040268938
Steinberg,Steinberg,,47.0500,15.5500,Austria,AT,AUT,Steiermark,Steiermark,AT-6,state,,191.3,,,4,Europe/Vienna,FALSE,1040706795
Steinberg,Steinberg,,47.0667,15.3167,Austria,AT,AUT,Steiermark,Steiermark,AT-6,state,,175.4,,,4,Europe/Vienna,TRUE,1040348485
Steinberg,Steinberg,,46.9333,15.9167,Austria,AT,AUT,Steiermark,Steiermark,AT-6,state,,126.8,,,4,Europe/Vienna,TRUE,1040079845
Tabor,Tabor,,48.2000,14.6333,Austria,AT,AUT,Oberösterreich,Oberosterreich,AT-4,state,,106.8,,,4,Europe/Vienna,FALSE,1040072158
Waltersdorf an der March,Waltersdorf an der March,Waltersdorf,48.5263,16.8879,Austria,AT,AUT,Niederösterreich,Niederosterreich,AT-3,state,,42.3,,,4,Europe/Vienna,FALSE,1040385700
Sankt Margarethen bei Lebring,Sankt Margarethen bei Lebring,Sankt Margarethen,46.8636,15.5278,Austria,AT,AUT,Steiermark,Steiermark,AT-6,state,,274.5,,,3,Europe/Vienna,FALSE,1040376270
Kaltwasser,Kaltwasser,,47.0114,14.0053,Austria,AT,AUT,Steiermark,Steiermark,AT-6,state,,8.8,,,5,Europe/Vienna,FALSE,1040955676
Ebergersch,Ebergersch,,48.5000,15.3500,Austria,AT,AUT,Niederösterreich,Niederosterreich,AT-3,state,,34.8,,,4,Europe/Vienna,FALSE,1040322604
Schüssel,Schussel,,47.5142,9.9208,Austria,AT,AUT,Vorarlberg,Vorarlberg,AT-8,state,,74.0,,,4,Europe/Vienna,FALSE,1040973876
Drohschlag,Drohschlag,,47.2939,14.4581,Austria,AT,AUT,Steiermark,Steiermark,AT-6,state,,16.9,,,4,Europe/Vienna,FALSE,1040767746
Neudietmanns,Neudietmanns,,48.7833,15.3667,Austria,AT,AUT,Niederösterreich,Niederosterreich,AT-3,state,,63.0,,,4,Europe/Vienna,FALSE,1040432271
Nondorf an der Wild,Nondorf an der Wild,Nondorf,48.7436,15.5075,Austria,AT,AUT,Niederösterreich,Niederosterreich,AT-3,state,,26.0,,,4,Europe/Vienna,FALSE,1040356866
Seidlhof,Seidlhof,,46.7378,14.3033,Austria,AT,AUT,Kärnten,Karnten,AT-2,state,,152.7,,,4,Europe/Vienna,FALSE,1040516656
Gappen,Gappen,,46.9167,13.2500,Austria,AT,AUT,Kärnten,Karnten,AT-2,state,,20.8,,,4,Europe/Vienna,FALSE,1040595313
Kobl,Kobl,,47.9011,13.0339,Austria,AT,AUT,Salzburg,Salzburg,AT-5,state,,152.7,,,4,Europe/Vienna,FALSE,1040034854
Kobl,Kobl,,46.9500,10.5000,Austria,AT,AUT,Tirol,Tirol,AT-7,state,,18.4,,,4,Europe/Vienna,FALSE,1040349416
