city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Nassau,Nassau,"Nassau City|City of Nassau",25.0781,-77.3386,"Bahamas, The",BS,BHS,,,,,primary,1325.6,274400,274400,1,America/Nassau,FALSE,1044318561
Lucaya,Lucaya,,26.5117,-78.6431,"Bahamas, The",BS,BHS,"City of Freeport","City of Freeport",BS-FP,district,,41.22,46525,46525,3,America/Nassau,FALSE,1044739503
"Freeport City","Freeport City",Freeport,26.5286,-78.6967,"Bahamas, The",BS,BHS,"City of Freeport","City of Freeport",BS-FP,district,,82.3,45945,45945,3,America/Nassau,FALSE,1044291614
"West End","West End","West End Settlement",26.6867,-78.9750,"Bahamas, The",BS,BHS,"West Grand Bahama","West Grand Bahama",BS-WG,district,,47.6,13577,13577,3,America/Nassau,FALSE,1044539481
"Marsh Harbour","Marsh Harbour","Marsh Harbor",26.5422,-77.0636,"Bahamas, The",BS,BHS,"Central Abaco","Central Abaco",BS-CO,district,,16.0,6283,6283,3,America/Nassau,FALSE,1044773084
Georgetown,Georgetown,"George Town",23.5094,-75.7794,"Bahamas, The",BS,BHS,Exuma,Exuma,BS-EX,district,,35.1,2488,2488,4,America/Nassau,FALSE,1044839433
"Clarence Town","Clarence Town",Clarence,23.1000,-74.9828,"Bahamas, The",BS,BHS,"Long Island","Long Island",BS-LI,district,,7.0,1705,1705,4,America/Nassau,FALSE,1044311271
"Dunmore Town","Dunmore Town","Harbour Island",25.5019,-76.6358,"Bahamas, The",BS,BHS,"North Eleuthera","North Eleuthera",BS-NE,district,,18.4,1168,1168,3,America/Nassau,FALSE,1044141689
"Rock Sound","Rock Sound","New Portsmouth Settlement|New Portsmouth",24.8642,-76.1587,"Bahamas, The",BS,BHS,"South Eleuthera","South Eleuthera",BS-SE,district,,18.4,1000,1000,3,America/Nassau,FALSE,1044152096
"Tarpum Bay","Tarpum Bay","Glenelg Settlement|Tarpum Bay Settlement|Glenelg",24.9833,-76.1667,"Bahamas, The",BS,BHS,"South Eleuthera","South Eleuthera",BS-SE,district,,18.4,766,766,4,America/Nassau,FALSE,1044709832
