city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Manama,Manama,"Menama|Manameh|Al Manāma|Al Manāmah",26.2250,50.5775,Bahrain,BH,BHR,"Al ‘Āşimah","Al 'Asimah",BH-13,governorate,primary,5249.1,635000,157474,1,Asia/Bahrain,FALSE,1048989486
"Al Muḩarraq","Al Muharraq","Muhurraq|Muharraq|Al-Muḥarrak|Moharek|Muharrak|Muharraq Town",26.2500,50.6167,Bahrain,BH,BHR,"Al Muḩarraq","Al Muharraq",BH-15,governorate,,3291.0,75000,75000,2,Asia/Bahrain,FALSE,1048992336
"Madīnat Ḩamad","Madinat Hamad","Hamad Town",26.1128,50.5139,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3036.1,52700,52700,2,Asia/Bahrain,FALSE,1048909146
"Jidd Ḩafş","Jidd Hafs","Djidd Ḥafṣ|Judd Ḩafş|Jid Hafs|Jadd Hafs",26.2190,50.5380,Bahrain,BH,BHR,"Al ‘Āşimah","Al 'Asimah",BH-13,governorate,,16404.4,44784,44784,2,Asia/Bahrain,FALSE,1048383141
"Madīnat ‘Īsá","Madinat `Isa","Isa|Medinat Isa|Isa Town",26.1736,50.5478,Bahrain,BH,BHR,"Al Janūbīyah","Al Janubiyah",BH-14,governorate,,8170.4,40000,40000,2,Asia/Bahrain,FALSE,1048219300
Sitrah,Sitrah,Sitra,26.1200,50.6500,Bahrain,BH,BHR,"Al ‘Āşimah","Al 'Asimah",BH-13,governorate,,8170.4,20000,20000,2,Asia/Bahrain,FALSE,1048449399
"Al Hamalah","Al Hamalah",Hamala|Al-Hamla|Hamalah,26.1497,50.4653,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3036.1,18000,18000,2,Asia/Bahrain,FALSE,1048095735
"Ad Dirāz","Ad Diraz",Diraz,26.2186,50.4756,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3036.1,18000,18000,2,Asia/Bahrain,FALSE,1048063693
"Al Mālikīyah","Al Malikiyah",Al-Mālikiyya|Malichiya|Mālikīyah,26.1008,50.4878,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3036.1,14800,14800,2,Asia/Bahrain,FALSE,1048201058
Karrānah,Karranah,Karānah|Karrama|Karrāmah,26.2306,50.5108,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3266.8,12000,12000,2,Asia/Bahrain,FALSE,1048633318
"Ḩālat an Na‘īm","Halat an Na`im","Naim|Ḥālat Nu‘aym|Halat al Naim",26.2400,50.6350,Bahrain,BH,BHR,"Al Muḩarraq","Al Muharraq",BH-15,governorate,,10169.6,500,500,2,Asia/Bahrain,FALSE,1048033596
Ḩālah,Halah,Ḩālāt,26.1733,50.6214,Bahrain,BH,BHR,"Al ‘Āşimah","Al 'Asimah",BH-13,governorate,,8170.4,,,2,Asia/Bahrain,FALSE,1048773648
"Al Ḩajar","Al Hajar",Hajar,26.2167,50.5167,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3036.1,,,2,Asia/Bahrain,FALSE,1048096102
Marqūbān,Marquban,Markūbān,26.1667,50.6167,Bahrain,BH,BHR,"Al ‘Āşimah","Al 'Asimah",BH-13,governorate,,8170.4,,,2,Asia/Bahrain,FALSE,1048887355
"Ḩillat ‘Abd aş Şāliḩ","Hillat `Abd as Salih",Hillat|Ḩillah,26.2214,50.5167,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,20349.2,,,2,Asia/Bahrain,FALSE,1048787341
Sufālah,Sufalah,Sufala,26.1667,50.6333,Bahrain,BH,BHR,"Al ‘Āşimah","Al 'Asimah",BH-13,governorate,,8170.4,,,2,Asia/Bahrain,FALSE,1048085190
"Umm Jidr","Umm Jidr",,26.0111,50.5261,Bahrain,BH,BHR,"Al Janūbīyah","Al Janubiyah",BH-14,governorate,,617.0,,,3,Asia/Bahrain,FALSE,1048178681
Kaflān,Kaflan,Kaflar,26.1833,50.5833,Bahrain,BH,BHR,"Al Janūbīyah","Al Janubiyah",BH-14,governorate,,20926.5,,,2,Asia/Bahrain,FALSE,1048008576
Jamālah,Jamalah,Jumaylāt|Jamala,26.2000,50.5500,Bahrain,BH,BHR,"Al ‘Āşimah","Al 'Asimah",BH-13,governorate,,3417.1,,,2,Asia/Bahrain,FALSE,1048066470
"Al Busaytīn","Al Busaytin",Busaitin|Basātīn,26.2720,50.6090,Bahrain,BH,BHR,"Al Muḩarraq","Al Muharraq",BH-15,governorate,,10169.6,,,2,Asia/Bahrain,FALSE,1048710791
Būrī,Buri,,26.1514,50.4975,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3036.1,,,2,Asia/Bahrain,FALSE,1048930001
"Ḩālat Umm al Bayḑ","Halat Umm al Bayd","Um al-Baidh|Halat Umm al Baidh|Halat As-Saud",26.1167,50.6333,Bahrain,BH,BHR,"Al Janūbīyah","Al Janubiyah",BH-14,governorate,,8170.4,,,2,Asia/Bahrain,FALSE,1048165889
"Abū Şaybi‘","Abu Saybi`","Abu Saibi’",26.2172,50.5042,Bahrain,BH,BHR,"Ash Shamālīyah","Ash Shamaliyah",BH-17,governorate,,3036.1,,,2,Asia/Bahrain,FALSE,1048612017
Rayyā,Rayya,Raiya,26.2833,50.6333,Bahrain,BH,BHR,"Al Muḩarraq","Al Muharraq",BH-15,governorate,,10169.6,,,2,Asia/Bahrain,FALSE,1048855480
