city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Jaysri,Jaysri,,22.8613,90.2792,Bangladesh,BD,BGD,Barishal,Barishal,BD-A,division,,942.0,,,3,Asia/Dhaka,FALSE,1050098915
Naksi,Naksi,,25.0487,90.1227,Bangladesh,BD,BGD,Mymensingh,Mymensingh,BD-H,division,,823.5,,,3,Asia/Dhaka,FALSE,1050152077
Jangal Tenga,Jangal Tenga,,24.7346,90.8781,Bangladesh,BD,BGD,Mymensingh,Mymensingh,BD-H,division,,760.9,,,3,Asia/Dhaka,FALSE,1050099012
Bhātipāra,Bhatipara,,23.6333,90.5667,Bangladesh,BD,BGD,Dhaka,Dhaka,BD-C,district,,3456.4,,,2,Asia/Dhaka,FALSE,1050005831
Ponāhura,Ponahura,,22.5241,90.5016,Bangladesh,BD,BGD,Barishal,Barishal,BD-A,division,,730.4,,,3,Asia/Dhaka,FALSE,1050475432
Mahismura,Mahismura,,24.9284,89.2748,Bangladesh,BD,BGD,Rājshāhi,Rajshahi,BD-E,division,,1023.1,,,3,Asia/Dhaka,FALSE,1050000893
Gumaria,Gumaria,,24.9044,90.8837,Bangladesh,BD,BGD,Mymensingh,Mymensingh,BD-H,division,,912.2,,,3,Asia/Dhaka,FALSE,1050721681
Chāndbāri,Chandbari,,24.6164,90.4616,Bangladesh,BD,BGD,Mymensingh,Mymensingh,BD-H,division,,1404.8,,,3,Asia/Dhaka,FALSE,1050505500
Chāndbāri,Chandbari,,24.9381,90.2280,Bangladesh,BD,BGD,Mymensingh,Mymensingh,BD-H,division,,1104.4,,,3,Asia/Dhaka,TRUE,1050926381
Byāserpāra,Byaserpara,,23.5993,90.8615,Bangladesh,BD,BGD,Chattogram,Chattogram,BD-B,division,,1725.5,,,3,Asia/Dhaka,FALSE,1050340155
Uttartola,Uttartola,,25.9282,88.2625,Bangladesh,BD,BGD,Rangpur,Rangpur,BD-F,division,,800.2,,,3,Asia/Dhaka,FALSE,1050861434
Char Fukurhāti,Char Fukurhati,,23.9417,90.0133,Bangladesh,BD,BGD,Dhaka,Dhaka,BD-C,division,,1240.2,,,3,Asia/Dhaka,FALSE,1050001211
