city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Bridgetown,Bridgetown,"The Bridge Town",13.0975,-59.6167,Barbados,BB,BRB,"Saint Michael","Saint Michael",BB-08,parish,primary,2831.4,110000,110000,1,America/Barbados,FALSE,1052274244
Speightstown,Speightstown,Spreightstown,13.2544,-59.6408,Barbados,BB,BRB,"Saint Peter","Saint Peter",BB-09,parish,,325.8,2192,2192,3,America/Barbados,FALSE,1052980530
Holetown,Holetown,"The Hole",13.1867,-59.6381,Barbados,BB,BRB,"Saint James","Saint James",BB-04,parish,,1011.1,1595,1595,3,America/Barbados,FALSE,1052393847
Bathsheba,Bathsheba,,13.2142,-59.5236,Barbados,BB,BRB,"Saint Joseph","Saint Joseph",BB-06,parish,,252.1,1521,1521,3,America/Barbados,FALSE,1052433160
Oistins,Oistins,"Oistin’s Town",13.0644,-59.5444,Barbados,BB,BRB,"Christ Church","Christ Church",BB-01,parish,,929.3,1471,1471,3,America/Barbados,FALSE,1052067424
Hillaby,Hillaby,"Mount Hillaby",13.2019,-59.5833,Barbados,BB,BRB,"Saint Andrew","Saint Andrew",BB-02,parish,,213.1,478,478,3,America/Barbados,FALSE,1052884216
Neils,Neils,,13.1217,-59.5785,Barbados,BB,BRB,"Saint Michael","Saint Michael",BB-08,parish,,2102.7,,,2,America/Barbados,FALSE,1052369441
"Reeds Hill","Reeds Hill",,13.1575,-59.6163,Barbados,BB,BRB,"Saint James","Saint James",BB-04,parish,,587.4,,,3,America/Barbados,FALSE,1052349761
"Pine Housing Estate","Pine Housing Estate",Pine,13.1000,-59.6000,Barbados,BB,BRB,"Saint Michael","Saint Michael",BB-08,parish,,2102.7,,,2,America/Barbados,FALSE,1052294524
"Parish Land","Parish Land",,13.1472,-59.4757,Barbados,BB,BRB,"Saint Philip","Saint Philip",BB-10,parish,,608.8,,,3,America/Barbados,FALSE,1052000075
"Free Hill","Free Hill",,13.3077,-59.5960,Barbados,BB,BRB,"Saint Lucy","Saint Lucy",BB-07,parish,,274.4,,,3,America/Barbados,FALSE,1052696717
"Fruitful Hill","Fruitful Hill",,13.2158,-59.5649,Barbados,BB,BRB,"Saint Joseph","Saint Joseph",BB-06,parish,,249.8,,,3,America/Barbados,FALSE,1052678028
"Apes Hill","Apes Hill",,13.2147,-59.5991,Barbados,BB,BRB,"Saint James","Saint James",BB-04,parish,,455.3,,,3,America/Barbados,FALSE,1052213496
"Sealy Hall","Sealy Hall",,13.1697,-59.4724,Barbados,BB,BRB,"Saint John","Saint John",BB-05,parish,,333.5,,,3,America/Barbados,FALSE,1052186893
"Bruce Vale","Bruce Vale",Bruce,13.2256,-59.5653,Barbados,BB,BRB,"Saint Andrew","Saint Andrew",BB-02,parish,,137.3,,,4,America/Barbados,FALSE,1052061713
Carter,Carter,,13.1833,-59.5000,Barbados,BB,BRB,"Saint John","Saint John",BB-05,parish,,238.0,,,3,America/Barbados,FALSE,1052388228
"Walkers Terrace","Walkers Terrace",,13.1482,-59.6332,Barbados,BB,BRB,"Saint George","Saint George",BB-03,parish,,472.3,,,3,America/Barbados,FALSE,1052482666
Robinsons,Robinsons,,13.1302,-59.4399,Barbados,BB,BRB,"Saint Philip","Saint Philip",BB-10,parish,,608.8,,,3,America/Barbados,FALSE,1052214470
"Industry Hall","Industry Hall",,13.1585,-59.4324,Barbados,BB,BRB,"Saint Philip","Saint Philip",BB-10,parish,,608.8,,,3,America/Barbados,FALSE,1052109966
"St. Patricks","St. Patricks",,13.0987,-59.4979,Barbados,BB,BRB,"Christ Church","Christ Church",BB-01,parish,,927.5,,,3,America/Barbados,FALSE,1052552538
"Gun Hill","Gun Hill",,13.1409,-59.5585,Barbados,BB,BRB,"Saint George","Saint George",BB-03,parish,,472.3,,,3,America/Barbados,FALSE,1052000021
"Rose Hill","Rose Hill",,13.2690,-59.6207,Barbados,BB,BRB,"Saint Peter","Saint Peter",BB-09,parish,,325.8,,,3,America/Barbados,FALSE,1052017763
Lancaster,Lancaster,,13.2035,-59.6188,Barbados,BB,BRB,"Saint James","Saint James",BB-04,parish,,1011.1,,,3,America/Barbados,FALSE,1052913809
Allmans,Allmans,,13.2825,-59.6381,Barbados,BB,BRB,"Saint Lucy","Saint Lucy",BB-07,parish,,281.9,,,3,America/Barbados,FALSE,1052779217
"Stroude Land","Stroude Land",,13.1202,-59.4522,Barbados,BB,BRB,"Saint Philip","Saint Philip",BB-10,parish,,608.8,,,3,America/Barbados,FALSE,1052806751
Porters,Porters,,13.2001,-59.6393,Barbados,BB,BRB,"Saint James","Saint James",BB-04,parish,,1011.1,,,3,America/Barbados,FALSE,1052155744
"Upper Carlton","Upper Carlton",,13.2211,-59.6257,Barbados,BB,BRB,"Saint James","Saint James",BB-04,parish,,1011.1,,,3,America/Barbados,FALSE,1052129870
"Rock Hall","Rock Hall",,13.2997,-59.6051,Barbados,BB,BRB,"Saint Lucy","Saint Lucy",BB-07,parish,,274.4,,,3,America/Barbados,FALSE,1052375582
"Bibbys Lane","Bibbys Lane",,13.1523,-59.5882,Barbados,BB,BRB,"Saint Michael","Saint Michael",BB-08,parish,,1346.6,,,3,America/Barbados,FALSE,1052306650
Walronds,Walronds,,13.0953,-59.4920,Barbados,BB,BRB,"Christ Church","Christ Church",BB-01,parish,,927.5,,,3,America/Barbados,FALSE,1052610332
Graveyard,Graveyard,,13.2973,-59.5827,Barbados,BB,BRB,"Saint Lucy","Saint Lucy",BB-07,parish,,307.3,,,3,America/Barbados,FALSE,1052637093
"Green Garden","Green Garden",,13.0471,-59.5206,Barbados,BB,BRB,"Christ Church","Christ Church",BB-01,parish,,929.3,,,3,America/Barbados,FALSE,1052771402
Whitehaven,Whitehaven,,13.1678,-59.4516,Barbados,BB,BRB,"Saint Philip","Saint Philip",BB-10,parish,,608.8,,,3,America/Barbados,FALSE,1052671555
Babbs,Babbs,,13.2864,-59.6389,Barbados,BB,BRB,"Saint Lucy","Saint Lucy",BB-07,parish,,274.4,,,3,America/Barbados,FALSE,1052651216
"Drax Hall Green","Drax Hall Green","Drax Hill Green",13.1520,-59.5290,Barbados,BB,BRB,"Saint George","Saint George",BB-03,parish,,472.3,,,3,America/Barbados,FALSE,1052260037
"Saint Davids","Saint Davids",,13.0950,-59.5602,Barbados,BB,BRB,"Christ Church","Christ Church",BB-01,parish,,845.1,,,3,America/Barbados,FALSE,1052775245
"Black Rock","Black Rock",,13.1258,-59.6262,Barbados,BB,BRB,"Saint Michael","Saint Michael",BB-08,parish,,2102.7,,,2,America/Barbados,FALSE,1052176369
"Drax Hall Jump","Drax Hall Jump",,13.1391,-59.5131,Barbados,BB,BRB,"Saint George","Saint George",BB-03,parish,,447.8,,,3,America/Barbados,FALSE,1052666459
"Gall Hill","Gall Hill",,13.1815,-59.5013,Barbados,BB,BRB,"Saint John","Saint John",BB-05,parish,,238.0,,,3,America/Barbados,FALSE,1052000068
Oughterson,Oughterson,Oughtersons,13.1447,-59.4687,Barbados,BB,BRB,"Saint Philip","Saint Philip",BB-10,parish,,608.8,,,3,America/Barbados,FALSE,1052486098
Venture,Venture,,13.1833,-59.5167,Barbados,BB,BRB,"Saint John","Saint John",BB-05,parish,,241.1,,,3,America/Barbados,FALSE,1052803249
"Arch Hall","Arch Hall",,13.1800,-59.6166,Barbados,BB,BRB,"Saint Thomas","Saint Thomas",BB-11,parish,,459.8,,,3,America/Barbados,FALSE,1052003690
"The Baltic","The Baltic",,13.2891,-59.5841,Barbados,BB,BRB,"Saint Peter","Saint Peter",BB-09,parish,,325.8,,,3,America/Barbados,FALSE,1052518489
"Welchman Hall","Welchman Hall",,13.1877,-59.5786,Barbados,BB,BRB,"Saint Thomas","Saint Thomas",BB-11,parish,,453.0,,,3,America/Barbados,FALSE,1052018489
"Saint Judes","Saint Judes",,13.1571,-59.5353,Barbados,BB,BRB,"Saint George","Saint George",BB-03,parish,,472.3,,,3,America/Barbados,FALSE,1052456524
"Sweet Vale","Sweet Vale",,13.1661,-59.5479,Barbados,BB,BRB,"Saint George","Saint George",BB-03,parish,,472.3,,,3,America/Barbados,FALSE,1052000026
"Searles Tenantry","Searles Tenantry",,13.0901,-59.5172,Barbados,BB,BRB,"Christ Church","Christ Church",BB-01,parish,,929.3,,,3,America/Barbados,FALSE,1052000014
Prerogative,Prerogative,,13.1554,-59.5345,Barbados,BB,BRB,"Saint George","Saint George",BB-03,parish,,472.3,,,3,America/Barbados,FALSE,1052743151
Wellhouse,Wellhouse,,13.1368,-59.4401,Barbados,BB,BRB,"Saint Philip","Saint Philip",BB-10,parish,,608.8,,,3,America/Barbados,FALSE,1052452924
