city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kuryaki,Kuryaki,,55.1558,30.6675,Belarus,BY,BLR,Vitsyebskaya Voblasts’,Vitsyebskaya Voblasts',BY-VI,region,,10.0,,,5,Europe/Minsk,FALSE,1112143247
Bogat’kovka,Bogat'kovka,,54.1169,31.4179,Belarus,BY,BLR,Mahilyowskaya Voblasts’,Mahilyowskaya Voblasts',BY-MA,region,,14.3,,,4,Europe/Minsk,FALSE,1112048860
Kamli,Kamli,,55.1752,29.7462,Belarus,BY,BLR,Vitsyebskaya Voblasts’,Vitsyebskaya Voblasts',BY-VI,region,,9.1,,,5,Europe/Minsk,FALSE,1112931821
Kurin,Kurin,,52.5564,28.8920,Belarus,BY,BLR,Homyel’skaya Voblasts’,Homyel'skaya Voblasts',BY-HO,region,,8.9,,,5,Europe/Minsk,FALSE,1112882773
Panizowye,Panizowye,Ponizov’ye,54.4563,30.4448,Belarus,BY,BLR,Vitsyebskaya Voblasts’,Vitsyebskaya Voblasts',BY-VI,region,,84.8,,,4,Europe/Minsk,FALSE,1112549839
Mukinichy,Mukinichy,Mukinichi,53.5935,25.6975,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,Hrodzyenskaya Voblasts',BY-HR,region,,24.6,,,4,Europe/Minsk,FALSE,1112652876
Ostrovskiy,Ostrovskiy,,53.0607,24.2290,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,Hrodzyenskaya Voblasts',BY-HR,region,,9.9,,,5,Europe/Minsk,FALSE,1112120872
Zaspornya,Zaspornya,,54.4668,26.8579,Belarus,BY,BLR,Minskaya Voblasts’,Minskaya Voblasts',BY-MI,region,,17.3,,,4,Europe/Minsk,FALSE,1112683635
Posëlok Sharnëvo,Poselok Sharnevo,,54.4835,29.3278,Belarus,BY,BLR,Minskaya Voblasts’,Minskaya Voblasts',BY-MI,region,,9.6,,,5,Europe/Minsk,FALSE,1112743187
Lukovo,Lukovo,,53.8488,28.0115,Belarus,BY,BLR,Minskaya Voblasts’,Minskaya Voblasts',BY-MI,region,,75.5,,,4,Europe/Minsk,FALSE,1112334707
Proletarskiy,Proletarskiy,,53.0312,29.4328,Belarus,BY,BLR,Mahilyowskaya Voblasts’,Mahilyowskaya Voblasts',BY-MA,region,,12.2,,,4,Europe/Minsk,FALSE,1112490111
Franopol’,Franopol',,55.6784,27.8253,Belarus,BY,BLR,Vitsyebskaya Voblasts’,Vitsyebskaya Voblasts',BY-VI,region,,10.3,,,4,Europe/Minsk,FALSE,1112993718
Guby,Guby,,54.6252,27.0205,Belarus,BY,BLR,Minskaya Voblasts’,Minskaya Voblasts',BY-MI,region,,17.3,,,4,Europe/Minsk,FALSE,1112380184
Afanasovka,Afanasovka,,52.5673,30.7545,Belarus,BY,BLR,Homyel’skaya Voblasts’,Homyel'skaya Voblasts',BY-HO,region,,36.7,,,4,Europe/Minsk,FALSE,1112250565
Staryye Voykhany,Staryye Voykhany,Staryye Vaykhany,55.4327,29.8121,Belarus,BY,BLR,Vitsyebskaya Voblasts’,Vitsyebskaya Voblasts',BY-VI,region,,6.7,,,5,Europe/Minsk,FALSE,1112169916
Yakimy,Yakimy,,51.5454,28.7647,Belarus,BY,BLR,Homyel’skaya Voblasts’,Homyel'skaya Voblasts',BY-HO,region,,10.5,,,4,Europe/Minsk,FALSE,1112917810
Lasovichi,Lasovichi,,54.3341,26.4569,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,Hrodzyenskaya Voblasts',BY-HR,region,,33.1,,,4,Europe/Minsk,FALSE,1112459431
Kurtasy,Kurtasy,,54.3976,30.9929,Belarus,BY,BLR,Mahilyowskaya Voblasts’,Mahilyowskaya Voblasts',BY-MA,region,,24.9,,,4,Europe/Minsk,FALSE,1112915754
Timuty,Timuty,,54.4280,25.7765,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,Hrodzyenskaya Voblasts',BY-HR,region,,23.2,,,4,Europe/Minsk,FALSE,1112968691
Galki,Galki,,51.5816,30.4945,Belarus,BY,BLR,Homyel’skaya Voblasts’,Homyel'skaya Voblasts',BY-HO,region,,6.0,,,5,Europe/Minsk,FALSE,1112713980
