city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Minsk,Minsk,Myensk|Myenyesk|Minsk,53.9000,27.5667,Belarus,BY,BLR,Minsk,Minsk,BY-HM,city,primary,4872.9,1995471,1995471,1,Europe/Minsk,FALSE,1112348503
Homyel’,Homyel',Homel|Gomel’,52.4453,30.9842,Belarus,BY,BLR,"Homyel’skaya Voblasts’","Homyel'skaya Voblasts'",BY-HO,region,admin,3717.1,501802,501802,2,Europe/Minsk,FALSE,1112580227
Vitsyebsk,Vitsyebsk,Witebsk|Vitebsk,55.1917,30.2056,Belarus,BY,BLR,"Vitsyebskaya Voblasts’","Vitsyebskaya Voblasts'",BY-VI,region,admin,2883.8,359148,359148,2,Europe/Minsk,FALSE,1112480679
Hrodna,Hrodna,Gardinas|Grodno,53.6667,23.8333,Belarus,BY,BLR,"Hrodzyenskaya Voblasts’","Hrodzyenskaya Voblasts'",BY-HR,region,admin,2526.2,358717,358717,2,Europe/Minsk,FALSE,1112187197
Mahilyow,Mahilyow,Mogilëv|Mogilew,53.9167,30.3500,Belarus,BY,BLR,"Mahilyowskaya Voblasts’","Mahilyowskaya Voblasts'",BY-MA,region,admin,2969.2,353338,353338,2,Europe/Minsk,FALSE,1112518993
Brest,Brest,"Brześć-Litewsk|Brest Litovsk|Brześć nad Bugiem|Brześć-Litewski|Byeras’tsye|Brest",52.1347,23.6569,Belarus,BY,BLR,"Brestskaya Voblasts’","Brestskaya Voblasts'",BY-BR,region,admin,2343.7,342461,342461,2,Europe/Minsk,FALSE,1112896927
Babruysk,Babruysk,Bobruysk|Bobruisk,53.1500,29.2333,Belarus,BY,BLR,"Mahilyowskaya Voblasts’","Mahilyowskaya Voblasts'",BY-MA,region,minor,2164.0,208611,208611,2,Europe/Minsk,FALSE,1112573808
Baranavichy,Baranavichy,Baranoviche|Baranowicze|Baranowitschi|Baranovichi,53.1333,26.0167,Belarus,BY,BLR,"Brestskaya Voblasts’","Brestskaya Voblasts'",BY-BR,region,minor,3209.4,172150,172150,2,Europe/Minsk,FALSE,1112421165
"Horad Barysaw","Horad Barysaw",Borissow|Borisov,54.2279,28.5050,Belarus,BY,BLR,"Minskaya Voblasts’","Minskaya Voblasts'",BY-MI,region,minor,59.9,155389,155389,2,Europe/Minsk,FALSE,1112659163
Pinsk,Pinsk,,52.1153,26.1031,Belarus,BY,BLR,"Brestskaya Voblasts’","Brestskaya Voblasts'",BY-BR,region,minor,2420.6,124613,124613,2,Europe/Minsk,FALSE,1112209279
Mazyr,Mazyr,Mozyr’,52.0500,29.2500,Belarus,BY,BLR,"Homyel’skaya Voblasts’","Homyel'skaya Voblasts'",BY-HO,region,minor,78.0,105321,105321,2,Europe/Minsk,FALSE,1112704173
Lida,Lida,Lieda|Lyda,53.8956,25.2958,Belarus,BY,BLR,"Hrodzyenskaya Voblasts’","Hrodzyenskaya Voblasts'",BY-HR,region,,80.2,103915,103915,2,Europe/Minsk,FALSE,1112110662
Orsha,Orsha,,54.5092,30.4258,Belarus,BY,BLR,"Vitsyebskaya Voblasts’","Vitsyebskaya Voblasts'",BY-VI,region,minor,84.8,103658,103658,2,Europe/Minsk,FALSE,1112188007
Salihorsk,Salihorsk,Chizhevichi|Soligorsk,52.8000,27.5333,Belarus,BY,BLR,"Minskaya Voblasts’","Minskaya Voblasts'",BY-MI,region,minor,52.4,98590,98590,3,Europe/Minsk,FALSE,1112250470
Navapolatsk,Navapolatsk,Polotskiy|Novopolotsk,55.5333,28.6500,Belarus,BY,BLR,"Vitsyebskaya Voblasts’","Vitsyebskaya Voblasts'",BY-VI,region,,1986.4,96320,96320,3,Europe/Minsk,FALSE,1112965860
Maladzyechna,Maladzyechna,Molodeczno|Molodechno,54.3208,26.8572,Belarus,BY,BLR,"Minskaya Voblasts’","Minskaya Voblasts'",BY-MI,region,minor,94.6,89268,89268,3,Europe/Minsk,FALSE,1112822882
Polatsk,Polatsk,Polozk|Podolsk|Polotsk|Potolsk,55.4833,28.8000,Belarus,BY,BLR,"Vitsyebskaya Voblasts’","Vitsyebskaya Voblasts'",BY-VI,region,minor,33.7,79960,79960,3,Europe/Minsk,FALSE,1112068992
Zhlobin,Zhlobin,Zlobin|Korpilovka,52.9000,30.0333,Belarus,BY,BLR,"Homyel’skaya Voblasts’","Homyel'skaya Voblasts'",BY-HO,region,minor,48.9,77049,77049,3,Europe/Minsk,FALSE,1112494264
Rechytsa,Rechytsa,Rechysta|Rechitsa|Ryechitsa,52.3639,30.3947,Belarus,BY,BLR,"Homyel’skaya Voblasts’","Homyel'skaya Voblasts'",BY-HO,region,minor,35.4,65423,65423,3,Europe/Minsk,FALSE,1112587997
"Horad Zhodzina","Horad Zhodzina","Zhodino|Gorod Zhodino",54.1000,28.3500,Belarus,BY,BLR,"Minskaya Voblasts’","Minskaya Voblasts'",BY-MI,region,minor,2913.1,64000,64000,2,Europe/Minsk,FALSE,1112402017
Svyetlahorsk,Svyetlahorsk,Shatsilki|Svetlogorsk|Shatilki,52.6333,29.7333,Belarus,BY,BLR,"Homyel’skaya Voblasts’","Homyel'skaya Voblasts'",BY-HO,region,minor,44.2,63202,63202,3,Europe/Minsk,FALSE,1112741799
Slutsk,Slutsk,Sluzk,53.0333,27.5667,Belarus,BY,BLR,"Minskaya Voblasts’","Minskaya Voblasts'",BY-MI,region,minor,47.2,60376,60376,3,Europe/Minsk,FALSE,1112178336
Kobryn,Kobryn,Kobrin,52.2167,24.3667,Belarus,BY,BLR,"Brestskaya Voblasts’","Brestskaya Voblasts'",BY-BR,region,minor,41.3,52670,52670,3,Europe/Minsk,FALSE,1112806145
Slonim,Slonim,Slonim,53.0833,25.3167,Belarus,BY,BLR,"Hrodzyenskaya Voblasts’","Hrodzyenskaya Voblasts'",BY-HR,region,minor,42.5,49113,49113,3,Europe/Minsk,FALSE,1112619287
Vawkavysk,Vawkavysk,Wołkowysk|Volkovysk,53.1667,24.4667,Belarus,BY,BLR,"Hrodzyenskaya Voblasts’","Hrodzyenskaya Voblasts'",BY-HR,region,minor,56.2,41991,41991,3,Europe/Minsk,FALSE,1112164201
Kalinkavichy,Kalinkavichy,Kalinkowitschi|Kalinkovichi,52.1250,29.3333,Belarus,BY,BLR,"Homyel’skaya Voblasts’","Homyel'skaya Voblasts'",BY-HO,region,minor,20.4,37050,37050,3,Europe/Minsk,FALSE,1112264242
Smarhon,Smarhon,Smorgone|Smorgon’|Smorgonie,54.4836,26.4000,Belarus,BY,BLR,"Hrodzyenskaya Voblasts’","Hrodzyenskaya Voblasts'",BY-HR,region,minor,33.1,35781,35781,3,Europe/Minsk,FALSE,1112716074
Rahachow,Rahachow,Rogatschew|Rogachëv,53.1000,30.0500,Belarus,BY,BLR,"Homyel’skaya Voblasts’","Homyel'skaya Voblasts'",BY-HO,region,minor,24.9,32029,32029,3,Europe/Minsk,FALSE,1112299593
Dzyarzhynsk,Dzyarzhynsk,Kaiden|Dzerjinsk|Koydanava|Koydanovo|Kaydanovo|Dzerzhinsk,53.6833,27.1333,Belarus,BY,BLR,"Minskaya Voblasts’","Minskaya Voblasts'",BY-MI,region,,50.3,29811,29811,3,Europe/Minsk,FALSE,1112600874
