city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Booien,Booien,Boijen|Boyen,51.0344,5.7543,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,348.2,,,3,Europe/Brussels,FALSE,1056253808
Bru,Bru,,50.3974,5.7238,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,28.9,,,4,Europe/Brussels,FALSE,1056283643
Bosmolen,Bosmolen,Boschmolen,51.0833,4.5833,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,596.6,,,3,Europe/Brussels,FALSE,1056597077
Préaix,Preaix,,50.4167,6.0500,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,137.9,,,4,Europe/Brussels,FALSE,1056811454
Rouwleegd,Rouwleegd,,51.3167,4.7667,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,251.7,,,3,Europe/Brussels,FALSE,1056513603
Petergensfeld,Petergensfeld,,50.6500,6.1667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,605.6,,,3,Europe/Brussels,FALSE,1056871080
Coucou,Coucou,,50.4833,3.6833,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,280.9,,,3,Europe/Brussels,FALSE,1056320555
Coucou,Coucou,,50.6546,3.6925,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,244.4,,,3,Europe/Brussels,TRUE,1056752468
Maisons Gabelle,Maisons Gabelle,Les Maisons Gabelle,50.3667,4.2667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,199.2,,,4,Europe/Brussels,FALSE,1056792342
Pomptje,Pomptje,Pompje,51.2067,3.0250,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,249.7,,,3,Europe/Brussels,FALSE,1056070478
Cronchamps,Cronchamps,,50.4615,5.9853,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,79.9,,,4,Europe/Brussels,FALSE,1056405888
Dries,Dries,,51.0026,4.4325,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,1415.1,,,3,Europe/Brussels,FALSE,1056644945
Dries,Dries,Driesch,50.9805,4.0539,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,1127.0,,,3,Europe/Brussels,TRUE,1056796379
Dries,Dries,Driesch,50.9147,4.0191,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,938.7,,,3,Europe/Brussels,TRUE,1056332323
Dries,Dries,,51.1500,4.5500,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,689.0,,,3,Europe/Brussels,TRUE,1056969747
Dries,Dries,Driesch,51.0667,4.0333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,676.4,,,3,Europe/Brussels,TRUE,1056470354
Dries,Dries,,50.9586,3.7571,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,628.2,,,3,Europe/Brussels,TRUE,1056711003
Dries,Dries,,50.9500,4.3000,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,590.0,,,3,Europe/Brussels,TRUE,1056740186
Dries,Dries,Driesch,50.8919,3.9496,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,587.9,,,3,Europe/Brussels,TRUE,1056295933
Dries,Dries,,51.0833,4.5333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,571.7,,,3,Europe/Brussels,TRUE,1056430361
Dries,Dries,Den Dries,51.0615,4.6545,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,511.2,,,3,Europe/Brussels,TRUE,1056548501
Dries,Dries,,50.9667,4.5167,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,465.2,,,3,Europe/Brussels,TRUE,1056402760
Dries,Dries,Driesch,50.9667,3.5333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,432.6,,,3,Europe/Brussels,TRUE,1056665459
Dries,Dries,Driesch,50.9833,3.4667,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,432.6,,,3,Europe/Brussels,TRUE,1056066166
Dries,Dries,,50.7833,3.8333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,416.9,,,3,Europe/Brussels,TRUE,1056690023
Dries,Dries,,50.8894,3.8467,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,392.0,,,3,Europe/Brussels,TRUE,1056972042
Dries,Dries,,50.7799,3.4342,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,368.9,,,3,Europe/Brussels,TRUE,1056246438
Dries,Dries,,50.7569,3.3639,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,365.9,,,3,Europe/Brussels,TRUE,1056964721
Dries,Dries,,50.8592,5.1995,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,361.2,,,3,Europe/Brussels,TRUE,1056838489
Dries,Dries,,50.8167,3.6167,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,312.4,,,3,Europe/Brussels,TRUE,1056097811
Dries,Dries,,50.9186,4.7873,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,285.4,,,3,Europe/Brussels,TRUE,1056477175
Dries,Dries,,50.8667,5.4333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,281.9,,,3,Europe/Brussels,TRUE,1056206399
Dries,Dries,,51.1208,3.4441,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,251.8,,,3,Europe/Brussels,TRUE,1056300242
Dries,Dries,,50.8286,3.5450,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,191.1,,,4,Europe/Brussels,TRUE,1056506387
Dries,Dries,Driessen,50.8672,5.0084,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,172.0,,,4,Europe/Brussels,TRUE,1056485386
L’Ewéréville,L'Ewereville,,50.5499,5.9048,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,159.6,,,4,Europe/Brussels,FALSE,1056612934
Trou-Renard,Trou-Renard,,50.5667,5.7333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,242.0,,,3,Europe/Brussels,FALSE,1056600740
