city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Belize City","Belize City",Belize|Belice,17.4986,-88.1886,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,admin,49.2,57169,57169,2,America/Belize,FALSE,1084150679
"San Ignacio","San Ignacio","Cayo|Cayo Town|El Cayo|El Cayo de San Ignacio",17.1588,-89.0696,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,admin,18.3,26151,26151,2,America/Belize,FALSE,1084924884
Belmopan,Belmopan,Hattieville|Mopan,17.2514,-88.7669,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,primary,18.3,17222,17222,1,America/Belize,FALSE,1084586375
"Orange Walk","Orange Walk","Orange Walk Town",18.0750,-88.5583,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,admin,11.3,13750,13750,2,America/Belize,FALSE,1084547220
Corozal,Corozal,"Corosal|Corazal|Corasal|Corozal Town",18.4000,-88.4000,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,admin,29.9,13502,13502,2,America/Belize,FALSE,1084938400
"San Pedro","San Pedro",,17.9214,-87.9611,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,29.9,11767,11767,3,America/Belize,FALSE,1084929106
Dangriga,Dangriga,"Stann Creek Town|Stann Creek|Stanncrek|Dangriga Town|Stann Creek Village",16.9667,-88.2167,Belize,BZ,BLZ,"Stann Creek","Stann Creek",BZ-SC,district,admin,21.0,10217,10217,2,America/Belize,FALSE,1084718311
"Benque Viejo el Carmen","Benque Viejo el Carmen","Cayo|Benque Viejo|Benique Viejo del Carmen|Bengue Viejo|Benque Viejo del Carmen",17.0667,-89.1333,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,6684,6684,3,America/Belize,FALSE,1084912496
"Roaring Creek","Roaring Creek",,17.2667,-88.8000,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,6000,6000,4,America/Belize,FALSE,1084399407
Ladyville,Ladyville,,17.5494,-88.2919,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,49.2,5458,5458,3,America/Belize,FALSE,1084569054
"Punta Gorda","Punta Gorda",,16.1005,-88.8074,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,admin,7.7,5026,5026,2,America/Belize,FALSE,1084536442
"Trial Farm","Trial Farm",,18.0833,-88.5500,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,4264,4264,3,America/Belize,FALSE,1084840388
Shipyard,Shipyard,,17.8833,-88.6167,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,3805,3805,4,America/Belize,FALSE,1084208668
"Guinea Grass","Guinea Grass",,17.9681,-88.5956,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,3563,3563,3,America/Belize,FALSE,1084660119
Sarteneja,Sarteneja,Santeneja,18.3533,-88.1461,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,39.3,3550,3550,4,America/Belize,FALSE,1084204699
"San Jose","San Jose",,18.1667,-88.5667,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,2862,2862,4,America/Belize,TRUE,1084893384
"Little Belize","Little Belize",,18.2000,-88.4000,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,11.3,2830,2830,4,America/Belize,FALSE,1084413719
Camelote,Camelote,,17.2472,-88.8176,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,2562,2562,3,America/Belize,FALSE,1084238075
"San Narciso","San Narciso",,18.3056,-88.5167,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,11.3,2423,2423,4,America/Belize,FALSE,1084112724
"San Jose Soccoths","San Jose Soccoths","Tzokotz|Socotz|Soccotz|Jocote|Succotz|Succoths|San Jose Succotz",17.0849,-89.1299,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,2322,2322,4,America/Belize,FALSE,1084911681
"Spanish Lookout","Spanish Lookout",,17.2504,-88.9974,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,2253,2253,4,America/Belize,FALSE,1084489024
"Bullet Tree Falls","Bullet Tree Falls",,17.1680,-89.1110,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,2124,2124,3,America/Belize,FALSE,1084877098
"San Antonio","San Antonio",,17.1000,-88.9667,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,2124,2124,4,America/Belize,FALSE,1084411585
"Valley of Peace","Valley of Peace",,17.3333,-88.8333,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,2108,2108,4,America/Belize,FALSE,1084000000
"San Joaquin","San Joaquin",,18.3333,-88.4333,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,29.9,2010,2010,4,America/Belize,FALSE,1084959174
"Caye Corker","Caye Corker",,17.7425,-88.0250,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,49.2,2000,2000,4,America/Belize,FALSE,1084993946
"Teakettle Village","Teakettle Village","Teakettle Bank|Teakettle",17.2247,-88.8526,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,1747,1747,4,America/Belize,FALSE,1084517096
"Santa Familia","Santa Familia",,17.1850,-89.0740,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,1598,1598,3,America/Belize,FALSE,1084009955
Xaibe,Xaibe,,18.3833,-88.4333,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,29.9,1575,1575,4,America/Belize,FALSE,1084002080
"San Estevan","San Estevan","San Esteban",18.1550,-88.5106,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,1573,1573,3,America/Belize,FALSE,1084765641
"San Felipe","San Felipe",,17.8667,-88.7667,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,1499,1499,4,America/Belize,FALSE,1084336739
Patchchacan,Patchchacan,"Pachacan|Patch Chakan",18.4006,-88.4725,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,29.9,1374,1374,4,America/Belize,FALSE,1084217993
Progresso,Progresso,Progreso,18.2167,-88.4000,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,19.9,1356,1356,4,America/Belize,FALSE,1084157730
"Silver Creek","Silver Creek",,16.2667,-88.8833,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,,7.7,1326,1326,4,America/Belize,FALSE,1084200815
Hattieville,Hattieville,,17.4500,-88.3833,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,49.2,1300,1300,4,America/Belize,FALSE,1084869645
Esperanza,Esperanza,,17.1785,-89.0409,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,1262,1262,3,America/Belize,FALSE,1084244823
"San Antonio","San Antonio",,16.2444,-89.0236,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,,7.7,1204,1204,4,America/Belize,FALSE,1084474367
Chunox,Chunox,,18.2968,-88.3585,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,29.9,1143,1143,4,America/Belize,FALSE,1084175721
"San Pablo","San Pablo",,18.2097,-88.5617,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,926,926,3,America/Belize,FALSE,1084429602
"Placentia Village","Placentia Village","Point Placentia|Punta Placencia|Plasencia|Placentia|Placencia",16.5139,-88.3667,Belize,BZ,BLZ,"Stann Creek","Stann Creek",BZ-SC,district,,21.0,750,750,4,America/Belize,FALSE,1084010881
"San Pedro","San Pedro","San Pedro Columbia|Columbia",16.2667,-88.9500,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,,7.7,700,700,4,America/Belize,FALSE,1084073053
"Black Man Eddy","Black Man Eddy",,17.2167,-88.9167,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,504,504,4,America/Belize,FALSE,1084834550
"Blue Creek Village","Blue Creek Village","Blue Creek",17.9000,-88.9000,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,407,407,4,America/Belize,FALSE,1084073610
"Gales Point","Gales Point",,17.1833,-88.3333,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,49.2,296,296,4,America/Belize,FALSE,1084125845
"Indian Church","Indian Church",,17.7667,-88.6500,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,267,267,4,America/Belize,FALSE,1084689260
"Monkey River Town","Monkey River Town","Monkey|Monkey River",16.3633,-88.4853,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,,7.7,200,200,4,America/Belize,FALSE,1084186193
"Mullins River","Mullins River","Mullins River Town|Mullins",17.1000,-88.3000,Belize,BZ,BLZ,"Stann Creek","Stann Creek",BZ-SC,district,,21.0,198,198,4,America/Belize,FALSE,1084173960
"More Tomorrow","More Tomorrow",,17.3475,-88.6939,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,154,154,4,America/Belize,FALSE,1084310218
"Pilgrimage Valley","Pilgrimage Valley",,17.1500,-89.0333,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,21,21,4,America/Belize,FALSE,1084361312
"Salt Creek","Salt Creek",,17.6631,-88.3288,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,49.2,,,4,America/Belize,FALSE,1084472895
"Bacalar Chico","Bacalar Chico",,18.1866,-87.8604,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,29.9,,,4,America/Belize,FALSE,1084842113
"Nago Bank","Nago Bank",,17.8803,-88.2913,Belize,BZ,BLZ,Belize,Belize,BZ-BZ,district,,49.2,,,4,America/Belize,FALSE,1084057414
"Tu-Tu Camp","Tu-Tu Camp","Campamento Tu-Tu",17.3230,-89.1378,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,,,4,America/Belize,FALSE,1084946967
"Maya Beach","Maya Beach",,16.6152,-88.3542,Belize,BZ,BLZ,"Stann Creek","Stann Creek",BZ-SC,district,,21.0,,,3,America/Belize,FALSE,1084219301
"San Jose","San Jose",,17.4833,-88.9333,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,18.3,,,4,America/Belize,FALSE,1084295233
"Ontario Village","Ontario Village",,17.2212,-88.8919,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,,,4,America/Belize,FALSE,1084380401
"Seine Bight Village","Seine Bight Village","Seine Bight",16.5667,-88.3667,Belize,BZ,BLZ,"Stann Creek","Stann Creek",BZ-SC,district,,21.0,,,4,America/Belize,FALSE,1084286557
"Chan Pine Ridge","Chan Pine Ridge",,18.0369,-88.5825,Belize,BZ,BLZ,"Orange Walk","Orange Walk",BZ-OW,district,,11.3,,,4,America/Belize,FALSE,1084691486
Esporanza,Esporanza,,16.2492,-88.8992,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,,7.7,,,5,America/Belize,FALSE,1084293174
"Monkey Fall","Monkey Fall",,17.1375,-89.0503,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,,,4,America/Belize,FALSE,1084868567
Blancaneau,Blancaneau,Blancaneaux|Blancancaux,17.0464,-88.9642,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,,,4,America/Belize,FALSE,1084869459
"Sayab Camp","Sayab Camp",,17.1107,-88.9697,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,,,4,America/Belize,FALSE,1084695400
"Mountain Cow","Mountain Cow",,16.7875,-89.0489,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,,,4,America/Belize,FALSE,1084543285
"San Antonio","San Antonio",,18.4018,-88.3998,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,29.9,,,4,America/Belize,FALSE,1084491139
"San Roman","San Roman",,18.2972,-88.5078,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,15.5,,,4,America/Belize,FALSE,1084985936
Cabro,Cabro,Cabra,16.4111,-89.0647,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,,7.7,,,5,America/Belize,FALSE,1084245429
Estrella,Estrella,,18.2911,-88.4523,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,29.9,,,4,America/Belize,FALSE,1084649641
"Santa Theresa","Santa Theresa",Hinchasones,16.1333,-89.0500,Belize,BZ,BLZ,Toledo,Toledo,BZ-TOL,district,,7.7,,,5,America/Belize,FALSE,1084477055
"Big Eddy","Big Eddy",,17.0917,-89.0684,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,18.3,,,4,America/Belize,FALSE,1084616780
"Pueblo Nuevo","Pueblo Nuevo",,18.3098,-88.4129,Belize,BZ,BLZ,Corozal,Corozal,BZ-CZL,district,,29.9,,,4,America/Belize,FALSE,1084323373
"Resumadero Camp","Resumadero Camp","Campamento Resumidero",16.6314,-89.0682,Belize,BZ,BLZ,Cayo,Cayo,BZ-CY,district,,7.7,,,5,America/Belize,FALSE,1084407721
