city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Cotonou,Cotonou,Kotonou|Catonou|Kotonu|Appi,6.3667,2.4333,Benin,BJ,BEN,Littoral,Littoral,BJ-LI,department,primary,8595.1,679012,679012,1,Africa/Porto-Novo,FALSE,1204955174
Abomey-Calavi,Abomey-Calavi,"Abome Calavi|Kalavi",6.4486,2.3556,Benin,BJ,BEN,Atlantique,Atlantique,BJ-AQ,department,,1009.2,655965,655965,2,Africa/Porto-Novo,FALSE,1204016569
Godomè,Godome,Godomey,6.3667,2.3500,Benin,BJ,BEN,Atlantique,Atlantique,BJ-AQ,department,,2120.5,253262,253262,2,Africa/Porto-Novo,FALSE,1204027999
Banikoara,Banikoara,,11.3000,2.4333,Benin,BJ,BEN,Alibori,Alibori,BJ-AL,department,,56.7,248621,248621,2,Africa/Porto-Novo,FALSE,1204495680
Djougou,Djougou,Jugu,9.7000,1.6667,Benin,BJ,BEN,Donga,Donga,BJ-DO,department,admin,59.8,237040,237040,2,Africa/Porto-Novo,FALSE,1204972666
Tchaourou,Tchaourou,Chauru,8.8833,2.6000,Benin,BJ,BEN,Borgou,Borgou,BJ-BO,department,,30.5,221108,221108,2,Africa/Porto-Novo,FALSE,1204695000
Parakou,Parakou,Paraku,9.3500,2.6167,Benin,BJ,BEN,Borgou,Borgou,BJ-BO,department,admin,468.6,206667,206667,2,Africa/Porto-Novo,FALSE,1204807468
Kandi,Kandi,,11.1286,2.9369,Benin,BJ,BEN,Alibori,Alibori,BJ-AL,department,admin,51.9,177683,177683,2,Africa/Porto-Novo,FALSE,1204875413
Aplahoué,Aplahoue,Parahue|Parahoué,6.9333,1.6833,Benin,BJ,BEN,Couffo,Couffo,BJ-KO,department,,297.323,170069,170069,2,Africa/Porto-Novo,FALSE,1204958955
Kalalé,Kalale,Kalelé,10.2953,3.3786,Benin,BJ,BEN,Borgou,Borgou,BJ-BO,department,,47.1,168882,168882,2,Africa/Porto-Novo,FALSE,1204531108
Malanville,Malanville,Mallanville,11.8667,3.3833,Benin,BJ,BEN,Atacora,Atacora,BJ-AK,department,,55.7,168006,168006,2,Africa/Porto-Novo,FALSE,1204159179
Kétou,Ketou,Ketu,7.3581,2.6075,Benin,BJ,BEN,Plateau,Plateau,BJ-PL,department,,71.7,156497,156497,2,Africa/Porto-Novo,FALSE,1204020661
Bohicon,Bohicon,,7.2000,2.0667,Benin,BJ,BEN,Zou,Zou,BJ-ZO,department,,3392.5,149271,149271,2,Africa/Porto-Novo,FALSE,1204200335
Djakotomé,Djakotome,Djakatomé,6.9000,1.7167,Benin,BJ,BEN,Couffo,Couffo,BJ-KO,department,,414.17,134704,134704,2,Africa/Porto-Novo,FALSE,1204961382
Porto-Novo,Porto-Novo,,6.4972,2.6050,Benin,BJ,BEN,Ouémé,Oueme,BJ-OU,department,primary,2560.9,133168,133168,1,Africa/Porto-Novo,FALSE,1204172060
Zagnanado,Zagnanado,,7.2667,2.3500,Benin,BJ,BEN,Zou,Zou,BJ-ZO,department,,176.5,132401,132401,2,Africa/Porto-Novo,FALSE,1204320194
Bassila,Bassila,,9.0167,1.6667,Benin,BJ,BEN,Donga,Donga,BJ-DO,department,,23.1,130770,130770,2,Africa/Porto-Novo,FALSE,1204259496
Avrankou,Avrankou,Avlanku,6.5500,2.6667,Benin,BJ,BEN,Ouémé,Oueme,BJ-OU,department,,853.7,128050,128050,2,Africa/Porto-Novo,FALSE,1204861603
Allada,Allada,,6.6500,2.1500,Benin,BJ,BEN,Atlantique,Atlantique,BJ-AQ,department,,334.7,127512,127512,2,Africa/Porto-Novo,FALSE,1204001429
Missérété,Misserete,,6.5625,2.5853,Benin,BJ,BEN,Ouémé,Oueme,BJ-OU,department,,1610.7,127249,127249,2,Africa/Porto-Novo,FALSE,1204481663
Glazoué,Glazoue,Glasoué,7.9736,2.2400,Benin,BJ,BEN,Collines,Collines,BJ-CO,department,,92.2,124431,124431,2,Africa/Porto-Novo,FALSE,1204842273
Pobé,Pobe,Ipobe,6.9667,2.6833,Benin,BJ,BEN,Plateau,Plateau,BJ-PL,department,,309.4,123740,123740,2,Africa/Porto-Novo,FALSE,1204955158
Djidja,Djidja,Jiga,7.3333,1.9333,Benin,BJ,BEN,Zou,Zou,BJ-ZO,department,,39.0,123542,123542,2,Africa/Porto-Novo,FALSE,1204250731
Lalo,Lalo,,6.9167,1.8833,Benin,BJ,BEN,Couffo,Couffo,BJ-KO,department,,277.6,119926,119926,2,Africa/Porto-Novo,FALSE,1204461381
Gogounou,Gogounou,Gogonou,10.8386,2.8361,Benin,BJ,BEN,Alibori,Alibori,BJ-AL,department,,24.0,117793,117793,2,Africa/Porto-Novo,FALSE,1204602986
Adjaouèrè,Adjaouere,,7.0000,2.6167,Benin,BJ,BEN,Plateau,Plateau,BJ-PL,department,,210.8,115953,115953,2,Africa/Porto-Novo,FALSE,1204225827
Sakété,Sakete,,6.7364,2.6581,Benin,BJ,BEN,Plateau,Plateau,BJ-PL,department,admin,264.4,114207,114207,2,Africa/Porto-Novo,FALSE,1204601704
Matéri,Materi,,10.6978,1.0633,Benin,BJ,BEN,Atacora,Atacora,BJ-AK,department,,65.5,113958,113958,2,Africa/Porto-Novo,FALSE,1204459888
Ifanhim,Ifanhim,Ifanhin,6.6667,2.7167,Benin,BJ,BEN,Plateau,Plateau,BJ-PL,department,,470.0,113749,113749,2,Africa/Porto-Novo,FALSE,1204693168
Ndali,Ndali,N’dali,9.8608,2.7181,Benin,BJ,BEN,Borgou,Borgou,BJ-BO,department,,30.3,113604,113604,2,Africa/Porto-Novo,FALSE,1204045508
Dassa-Zoumé,Dassa-Zoume,"Dassa Zume",7.7500,2.1833,Benin,BJ,BEN,Collines,Collines,BJ-CO,department,,65.5,112118,112118,2,Africa/Porto-Novo,FALSE,1204114587
