city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Saint George","Saint George","Saint Georges|Saint George’s Town",32.3794,-64.6778,Bermuda,BM,BMU,"Saint George","Saint George",BM-06,municipality,,587.1,1704,1704,3,Atlantic/Bermuda,FALSE,1060488483
Somerset,Somerset,"Somerset Village",32.3000,-64.8667,Bermuda,BM,BMU,Sandys,Sandys,BM-08,parish,,988.3,1000,1000,3,Atlantic/Bermuda,FALSE,1060149733
Hamilton,Hamilton,,32.2930,-64.7820,Bermuda,BM,BMU,Hamilton,Hamilton,BM-03,municipality,primary,1254.4,854,854,1,Atlantic/Bermuda,FALSE,1060000000
"Tucker’s Town","Tucker's Town",,32.3333,-64.6833,Bermuda,BM,BMU,"Saint George’s","Saint George's",BM-07,parish,,587.1,500,500,3,Atlantic/Bermuda,FALSE,1060365848
"Warwick Camp","Warwick Camp",,32.2572,-64.8161,Bermuda,BM,BMU,Warwick,Warwick,BM-11,parish,,1583.4,400,400,3,Atlantic/Bermuda,FALSE,1060540741
"Flatt’s Village","Flatt's Village","The Flatts Village",32.3200,-64.7375,Bermuda,BM,BMU,Hamilton,Hamilton,BM-02,parish,,1019.8,300,300,3,Atlantic/Bermuda,FALSE,1060700675
Chelston,Chelston,,32.2836,-64.7706,Bermuda,BM,BMU,Paget,Paget,BM-04,parish,,972.2,,,3,Atlantic/Bermuda,FALSE,1060141904
"Mount Pleasant","Mount Pleasant",,32.2742,-64.7836,Bermuda,BM,BMU,Paget,Paget,BM-04,parish,,1086.7,,,3,Atlantic/Bermuda,FALSE,1060229898
"Cashew City","Cashew City",,32.3703,-64.6544,Bermuda,BM,BMU,"Saint George’s","Saint George's",BM-07,parish,,587.1,,,3,Atlantic/Bermuda,FALSE,1060312551
Bethaven,Bethaven,,32.2833,-64.7500,Bermuda,BM,BMU,Devonshire,Devonshire,BM-01,parish,,972.2,,,3,Atlantic/Bermuda,FALSE,1060156507
"Hinson Hall","Hinson Hall",,32.3136,-64.7436,Bermuda,BM,BMU,Smith’s,Smith's,BM-09,parish,,1170.6,,,3,Atlantic/Bermuda,FALSE,1060719063
Melrose,Melrose,,32.3633,-64.6731,Bermuda,BM,BMU,"Saint George’s","Saint George's",BM-07,parish,,587.1,,,3,Atlantic/Bermuda,FALSE,1060048168
"Harrington Hundreds","Harrington Hundreds",,32.3186,-64.7289,Bermuda,BM,BMU,Smith’s,Smith's,BM-09,parish,,1021.4,,,3,Atlantic/Bermuda,FALSE,1060050642
"North Shore Village","North Shore Village",,32.3064,-64.7736,Bermuda,BM,BMU,Devonshire,Devonshire,BM-01,parish,,1509.7,,,3,Atlantic/Bermuda,FALSE,1060673022
"Hill View","Hill View",,32.2694,-64.8089,Bermuda,BM,BMU,Warwick,Warwick,BM-11,parish,,1583.4,,,3,Atlantic/Bermuda,FALSE,1060413525
Camden,Camden,,32.2942,-64.7606,Bermuda,BM,BMU,Paget,Paget,BM-04,parish,,1038.5,,,3,Atlantic/Bermuda,FALSE,1060090863
"Hog Bay","Hog Bay",,32.2711,-64.8800,Bermuda,BM,BMU,Sandys,Sandys,BM-08,parish,,988.3,,,3,Atlantic/Bermuda,FALSE,1060003523
"Scotts Hill","Scotts Hill",,32.2972,-64.8656,Bermuda,BM,BMU,Sandys,Sandys,BM-08,parish,,988.3,,,3,Atlantic/Bermuda,FALSE,1060436102
Sunnyside,Sunnyside,,32.3264,-64.7411,Bermuda,BM,BMU,Hamilton,Hamilton,BM-02,parish,,1044.3,,,3,Atlantic/Bermuda,FALSE,1060397918
