city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Thimphu,Thimphu,Thimpago|Thimbu|Thimpu,27.4722,89.6361,Bhutan,BT,BTN,Thimphu,Thimphu,BT-15,district,primary,12.5,114551,114551,1,Asia/Thimphu,FALSE,1064010361
Phuntsholing,Phuntsholing,Phuntsoling|Phunchholing,26.8500,89.3833,Bhutan,BT,BTN,Chhukha,Chhukha,BT-12,district,,1772.9,27658,27658,3,Asia/Kolkata,FALSE,1064177612
Paro,Paro,"Paro Dzong|Rimpung Dzong",27.4333,89.4167,Bhutan,BT,BTN,Paro,Paro,BT-11,district,admin,160.3,11448,11448,2,Asia/Thimphu,FALSE,1064216277
Geylegphug,Geylegphug,Hatisār,26.8706,90.4856,Bhutan,BT,BTN,Sarpang,Sarpang,BT-31,district,,183.7,9858,9858,3,Asia/Thimphu,FALSE,1064875901
"Samdrup Jongkhar","Samdrup Jongkhar",,26.8000,91.5050,Bhutan,BT,BTN,"Samdrup Jongkhar","Samdrup Jongkhar",BT-45,district,admin,78.5,9325,9325,2,Asia/Thimphu,FALSE,1064656050
"Wangdue Phodrang","Wangdue Phodrang","Wangdü Phodrang|Du Phodrang|Wangdiphodrang|Wangdu Phodrang",27.4833,89.9000,Bhutan,BT,BTN,"Wangdue Phodrang","Wangdue Phodrang",BT-24,district,admin,272.6,8954,8954,2,Asia/Thimphu,FALSE,1064353953
Punakha,Punakha,Punākla|Punākha|Punāka,27.5833,89.8583,Bhutan,BT,BTN,Punakha,Punakha,BT-23,district,admin,30.5,6262,6262,2,Asia/Thimphu,FALSE,1064171188
Jakar,Jakar,"Jokhar Dzong",27.5500,90.7333,Bhutan,BT,BTN,Bumthang,Bumthang,BT-33,district,admin,7.2,6243,6243,2,Asia/Thimphu,FALSE,1064194738
Samtse,Samtse,Samchi,27.0333,89.0833,Bhutan,BT,BTN,Samtse,Samtse,BT-14,district,admin,42.3,4981,4981,2,Asia/Thimphu,FALSE,1064763429
Shali,Shali,,27.4833,91.5667,Bhutan,BT,BTN,"Trashi Yangtse","Trashi Yangtse",BT-TY,district,,0.2,4000,4000,4,Asia/Thimphu,FALSE,1064422004
Mongar,Mongar,"Mongar Dzong",27.2750,91.2400,Bhutan,BT,BTN,Mongar,Mongar,BT-42,district,admin,122.7,3502,3502,2,Asia/Thimphu,FALSE,1064208677
Trashigang,Trashigang,"Benkar|Tashi Gang Dzong|Tashigang",27.3326,91.5528,Bhutan,BT,BTN,Trashigang,Trashigang,BT-41,district,admin,73.1,3037,3037,2,Asia/Thimphu,FALSE,1064123227
Laya,Laya,,28.0667,89.6833,Bhutan,BT,BTN,Punakha,Punakha,BT-23,district,,3.2,3000,3000,4,Asia/Thimphu,FALSE,1064234213
"Trashi Yangtse","Trashi Yangtse","Tashi Yāng-tsi Dzong|Tashigangtsi|Tashigang|Tashi Tang-tsi Dzong|Tashi Yangtse",27.5833,91.4667,Bhutan,BT,BTN,"Trashi Yangtse","Trashi Yangtse",BT-TY,district,admin,21.1,2735,2735,2,Asia/Thimphu,FALSE,1064210713
Trongsa,Trongsa,"Tongsa Dzong|Tongsa",27.4994,90.5047,Bhutan,BT,BTN,Trongsa,Trongsa,BT-32,district,admin,12.9,2695,2695,2,Asia/Thimphu,FALSE,1064630357
Nganglam,Nganglam,,26.8375,91.2500,Bhutan,BT,BTN,"Samdrup Jongkhar","Samdrup Jongkhar",BT-45,district,,384.5,2418,2418,3,Asia/Kolkata,FALSE,1064456833
Zhemgang,Zhemgang,"Shamgong Dzong|Shemgang|Shangong Dzong",27.2134,90.6550,Bhutan,BT,BTN,Zhemgang,Zhemgang,BT-34,district,admin,12.1,2332,2332,2,Asia/Thimphu,FALSE,1064512651
Gyepozhing,Gyepozhing,,27.1833,91.1667,Bhutan,BT,BTN,Mongar,Mongar,BT-42,district,,15.1,2291,2291,4,Asia/Thimphu,FALSE,1064128398
Damphu,Damphu,Domaphu,27.0167,90.1000,Bhutan,BT,BTN,Tsirang,Tsirang,BT-21,district,,176.0,1666,1666,4,Asia/Thimphu,FALSE,1064286155
Daphu,Daphu,,26.9667,89.3833,Bhutan,BT,BTN,Chhukha,Chhukha,BT-12,district,,49.6,1666,1666,4,Asia/Thimphu,FALSE,1064254008
