city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Estancia Willkhi,Estancia Willkhi,,-18.9000,-68.2667,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,9.5,,,5,America/La_Paz,FALSE,1068709317
Estancia Willkhi,Estancia Willkhi,,-17.6333,-68.0500,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,12.9,,,4,America/La_Paz,FALSE,1068748206
Estancia Willkhi,Estancia Willkhi,,-17.1833,-69.1333,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,3.8,,,5,America/La_Paz,TRUE,1068398430
Duraznal,Duraznal,,-18.8070,-64.3757,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,6.0,,,5,America/La_Paz,FALSE,1068002741
Auto Aillo,Auto Aillo,,-17.5000,-68.4667,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,2.7,,,5,America/La_Paz,FALSE,1068275573
Sacarmaya,Sacarmaya,,-19.6333,-64.2667,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,4.9,,,5,America/La_Paz,FALSE,1068016214
Yerba Buena,Yerba Buena,,-22.0861,-64.7684,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,4.1,,,5,America/La_Paz,FALSE,1068006053
Llanquira,Llanquira,Estancia Llanquira,-17.8000,-68.2000,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,4.2,,,5,America/La_Paz,FALSE,1068182177
Jama Chuma,Jama Chuma,,-16.8899,-67.9513,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,15.4,,,4,America/La_Paz,FALSE,1068003579
Tihua,Tihua,,-19.5500,-66.6333,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,5.3,,,5,America/La_Paz,FALSE,1068259361
Cucuyo,Cucuyo,,-19.2500,-66.7167,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,7.3,,,5,America/La_Paz,FALSE,1068057013
Tarquiamaya,Tarquiamaya,,-17.4808,-68.5866,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,2.7,,,5,America/La_Paz,FALSE,1068007311
Osari,Osari,,-17.2667,-67.8833,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,44.1,,,4,America/La_Paz,FALSE,1068907580
Alto San Pedro,Alto San Pedro,,-16.1733,-69.0636,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,93.2,,,4,America/La_Paz,FALSE,1068005259
Yerba Buena,Yerba Buena,,-18.9563,-65.0065,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,14.8,,,4,America/La_Paz,FALSE,1068003179
Yerba Buena,Yerba Buena,,-20.2500,-64.0667,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,6.7,,,5,America/La_Paz,TRUE,1068086584
Yerba Buena,Yerba Buena,,-20.1833,-64.2000,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,6.7,,,5,America/La_Paz,TRUE,1068703960
Sancata,Sancata,,-16.8000,-68.1333,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,25.5,,,4,America/La_Paz,FALSE,1068636993
Musuruqui,Musuruqui,Musuriqui,-17.6500,-61.3167,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,3.4,,,5,America/La_Paz,FALSE,1068649082
Rancho Ajhuani,Rancho Ajhuani,,-15.0291,-69.1890,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,3.7,,,5,America/La_Paz,FALSE,1068323266
Viroxa,Viroxa,Estancia Viroxa,-19.6547,-67.7810,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,3.0,,,5,America/La_Paz,FALSE,1068937131
Higuerillas,Higuerillas,,-19.3386,-64.5257,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,10.5,,,4,America/La_Paz,FALSE,1068963565
Rosario,Rosario,,-21.2167,-64.7667,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,13.1,,,4,America/La_Paz,FALSE,1068662466
Rosario,Rosario,,-21.8167,-64.2618,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,4.8,,,5,America/La_Paz,TRUE,1068004262
Rosario,Rosario,,-21.8167,-65.1167,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,3.1,,,5,America/La_Paz,TRUE,1068565857
Rosario,Rosario,,-21.9021,-65.0916,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,3.1,,,5,America/La_Paz,TRUE,1068007437
El Morro,El Morro,,-19.3667,-65.1000,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,16.7,,,4,America/La_Paz,FALSE,1068911264
Tunalito Juntas,Tunalito Juntas,Tunalito Las Juntas,-18.7035,-63.1588,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,6.0,,,5,America/La_Paz,FALSE,1068616735
Estancia Huascanani,Estancia Huascanani,,-17.2000,-66.8333,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,14.2,,,4,America/La_Paz,FALSE,1068357507
Toncoli,Toncoli,,-17.3167,-65.8833,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,37.7,,,4,America/La_Paz,FALSE,1068867203
Quellucasorca,Quellucasorca,Quellucashorco,-21.2833,-65.6833,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,8.1,,,5,America/La_Paz,FALSE,1068899678
Campesina la Forrtaleza,Campesina la Forrtaleza,,-15.8552,-62.0826,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,0.6,,,5,America/La_Paz,FALSE,1068004388
Montecito,Montecito,Montesito,-13.3833,-63.4167,Bolivia,BO,BOL,El Beni,El Beni,BO-B,department,,1.0,,,5,America/La_Paz,FALSE,1068778032
Congreso,Congreso,,-10.8167,-66.8667,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,0.5,,,5,America/La_Paz,FALSE,1068117115
Cama Hesta,Cama Hesta,,-10.5357,-67.1513,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,0.7,,,5,America/La_Paz,FALSE,1068000683
Estancia Micayani Chico,Estancia Micayani Chico,,-17.8667,-66.6667,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,16.8,,,4,America/La_Paz,FALSE,1068246801
Abra de Sivingamayo,Abra de Sivingamayo,,-20.3333,-65.1500,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,8.5,,,5,America/La_Paz,FALSE,1068116805
Turrini Centro,Turrini Centro,,-15.8713,-68.8910,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,36.0,,,4,America/La_Paz,FALSE,1068001667
Puerto Cobija,Puerto Cobija,,-12.3429,-67.8061,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,0.4,,,5,America/La_Paz,FALSE,1068006435
Cuyampaya,Cuyampaya,,-16.3052,-68.7709,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,69.2,,,4,America/La_Paz,FALSE,1068003442
Independencia,Independencia,,-16.3765,-67.4778,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,77.3,,,4,America/La_Paz,FALSE,1068003483
Independencia,Independencia,,-16.0901,-67.7415,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,28.5,,,4,America/La_Paz,TRUE,1068003482
Independencia,Independencia,,-12.0167,-68.0833,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,0.7,,,5,America/La_Paz,TRUE,1068091021
Butja,Butja,,-20.1333,-66.7000,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,5.3,,,5,America/La_Paz,FALSE,1068332273
Independencia,Independencia,,-11.4555,-67.5493,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,1.7,,,5,America/La_Paz,FALSE,1068321814
Independencia,Independencia,,-11.3940,-67.6548,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,1.6,,,5,America/La_Paz,TRUE,1068000962
Independencia,Independencia,,-11.9333,-68.0167,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,0.8,,,5,America/La_Paz,TRUE,1068032301
San Expedito,San Expedito,,-15.9440,-62.5094,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,4.6,,,5,America/La_Paz,FALSE,1068004682
Quirquincho,Quirquincho,,-18.4029,-64.1608,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,5.5,,,5,America/La_Paz,FALSE,1068005946
San Antonio de Pailita,San Antonio de Pailita,,-16.5397,-60.7130,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,1.3,,,5,America/La_Paz,FALSE,1068004252
Estancia Quetacochi,Estancia Quetacochi,,-20.2982,-65.7257,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,6.0,,,5,America/La_Paz,FALSE,1068139166
Ranchería Cancani,Rancheria Cancani,Rancheria de Cancani|Rancheria Cancane,-18.7833,-65.8000,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,15.4,,,4,America/La_Paz,FALSE,1068616978
Kella Kella Alta,Kella Kella Alta,,-16.9695,-68.3816,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,8.9,,,5,America/La_Paz,FALSE,1068002678
Capilla Tolacollo,Capilla Tolacollo,Tolacollo|Capilla Chipe|Estancia Thola Kkollu|Thola Kkollu,-17.2333,-69.5500,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,7.8,,,4,America/La_Paz,FALSE,1068080877
Estancia Vila Ckolle,Estancia Vila Ckolle,,-20.6414,-65.1225,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,8.5,,,5,America/La_Paz,FALSE,1068394592
Saucacito,Saucacito,Saucesito|Saucecito,-20.1000,-64.2833,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,6.7,,,5,America/La_Paz,FALSE,1068533688
Calachaca,Calachaca,Colachaca,-18.0333,-65.5833,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,10.2,,,4,America/La_Paz,FALSE,1068565415
Chachacomani,Chachacomani,Estancia Chachacomani,-20.2667,-68.2500,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,0.9,,,5,America/La_Paz,FALSE,1068948939
Laurapata,Laurapata,,-16.9333,-68.6500,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,10.8,,,4,America/La_Paz,FALSE,1068923498
Guanguay,Guanguay,,-20.7500,-65.3667,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,6.0,,,5,America/La_Paz,FALSE,1068787604
Unusayari,Unusayari,,-20.3500,-66.8833,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,5.3,,,5,America/La_Paz,FALSE,1068908623
Palquiza,Palquiza,,-21.5241,-65.7516,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,8.1,,,5,America/La_Paz,FALSE,1068406980
Tres Bocas,Tres Bocas,,-18.7500,-57.8500,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,1.9,,,5,America/La_Paz,FALSE,1068525679
Llucturi,Llucturi,,-16.9667,-68.1667,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,25.5,,,4,America/La_Paz,FALSE,1068637793
Huancarami,Huancarami,Estancia Huancarani,-17.5500,-67.1333,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,10.9,,,4,America/La_Paz,FALSE,1068592909
Cuipiamaya,Cuipiamaya,,-16.8839,-69.2162,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,4.1,,,5,America/La_Paz,FALSE,1068005045
Vila Kkollu,Vila Kkollu,Wila Kollo|Estancia Vila Kkollu,-19.5749,-65.9609,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,11.0,,,4,America/La_Paz,FALSE,1068666267
Icharani,Icharani,,-15.7514,-68.6591,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,13.2,,,4,America/La_Paz,FALSE,1068001979
Macacos,Macacos,,-11.0890,-69.0182,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,1.4,,,5,America/La_Paz,FALSE,1068332578
Chaupisuyu,Chaupisuyu,,-17.3592,-66.6301,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,14.2,,,4,America/La_Paz,FALSE,1068004505
Colqueamaya Baja,Colqueamaya Baja,,-17.5897,-67.7551,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,8.5,,,5,America/La_Paz,FALSE,1068004635
Lampazo,Lampazo,Lamparo|Lampara,-22.0071,-65.1050,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,3.1,,,5,America/La_Paz,FALSE,1068510701
La Asunta,La Asunta,,-11.5642,-67.0253,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,2.8,,,5,America/La_Paz,FALSE,1068006542
Chiarcollo,Chiarcollo,,-19.6833,-68.0167,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,0.9,,,5,America/La_Paz,FALSE,1068363791
Kala Kala,Kala Kala,Estancia Khala Khala|Jisca-Calacala,-17.0833,-69.0833,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,3.8,,,5,America/La_Paz,FALSE,1068154458
El Fraile,El Fraile,Fraile,-17.4500,-63.7167,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,19.2,,,4,America/La_Paz,FALSE,1068378830
Estancia Totoral Pampa,Estancia Totoral Pampa,,-16.5667,-67.8167,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,16.8,,,4,America/La_Paz,FALSE,1068693637
Mayo Mayo,Mayo Mayo,,-12.3000,-65.2333,Bolivia,BO,BOL,El Beni,El Beni,BO-B,department,,0.3,,,5,America/La_Paz,FALSE,1068707113
Humapalca,Humapalca,,-16.0833,-68.2333,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,4.5,,,5,America/La_Paz,FALSE,1068244821
La Angélica,La Angelica,,-15.5667,-68.0833,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,34.9,,,4,America/La_Paz,FALSE,1068889400
Sub Yuthupampa,Sub Yuthupampa,,-17.7463,-65.0004,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,3.9,,,5,America/La_Paz,FALSE,1068006089
El Trompillo,El Trompillo,Trompillo,-17.8000,-63.1667,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,1395.0,,,3,America/La_Paz,FALSE,1068113845
Soracachi,Soracachi,,-17.7667,-67.0333,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,8.8,,,5,America/La_Paz,FALSE,1068037167
San Pedro de las Peñas,San Pedro de las Penas,San Pedro de los Peñas,-21.2667,-64.8167,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,13.1,,,4,America/La_Paz,FALSE,1068986292
Ancho ”B”,Ancho 'B',,-11.0725,-68.8360,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,181.2,,,4,America/La_Paz,FALSE,1068000299
Chiviraqui,Chiviraqui,Estancia Chiviraque,-16.0500,-67.9500,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,374.2,,,3,America/La_Paz,FALSE,1068356835
Paricucho,Paricucho,,-16.0535,-68.8125,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,73.1,,,4,America/La_Paz,FALSE,1068006313
Ñoquis,Noquis,,-21.5474,-65.4740,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,8.1,,,5,America/La_Paz,FALSE,1068383177
Ipahuasu,Ipahuasu,,-20.8519,-63.5218,Bolivia,BO,BOL,Chuquisaca,Chuquisaca,BO-H,department,,0.9,,,5,America/La_Paz,FALSE,1068742029
El Trompillo,El Trompillo,,-13.7667,-65.8333,Bolivia,BO,BOL,El Beni,El Beni,BO-B,department,,0.8,,,5,America/La_Paz,FALSE,1068224263
Estancia Pabellón,Estancia Pabellon,,-16.9500,-67.8500,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,15.4,,,4,America/La_Paz,FALSE,1068197856
San Pedro de Lluquimuni,San Pedro de Lluquimuni,,-15.2218,-67.6783,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,4.9,,,5,America/La_Paz,FALSE,1068006681
Caychani,Caychani,,-16.9573,-67.0519,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,4.2,,,5,America/La_Paz,FALSE,1068006745
Jucumarini,Jucumarini,,-16.9533,-67.2256,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,10.3,,,4,America/La_Paz,FALSE,1068004279
Jucumarini,Jucumarini,Estancia Jukhumarini,-17.5167,-68.3500,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,5.5,,,5,America/La_Paz,TRUE,1068785625
Estancia Challa Piñaya,Estancia Challa Pinaya,,-16.8167,-68.2833,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,140.7,,,4,America/La_Paz,FALSE,1068254697
Comunidad Mocomoco,Comunidad Mocomoco,,-16.2000,-68.6667,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,157.8,,,4,America/La_Paz,FALSE,1068853029
Arrepentido,Arrepentido,,-11.6601,-68.1458,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,0.8,,,5,America/La_Paz,FALSE,1068000581
Rojal,Rojal,,-15.2833,-67.7667,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,7.2,,,5,America/La_Paz,FALSE,1068000077
Higuera,Higuera,Higueras,-17.9167,-65.1833,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,7.4,,,5,America/La_Paz,FALSE,1068717584
Cochivilque,Cochivilque,Cachivilque,-19.5333,-67.2333,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,4.0,,,5,America/La_Paz,FALSE,1068295557
Ariruma,Ariruma,,-18.3007,-64.2631,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,3.5,,,5,America/La_Paz,FALSE,1068561702
Chojllara,Chojllara,,-17.4397,-66.8109,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,14.3,,,4,America/La_Paz,FALSE,1068003347
Arroyuelo Sur,Arroyuelo Sur,,-17.8146,-63.0317,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,86.7,,,4,America/La_Paz,FALSE,1068005680
Estancia Challhuiri,Estancia Challhuiri,Chalviri,-18.3666,-68.7275,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,1.3,,,5,America/La_Paz,FALSE,1068000175
Cochabamba,Cochabamba,,-15.3500,-64.9667,Bolivia,BO,BOL,El Beni,El Beni,BO-B,department,,0.7,,,5,America/La_Paz,FALSE,1068136666
Cochabamba,Cochabamba,Cochabba,-13.7167,-62.5000,Bolivia,BO,BOL,El Beni,El Beni,BO-B,department,,0.4,,,5,America/La_Paz,TRUE,1068790721
Cerro Negro,Cerro Negro,,-21.0667,-65.9167,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,6.0,,,5,America/La_Paz,FALSE,1068797866
Chichata,Chichata,Chicata,-21.6667,-66.1167,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,8.1,,,5,America/La_Paz,FALSE,1068269307
Siquero,Siquero,,-14.6000,-64.9167,Bolivia,BO,BOL,El Beni,El Beni,BO-B,department,,1.1,,,5,America/La_Paz,FALSE,1068223106
Pallar,Pallar,,-10.3333,-67.1667,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,771.7,,,3,America/Rio_Branco,FALSE,1068306931
Pallar,Pallar,,-10.8414,-66.2274,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,2.5,,,5,America/La_Paz,TRUE,1068006605
Copamayu,Copamayu,Estancia Copamayo,-20.0737,-66.2640,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,2.0,,,5,America/La_Paz,FALSE,1068892801
Estancia Chilijchi,Estancia Chilijchi,,-18.5168,-64.5661,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,3.8,,,5,America/La_Paz,FALSE,1068257295
Rosario,Rosario,,-18.6850,-66.8350,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,13.3,,,4,America/La_Paz,FALSE,1068927139
Estancia Kutine,Estancia Kutine,,-15.5098,-69.1731,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,11.1,,,4,America/La_Paz,FALSE,1068002189
Bajo Santa Rosa,Bajo Santa Rosa,,-16.0320,-67.6306,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,27.1,,,4,America/La_Paz,FALSE,1068002988
Japu,Japu,Estancia Japu,-17.9000,-69.2000,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,1.3,,,5,America/La_Paz,FALSE,1068612739
Utanapu,Utanapu,,-17.0500,-68.9333,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,4.1,,,5,America/La_Paz,FALSE,1068025952
Achojchi Arriba,Achojchi Arriba,,-17.5056,-66.5648,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,14.3,,,4,America/La_Paz,FALSE,1068006375
Comunidad Okinawa,Comunidad Okinawa,,-17.1833,-62.9000,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,12.8,,,4,America/La_Paz,FALSE,1068215528
Egüez,Eguez,Egues,-17.6167,-61.6000,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,3.4,,,5,America/La_Paz,FALSE,1068216875
Pozos Blancos,Pozos Blancos,Pozos Blan|Pozo Blanco,-19.9833,-62.5833,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,0.6,,,5,America/La_Paz,FALSE,1068472679
Estancia Chua Grande,Estancia Chua Grande,,-16.1667,-68.7167,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,181.9,,,4,America/La_Paz,FALSE,1068849173
Merma,Merma,,-15.4833,-67.9000,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,4.5,,,5,America/La_Paz,FALSE,1068831185
Agrupación Agraria Lomerio Uno,Agrupacion Agraria Lomerio Uno,Agrupación Agraria Lomerio 1,-16.9701,-63.8590,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,5.6,,,5,America/La_Paz,FALSE,1068999800
Italaque,Italaque,,-15.4000,-69.0667,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,27.7,,,4,America/La_Paz,FALSE,1068245614
El Chaparral,El Chaparral,,-17.4167,-63.1500,Bolivia,BO,BOL,Santa Cruz,Santa Cruz,BO-S,department,,126.1,,,4,America/La_Paz,FALSE,1068227549
Chucanaqui,Chucanaqui,,-16.9374,-68.7151,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,10.8,,,4,America/La_Paz,FALSE,1068006115
Campesina Simbolar,Campesina Simbolar,,-21.8534,-63.4918,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,27.3,,,4,America/La_Paz,FALSE,1068004730
Jalita,Jalita,,-21.4667,-65.6500,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,8.1,,,5,America/La_Paz,FALSE,1068401402
Rillahua,Rillahua,Pillanua,-21.3500,-65.3000,Bolivia,BO,BOL,Tarija,Tarija,BO-T,department,,4.5,,,5,America/La_Paz,FALSE,1068414691
Cochichalla,Cochichalla,,-17.6333,-66.6833,Bolivia,BO,BOL,Cochabamba,Cochabamba,BO-C,department,,14.3,,,4,America/La_Paz,FALSE,1068163771
Capuyo,Capuyo,,-19.1759,-67.3982,Bolivia,BO,BOL,Oruro,Oruro,BO-O,department,,3.0,,,5,America/La_Paz,FALSE,1068964152
Jancoroyu,Jancoroyu,,-16.5428,-68.5368,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,47.9,,,4,America/La_Paz,FALSE,1068003758
Tuerochico,Tuerochico,,-19.3410,-65.2012,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,20.7,,,4,America/La_Paz,FALSE,1068047269
Estancia Huañica,Estancia Huanica,,-17.2833,-67.3000,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,10.3,,,4,America/La_Paz,FALSE,1068760369
Estancia Ajnuri,Estancia Ajnuri,,-17.0167,-68.7167,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,10.8,,,4,America/La_Paz,FALSE,1068311950
Camata,Camata,,-15.2405,-68.7479,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,12.9,,,4,America/La_Paz,FALSE,1068155591
Va Quien Quiera,Va Quien Quiera,,-11.1006,-69.1774,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,1.4,,,5,America/La_Paz,FALSE,1068272434
Va Quien Quiera,Va Quien Quiera,,-10.8431,-67.2081,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,0.7,,,5,America/La_Paz,TRUE,1068000939
Marcoma,Marcoma,,-18.9521,-65.6390,Bolivia,BO,BOL,Potosí,Potosi,BO-P,department,,15.4,,,4,America/La_Paz,FALSE,1068438277
Collana Chico Chililaya,Collana Chico Chililaya,,-16.2844,-68.5980,Bolivia,BO,BOL,La Paz,La Paz,BO-L,department,,69.2,,,4,America/La_Paz,FALSE,1068003390
Fica,Fica,Bon Fica|Bom Fica,-11.0500,-68.5000,Bolivia,BO,BOL,Pando,Pando,BO-N,department,,5.7,,,5,America/Rio_Branco,FALSE,1068918759
