city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Gaj,Gaj,,44.6751,17.7588,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,41.4,,,4,Europe/Sarajevo,TRUE,1070518759
Gaj,Gaj,,44.5675,17.8563,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,41.4,,,4,Europe/Sarajevo,TRUE,1070281008
Gaj,Gaj,,43.8483,18.7025,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,36.3,,,4,Europe/Sarajevo,TRUE,1070821356
Gaj,Gaj,,43.9703,19.4717,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,19.8,,,4,Europe/Sarajevo,TRUE,1070240883
Gaj,Gaj,,44.0298,18.7440,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,15.3,,,4,Europe/Sarajevo,TRUE,1070620661
Gaj,Gaj,,43.9634,18.9352,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,15.3,,,4,Europe/Sarajevo,TRUE,1070322275
Gaj,Gaj,,43.4225,18.9105,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,14.4,,,4,Europe/Sarajevo,TRUE,1070524359
Gaj,Gaj,,43.2949,18.2861,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,12.1,,,4,Europe/Sarajevo,TRUE,1070707396
Gaj,Gaj,Jasenice,43.2277,18.5704,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,10.5,,,4,Europe/Sarajevo,TRUE,1070806044
Gaj,Gaj,,43.1612,18.5991,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,10.5,,,4,Europe/Sarajevo,TRUE,1070693099
Kiseljak,Kiseljak,,44.5341,19.0546,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,126.9,,,4,Europe/Sarajevo,FALSE,1070848821
Trnovače,Trnovace,,44.3198,18.6940,Bosnia and Herzegovina,BA,BIH,"Bosnia and Herzegovina, Federation of","Bosnia and Herzegovina, Federation of",BA-BIH,federation,,37.4,,,4,Europe/Sarajevo,FALSE,1070422839
Selimovići,Selimovici,,44.5023,18.5450,Bosnia and Herzegovina,BA,BIH,"Bosnia and Herzegovina, Federation of","Bosnia and Herzegovina, Federation of",BA-BIH,federation,,279.9,,,3,Europe/Sarajevo,FALSE,1070269909
Selimovići,Selimovici,,44.5903,18.0247,Bosnia and Herzegovina,BA,BIH,"Bosnia and Herzegovina, Federation of","Bosnia and Herzegovina, Federation of",BA-BIH,federation,,235.1,,,3,Europe/Sarajevo,TRUE,1070942089
Selimovići,Selimovici,,44.9992,15.7931,Bosnia and Herzegovina,BA,BIH,"Bosnia and Herzegovina, Federation of","Bosnia and Herzegovina, Federation of",BA-BIH,federation,,159.5,,,4,Europe/Sarajevo,TRUE,1070326515
Selimovići,Selimovici,,44.9672,16.0947,Bosnia and Herzegovina,BA,BIH,"Bosnia and Herzegovina, Federation of","Bosnia and Herzegovina, Federation of",BA-BIH,federation,,43.7,,,4,Europe/Sarajevo,TRUE,1070193783
Selimovići,Selimovici,,44.0891,18.2480,Bosnia and Herzegovina,BA,BIH,"Bosnia and Herzegovina, Federation of","Bosnia and Herzegovina, Federation of",BA-BIH,federation,,21.5,,,4,Europe/Sarajevo,TRUE,1070230894
Jaklići,Jaklici,,44.0482,17.4503,Bosnia and Herzegovina,BA,BIH,"Bosnia and Herzegovina, Federation of","Bosnia and Herzegovina, Federation of",BA-BIH,federation,,86.9,,,4,Europe/Sarajevo,TRUE,1070585393
Johovica,Johovica,,44.8940,16.3747,Bosnia and Herzegovina,BA,BIH,"Srpska, Republika","Srpska, Republika",BA-SRP,republic,,72.7,,,4,Europe/Sarajevo,FALSE,1070163881
