city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Itamarati,Itamarati,Itamaraty,-21.4167,-42.8167,Brazil,BR,BRA,Minas Gerais,Minas Gerais,BR-MG,state,,1237.6,,,3,America/Sao_Paulo,FALSE,1076219645
Itamarati,Itamarati,Machado Mineiro|Machado,-15.5804,-41.4064,Brazil,BR,BRA,Minas Gerais,Minas Gerais,BR-MG,state,,457.9,,,3,America/Sao_Paulo,TRUE,1076000495
Dois Irmãos,Dois Irmaos,,-21.6833,-57.1667,Brazil,BR,BRA,Mato Grosso do Sul,Mato Grosso do Sul,BR-MS,state,,0.7,,,5,America/Campo_Grande,FALSE,1076005238
Miranga,Miranga,,-12.3667,-38.2500,Brazil,BR,BRA,Bahia,Bahia,BR-BA,state,,16.8,,,4,America/Bahia,FALSE,1076000781
Miranga,Miranga,,-12.2737,-38.1794,Brazil,BR,BRA,Bahia,Bahia,BR-BA,state,,7.2,,,5,America/Bahia,TRUE,1076002678
Miranga,Miranga,,-12.2737,-38.1794,Brazil,BR,BRA,Bahia,Bahia,BR-BA,state,,7.2,,,5,America/Bahia,TRUE,1076002679
Chapéu do Gato,Chapeu do Gato,,-12.0167,-40.7000,Brazil,BR,BRA,Bahia,Bahia,BR-BA,state,,4.4,,,5,America/Bahia,FALSE,1076458808
Itupeva,Itupeva,,-17.4831,-40.4689,Brazil,BR,BRA,Bahia,Bahia,BR-BA,state,,472.7,,,3,America/Bahia,FALSE,1076302567
Ingá,Inga,,-6.5167,-35.2833,Brazil,BR,BRA,Rio Grande do Norte,Rio Grande do Norte,BR-RN,state,,22.3,,,4,America/Fortaleza,FALSE,1076527421
Ingá,Inga,,-5.5333,-35.5833,Brazil,BR,BRA,Rio Grande do Norte,Rio Grande do Norte,BR-RN,state,,8.8,,,5,America/Fortaleza,TRUE,1076489721
Inga,Inga,,-5.9778,-36.2150,Brazil,BR,BRA,Rio Grande do Norte,Rio Grande do Norte,BR-RN,state,,5.0,,,5,America/Fortaleza,TRUE,1076011587
Ingá,Inga,,-5.9000,-36.0389,Brazil,BR,BRA,Rio Grande do Norte,Rio Grande do Norte,BR-RN,state,,3.5,,,5,America/Fortaleza,TRUE,1076746962
