city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Mezhda,Mezhda,Gyubel|Meshda,42.3406,26.2556,Bulgaria,BG,BGR,Yambol,Yambol,BG-28,province,,17.1,112,112,4,Europe/Sofia,FALSE,1100001031
Sharkovo,Sharkovo,Golyam Boyalŭk|Scharkowo|Golyem Boyalŭk,42.0521,26.8180,Bulgaria,BG,BGR,Yambol,Yambol,BG-28,province,,5.3,112,112,4,Europe/Sofia,FALSE,1100595548
Dobri Laki,Dobri Laki,,41.5833,23.0000,Bulgaria,BG,BGR,Blagoevgrad,Blagoevgrad,BG-01,province,,0.0,112,112,3,Europe/Sofia,FALSE,1100194064
Pleshivets,Pleshivets,Plashivets|Plaschiwe,43.5943,22.8285,Bulgaria,BG,BGR,Vidin,Vidin,BG-05,province,,14.3,112,112,4,Europe/Sofia,FALSE,1100729518
Rogozinovo,Rogozinovo,Khasŭrlii|Rogosinowo,41.9167,25.9667,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,34.1,112,112,3,Europe/Sofia,FALSE,1100499092
Tsirka,Tsirka,Zirka,41.5485,24.9887,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,74.7,112,112,4,Europe/Sofia,FALSE,1100237442
Kotlari,Kotlari,Kazandzhilar,41.6167,25.7500,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,19.7,111,111,3,Europe/Sofia,FALSE,1100036468
Devetak,Devetak,Pashskioy|Isitliy|Isitlii|Dewetak,42.5722,26.8250,Bulgaria,BG,BGR,Burgas,Burgas,BG-02,province,,29.7,111,111,3,Europe/Sofia,FALSE,1100722847
Prolaz,Prolaz,Prolas|Dervent|Dervemkiöj,43.1740,26.5006,Bulgaria,BG,BGR,Targovishte,Targovishte,BG-25,province,,78.3,111,111,4,Europe/Sofia,FALSE,1100267604
Priboy,Priboy,Priboi|Priboj,42.4955,22.9213,Bulgaria,BG,BGR,Pernik,Pernik,BG-14,province,,35.6,111,111,4,Europe/Sofia,FALSE,1100728899
Varben,Varben,Suyutchuk|Muslu Chalŭ|Musluchala|Wărben|Vŭrben,42.4231,24.9672,Bulgaria,BG,BGR,Plovdiv,Plovdiv,BG-16,province,,14.5,111,111,4,Europe/Sofia,FALSE,1100390025
Sokolovtsi,Sokolovtsi,Dolno Dere K’oy|Sokolowzi,41.6542,24.7585,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,39.3,111,111,4,Europe/Sofia,FALSE,1100275315
Angelariy,Angelariy,Soiacli|Angelarji|Soyaklii,43.8333,27.5333,Bulgaria,BG,BGR,Dobrich,Dobrich,BG-08,province,,28.3,111,111,3,Europe/Sofia,FALSE,1100388210
Kazatsite,Kazatsite,Kazaklŭ|Kasazite,41.4667,25.2833,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,41.1,111,111,3,Europe/Sofia,FALSE,1100318077
Alino,Alino,,42.3998,23.3831,Bulgaria,BG,BGR,Sofia,Sofia,BG-23,province,,31.5,111,111,4,Europe/Sofia,FALSE,1100695611
Konop,Konop,Kulfalar,43.1954,26.3387,Bulgaria,BG,BGR,Targovishte,Targovishte,BG-25,province,,11.3,110,110,4,Europe/Sofia,FALSE,1100095846
Gyurgich,Gyurgich,Gjuigitsch,43.5548,22.8789,Bulgaria,BG,BGR,Vidin,Vidin,BG-05,province,,14.5,110,110,4,Europe/Sofia,FALSE,1100452859
Hirevo,Hirevo,Khirva|Chirewo|Khirevo,42.9944,24.9875,Bulgaria,BG,BGR,Gabrovo,Gabrovo,BG-07,province,,27.7,110,110,3,Europe/Sofia,FALSE,1100737294
Lebed,Lebed,G’oldzhuk,41.4833,25.2167,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,41.1,110,110,3,Europe/Sofia,FALSE,1100452230
Pastrogor,Pastrogor,Pestrogor|Păstrogor|Ala Daglii|Aladag|Aladaa|Pŭstrogor,41.8500,26.2000,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,30.0,109,109,3,Europe/Sofia,FALSE,1100032470
Gorni Okol,Gorni Okol,,42.4650,23.5163,Bulgaria,BG,BGR,Razgrad,Razgrad,BG-17,province,,104.8,109,109,4,Europe/Sofia,FALSE,1100939519
Voditsa,Voditsa,Sudzhas-Kioi|Wodiza|Sudzhas K’oy,43.3667,27.7333,Bulgaria,BG,BGR,Varna,Varna,BG-03,province,,49.5,109,109,3,Europe/Sofia,FALSE,1100611331
Rashka Grashtitsa,Rashka Grashtitsa,Raška Graštica|Raška Grašica|Rashka Grashchitsa|Grashtitsa Rashka|Graschtiza-Raschka,42.2067,22.7783,Bulgaria,BG,BGR,Kyustendil,Kyustendil,BG-10,province,,4.8,109,109,3,Europe/Sofia,FALSE,1100797107
Blatnitsa,Blatnitsa,Sarŭ Gel|Sara G’ol|Blatniza|Sarŭ G’ol,42.3667,24.4167,Bulgaria,BG,BGR,Pazardzhik,Pazardzhik,BG-13,province,,23.3,109,109,3,Europe/Sofia,FALSE,1100246147
Lovtsite,Lovtsite,,41.6413,25.1903,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,51.6,109,109,3,Europe/Sofia,FALSE,1100247183
Indzhe Voyvoda,Indzhe Voyvoda,Urum-Jeniköi|Grŭiko Selo|Indshe-Wojwodar|Indje Voivoda|Urum-K’oy|Urum-Köi|Urumkiöj|Urum-Kyoy|Urum-Kjoj|Urum Kioi|Urum-Jenikeui|Indzhe Voivoda|Indže Vojvoda,42.2167,27.4167,Bulgaria,BG,BGR,Burgas,Burgas,BG-02,province,,24.4,109,109,3,Europe/Sofia,FALSE,1100881625
Belish,Belish,Belisch|Byelish,42.9333,24.7333,Bulgaria,BG,BGR,Lovech,Lovech,BG-11,province,,31.0,109,109,3,Europe/Sofia,FALSE,1100706008
Veselets,Veselets,Yaydzhilar|Wesselez|Murvatlar,43.0302,26.4850,Bulgaria,BG,BGR,Targovishte,Targovishte,BG-25,province,,46.3,109,109,4,Europe/Sofia,FALSE,1100583503
Rositsa,Rositsa,Grukhchova Makhala|Rosita|Rossiza|Tlukha Makhala,43.1569,25.3000,Bulgaria,BG,BGR,Veliko Tarnovo,Veliko Tarnovo,BG-04,province,,0.0,108,108,3,Europe/Sofia,FALSE,1100692867
Chala,Chala,Tschala,41.6305,24.3011,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,15.4,108,108,3,Europe/Sofia,FALSE,1100766211
Bistritsa,Bistritsa,Bistriza|Bistrica,42.0500,23.1833,Bulgaria,BG,BGR,Blagoevgrad,Blagoevgrad,BG-01,province,,0.6,108,108,3,Europe/Sofia,FALSE,1100263832
Granichar,Granichar,Graničar|Panichar|Bŭltuareya|Akŭndzhii|Acangiz|Vâltoarea|Akandshii,43.7210,28.5030,Bulgaria,BG,BGR,Dobrich,Dobrich,BG-08,province,,14.4,108,108,3,Europe/Sofia,FALSE,1100513786
Churka,Churka,Tschurka,41.5152,24.9196,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,74.7,108,108,4,Europe/Sofia,FALSE,1100346419
Vladimir,Vladimir,Makhala Vladimir|Machla Wladimir,42.4424,23.0826,Bulgaria,BG,BGR,Pernik,Pernik,BG-14,province,,35.6,108,108,4,Europe/Sofia,FALSE,1100020792
Bersin,Bersin,Berssin,42.2444,22.7769,Bulgaria,BG,BGR,Kyustendil,Kyustendil,BG-10,province,,51.7,108,108,3,Europe/Sofia,FALSE,1100381684
Hromitsa,Hromitsa,Khromitsa,41.6169,25.2000,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,32.9,107,107,3,Europe/Sofia,FALSE,1100438564
Zhiten,Zhiten,Tschamurlii|Bogdali-Ceamurli|Aiten|Bogdaylŭ Chamurlii,43.8139,27.8944,Bulgaria,BG,BGR,Dobrich,Dobrich,BG-08,province,,13.1,107,107,3,Europe/Sofia,FALSE,1100971792
Trigortsi,Trigortsi,Dzheferli Yuch Orman|Geaferli-Iuciorman|Geaferli-Iucierman|Dshafarli-Jütch-Orman|Dzhaferli Yuch Orman|Trigorci,43.5333,28.2000,Bulgaria,BG,BGR,Dobrich,Dobrich,BG-08,province,,33.1,107,107,3,Europe/Sofia,FALSE,1100479619
Polkovnik Sveshtarovo,Polkovnik Sveshtarovo,Polkownik Sweštarowo|Bash Bunar|Baschbunar|Bas-Bunar|Aidăntschucha|Aidan-Ciufa,43.5500,27.9333,Bulgaria,BG,BGR,Dobrich,Dobrich,BG-08,province,,65.0,107,107,3,Europe/Sofia,FALSE,1100468702
Branitsa,Branitsa,Naboskno|Salikhler|Nabozhno,42.0000,26.0833,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,34.1,107,107,3,Europe/Sofia,FALSE,1100363482
Churicheni,Churicheni,Tschuritschene,41.4500,23.1333,Bulgaria,BG,BGR,Blagoevgrad,Blagoevgrad,BG-01,province,,0.0,107,107,3,Europe/Sofia,FALSE,1100548179
Botevo,Botevo,Bot’ovo|Botiowo|Yushenlii,43.4333,27.7167,Bulgaria,BG,BGR,Varna,Varna,BG-03,province,,49.5,107,107,3,Europe/Sofia,FALSE,1100699262
Zheglitsa,Zheglitsa,Shegliza,43.8803,22.7983,Bulgaria,BG,BGR,Vidin,Vidin,BG-05,province,,100.7,107,107,4,Europe/Sofia,FALSE,1100296963
Kalaydzhii,Kalaydzhii,Kalaydzhilari|Kalaidzhiy|Kalaidshii,43.0427,26.0157,Bulgaria,BG,BGR,Veliko Tarnovo,Veliko Tarnovo,BG-04,province,,13.3,107,107,4,Europe/Sofia,FALSE,1100630785
Manaselska Reka,Manaselska Reka,Manaselska-Ryeka|Manasselska Reka,43.0420,24.0205,Bulgaria,BG,BGR,Sofia,Sofia,BG-23,province,,23.8,106,106,4,Europe/Sofia,FALSE,1100986388
Baba Tonka,Baba Tonka,Karaveler|Karaveller,43.2503,26.1638,Bulgaria,BG,BGR,Targovishte,Targovishte,BG-25,province,,31.9,106,106,4,Europe/Sofia,FALSE,1100301673
Lyubino,Lyubino,Ljubino|Yumerler,41.6645,25.1168,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,9.7,105,105,3,Europe/Sofia,FALSE,1100072948
Dvorishte,Dvorishte,Dworischte,42.3381,22.7500,Bulgaria,BG,BGR,Kyustendil,Kyustendil,BG-10,province,,52.1,105,105,3,Europe/Sofia,FALSE,1100272225
Staro Selo,Staro Selo,,42.4831,23.1007,Bulgaria,BG,BGR,Pernik,Pernik,BG-14,province,,44.0,105,105,4,Europe/Sofia,FALSE,1100465887
Lyaskovo,Lyaskovo,Pandakliy|Leskowo|Pŭndadzhik|Leskovo,42.4051,25.4949,Bulgaria,BG,BGR,Stara Zagora,Stara Zagora,BG-24,province,,146.4,105,105,4,Europe/Sofia,FALSE,1100813190
Metlika,Metlika,Murad Pashalar,41.4167,25.6000,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,20.5,105,105,3,Europe/Sofia,FALSE,1100956095
Borintsi,Borintsi,Kersenlŭk|Kersenlik|Borinzi,42.9342,26.2174,Bulgaria,BG,BGR,Sliven,Sliven,BG-20,province,,23.1,105,105,4,Europe/Sofia,FALSE,1100087860
Tranito,Tranito,Trŭnito,42.8667,25.2167,Bulgaria,BG,BGR,Gabrovo,Gabrovo,BG-07,province,,98.7,105,105,3,Europe/Sofia,FALSE,1100989958
Tsarichino,Tsarichino,Idiris Kuyusu|Idiriskujussu|Momchil|Caričino|Idriscuius,43.4500,28.1833,Bulgaria,BG,BGR,Dobrich,Dobrich,BG-08,province,,33.1,105,105,3,Europe/Sofia,FALSE,1100529851
Kobilino,Kobilino,Ateren,41.5000,26.0000,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,7.5,105,105,3,Europe/Sofia,FALSE,1100125525
Egalnitsa,Egalnitsa,Egălniza|Egŭlnitsa,42.4743,22.8546,Bulgaria,BG,BGR,Pernik,Pernik,BG-14,province,,13.1,105,105,4,Europe/Sofia,FALSE,1100863676
Ravnil,Ravnil,Rawnil,41.5301,24.9766,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,74.7,105,105,4,Europe/Sofia,FALSE,1100713567
Zlatari,Zlatari,Koemdzhi Gidik|Polkovnik Zlatarevo|Polkov-Zlatarevo|Polkownik Slatarewo,42.3924,26.2092,Bulgaria,BG,BGR,Yambol,Yambol,BG-28,province,,33.2,104,104,4,Europe/Sofia,FALSE,1100680508
Sivino,Sivino,Tekir|Siwino,41.4525,24.6911,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,39.3,104,104,4,Europe/Sofia,FALSE,1100943680
Binkos,Binkos,Rinkos,42.6485,26.0964,Bulgaria,BG,BGR,Sliven,Sliven,BG-20,province,,85.6,104,104,4,Europe/Sofia,FALSE,1100269917
Belokopitovo,Belokopitovo,Byalo Kopitovo|Bjalo-Kopitovo|Biela Kopitovo|Belo Kopitowo|Kauklii|Byelokopitovo,43.3328,26.8982,Bulgaria,BG,BGR,Shumen,Shumen,BG-27,province,,123.0,104,104,4,Europe/Sofia,FALSE,1100811423
Izgrev,Izgrev,Izgryev|Gyun-Dogdu|Gjun-Dogdu|Isgrew|Giun Dogdu|Isgrev,43.3000,27.7000,Bulgaria,BG,BGR,Varna,Varna,BG-03,province,,39.4,104,104,3,Europe/Sofia,FALSE,1100520757
General Marinovo,General Marinovo,Musumane|General Marinowo,44.0004,22.7478,Bulgaria,BG,BGR,Vidin,Vidin,BG-05,province,,100.7,103,103,4,Europe/Sofia,FALSE,1100724504
Zhrebino,Zhrebino,Bashatlii|Shrebino,42.2450,26.7070,Bulgaria,BG,BGR,Yambol,Yambol,BG-28,province,,18.6,103,103,4,Europe/Sofia,FALSE,1100056348
Bobovets,Bobovets,Veis K’oy|Weisikioj|Bobowec,43.4333,28.0833,Bulgaria,BG,BGR,Dobrich,Dobrich,BG-08,province,,33.1,103,103,3,Europe/Sofia,FALSE,1100096305
Tsaparevo,Tsaparevo,Zaparewo,41.6333,23.1000,Bulgaria,BG,BGR,Blagoevgrad,Blagoevgrad,BG-01,province,,0.0,103,103,3,Europe/Sofia,FALSE,1100154145
Medven,Medven,Papaskioy|Medwen,42.8422,26.5580,Bulgaria,BG,BGR,Sliven,Sliven,BG-20,province,,23.1,102,102,4,Europe/Sofia,FALSE,1100069307
Selska Polyana,Selska Polyana,K’oy Alan|Selska Poljana,41.7167,25.8333,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,5.4,102,102,3,Europe/Sofia,FALSE,1100651039
Svoboda,Svoboda,Zar Boris|Kepelie|Tsar Boris,42.3833,24.3333,Bulgaria,BG,BGR,Pazardzhik,Pazardzhik,BG-13,province,,21.4,102,102,3,Europe/Sofia,FALSE,1100525494
Rodopi,Rodopi,,41.9167,25.7667,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,119.3,102,102,3,Europe/Sofia,FALSE,1100982007
Rogozari,Rogozari,Khasardzhilar|Rogosari,41.4667,25.3500,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,41.1,102,102,3,Europe/Sofia,FALSE,1100915352
Ochindol,Ochindol,Otschin Dol,43.1000,23.4667,Bulgaria,BG,BGR,Vratsa,Vratsa,BG-06,province,,3.6,102,102,3,Europe/Sofia,FALSE,1100652579
Strizhba,Strizhba,Strishba|Kurkŭm,41.3000,25.4500,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,37.7,102,102,3,Europe/Sofia,FALSE,1100397656
Strelets,Strelets,Talashmanliy|Talashmanlii|Stryelets|Strelez,42.2959,25.7444,Bulgaria,BG,BGR,Stara Zagora,Stara Zagora,BG-24,province,,146.4,102,102,4,Europe/Sofia,FALSE,1100787118
Podslon,Podslon,Tsar’ovo|Zariowo|Tsarevo|Kara Bunar,42.4722,25.8703,Bulgaria,BG,BGR,Stara Zagora,Stara Zagora,BG-24,province,,146.4,101,101,4,Europe/Sofia,FALSE,1100179843
Yonchovo,Yonchovo,Ionchovo|Kirez Tŭrla|Yonchevo|Jontschowo,41.8487,25.2004,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,8.1,101,101,3,Europe/Sofia,FALSE,1100727195
Suhozem,Suhozem,Kuru Khimitlii|Suchosem|Kuru Khimitliy|Sukhozem,42.4167,24.8667,Bulgaria,BG,BGR,Plovdiv,Plovdiv,BG-16,province,,6.4,101,101,3,Europe/Sofia,FALSE,1100976592
Sestrinsko,Sestrinsko,Khotaklar|Khatanlar,41.7167,25.6333,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,120.6,101,101,3,Europe/Sofia,FALSE,1100994978
Batulia,Batulia,Batulija|Batuliya,42.8833,23.4333,Bulgaria,BG,BGR,Sofia,Sofia,BG-23,province,,22.7,101,101,3,Europe/Sofia,FALSE,1100752468
Klisura,Klisura,Klissura,42.7196,23.0798,Bulgaria,BG,BGR,Sofia-Grad,Sofia-Grad,BG-22,province,,1064.3,101,101,3,Europe/Sofia,FALSE,1100170548
Kaklitsa,Kaklitsa,Ezedenli|Kŭklitsa,41.4167,25.7500,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,19.8,101,101,3,Europe/Sofia,FALSE,1100475734
Paisiy,Paisiy,Arnautlii|Paissii|Arnautli,43.3091,25.8286,Bulgaria,BG,BGR,Veliko Tarnovo,Veliko Tarnovo,BG-04,province,,9.3,101,101,3,Europe/Sofia,FALSE,1100867166
Chetirtsi,Chetirtsi,Tschetirzi,42.2406,22.8808,Bulgaria,BG,BGR,Kyustendil,Kyustendil,BG-10,province,,4.8,101,101,3,Europe/Sofia,FALSE,1100888069
Varli Dol,Varli Dol,Vŭrli Dol,41.4650,25.0222,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,59.6,101,101,4,Europe/Sofia,FALSE,1100989286
Varlino,Varlino,Vŭrlino,41.4696,25.1610,Bulgaria,BG,BGR,Smolyan,Smolyan,BG-21,province,,70.5,100,100,4,Europe/Sofia,FALSE,1100596797
Plovka,Plovka,Tyurk Geve|Plowka,41.4000,25.4667,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,37.7,100,100,3,Europe/Sofia,FALSE,1100224682
Novo Yankovo,Novo Yankovo,Eni Makhle|Yankovo Eni Makhle|Yankovo-Novo|Nowo-Jankowo,43.0655,27.1694,Bulgaria,BG,BGR,Shumen,Shumen,BG-27,province,,12.8,100,100,4,Europe/Sofia,FALSE,1100744734
Gugutka,Gugutka,Gukutka|Anaut-K’oy|Arnaut-Kjoj|Arnaut-K’oy,41.4167,25.9167,Bulgaria,BG,BGR,Haskovo,Haskovo,BG-26,province,,7.5,100,100,3,Europe/Sofia,FALSE,1100744224
Tatul,Tatul,Adzhioluk,41.5536,25.5412,Bulgaria,BG,BGR,Kardzhali,Kardzhali,BG-09,province,,42.6,100,100,3,Europe/Sofia,FALSE,1100155985
