city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Pyinmagon,Pyinmagon,,16.8388,96.5967,Burma,MM,MMR,Yangon,Yangon,MM-06,region,,261.1,,,3,Asia/Yangon,TRUE,1104109829
Pyinmagon,Pyinmagon,,17.4145,95.8114,Burma,MM,MMR,Yangon,Yangon,MM-06,region,,177.9,,,4,Asia/Yangon,TRUE,1104988948
Thegyaw,Thegyaw,,18.4253,95.4603,Burma,MM,MMR,Bago,Bago,MM-02,region,,143.3,,,4,Asia/Yangon,FALSE,1104466700
Maung Gwet Taw,Maung Gwet Taw,,21.1174,95.1694,Burma,MM,MMR,Mandalay,Mandalay,MM-04,region,,109.8,,,4,Asia/Yangon,FALSE,1104003816
Konuba,Konuba,,18.0154,97.4829,Burma,MM,MMR,Kayin State,Kayin State,MM-13,state,,2.6,,,5,Asia/Yangon,FALSE,1104530459
Hlaingkawe,Hlaingkawe,,15.9588,97.9873,Burma,MM,MMR,Kayin State,Kayin State,MM-13,state,,60.5,,,4,Asia/Yangon,FALSE,1104526459
Chaungwa,Chaungwa,Chaunggwa|Choungwa,18.1334,96.2831,Burma,MM,MMR,Bago,Bago,MM-02,region,,84.1,,,4,Asia/Yangon,FALSE,1104458354
Chaungwa,Chaungwa,,17.6253,96.9425,Burma,MM,MMR,Bago,Bago,MM-02,region,,42.2,,,4,Asia/Yangon,TRUE,1104757062
Chaungwa,Chaungwa,,19.4019,94.8889,Burma,MM,MMR,Magway,Magway,MM-03,region,,20.8,,,4,Asia/Yangon,FALSE,1104790798
Chaungwa,Chaungwa,Chawngwa,22.9852,94.3559,Burma,MM,MMR,Sagaing,Sagaing,MM-01,region,,25.9,,,4,Asia/Yangon,FALSE,1104901593
Chaungwa,Chaungwa,Chaunggwa,16.8369,96.3182,Burma,MM,MMR,Yangon,Yangon,MM-06,region,,829.0,,,3,Asia/Yangon,FALSE,1104895082
Chaungwa,Chaungwa,,16.7224,96.5295,Burma,MM,MMR,Yangon,Yangon,MM-06,region,,246.9,,,3,Asia/Yangon,TRUE,1104585764
Chaungwa,Chaungwa,,17.1480,96.2139,Burma,MM,MMR,Yangon,Yangon,MM-06,region,,200.9,,,3,Asia/Yangon,TRUE,1104000621
Chaungwa,Chaungwa,,17.1413,95.7827,Burma,MM,MMR,Ayeyarwady,Ayeyarwady,MM-07,region,,235.9,,,3,Asia/Yangon,FALSE,1104877485
Chaungwa,Chaungwa,,16.3062,95.9739,Burma,MM,MMR,Ayeyarwady,Ayeyarwady,MM-07,region,,206.4,,,3,Asia/Yangon,TRUE,1104835126
Chaungwa,Chaungwa,,13.9333,98.9500,Burma,MM,MMR,Tanintharyi,Tanintharyi,MM-05,region,,25.4,,,4,Asia/Yangon,FALSE,1104424863
Maingtwedaung,Maingtwedaung,,11.9102,98.7130,Burma,MM,MMR,Tanintharyi,Tanintharyi,MM-05,region,,42.2,,,4,Asia/Yangon,FALSE,1104240478
Hla Laung Pan,Hla Laung Pan,,21.2296,93.9894,Burma,MM,MMR,Chin State,Chin State,MM-14,state,,8.4,,,5,Asia/Yangon,FALSE,1104001022
Ting Hun,Ting Hun,,24.2829,96.6802,Burma,MM,MMR,Kachin State,Kachin State,MM-11,state,,69.8,,,4,Asia/Yangon,FALSE,1104007443
Mienmaw,Mienmaw,,25.7400,96.3423,Burma,MM,MMR,Kachin State,Kachin State,MM-11,state,,74.0,,,4,Asia/Yangon,FALSE,1104660327
Thinbangon,Thinbangon,,18.0162,96.6665,Burma,MM,MMR,Bago,Bago,MM-02,region,,263.2,,,3,Asia/Yangon,FALSE,1104676750
Namhū-tā-hsau,Namhu-ta-hsau,,20.9355,98.0451,Burma,MM,MMR,Shan State,Shan State,MM-17,state,,16.7,,,4,Asia/Yangon,FALSE,1104368918
Myomi,Myomi,,19.2236,95.5943,Burma,MM,MMR,Magway,Magway,MM-03,region,,80.2,,,4,Asia/Yangon,FALSE,1104182483
Thinbangon,Thinbangon,,21.9110,96.1279,Burma,MM,MMR,Mandalay,Mandalay,MM-04,region,,8026.3,,,2,Asia/Yangon,FALSE,1104589199
Umkun,Umkun,,20.5825,97.8888,Burma,MM,MMR,Shan State,Shan State,MM-17,state,,14.1,,,4,Asia/Yangon,FALSE,1104066152
