city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Gitara,Gitara,,-3.9061,30.2198,Burundi,BI,BDI,Rutana,Rutana,BI-RT,province,,361.1,,,3,Africa/Bujumbura,FALSE,1108393526
Kimpotera,Kimpotera,,-2.7935,30.3299,Burundi,BI,BDI,Muyinga,Muyinga,BI-MY,province,,549.0,,,3,Africa/Bujumbura,FALSE,1108739515
Musaga-Kamesa,Musaga-Kamesa,Musega-Kamesa,-3.4240,29.3788,Burundi,BI,BDI,Bujumbura Mairie,Bujumbura Mairie,BI-BM,province,,9106.9,,,2,Africa/Bujumbura,FALSE,1108520637
Kamayi,Kamayi,,-2.4656,30.0777,Burundi,BI,BDI,Kirundo,Kirundo,BI-KI,province,,633.2,,,3,Africa/Bujumbura,FALSE,1108547230
Masama,Masama,,-3.0562,29.8155,Burundi,BI,BDI,Kayanza,Kayanza,BI-KY,province,,1147.3,,,3,Africa/Bujumbura,FALSE,1108207764
Musongati,Musongati,,-4.0098,29.8371,Burundi,BI,BDI,Rutana,Rutana,BI-RT,province,,255.1,,,3,Africa/Bujumbura,FALSE,1108415317
Musongati,Musongati,,-3.7289,30.1011,Burundi,BI,BDI,Rutana,Rutana,BI-RT,province,,234.7,,,3,Africa/Bujumbura,TRUE,1108994161
Uwinryame,Uwinryame,,-3.6136,29.5623,Burundi,BI,BDI,Bururi,Bururi,BI-BR,province,,254.8,,,3,Africa/Bujumbura,FALSE,1108357127
Bambu,Bambu,,-2.8673,29.2207,Burundi,BI,BDI,Cibitoke,Cibitoke,BI-CI,province,,356.7,,,3,Africa/Bujumbura,FALSE,1108003880
Nkekema,Nkekema,,-2.9153,30.3971,Burundi,BI,BDI,Muyinga,Muyinga,BI-MY,province,,244.4,,,3,Africa/Bujumbura,FALSE,1108793294
Kabayanda,Kabayanda,,-2.9858,29.6742,Burundi,BI,BDI,Kayanza,Kayanza,BI-KY,province,,840.3,,,3,Africa/Bujumbura,FALSE,1108646842
Higiro,Higiro,,-2.4777,30.1747,Burundi,BI,BDI,Kirundo,Kirundo,BI-KI,province,,572.4,,,3,Africa/Bujumbura,FALSE,1108079911
Kanyererwe,Kanyererwe,,-3.7610,30.2141,Burundi,BI,BDI,Rutana,Rutana,BI-RT,province,,361.1,,,3,Africa/Bujumbura,FALSE,1108642248
Gisoro,Gisoro,,-3.4328,30.3214,Burundi,BI,BDI,Ruyigi,Ruyigi,BI-RY,province,,261.0,,,3,Africa/Bujumbura,FALSE,1108663405
Gitwenge,Gitwenge,,-3.1947,30.7050,Burundi,BI,BDI,Cankuzo,Cankuzo,BI-CA,province,,233.6,,,3,Africa/Bujumbura,FALSE,1108315389
Bushoka,Bushoka,,-3.0943,29.8080,Burundi,BI,BDI,Kayanza,Kayanza,BI-KY,province,,1143.5,,,3,Africa/Bujumbura,FALSE,1108767013
Gisoro,Gisoro,Kisoro,-3.7060,30.2056,Burundi,BI,BDI,Rutana,Rutana,BI-RT,province,,210.4,,,3,Africa/Bujumbura,FALSE,1108029725
Murehe,Murehe,,-3.5268,30.2690,Burundi,BI,BDI,Ruyigi,Ruyigi,BI-RY,province,,449.4,,,3,Africa/Bujumbura,FALSE,1108482913
Murehe,Murehe,,-3.4618,30.5187,Burundi,BI,BDI,Ruyigi,Ruyigi,BI-RY,province,,354.4,,,3,Africa/Bujumbura,TRUE,1108050573
Murehe,Murehe,,-3.4869,30.2382,Burundi,BI,BDI,Ruyigi,Ruyigi,BI-RY,province,,261.0,,,3,Africa/Bujumbura,TRUE,1108989161
Murehe,Murehe,,-3.9463,30.1200,Burundi,BI,BDI,Rutana,Rutana,BI-RT,province,,361.1,,,3,Africa/Bujumbura,FALSE,1108936853
Musave,Musave,,-2.4775,30.3646,Burundi,BI,BDI,Kirundo,Kirundo,BI-KI,province,,529.8,,,3,Africa/Bujumbura,FALSE,1108001962
Ruzingati,Ruzingati,,-2.9787,29.7593,Burundi,BI,BDI,Kayanza,Kayanza,BI-KY,province,,683.4,,,3,Africa/Bujumbura,FALSE,1108987283
Nyamikungugu,Nyamikungugu,,-3.1072,29.8168,Burundi,BI,BDI,Kayanza,Kayanza,BI-KY,province,,768.5,,,3,Africa/Bujumbura,FALSE,1108551467
Zaga,Zaga,,-2.7700,30.2192,Burundi,BI,BDI,Muyinga,Muyinga,BI-MY,province,,448.0,,,3,Africa/Bujumbura,FALSE,1108071560
Gatunguru,Gatunguru,,-3.4399,30.2110,Burundi,BI,BDI,Ruyigi,Ruyigi,BI-RY,province,,261.0,,,3,Africa/Bujumbura,FALSE,1108460264
Kiyange,Kiyange,,-3.5072,29.9554,Burundi,BI,BDI,Gitega,Gitega,BI-GI,province,,377.5,,,3,Africa/Bujumbura,FALSE,1108847179
Ruhoha,Ruhoha,,-2.9729,30.3168,Burundi,BI,BDI,Muyinga,Muyinga,BI-MY,province,,244.4,,,3,Africa/Bujumbura,FALSE,1108146571
Gasarara,Gasarara,,-3.9776,29.8654,Burundi,BI,BDI,Rutana,Rutana,BI-RT,province,,255.1,,,3,Africa/Bujumbura,FALSE,1108325911
Nyanga,Nyanga,,-3.1613,29.9512,Burundi,BI,BDI,Gitega,Gitega,BI-GI,province,,476.1,,,3,Africa/Bujumbura,FALSE,1108839496
Mutoyi,Mutoyi,,-3.2552,29.9799,Burundi,BI,BDI,Gitega,Gitega,BI-GI,province,,476.8,,,3,Africa/Bujumbura,FALSE,1108137894
Gitunguru,Gitunguru,,-3.5719,30.2688,Burundi,BI,BDI,Ruyigi,Ruyigi,BI-RY,province,,449.4,,,3,Africa/Bujumbura,FALSE,1108452411
Mangoma,Mangoma,,-2.6074,30.4021,Burundi,BI,BDI,Muyinga,Muyinga,BI-MY,province,,1239.4,,,3,Africa/Bujumbura,FALSE,1108986796
Bihanga,Bihanga,,-3.7824,29.6409,Burundi,BI,BDI,Bururi,Bururi,BI-BR,province,,293.2,,,3,Africa/Bujumbura,FALSE,1108011926
Kabungere,Kabungere,,-3.3482,29.8722,Burundi,BI,BDI,Gitega,Gitega,BI-GI,province,,513.2,,,3,Africa/Bujumbura,FALSE,1108286522
Jabiro,Jabiro,,-2.6636,29.9937,Burundi,BI,BDI,Kirundo,Kirundo,BI-KI,province,,511.9,,,3,Africa/Bujumbura,FALSE,1108211168
Maranga,Maranga,,-2.9937,29.3387,Burundi,BI,BDI,Cibitoke,Cibitoke,BI-CI,province,,358.0,,,3,Africa/Bujumbura,FALSE,1108799440
Gihoma,Gihoma,,-3.0541,30.2845,Burundi,BI,BDI,Muyinga,Muyinga,BI-MY,province,,311.8,,,3,Africa/Bujumbura,FALSE,1108773010
Kuwigitabu,Kuwigitabu,,-3.3141,30.0939,Burundi,BI,BDI,Karuzi,Karuzi,BI-KR,province,,381.7,,,3,Africa/Bujumbura,FALSE,1108068173
Kironga,Kironga,,-3.1575,29.7207,Burundi,BI,BDI,Kayanza,Kayanza,BI-KY,province,,854.9,,,3,Africa/Bujumbura,FALSE,1108159179
Gihoma,Gihoma,,-3.4317,29.7577,Burundi,BI,BDI,Mwaro,Mwaro,BI-MW,province,,501.4,,,3,Africa/Bujumbura,FALSE,1108378188
Kagoti,Kagoti,,-2.9096,29.3996,Burundi,BI,BDI,Cibitoke,Cibitoke,BI-CI,province,,279.2,,,3,Africa/Bujumbura,FALSE,1108190836
Mpunju,Mpunju,,-3.6953,29.9286,Burundi,BI,BDI,Gitega,Gitega,BI-GI,province,,375.5,,,3,Africa/Bujumbura,FALSE,1108798048
Runama,Runama,,-2.6407,30.2230,Burundi,BI,BDI,Kirundo,Kirundo,BI-KI,province,,369.2,,,3,Africa/Bujumbura,FALSE,1108781532
Masama-Buhiga,Masama-Buhiga,Buhiga|Masama,-2.9077,29.7680,Burundi,BI,BDI,Ngozi,Ngozi,BI-NG,province,,1461.6,,,3,Africa/Bujumbura,FALSE,1108827975
Gitongo,Gitongo,Kitongo,-3.1827,29.8728,Burundi,BI,BDI,Gitega,Gitega,BI-GI,province,,512.4,,,3,Africa/Bujumbura,FALSE,1108764064
Gasurubwe,Gasurubwe,,-2.9534,29.2936,Burundi,BI,BDI,Cibitoke,Cibitoke,BI-CI,province,,356.7,,,3,Africa/Bujumbura,FALSE,1108858277
Rusabagi,Rusabagi,,-3.3370,29.3503,Burundi,BI,BDI,Bujumbura Mairie,Bujumbura Mairie,BI-BM,province,,1861.8,,,3,Africa/Bujumbura,FALSE,1108535496
Kibezi,Kibezi,,-3.0979,30.0090,Burundi,BI,BDI,Karuzi,Karuzi,BI-KR,province,,401.5,,,3,Africa/Bujumbura,FALSE,1108239730
