city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Mindelo,Mindelo,Mihdelo|Mindello,16.8860,-24.9880,"Cabo Verde",CV,CPV,"São Vicente","Sao Vicente",CV-SV,municipality,admin,379.2,70468,70468,2,Atlantic/Cape_Verde,FALSE,1132180389
Praia,Praia,,14.9180,-23.5090,"Cabo Verde",CV,CPV,Praia,Praia,CV-PR,municipality,primary,154.3,61644,61644,1,Atlantic/Cape_Verde,FALSE,1132398770
"São Filipe","Sao Filipe","Vila de São Filippe|Vila São Filipe",14.8950,-24.4980,"Cabo Verde",CV,CPV,"São Filipe","Sao Filipe",CV-SF,municipality,admin,27.1,22227,22227,2,Atlantic/Cape_Verde,FALSE,1132693257
"Ribeira Grande","Ribeira Grande",,17.1830,-25.0650,"Cabo Verde",CV,CPV,"Ribeira Grande","Ribeira Grande",CV-RG,municipality,admin,144.4,18890,18890,2,Atlantic/Cape_Verde,FALSE,1132061543
Tarrafal,Tarrafal,"Vila do Tarrafal",15.2780,-23.7520,"Cabo Verde",CV,CPV,Tarrafal,Tarrafal,CV-TA,municipality,admin,153.7,18561,18561,2,Atlantic/Cape_Verde,FALSE,1132834308
"Porto Novo","Porto Novo","Vila do Pôrto Novo|Carvoeiros",17.0190,-25.0640,"Cabo Verde",CV,CPV,"Porto Novo","Porto Novo",CV-PN,municipality,admin,10.1,18028,18028,2,Atlantic/Cape_Verde,FALSE,1132233840
Assomada,Assomada,Assumada,15.0960,-23.6670,"Cabo Verde",CV,CPV,"Santa Catarina","Santa Catarina",CV-CA,municipality,admin,164.1,12026,12026,2,Atlantic/Cape_Verde,FALSE,1132845019
"Pedra Badejo","Pedra Badejo",,15.1370,-23.5340,"Cabo Verde",CV,CPV,"Santa Cruz","Santa Cruz",CV-CR,municipality,admin,71.2,9530,9530,2,Atlantic/Cape_Verde,FALSE,1132841923
"Sal Rei","Sal Rei","Sal-Rel|Vila de Sal Rei",16.1770,-22.9180,"Cabo Verde",CV,CPV,"Boa Vista","Boa Vista",CV-BV,municipality,admin,31.5,6357,6357,2,Atlantic/Cape_Verde,FALSE,1132420232
Espargos,Espargos,Preguiça,16.7560,-22.9460,"Cabo Verde",CV,CPV,Sal,Sal,CV-SL,municipality,admin,102.7,6173,6173,2,Atlantic/Cape_Verde,FALSE,1132760152
Tarrafal,Tarrafal,"Tarrafal de São Nicolau",16.5660,-24.3570,"Cabo Verde",CV,CPV,"Tarrafal de São Nicolau","Tarrafal de Sao Nicolau",CV-TS,municipality,admin,44.4,5237,5237,2,Atlantic/Cape_Verde,FALSE,1132502171
"Ponta do Sol","Ponta do Sol","Sol Point",17.2020,-25.0930,"Cabo Verde",CV,CPV,"Ribeira Grande","Ribeira Grande",CV-RG,municipality,admin,144.4,4738,4738,2,Atlantic/Cape_Verde,FALSE,1132137257
"Calheta de São Miguel","Calheta de Sao Miguel",Calheta,15.1860,-23.5930,"Cabo Verde",CV,CPV,"São Miguel","Sao Miguel",CV-SM,municipality,admin,87.0,4123,4123,2,Atlantic/Cape_Verde,FALSE,1132750609
"Porto Inglês","Porto Ingles","Nossa Senhora da Luz|Vila do Maio|Porto Inglez|Maio|Port Ingles|Vila do Porto Inglês",15.1380,-23.2110,"Cabo Verde",CV,CPV,Maio,Maio,CV-MA,municipality,admin,24.6,3056,3056,2,Atlantic/Cape_Verde,FALSE,1132346974
"São Domingos","Sao Domingos",,15.0280,-23.5630,"Cabo Verde",CV,CPV,"São Domingos","Sao Domingos",CV-SD,municipality,admin,90.3,2818,2818,2,Atlantic/Cape_Verde,FALSE,1132246964
