city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ta Kok Chray,Ta Kok Chray,,13.5834,107.2846,Cambodia,KH,KHM,Ratanakiri,Ratanakiri,KH-16,province,,10.3,,,4,Asia/Phnom_Penh,FALSE,1116000733
Sangkae Vear,Sangkae Vear,Phumĭ Sângkêr Véal|Phum Sangkévéa,13.2347,102.8736,Cambodia,KH,KHM,Battambang,Battambang,KH-2,province,,410.4,,,3,Asia/Phnom_Penh,FALSE,1116755320
Phumĭ Sâsâr Khmor,Phumi Sasar Khmor,,13.1881,104.2313,Cambodia,KH,KHM,Siem Reap,Siem Reap,KH-17,province,,116.0,,,4,Asia/Phnom_Penh,FALSE,1116337248
Phumĭ Tăng Koŭk,Phumi Tang Kouk,Phum Tang Koh,12.4632,103.5678,Cambodia,KH,KHM,Pursat,Pursat,KH-15,province,,128.8,,,4,Asia/Phnom_Penh,FALSE,1116000032
Ta Luh,Ta Luh,Phum Ta Lŭs,12.4403,106.0301,Cambodia,KH,KHM,Kratie,Kratie,KH-10,province,,124.4,,,4,Asia/Phnom_Penh,FALSE,1116518240
Phum Réam Kŭn,Phum Ream Kun,,12.7733,103.4537,Cambodia,KH,KHM,Battambang,Battambang,KH-2,province,,168.7,,,4,Asia/Phnom_Penh,FALSE,1116711815
Kampong Prasat,Kampong Prasat,,11.0122,105.2656,Cambodia,KH,KHM,Prey Veng,Prey Veng,KH-14,province,,134.7,,,4,Asia/Phnom_Penh,FALSE,1116000110
Phumĭ Aprăk Slăb,Phumi Aprak Slab,Phumĭ Aprak Slap,13.8991,103.6575,Cambodia,KH,KHM,Siem Reap,Siem Reap,KH-17,province,,75.3,,,4,Asia/Phnom_Penh,FALSE,1116892639
Phumĭ Preăh Tônlé,Phumi Preah Tonle,Preas Tonle|Prah Tonle,11.0286,105.8188,Cambodia,KH,KHM,Svay Rieng,Svay Rieng,KH-20,province,,139.6,,,4,Asia/Phnom_Penh,FALSE,1116640266
Phum Rŭssei Srŏk,Phum Russei Srok,Phumĭ Rŭssei Srŏk|Phumĭ Rœssei Srŏk,11.4672,105.0363,Cambodia,KH,KHM,Kandal,Kandal,KH-8,province,,990.3,,,3,Asia/Phnom_Penh,FALSE,1116196063
Phum Rŭssei Srŏk,Phum Russei Srok,,11.2685,105.0334,Cambodia,KH,KHM,Kandal,Kandal,KH-8,province,,400.0,,,3,Asia/Phnom_Penh,TRUE,1116001587
Phumĭ Kdei Takŏy,Phumi Kdei Takoy,,11.5398,104.9649,Cambodia,KH,KHM,Phnom Penh,Phnom Penh,KH-12,municipality,,3167.0,,,2,Asia/Phnom_Penh,FALSE,1116121543
Phumĭ Mé Loŭng,Phumi Me Loung,Wat Melong,11.6300,105.2235,Cambodia,KH,KHM,Prey Veng,Prey Veng,KH-14,province,,147.2,,,4,Asia/Phnom_Penh,FALSE,1116554313
Phumĭ Leu,Phumi Leu,,12.1075,106.8931,Cambodia,KH,KHM,Mondolkiri,Mondolkiri,KH-11,province,,76.6,,,4,Asia/Phnom_Penh,FALSE,1116838052
Phum Dai Sna,Phum Dai Sna,,13.0698,106.2700,Cambodia,KH,KHM,Kratie,Kratie,KH-10,province,,7.9,,,5,Asia/Phnom_Penh,FALSE,1116911258
