city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Vanscoy,Vanscoy,,51.9997,-106.9755,Canada,CA,CAN,Saskatchewan,Saskatchewan,CA-SK,province,,193.3,477,477,4,America/Swift_Current,FALSE,1124012491
Polwarth,Polwarth,,53.4333,-106.7333,Canada,CA,CAN,Saskatchewan,Saskatchewan,CA-SK,province,,0.7,,,5,America/Swift_Current,FALSE,1124384892
Nigadoo,Nigadoo,Nickadow|Nigado|Nigadu,47.7381,-65.7111,Canada,CA,CAN,New Brunswick,New Brunswick,CA-NB,province,,130.4,997,997,3,America/Moncton,FALSE,1124106591
Creighton,Creighton,Creighton Mine,46.4500,-81.1667,Canada,CA,CAN,Ontario,Ontario,CA-ON,province,,40.2,,,4,America/Toronto,FALSE,1124446801
South Milford,South Milford,,44.5325,-65.4167,Canada,CA,CAN,Nova Scotia,Nova Scotia,CA-NS,province,,0.1,,,5,America/Halifax,FALSE,1124082064
Chapel Arm,Chapel Arm,,47.5167,-53.6667,Canada,CA,CAN,Newfoundland and Labrador,Newfoundland and Labrador,CA-NL,province,,16.3,457,457,3,America/St_Johns,FALSE,1124610242
Red Rapids,Red Rapids,,46.7833,-67.5000,Canada,CA,CAN,New Brunswick,New Brunswick,CA-NB,province,,7.2,,,5,America/Moncton,FALSE,1124689327
Gander Bay,Gander Bay,,49.2667,-54.5000,Canada,CA,CAN,Newfoundland and Labrador,Newfoundland and Labrador,CA-NL,province,,0.0,,,5,America/St_Johns,FALSE,1124960646
Petit-Matane,Petit-Matane,Petite-Matane,48.8667,-67.4500,Canada,CA,CAN,Quebec,Quebec,CA-QC,province,,235.0,,,3,America/Toronto,FALSE,1124516806
Pennington,Pennington,,59.9667,-134.9000,Canada,CA,CAN,British Columbia,British Columbia,CA-BC,province,,0.0,,,5,America/Vancouver,FALSE,1124627995
Onion Lake,Onion Lake,,53.7167,-110.0000,Canada,CA,CAN,Saskatchewan,Saskatchewan,CA-SK,province,,0.0,,,5,America/Swift_Current,FALSE,1124381620
Weyburn,Weyburn,,49.6611,-103.8525,Canada,CA,CAN,Saskatchewan,Saskatchewan,CA-SK,province,,579.1,11019,11019,3,America/Regina,FALSE,1124618383
Courtenay,Courtenay,,49.6878,-124.9944,Canada,CA,CAN,British Columbia,British Columbia,CA-BC,province,,876.7,48917,28420,3,America/Vancouver,FALSE,1124324905
Wernecke,Wernecke,,63.9500,-135.2667,Canada,CA,CAN,Yukon,Yukon,CA-YT,province,,0.0,,,5,America/Whitehorse,FALSE,1124566448
Osborne,Osborne,,49.5333,-97.3667,Canada,CA,CAN,Manitoba,Manitoba,CA-MB,province,,2.2,,,5,America/Winnipeg,FALSE,1124080177
Naufrage,Naufrage,,46.4653,-62.4199,Canada,CA,CAN,Prince Edward Island,Prince Edward Island,CA-PE,province,,7.0,,,5,America/Halifax,FALSE,1124423214
Cooks Cove,Cooks Cove,,45.3759,-61.4372,Canada,CA,CAN,Nova Scotia,Nova Scotia,CA-NS,province,,0,,,5,America/Glace_Bay,FALSE,1124825953
Shell Lake,Shell Lake,,53.3070,-107.0626,Canada,CA,CAN,Saskatchewan,Saskatchewan,CA-SK,province,,142.80,175,175,4,America/Swift_Current,FALSE,1124695725
Crowfoot,Crowfoot,,50.8167,-112.6667,Canada,CA,CAN,Alberta,Alberta,CA-AB,province,,2.2,,,5,America/Edmonton,FALSE,1124956178
Janvrin,Janvrin,,45.5592,-61.1266,Canada,CA,CAN,Nova Scotia,Nova Scotia,CA-NS,province,,7.8,,,5,America/Glace_Bay,FALSE,1124304822
Breton,Breton,,53.1050,-114.4736,Canada,CA,CAN,Alberta,Alberta,CA-AB,province,,333.5,574,574,3,America/Edmonton,FALSE,1124184278
Thamesford,Thamesford,,43.0614,-80.9943,Canada,CA,CAN,Ontario,Ontario,CA-ON,province,,457.6,2622,2622,3,America/Toronto,FALSE,1124180373
Loon River,Loon River,,54.1222,-109.0264,Canada,CA,CAN,Saskatchewan,Saskatchewan,CA-SK,province,,0.7,,,5,America/Swift_Current,FALSE,1124509839
Scots Bay,Scots Bay,,45.2538,-64.3864,Canada,CA,CAN,Nova Scotia,Nova Scotia,CA-NS,province,,3.3,,,5,America/Halifax,FALSE,1124757945
The Beaches,The Beaches,,49.5827,-56.8171,Canada,CA,CAN,Newfoundland and Labrador,Newfoundland and Labrador,CA-NL,province,,20.1,38,38,4,America/St_Johns,FALSE,1124978995
Sedgewick,Sedgewick,,52.7725,-111.6969,Canada,CA,CAN,Alberta,Alberta,CA-AB,province,,297.8,811,811,3,America/Edmonton,FALSE,1124001763
Peninsula,Peninsula,,48.7167,-86.3833,Canada,CA,CAN,Ontario,Ontario,CA-ON,province,,1008.0,,,3,America/Toronto,FALSE,1124884651
Rapides-des-Joachims,Rapides-des-Joachims,,46.2000,-77.6833,Canada,CA,CAN,Quebec,Quebec,CA-QC,province,,0.6,156,156,3,America/Toronto,FALSE,1124001764
Riverhurst,Riverhurst,,50.9034,-106.8667,Canada,CA,CAN,Saskatchewan,Saskatchewan,CA-SK,province,,142.30,130.00,130.00,4,America/Regina,FALSE,1124181012
