city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"George Town","George Town",,19.2866,-81.3744,"Cayman Islands",KY,CYM,,,,,primary,955.3,27704,27704,1,America/Cayman,FALSE,1136159124
"Lambert House","Lambert House",,19.2667,-81.4000,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136146434
Breakers,Breakers,,19.3000,-81.2000,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136947271
"Knob Hill","Knob Hill",,19.6833,-79.8833,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136621081
"High Rock Estates","High Rock Estates",,19.2833,-81.1333,"Cayman Islands",KY,CYM,,,,,,25.9,,,4,America/Cayman,FALSE,1136860867
"The Moorings","The Moorings",,19.7313,-79.7941,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136711395
"Head of Bay","Head of Bay",,19.6667,-80.0667,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136220483
"Savannah Acres","Savannah Acres",,19.2833,-81.3000,"Cayman Islands",KY,CYM,,,,,,970.1,,,3,America/Cayman,FALSE,1136951886
"Coral Gables","Coral Gables",,19.3667,-81.4167,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136623811
"Midland Acres","Midland Acres",,19.3000,-81.2167,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136305637
Banksville,Banksville,,19.7000,-79.8500,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136000000
"North Side","North Side","North Side Village",19.3500,-81.2000,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136934654
"Omega Gardens","Omega Gardens",,19.3000,-81.3333,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136048214
"Spot Bay","Spot Bay",,19.7500,-79.7500,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136810270
"Lower Valley","Lower Valley",,19.2833,-81.2833,"Cayman Islands",KY,CYM,,,,,,1652.6,,,3,America/Cayman,FALSE,1136105658
"Red Bay Estate","Red Bay Estate","Red Bay",19.2833,-81.3500,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136371424
"Mount Pleasant","Mount Pleasant",,19.3833,-81.4000,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136254310
"Battle Ground","Battle Ground",,19.3833,-81.4000,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136953167
"Bodden Town","Bodden Town",Bodden,19.2833,-81.2500,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136715924
"Molusca Heights","Molusca Heights",,19.7333,-79.7833,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136532239
"The Common","The Common",,19.3833,-81.4000,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136532863
Brinkleys,Brinkleys,,19.3500,-81.2333,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136643232
Pedro,Pedro,,19.2833,-81.2667,"Cayman Islands",KY,CYM,,,,,,1364.0,,,3,America/Cayman,FALSE,1136022688
"West End","West End",,19.6833,-79.8833,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136315158
"Blossom Point","Blossom Point",,19.6667,-80.0833,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136667302
"Dusty Place","Dusty Place",,19.3833,-81.4000,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136925198
"Half Moon Bay","Half Moon Bay",,19.2833,-81.1667,"Cayman Islands",KY,CYM,,,,,,25.9,,,4,America/Cayman,FALSE,1136392394
"Belford Estates","Belford Estates",,19.2833,-81.2333,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136320131
Blakes,Blakes,,19.3000,-81.1000,"Cayman Islands",KY,CYM,,,,,,25.9,,,4,America/Cayman,FALSE,1136527034
"Town Hall Crescent","Town Hall Crescent",,19.3833,-81.4167,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136207555
"Prospect Park","Prospect Park",,19.2833,-81.3333,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136296366
"Birch Tree Hill","Birch Tree Hill",,19.3833,-81.4000,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136506703
"Saint James","Saint James",,19.2667,-81.3000,"Cayman Islands",KY,CYM,,,,,,2189.6,,,2,America/Cayman,FALSE,1136653752
"Whitehall Estate","Whitehall Estate",,19.3000,-81.3667,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136911967
"Old Stores","Old Stores",,19.4000,-81.4000,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136557356
Hell,Hell,,19.3833,-81.4167,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136414391
"Cayman Palms","Cayman Palms",,19.2667,-81.2667,"Cayman Islands",KY,CYM,,,,,,2189.6,,,2,America/Cayman,FALSE,1136080153
"Driftwood Village","Driftwood Village",,19.3500,-81.2333,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136829762
"Frenchman’s Fort","Frenchman's Fort",,19.7000,-79.8833,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136564764
Newlands,Newlands,Newland,19.2833,-81.3000,"Cayman Islands",KY,CYM,,,,,,970.1,,,3,America/Cayman,FALSE,1136738383
"North Ward","North Ward",,19.2833,-81.2667,"Cayman Islands",KY,CYM,,,,,,1364.0,,,3,America/Cayman,FALSE,1136495456
Prospect,Prospect,,19.2667,-81.3500,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136087124
Savannah,Savannah,,19.2667,-81.3000,"Cayman Islands",KY,CYM,,,,,,2189.6,,,2,America/Cayman,FALSE,1136812894
"Pease Bay","Pease Bay",,19.2833,-81.2333,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136604472
Creek,Creek,,19.7500,-79.7667,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136292782
"Tibbetts Turn","Tibbetts Turn",,19.7333,-79.7833,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136544243
"Half Way Pond","Half Way Pond",,19.2833,-81.3667,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136778234
"Gun Bay","Gun Bay","Gun Bay Village",19.3167,-81.1000,"Cayman Islands",KY,CYM,,,,,,25.9,,,4,America/Cayman,FALSE,1136471157
Botabano,Botabano,,19.3833,-81.3833,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136017416
"West Bay","West Bay","West End",19.3667,-81.4167,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136349252
"North Sound Estates","North Sound Estates",,19.3000,-81.3000,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136310684
"Old Man Bay","Old Man Bay","Old Man Village",19.3500,-81.1833,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136369181
"Tropical Gardens","Tropical Gardens",,19.2833,-81.3500,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136051091
"East End","East End","Old Isaacs",19.3000,-81.1167,"Cayman Islands",KY,CYM,,,,,,25.9,,,4,America/Cayman,FALSE,1136703627
"Sand Bluff","Sand Bluff",,19.3167,-81.0833,"Cayman Islands",KY,CYM,,,,,,25.9,,,4,America/Cayman,FALSE,1136876214
Vicksville,Vicksville,,19.3667,-81.4167,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136489778
"Upper Land","Upper Land",,19.3500,-81.3833,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136391330
"Water Ground","Water Ground",,19.3833,-81.4000,"Cayman Islands",KY,CYM,,,,,,711.5,,,3,America/Cayman,FALSE,1136568288
"South Town","South Town","South Hole|Blossom Village",19.6667,-80.0833,"Cayman Islands",KY,CYM,,,,,,36.1,,,4,America/Cayman,FALSE,1136218204
"Breezy Castle","Breezy Castle",,19.3000,-81.3667,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136295519
Spotts,Spotts,,19.2667,-81.3167,"Cayman Islands",KY,CYM,,,,,,1278.9,,,3,America/Cayman,FALSE,1136122553
Hutland,Hutland,,19.3500,-81.2167,"Cayman Islands",KY,CYM,,,,,,22.2,,,4,America/Cayman,FALSE,1136173481
