city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Banda,Banda,,4.6957,21.0122,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,36.8,,,4,Africa/Bangui,TRUE,1140290382
Banda,Banda,,4.6558,20.9825,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,36.8,,,4,Africa/Bangui,TRUE,1140391988
Banda,Banda,,4.5448,20.9248,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,36.8,,,4,Africa/Bangui,TRUE,1140089817
Banda,Banda,,5.0622,21.1429,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,23.7,,,4,Africa/Bangui,TRUE,1140344957
Banda,Banda,,4.6667,21.3167,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,13.6,,,4,Africa/Bangui,TRUE,1140854427
Banda,Banda,,4.8667,21.3333,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,13.0,,,4,Africa/Bangui,TRUE,1140108704
Banda,Banda,,5.0515,21.7990,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,10.9,,,4,Africa/Bangui,TRUE,1140896446
Banda,Banda,,5.3876,21.0052,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,6.1,,,5,Africa/Bangui,TRUE,1140428653
Banda,Banda,Bougboui,5.3335,21.0375,Central African Republic,CF,CAF,Basse-Kotto,Basse-Kotto,CF-BK,prefecture,,6.1,,,5,Africa/Bangui,TRUE,1140327912
Bani,Bani,,7.1255,22.8263,Central African Republic,CF,CAF,Haute-Kotto,Haute-Kotto,CF-HK,prefecture,,0.2,,,5,Africa/Bangui,FALSE,1140236406
Banzili,Banzili,,5.9944,20.4674,Central African Republic,CF,CAF,Ouaka,Ouaka,CF-UK,prefecture,,1.0,,,5,Africa/Bangui,FALSE,1140669985
Bligaba,Bligaba,,7.0500,19.1833,Central African Republic,CF,CAF,Nana-Grébizi,Nana-Grebizi,CF-KB,economic prefecture,,82.9,,,4,Africa/Bangui,FALSE,1140763025
Déo,Deo,,8.1343,20.9666,Central African Republic,CF,CAF,Bamingui-Bangoran,Bamingui-Bangoran,CF-BB,prefecture,,1.1,,,5,Africa/Bangui,FALSE,1140722196
Bogali,Bogali,,6.5152,16.0948,Central African Republic,CF,CAF,Ouham-Pendé,Ouham-Pende,CF-OP,prefecture,,10.9,,,4,Africa/Bangui,FALSE,1140068975
Bogali,Bogali,,5.9906,16.1928,Central African Republic,CF,CAF,Ouham-Pendé,Ouham-Pende,CF-OP,prefecture,,5.0,,,5,Africa/Bangui,TRUE,1140025505
Yankba,Yankba,,5.9286,20.7272,Central African Republic,CF,CAF,Ouaka,Ouaka,CF-UK,prefecture,,15.2,,,4,Africa/Bangui,FALSE,1140220575
Bouassé-Karaota,Bouasse-Karaota,,5.1892,19.4974,Central African Republic,CF,CAF,Kémo,Kemo,CF-KG,prefecture,,7.2,,,5,Africa/Bangui,FALSE,1140097012
Fakengué,Fakengue,,6.5441,21.9317,Central African Republic,CF,CAF,Haute-Kotto,Haute-Kotto,CF-HK,prefecture,,7.8,,,5,Africa/Bangui,FALSE,1140679674
Sandiba,Sandiba,,4.4167,18.7667,Central African Republic,CF,CAF,Ombella-Mpoko,Ombella-Mpoko,CF-MP,prefecture,,95.7,,,4,Africa/Bangui,FALSE,1140676101
Térèndji,Terendji,,6.8786,16.2915,Central African Republic,CF,CAF,Ouham-Pendé,Ouham-Pende,CF-OP,prefecture,,29.2,,,4,Africa/Bangui,FALSE,1140200925
Babali,Babali,,5.1516,16.4228,Central African Republic,CF,CAF,Mambéré-Kadéï,Mambere-Kadei,CF-HS,prefecture,,11.6,,,4,Africa/Bangui,FALSE,1140233712
