city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Saraf Abouzba,Saraf Abouzba,,12.3879,19.5465,Chad,TD,TCD,Guéra,Guera,TD-GR,region,,13.0,,,4,Africa/Ndjamena,FALSE,1148299209
Ngassoté,Ngassote,Gassoté,8.6507,17.8349,Chad,TD,TCD,Mandoul,Mandoul,TD-MA,region,,35.8,,,4,Africa/Ndjamena,FALSE,1148927853
Om,Om,,14.2167,22.5333,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,37.5,,,4,Africa/Ndjamena,FALSE,1148451998
Marsamaye,Marsamaye,,10.6000,15.1667,Chad,TD,TCD,Mayo-Kebbi-Est,Mayo-Kebbi-Est,TD-ME,region,,38.7,,,4,Africa/Ndjamena,FALSE,1148852096
Koro,Koro,,8.9276,16.3890,Chad,TD,TCD,Logone Occidental,Logone Occidental,TD-LO,region,,126.3,,,4,Africa/Ndjamena,FALSE,1148313628
Abé,Abe,,8.1973,15.9028,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,33.0,,,4,Africa/Ndjamena,FALSE,1148859044
Tala,Tala,,9.0439,16.2967,Chad,TD,TCD,Logone Occidental,Logone Occidental,TD-LO,region,,126.3,,,4,Africa/Ndjamena,FALSE,1148115961
Oualchagra,Oualchagra,,13.2628,16.4824,Chad,TD,TCD,Barh-El-Gazel,Barh-El-Gazel,TD-BG,region,,22.1,,,4,Africa/Ndjamena,FALSE,1148986757
Tala,Tala,,13.5707,14.6710,Chad,TD,TCD,Lac,Lac,TD-LC,region,,21.4,,,4,Africa/Ndjamena,FALSE,1148010282
Sakal,Sakal,,13.2879,21.1048,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,30.1,,,4,Africa/Ndjamena,FALSE,1148182046
Mantal,Mantal,Mantel,12.5907,14.9442,Chad,TD,TCD,Hadjer-Lamis,Hadjer-Lamis,TD-HL,region,,34.4,,,4,Africa/Ndjamena,FALSE,1148461645
Kounous,Kounous,,11.9733,21.8081,Chad,TD,TCD,Sila,Sila,TD-SI,region,,23.6,,,4,Africa/Ndjamena,FALSE,1148149539
Milé,Mile,,14.6023,21.9103,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,37.5,,,4,Africa/Ndjamena,FALSE,1148640965
Berberé,Berbere,,10.6333,16.3500,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,18.0,,,4,Africa/Ndjamena,FALSE,1148543651
Mitena,Mitena,,11.8742,15.0929,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,56.5,,,4,Africa/Ndjamena,FALSE,1148239348
Banate,Banate,,10.7333,16.4167,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,18.0,,,4,Africa/Ndjamena,FALSE,1148734660
Mada Ourèy,Mada Ourey,,9.8591,14.2132,Chad,TD,TCD,Mayo-Kebbi-Ouest,Mayo-Kebbi-Ouest,TD-MO,region,,74.2,,,4,Africa/Ndjamena,FALSE,1148824256
Zale,Zale,,9.4481,14.5664,Chad,TD,TCD,Mayo-Kebbi-Ouest,Mayo-Kebbi-Ouest,TD-MO,region,,74.2,,,4,Africa/Ndjamena,FALSE,1148840195
Am Djer,Am Djer,,12.2167,21.5500,Chad,TD,TCD,Sila,Sila,TD-SI,region,,23.6,,,4,Africa/Ndjamena,FALSE,1148173006
Bélil Doungous,Belil Doungous,,12.9003,19.5469,Chad,TD,TCD,Guéra,Guera,TD-GR,region,,12.2,,,4,Africa/Ndjamena,FALSE,1148554398
Achim,Achim,,13.0521,15.8128,Chad,TD,TCD,Hadjer-Lamis,Hadjer-Lamis,TD-HL,region,,30.7,,,4,Africa/Ndjamena,FALSE,1148476664
Kagmanian,Kagmanian,,8.6839,17.2649,Chad,TD,TCD,Mandoul,Mandoul,TD-MA,region,,111.3,,,4,Africa/Ndjamena,FALSE,1148270465
Poum,Poum,,9.4729,17.2288,Chad,TD,TCD,Mandoul,Mandoul,TD-MA,region,,50.8,,,4,Africa/Ndjamena,FALSE,1148465961
Lélé,Lele,,12.3417,17.7548,Chad,TD,TCD,Guéra,Guera,TD-GR,region,,18.2,,,4,Africa/Ndjamena,FALSE,1148747549
Maïhaya,Maihaya,,8.3446,17.5874,Chad,TD,TCD,Mandoul,Mandoul,TD-MA,region,,35.8,,,4,Africa/Ndjamena,FALSE,1148535236
Moyou,Moyou,,9.4681,16.4845,Chad,TD,TCD,Tandjilé,Tandjile,TD-TA,region,,26.2,,,4,Africa/Ndjamena,FALSE,1148428921
Kode,Kode,,9.1163,16.6492,Chad,TD,TCD,Tandjilé,Tandjile,TD-TA,region,,89.3,,,4,Africa/Ndjamena,FALSE,1148732237
Aboutangui,Aboutangui,Aboutangi,13.3337,21.9800,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,56.4,,,4,Africa/Ndjamena,FALSE,1148919294
Miakaba,Miakaba,,9.1245,16.2113,Chad,TD,TCD,Tandjilé,Tandjile,TD-TA,region,,108.7,,,4,Africa/Ndjamena,FALSE,1148116982
Tordona,Tordona,,11.8750,17.2829,Chad,TD,TCD,Hadjer-Lamis,Hadjer-Lamis,TD-HL,region,,19.5,,,4,Africa/Ndjamena,FALSE,1148951182
Géri Gaybang,Geri Gaybang,,14.1309,20.3502,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,30.1,,,4,Africa/Ndjamena,FALSE,1148561375
Hidjilidjé Kélé,Hidjilidje Kele,Hidjelidj Kele,12.3430,15.9574,Chad,TD,TCD,Hadjer-Lamis,Hadjer-Lamis,TD-HL,region,,34.4,,,4,Africa/Ndjamena,FALSE,1148449081
Goudami,Goudami,,11.8800,18.2191,Chad,TD,TCD,Guéra,Guera,TD-GR,region,,25.5,,,4,Africa/Ndjamena,FALSE,1148237129
Maya,Maya,,13.3776,14.4627,Chad,TD,TCD,Lac,Lac,TD-LC,region,,21.4,,,4,Africa/Ndjamena,FALSE,1148163478
Kerkérédanga,Kerkeredanga,,17.8795,19.0071,Chad,TD,TCD,Borkou,Borkou,TD-BO,region,,2.7,,,5,Africa/Ndjamena,FALSE,1148937658
Sangarfout,Sangarfout,,14.6000,22.2000,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,37.5,,,4,Africa/Ndjamena,FALSE,1148604917
Guelsao,Guelsao,,9.1826,16.3232,Chad,TD,TCD,Logone Occidental,Logone Occidental,TD-LO,region,,126.3,,,4,Africa/Ndjamena,FALSE,1148382994
Mébita,Mebita,,8.3200,16.0968,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,33.0,,,4,Africa/Ndjamena,FALSE,1148965602
Réhèlalaban,Rehelalaban,Rehedalaban,12.1537,15.7782,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,10.5,,,4,Africa/Ndjamena,FALSE,1148051278
Kembourou,Kembourou,,8.5710,18.4566,Chad,TD,TCD,Moyen-Chari,Moyen-Chari,TD-MC,region,,27.2,,,4,Africa/Ndjamena,FALSE,1148684686
Tiouloumari,Tiouloumari,,13.5687,15.7176,Chad,TD,TCD,Kanem,Kanem,TD-KA,region,,51.4,,,4,Africa/Ndjamena,FALSE,1148765447
Karo,Karo,,10.3791,18.8811,Chad,TD,TCD,Guéra,Guera,TD-GR,region,,4.7,,,5,Africa/Ndjamena,FALSE,1148279847
Bea,Bea,,9.4468,18.9281,Chad,TD,TCD,Moyen-Chari,Moyen-Chari,TD-MC,region,,13.9,,,4,Africa/Ndjamena,FALSE,1148515366
Farayé,Faraye,,14.2439,15.2331,Chad,TD,TCD,Kanem,Kanem,TD-KA,region,,25.7,,,4,Africa/Ndjamena,FALSE,1148523749
Kirbia,Kirbia,,13.3833,14.5667,Chad,TD,TCD,Lac,Lac,TD-LC,region,,21.4,,,4,Africa/Ndjamena,FALSE,1148793406
Diridi,Diridi,,9.1455,16.5048,Chad,TD,TCD,Tandjilé,Tandjile,TD-TA,region,,26.2,,,4,Africa/Ndjamena,FALSE,1148441054
Ab Béhen,Ab Behen,,13.8042,19.5944,Chad,TD,TCD,Batha,Batha,TD-BA,region,,8.9,,,5,Africa/Ndjamena,FALSE,1148068887
Am Ko Dagéchi,Am Ko Dagechi,Am Ko Dagéch,13.2961,16.5815,Chad,TD,TCD,Barh-El-Gazel,Barh-El-Gazel,TD-BG,region,,22.1,,,4,Africa/Ndjamena,FALSE,1148605485
Ab Ragna,Ab Ragna,,13.1065,18.4718,Chad,TD,TCD,Batha,Batha,TD-BA,region,,5.6,,,5,Africa/Ndjamena,FALSE,1148650134
Nabagay,Nabagay,,12.8667,21.5167,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,45.3,,,4,Africa/Ndjamena,FALSE,1148989865
Kandjé,Kandje,Kamanga,9.2167,18.6167,Chad,TD,TCD,Moyen-Chari,Moyen-Chari,TD-MC,region,,13.9,,,4,Africa/Ndjamena,FALSE,1148325392
Kira,Kira,Kéra,9.0450,18.0171,Chad,TD,TCD,Mandoul,Mandoul,TD-MA,region,,50.8,,,4,Africa/Ndjamena,FALSE,1148093017
Kira,Kira,,8.6797,18.4515,Chad,TD,TCD,Moyen-Chari,Moyen-Chari,TD-MC,region,,27.2,,,4,Africa/Ndjamena,FALSE,1148849517
Kira,Kira,Kéra,9.1772,18.2869,Chad,TD,TCD,Moyen-Chari,Moyen-Chari,TD-MC,region,,23.5,,,4,Africa/Ndjamena,TRUE,1148182244
Kira,Kira,,8.8251,18.6116,Chad,TD,TCD,Moyen-Chari,Moyen-Chari,TD-MC,region,,23.5,,,4,Africa/Ndjamena,TRUE,1148933969
Bédégué,Bedegue,Bedege|Bédeghé|Bédighé,8.0206,17.8073,Chad,TD,TCD,Mandoul,Mandoul,TD-MA,region,,35.8,,,4,Africa/Ndjamena,FALSE,1148386216
Ndoram,Ndoram,,7.6833,16.0000,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,33.0,,,4,Africa/Ndjamena,FALSE,1148730961
Manda,Manda,,7.9971,15.9086,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,33.0,,,4,Africa/Ndjamena,FALSE,1148715151
Aouron,Aouron,,13.9616,21.7214,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,56.4,,,4,Africa/Ndjamena,FALSE,1148478557
Kayéwa,Kayewa,,13.6168,15.5898,Chad,TD,TCD,Kanem,Kanem,TD-KA,region,,51.4,,,4,Africa/Ndjamena,FALSE,1148326145
Léler,Leler,Djéler,14.2248,21.4801,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,37.5,,,4,Africa/Ndjamena,FALSE,1148486116
Manda,Manda,,8.7662,15.7999,Chad,TD,TCD,Logone Occidental,Logone Occidental,TD-LO,region,,128.6,,,4,Africa/Ndjamena,FALSE,1148424067
Manda,Manda,,8.9030,15.8534,Chad,TD,TCD,Logone Occidental,Logone Occidental,TD-LO,region,,104.8,,,4,Africa/Ndjamena,TRUE,1148522485
Soyo,Soyo,,14.2000,21.4667,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,37.5,,,4,Africa/Ndjamena,FALSE,1148212655
Soyo,Soyo,,14.1875,21.2894,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,14.3,,,4,Africa/Ndjamena,TRUE,1148277520
Mouniomo Kayleri,Mouniomo Kayleri,,13.7423,15.3550,Chad,TD,TCD,Kanem,Kanem,TD-KA,region,,25.7,,,4,Africa/Ndjamena,FALSE,1148132553
Tarré,Tarre,Toré,11.5500,22.5333,Chad,TD,TCD,Sila,Sila,TD-SI,region,,23.6,,,4,Africa/Ndjamena,FALSE,1148251219
Bladjil,Bladjil,,13.7655,15.4814,Chad,TD,TCD,Kanem,Kanem,TD-KA,region,,25.7,,,4,Africa/Ndjamena,FALSE,1148292754
Bougoumène,Bougoumene,Bougoumèn,11.4593,15.3562,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,56.5,,,4,Africa/Ndjamena,FALSE,1148512853
Ngaram,Ngaram,,8.0667,15.7667,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,33.0,,,4,Africa/Ndjamena,FALSE,1148184359
Zouma Asab Momo,Zouma Asab Momo,,14.0279,20.2305,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,30.1,,,4,Africa/Ndjamena,FALSE,1148615756
Douas,Douas,,13.2921,22.0180,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,56.4,,,4,Africa/Ndjamena,FALSE,1148517504
Douas,Douas,,13.3601,22.1670,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,56.4,,,4,Africa/Ndjamena,TRUE,1148000186
Tchété,Tchete,,13.1768,15.8473,Chad,TD,TCD,Kanem,Kanem,TD-KA,region,,51.4,,,4,Africa/Ndjamena,FALSE,1148009369
Gabgoto,Gabgoto,,9.2305,18.4726,Chad,TD,TCD,Moyen-Chari,Moyen-Chari,TD-MC,region,,23.5,,,4,Africa/Ndjamena,FALSE,1148164741
Marmi,Marmi,,12.2360,15.3179,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,56.5,,,4,Africa/Ndjamena,FALSE,1148748287
Djemelma,Djemelma,,11.8961,15.1533,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,56.5,,,4,Africa/Ndjamena,FALSE,1148867223
Am Gafal,Am Gafal,,14.7666,20.7892,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,14.3,,,4,Africa/Ndjamena,FALSE,1148604653
Boandja,Boandja,,8.3255,16.7884,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,37.4,,,4,Africa/Ndjamena,FALSE,1148717797
Mada,Mada,,8.3492,17.6696,Chad,TD,TCD,Mandoul,Mandoul,TD-MA,region,,35.8,,,4,Africa/Ndjamena,FALSE,1148579864
Moundagabol,Moundagabol,,9.1567,16.7425,Chad,TD,TCD,Tandjilé,Tandjile,TD-TA,region,,26.2,,,4,Africa/Ndjamena,FALSE,1148438271
Hobé,Hobe,,7.7007,16.0209,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,33.0,,,4,Africa/Ndjamena,FALSE,1148664744
Djakatoutou,Djakatoutou,,12.8167,21.0333,Chad,TD,TCD,Ouaddaï,Ouaddai,TD-OD,region,,45.3,,,4,Africa/Ndjamena,FALSE,1148738173
Zaraf,Zaraf,,12.2568,15.5222,Chad,TD,TCD,Hadjer-Lamis,Hadjer-Lamis,TD-HL,region,,34.4,,,4,Africa/Ndjamena,FALSE,1148186453
Barintié,Barintie,Barintchi,13.1075,19.3045,Chad,TD,TCD,Batha,Batha,TD-BA,region,,8.9,,,5,Africa/Ndjamena,FALSE,1148014134
Dakouri,Dakouri,,8.9494,16.6740,Chad,TD,TCD,Logone Oriental,Logone Oriental,TD-LR,region,,77.9,,,4,Africa/Ndjamena,FALSE,1148203419
Enèkèli,Enekeli,,14.4482,21.9822,Chad,TD,TCD,Wadi-Fira,Wadi-Fira,TD-WF,region,,37.5,,,4,Africa/Ndjamena,FALSE,1148000145
Godhé,Godhe,,10.9642,17.1263,Chad,TD,TCD,Chari-Baguirmi,Chari-Baguirmi,TD-CB,region,,10.5,,,4,Africa/Ndjamena,FALSE,1148748589
