city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Chaparano,Chaparano,Chaparramo|Caleta Chaparano,-41.7483,-72.5706,Chile,CL,CHL,Los Lagos,Los Lagos,CL-LL,region,,1.1,,,5,America/Santiago,FALSE,1152592079
La Tortuga,La Tortuga,,-44.6766,-72.7099,Chile,CL,CHL,Aysén,Aysen,CL-AI,region,,0.4,,,5,America/Santiago,FALSE,1152002528
Las Nieves,Las Nieves,,-40.9444,-72.5832,Chile,CL,CHL,Los Lagos,Los Lagos,CL-LL,region,,5.5,,,5,America/Santiago,FALSE,1152000176
Romeral Alto,Romeral Alto,,-30.2704,-70.9817,Chile,CL,CHL,Coquimbo,Coquimbo,CL-CO,region,,13.5,,,4,America/Santiago,FALSE,1152824257
Serón,Seron,Cerón,-30.3320,-70.7463,Chile,CL,CHL,Coquimbo,Coquimbo,CL-CO,region,,1.8,,,5,America/Santiago,FALSE,1152684204
El Plano,El Plano,,-36.1818,-71.9141,Chile,CL,CHL,Maule,Maule,CL-ML,region,,23.1,,,4,America/Santiago,FALSE,1152001873
Carboniri,Carboniri,Carbonire,-18.4189,-69.1808,Chile,CL,CHL,Arica y Parinacota,Arica y Parinacota,CL-AP,region,,0.1,,,5,America/Santiago,FALSE,1152276433
Huechulil,Huechulil,,-39.2417,-71.4283,Chile,CL,CHL,Araucanía,Araucania,CL-AR,region,,7.8,,,5,America/Santiago,FALSE,1152000950
San Francisco,San Francisco,,-39.2985,-72.1588,Chile,CL,CHL,Araucanía,Araucania,CL-AR,region,,66.4,,,4,America/Santiago,FALSE,1152000626
San Francisco,San Francisco,,-38.5973,-72.8861,Chile,CL,CHL,Araucanía,Araucania,CL-AR,region,,27.8,,,4,America/Santiago,TRUE,1152001126
San Francisco,San Francisco,,-38.2617,-72.2435,Chile,CL,CHL,Araucanía,Araucania,CL-AR,region,,25.6,,,4,America/Santiago,TRUE,1152001168
San Francisco,San Francisco,,-38.1080,-72.6717,Chile,CL,CHL,Araucanía,Araucania,CL-AR,region,,6.0,,,5,America/Santiago,TRUE,1152001747
Los Pinos,Los Pinos,,-39.7322,-73.1777,Chile,CL,CHL,Los Ríos,Los Rios,CL-LR,region,,189.7,,,4,America/Santiago,FALSE,1152000868
Puesto Mirador,Puesto Mirador,,-52.2228,-71.5991,Chile,CL,CHL,Magallanes y de la Antártica Chilena,Magallanes y de la Antartica Chilena,CL-MA,region,,0.6,,,5,America/Punta_Arenas,FALSE,1152137804
La Tranquita,La Tranquita,,-26.6698,-69.5342,Chile,CL,CHL,Atacama,Atacama,CL-AT,region,,0.4,,,5,America/Santiago,FALSE,1152868313
Los Pinos,Los Pinos,,-34.1515,-71.4594,Chile,CL,CHL,Libertador General Bernardo O’Higgins,Libertador General Bernardo O'Higgins,CL-LI,region,,39.0,,,4,America/Santiago,FALSE,1152002353
Esquina Mocha,Esquina Mocha,,-35.9282,-72.3630,Chile,CL,CHL,Maule,Maule,CL-ML,region,,21.1,,,4,America/Santiago,FALSE,1152002107
San Francisco,San Francisco,,-23.5669,-67.8944,Chile,CL,CHL,Antofagasta,Antofagasta,CL-AN,region,,0.8,,,5,America/Santiago,FALSE,1152161205
Libno,Libno,,-42.7814,-73.5150,Chile,CL,CHL,Los Lagos,Los Lagos,CL-LL,region,,16.9,,,4,America/Santiago,FALSE,1152748446
Tiquima,Tiquima,,-20.9322,-69.0997,Chile,CL,CHL,Tarapacá,Tarapaca,CL-TA,region,,2.1,,,5,America/Santiago,FALSE,1152348607
Loma Colorada,Loma Colorada,Lomas Coloradas,-36.8841,-73.1356,Chile,CL,CHL,Biobío,Biobio,CL-BI,region,,1365.8,,,3,America/Santiago,FALSE,1152159133
