city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Xinkengcun,Xinkengcun,Xinkeng,25.0727,117.2682,China,CN,CHN,Fujian,Fujian,CN-FJ,,,85.4,,,4,Asia/Shanghai,FALSE,1156059555
Xinkengcun,Xinkengcun,Xinkeng,26.6210,117.9051,China,CN,CHN,Fujian,Fujian,CN-FJ,,,81.7,,,4,Asia/Shanghai,TRUE,1156999197
Xinkengcun,Xinkengcun,Xinkeng,26.2597,118.0035,China,CN,CHN,Fujian,Fujian,CN-FJ,,,56.2,,,4,Asia/Shanghai,TRUE,1156688278
Xinkengcun,Xinkengcun,,24.6260,116.5206,China,CN,CHN,Fujian,Fujian,CN-FJ,,,42.4,,,4,Asia/Shanghai,TRUE,1156547397
Leshuicun,Leshuicun,,22.8648,111.0892,China,CN,CHN,Guangxi,Guangxi,CN-GX,,,476.3,,,3,Asia/Shanghai,FALSE,1156490531
Shangmazhuang,Shangmazhuang,,34.5448,107.5670,China,CN,CHN,Shaanxi,Shaanxi,CN-SN,,,26.9,,,4,Asia/Shanghai,FALSE,1156031435
Shangnanyuan,Shangnanyuan,,27.1728,119.1153,China,CN,CHN,Fujian,Fujian,CN-FJ,,,68.7,,,4,Asia/Shanghai,FALSE,1156179764
Longjiapo,Longjiapo,,28.7966,108.7153,China,CN,CHN,Chongqing,Chongqing,CN-CQ,,,165.7,,,4,Asia/Shanghai,FALSE,1156030496
Sanbao Shequ,Sanbao Shequ,,23.1073,110.9187,China,CN,CHN,Guangxi,Guangxi,CN-GX,,,245.1,,,3,Asia/Shanghai,FALSE,1156534723
Hualouba,Hualouba,,31.7903,107.8620,China,CN,CHN,Sichuan,Sichuan,CN-SC,,,75.6,,,4,Asia/Shanghai,FALSE,1156018324
Chenjiazhang,Chenjiazhang,,28.4618,113.0280,China,CN,CHN,Hunan,Hunan,CN-HN,,,381.8,,,3,Asia/Shanghai,FALSE,1156398530
Maliuya,Maliuya,,31.1088,105.9600,China,CN,CHN,Sichuan,Sichuan,CN-SC,,,440.6,,,3,Asia/Shanghai,FALSE,1156771544
Lian’ecun,Lian'ecun,,25.0058,114.1013,China,CN,CHN,Guangdong,Guangdong,CN-GD,,,87.5,,,4,Asia/Shanghai,FALSE,1156053218
Qianwanjia,Qianwanjia,,48.2555,125.3422,China,CN,CHN,Heilongjiang,Heilongjiang,CN-HL,,,409.6,,,3,Asia/Shanghai,FALSE,1156325171
Zhangzhuang Shequcun,Zhangzhuang Shequcun,Xiaozhangzhuang,37.0421,116.2251,China,CN,CHN,Shandong,Shandong,CN-SD,,,470.3,,,3,Asia/Shanghai,FALSE,1156065656
Zhangzhuang Shequcun,Zhangzhuang Shequcun,,35.9915,119.0637,China,CN,CHN,Shandong,Shandong,CN-SD,,,343.3,,,3,Asia/Shanghai,TRUE,1156533017
Dipo Shequ,Dipo Shequ,,23.2615,111.0924,China,CN,CHN,Guangxi,Guangxi,CN-GX,,,186.5,,,4,Asia/Shanghai,FALSE,1156502648
Liujiazha,Liujiazha,Yang-chia-cha,32.1725,120.5442,China,CN,CHN,Jiangsu,Jiangsu,CN-JS,,,1344.5,,,3,Asia/Shanghai,FALSE,1156228543
Yongrencun,Yongrencun,,46.6893,130.0941,China,CN,CHN,Heilongjiang,Heilongjiang,CN-HL,,,102.1,,,4,Asia/Shanghai,FALSE,1156490040
Jiuguantao,Jiuguantao,Kwantao|Kuan-t’ao-hsien|Kuan-t’ao-ch’eng|Kuan-t’ao|Chiu-kuan-t’ao,36.6592,115.4267,China,CN,CHN,Shandong,Shandong,CN-SD,,,1094.3,,,3,Asia/Shanghai,FALSE,1156241161
Qianlujian,Qianlujian,,34.6929,113.9209,China,CN,CHN,Henan,Henan,CN-HA,,,642.8,,,3,Asia/Shanghai,FALSE,1156265027
Xiadabai,Xiadabai,,25.2670,102.7810,China,CN,CHN,Yunnan,Yunnan,CN-YN,,,40.6,,,4,Asia/Shanghai,FALSE,1156464124
Zhoujiapan,Zhoujiapan,,29.7868,111.4351,China,CN,CHN,Hunan,Hunan,CN-HN,province,,268.4,,,3,Asia/Shanghai,FALSE,1156140343
Qianyao,Qianyao,,25.0265,118.5621,China,CN,CHN,Fujian,Fujian,CN-FJ,,,1649.2,,,3,Asia/Shanghai,FALSE,1156561499
Jiataizi,Jiataizi,,39.3632,122.2259,China,CN,CHN,Liaoning,Liaoning,CN-LN,,,283.6,,,3,Asia/Shanghai,FALSE,1156848508
Beinigoucun,Beinigoucun,,37.0282,121.6883,China,CN,CHN,Shandong,Shandong,CN-SD,,,218.8,,,3,Asia/Shanghai,FALSE,1156440483
Houguanyi,Houguanyi,,32.7806,113.4752,China,CN,CHN,Henan,Henan,CN-HA,,,328.3,,,3,Asia/Shanghai,FALSE,1156919557
Luobu,Luobu,,24.9981,110.8130,China,CN,CHN,Guangxi,Guangxi,CN-GX,,,98.9,,,4,Asia/Shanghai,FALSE,1156450933
Dacao Bagou,Dacao Bagou,,33.2402,113.5534,China,CN,CHN,Henan,Henan,CN-HA,,,199.3,,,4,Asia/Shanghai,FALSE,1156440397
Nanbaizhuang,Nanbaizhuang,,39.2059,112.7215,China,CN,CHN,Shanxi,Shanxi,CN-SX,,,42.0,,,4,Asia/Shanghai,FALSE,1156200796
Changbingqiu,Changbingqiu,,26.5512,119.1724,China,CN,CHN,Fujian,Fujian,CN-FJ,,,87.7,,,4,Asia/Shanghai,FALSE,1156958433
Silijiecun,Silijiecun,,44.8657,127.5797,China,CN,CHN,Heilongjiang,Heilongjiang,CN-HL,,,102.6,,,4,Asia/Shanghai,FALSE,1156349892
Tangzao,Tangzao,,26.1797,107.9611,China,CN,CHN,Guizhou,Guizhou,CN-GZ,,,79.3,,,4,Asia/Shanghai,FALSE,1156172007
Xiaokan,Xiaokan,,40.9404,122.3500,China,CN,CHN,Liaoning,Liaoning,CN-LN,,,181.2,,,4,Asia/Shanghai,FALSE,1156587963
Gyungcang,Gyungcang,Juncang|Qieqin|Zhongcang,32.8696,79.5879,China,CN,CHN,Tibet,Tibet,CN-XZ,,,0.4,,,4,Asia/Shanghai,FALSE,1156547248
Gyungcang,Gyungcang,Lumanarong|Juncang,31.3500,85.8333,China,CN,CHN,Tibet,Tibet,CN-XZ,,,1.7,,,5,Asia/Shanghai,TRUE,1156958324
Changhua Linchang,Changhua Linchang,T’ang-chia-wan|Tangjiawan,30.1622,119.1133,China,CN,CHN,Zhejiang,Zhejiang,CN-ZJ,,,45.8,,,4,Asia/Shanghai,FALSE,1156216182
Zhouloucun,Zhouloucun,,34.5555,118.0273,China,CN,CHN,Jiangsu,Jiangsu,CN-JS,,,967.5,,,3,Asia/Shanghai,FALSE,1156301145
Zhouloucun,Zhouloucun,,32.4849,119.7985,China,CN,CHN,Jiangsu,Jiangsu,CN-JS,,,546.6,,,3,Asia/Shanghai,TRUE,1156359798
Zhouloucun,Zhouloucun,,34.4901,116.7743,China,CN,CHN,Jiangsu,Jiangsu,CN-JS,,,412.7,,,3,Asia/Shanghai,TRUE,1156303349
Zhouloucun,Zhouloucun,,34.0127,119.0337,China,CN,CHN,Jiangsu,Jiangsu,CN-JS,,,403.6,,,3,Asia/Shanghai,TRUE,1156296120
Eshengcun,Eshengcun,,24.6711,116.5160,China,CN,CHN,Fujian,Fujian,CN-FJ,,,42.4,,,4,Asia/Shanghai,FALSE,1156538458
Nanshi Lipucun,Nanshi Lipucun,,36.2001,117.5967,China,CN,CHN,Shandong,Shandong,CN-SD,,,1124.9,,,3,Asia/Shanghai,FALSE,1156512549
Nanshi Lipucun,Nanshi Lipucun,,37.1123,116.2682,China,CN,CHN,Shandong,Shandong,CN-SD,,,604.3,,,3,Asia/Shanghai,TRUE,1156459693
Wusuoloucun,Wusuoloucun,,34.8504,117.1956,China,CN,CHN,Shandong,Shandong,CN-SD,,,1414.1,,,3,Asia/Shanghai,FALSE,1156537682
Wusuoloucun,Wusuoloucun,,35.1638,116.2196,China,CN,CHN,Shandong,Shandong,CN-SD,,,475.4,,,3,Asia/Shanghai,TRUE,1156537678
Xiaotongcun,Xiaotongcun,,37.5435,76.1650,China,CN,CHN,Xinjiang,Xinjiang,CN-XJ,,,1.0,,,5,Asia/Shanghai,FALSE,1156187824
