city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ranchería Parach,Rancheria Parach,Parach,11.8655,-71.5467,Colombia,CO,COL,La Guajira,La Guajira,CO-LAG,department,,38.3,,,4,America/Bogota,FALSE,1170162223
Baviera,Baviera,,5.5686,-73.7597,Colombia,CO,COL,Boyacá,Boyaca,CO-BOY,department,,61.4,,,4,America/Bogota,FALSE,1170627708
Tolas,Tolas,,0.9189,-77.8184,Colombia,CO,COL,Nariño,Narino,CO-NAR,department,,50.0,,,4,America/Bogota,FALSE,1170088139
La Pura,La Pura,Caserío La Pura,9.2500,-73.8000,Colombia,CO,COL,Cesar,Cesar,CO-CES,department,,28.7,,,4,America/Bogota,FALSE,1170486122
Marquetalia,Marquetalia,,8.7815,-72.9470,Colombia,CO,COL,Norte de Santander,Norte de Santander,CO-NSA,department,,12.8,,,4,America/Bogota,FALSE,1170001357
Marquetalia,Marquetalia,,8.9231,-72.8268,Colombia,CO,COL,Norte de Santander,Norte de Santander,CO-NSA,department,,12.8,,,4,America/Bogota,TRUE,1170001356
Cordillerita,Cordillerita,,6.8289,-75.9161,Colombia,CO,COL,Antioquia,Antioquia,CO-ANT,department,,26.8,,,4,America/Bogota,FALSE,1170380033
Plan Grande,Plan Grande,,1.2009,-77.4994,Colombia,CO,COL,Nariño,Narino,CO-NAR,department,,64.7,,,4,America/Bogota,FALSE,1170869735
Plan Grande,Plan Grande,,1.8758,-77.3122,Colombia,CO,COL,Nariño,Narino,CO-NAR,department,,52.3,,,4,America/Bogota,TRUE,1170055132
Vereda La Capilla,Vereda La Capilla,,3.1175,-76.2687,Colombia,CO,COL,Cauca,Cauca,CO-CAU,department,,138.3,,,4,America/Bogota,FALSE,1170743975
El Volcan,El Volcan,,3.3079,-74.9924,Colombia,CO,COL,Huila,Huila,CO-HUI,department,,11.5,,,4,America/Bogota,FALSE,1170880049
Vijagual,Vijagual,,9.4787,-75.3457,Colombia,CO,COL,Sucre,Sucre,CO-SUC,department,,34.6,,,4,America/Bogota,FALSE,1170137949
Santa Rita,Santa Rita,,2.5054,-76.5543,Colombia,CO,COL,Cauca,Cauca,CO-CAU,department,,794.2,,,3,America/Bogota,FALSE,1170896533
Santa Rita,Santa Rita,Placer,2.0702,-76.8487,Colombia,CO,COL,Cauca,Cauca,CO-CAU,department,,146.9,,,4,America/Bogota,TRUE,1170572165
Santa Rita,Santa Rita,,3.0672,-76.3808,Colombia,CO,COL,Cauca,Cauca,CO-CAU,department,,120.2,,,4,America/Bogota,TRUE,1170821374
Santa Rita,Santa Rita,,2.5826,-77.1085,Colombia,CO,COL,Cauca,Cauca,CO-CAU,department,,21.0,,,4,America/Bogota,TRUE,1170887573
El Oso,El Oso,,1.9329,-75.3042,Colombia,CO,COL,Caquetá,Caqueta,CO-CAQ,department,,25.3,,,4,America/Bogota,FALSE,1170157671
El Oso,El Oso,,5.3333,-71.6833,Colombia,CO,COL,Casanare,Casanare,CO-CAS,department,,33.2,,,4,America/Bogota,FALSE,1170458303
Horizontes,Horizontes,,6.2390,-75.6369,Colombia,CO,COL,Antioquia,Antioquia,CO-ANT,department,,8365.0,,,2,America/Bogota,FALSE,1170225219
Horizontes,Horizontes,,6.5978,-75.7425,Colombia,CO,COL,Antioquia,Antioquia,CO-ANT,department,,86.9,,,4,America/Bogota,TRUE,1170104116
La Mora,La Mora,Mora,8.7717,-76.0292,Colombia,CO,COL,Córdoba,Cordoba,CO-COR,department,,184.2,,,4,America/Bogota,FALSE,1170820108
La Cabaña uno,La Cabana uno,,7.7869,-76.6789,Colombia,CO,COL,Antioquia,Antioquia,CO-ANT,department,,154.8,,,4,America/Bogota,FALSE,1170795312
San Bernardo,San Bernardo,,3.4892,-76.6508,Colombia,CO,COL,Valle del Cauca,Valle del Cauca,CO-VAC,department,,45.0,,,4,America/Bogota,FALSE,1170579805
Buenavista,Buenavista,,7.6782,-77.1297,Colombia,CO,COL,Chocó,Choco,CO-CHO,department,,2.8,,,5,America/Bogota,FALSE,1170480291
El Cerrito,El Cerrito,Hacienda El Cerrito,10.5000,-73.4000,Colombia,CO,COL,Cesar,Cesar,CO-CES,department,,138.7,,,4,America/Bogota,FALSE,1170442176
El Cerrito,El Cerrito,,9.3308,-73.9280,Colombia,CO,COL,Cesar,Cesar,CO-CES,department,,28.7,,,4,America/Bogota,TRUE,1170718548
El Cerrito,El Cerrito,Hacienda El Cabrito|Hacienda El Cerrito,10.0500,-73.4000,Colombia,CO,COL,Cesar,Cesar,CO-CES,department,,21.9,,,4,America/Bogota,TRUE,1170253724
Algarrobo,Algarrobo,Corregimiento Algarrobo|El Algarrobo|Caserio Algarroba,8.4718,-74.5082,Colombia,CO,COL,Bolívar,Bolivar,CO-BOL,department,,45.3,,,4,America/Bogota,FALSE,1170705709
Vetonia,Vetonia,,0.9348,-77.5150,Colombia,CO,COL,Nariño,Narino,CO-NAR,department,,170.0,,,4,America/Bogota,FALSE,1170465838
Atascosas,Atascosas,Atescos|Hacienda Atascosos,10.4167,-75.3500,Colombia,CO,COL,Bolívar,Bolivar,CO-BOL,department,,267.0,,,3,America/Bogota,FALSE,1170188119
Algarrobo,Algarrobo,,5.6811,-72.4781,Colombia,CO,COL,Boyacá,Boyaca,CO-BOY,department,,2.5,,,5,America/Bogota,FALSE,1170691772
Marírop,Marirop,,11.9468,-71.9223,Colombia,CO,COL,La Guajira,La Guajira,CO-LAG,department,,38.3,,,4,America/Bogota,FALSE,1170358730
Colpet,Colpet,,8.8421,-72.8458,Colombia,CO,COL,Norte de Santander,Norte de Santander,CO-NSA,department,,12.8,,,4,America/Bogota,FALSE,1170030365
La Helida,La Helida,Helida,6.1148,-73.6950,Colombia,CO,COL,Santander,Santander,CO-SAN,department,,38.9,,,4,America/Bogota,FALSE,1170166837
La Leona,La Leona,,6.7000,-75.1667,Colombia,CO,COL,Antioquia,Antioquia,CO-ANT,department,,47.2,,,4,America/Bogota,FALSE,1170857523
