city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Loto,Loto,,-1.5497,15.6167,Congo (Brazzaville),CG,COG,Plateaux,Plateaux,CG-14,department,,2.9,,,5,Africa/Brazzaville,FALSE,1178007505
Mabafi,Mabafi,,-3.2800,12.6719,Congo (Brazzaville),CG,COG,Niari,Niari,CG-9,department,,5.9,,,5,Africa/Brazzaville,FALSE,1178582022
Tandou,Tandou,,-4.5247,12.1203,Congo (Brazzaville),CG,COG,Kouilou,Kouilou,CG-5,department,,10.2,,,4,Africa/Brazzaville,FALSE,1178173085
Ngoyboma,Ngoyboma,N’Goemouma,-0.1856,14.1425,Congo (Brazzaville),CG,COG,Cuvette-Ouest,Cuvette-Ouest,CG-15,department,,7.0,,,5,Africa/Brazzaville,FALSE,1178546388
Lekwon,Lekwon,,-1.6806,15.5156,Congo (Brazzaville),CG,COG,Plateaux,Plateaux,CG-14,department,,2.9,,,5,Africa/Brazzaville,FALSE,1178631560
Ngantoko,Ngantoko,,-3.8250,14.4072,Congo (Brazzaville),CG,COG,Pool,Pool,CG-12,department,,0.5,,,5,Africa/Brazzaville,FALSE,1178942694
Gandou,Gandou,Kingandou,-4.0575,15.4786,Congo (Brazzaville),CG,COG,Brazzaville,Brazzaville,CG-BZV,department,,0.5,,,5,Africa/Brazzaville,FALSE,1178512330
Yédiké,Yedike,,-4.1369,13.0381,Congo (Brazzaville),CG,COG,Bouenza,Bouenza,CG-11,department,,21.3,,,4,Africa/Brazzaville,FALSE,1178719633
Louengo,Louengo,,-4.4425,14.8275,Congo (Brazzaville),CG,COG,Pool,Pool,CG-12,department,,0.5,,,5,Africa/Brazzaville,FALSE,1178240104
Louengo,Louengo,Loengo,-4.3656,14.4883,Congo (Brazzaville),CG,COG,Pool,Pool,CG-12,department,,0.5,,,5,Africa/Brazzaville,TRUE,1178601481
Tchouanké,Tchouanke,Otchouanké,-2.4425,14.9883,Congo (Brazzaville),CG,COG,Plateaux,Plateaux,CG-14,department,,2.9,,,5,Africa/Brazzaville,FALSE,1178219438
Mbiongo,Mbiongo,,-4.8378,13.4369,Congo (Brazzaville),CG,COG,Niari,Niari,CG-9,department,,5.9,,,5,Africa/Brazzaville,FALSE,1178328259
Kiama,Kiama,,-2.3908,14.5222,Congo (Brazzaville),CG,COG,Plateaux,Plateaux,CG-14,department,,2.9,,,5,Africa/Brazzaville,FALSE,1178453197
Odia,Odia,,-0.6753,14.7089,Congo (Brazzaville),CG,COG,Cuvette-Ouest,Cuvette-Ouest,CG-15,department,,7.0,,,5,Africa/Brazzaville,FALSE,1178725625
Odia,Odia,,-0.2536,14.2117,Congo (Brazzaville),CG,COG,Cuvette-Ouest,Cuvette-Ouest,CG-15,department,,7.0,,,5,Africa/Brazzaville,TRUE,1178766455
Ossélé,Ossele,Osélé,-1.4122,15.3481,Congo (Brazzaville),CG,COG,Plateaux,Plateaux,CG-14,department,,2.9,,,5,Africa/Brazzaville,FALSE,1178136161
Ossélé,Ossele,,-0.9417,14.6297,Congo (Brazzaville),CG,COG,Cuvette-Ouest,Cuvette-Ouest,CG-15,department,,7.0,,,5,Africa/Brazzaville,FALSE,1178468202
Ossélé,Ossele,,-0.4667,14.4667,Congo (Brazzaville),CG,COG,Cuvette-Ouest,Cuvette-Ouest,CG-15,department,,7.0,,,5,Africa/Brazzaville,TRUE,1178624235
Ossélé,Ossele,,-0.2311,14.6483,Congo (Brazzaville),CG,COG,Cuvette-Ouest,Cuvette-Ouest,CG-15,department,,7.0,,,5,Africa/Brazzaville,TRUE,1178971992
Ossélé,Ossele,,-0.3381,14.1853,Congo (Brazzaville),CG,COG,Cuvette-Ouest,Cuvette-Ouest,CG-15,department,,7.0,,,5,Africa/Libreville,TRUE,1178784654
Moulondo,Moulondo,,-3.1569,13.1478,Congo (Brazzaville),CG,COG,Lékoumou,Lekoumou,CG-2,department,,7.6,,,5,Africa/Brazzaville,FALSE,1178642017
Irébou,Irebou,Irebo,-0.8481,17.3953,Congo (Brazzaville),CG,COG,Cuvette,Cuvette,CG-8,department,,3.9,,,5,Africa/Brazzaville,FALSE,1178158848
Dzaka,Dzaka,Ndzakou,-0.1881,15.7400,Congo (Brazzaville),CG,COG,Cuvette,Cuvette,CG-8,department,,3.9,,,5,Africa/Brazzaville,FALSE,1178268949
Edikangoué,Edikangoue,,-0.6094,15.6056,Congo (Brazzaville),CG,COG,Cuvette,Cuvette,CG-8,department,,3.9,,,5,Africa/Brazzaville,FALSE,1178717115
Ongia,Ongia,Onguia,-2.4189,14.9647,Congo (Brazzaville),CG,COG,Plateaux,Plateaux,CG-14,department,,2.9,,,5,Africa/Brazzaville,FALSE,1178960762
Ebouli,Ebouli,,-1.6064,16.3539,Congo (Brazzaville),CG,COG,Plateaux,Plateaux,CG-14,department,,2.9,,,5,Africa/Brazzaville,FALSE,1178059797
Mo,Mo,,-0.2372,15.9681,Congo (Brazzaville),CG,COG,Cuvette,Cuvette,CG-8,department,,3.9,,,5,Africa/Brazzaville,FALSE,1178838738
Sambala,Sambala,,2.1611,18.0525,Congo (Brazzaville),CG,COG,Likouala,Likouala,CG-7,department,,17.1,,,4,Africa/Brazzaville,FALSE,1178558580
Mikakaya,Mikakaya,,-3.6522,13.5939,Congo (Brazzaville),CG,COG,Lékoumou,Lekoumou,CG-2,department,,7.6,,,5,Africa/Brazzaville,FALSE,1178450116
Tandou Bizenzé,Tandou Bizenze,Tandou-Binzé|Tenda Bizenzé,-4.9553,12.0817,Congo (Brazzaville),CG,COG,Kouilou,Kouilou,CG-5,department,,10.2,,,4,Africa/Brazzaville,FALSE,1178075211
Kitembé,Kitembe,Kibemba|Kibembe,-3.1242,14.1467,Congo (Brazzaville),CG,COG,Pool,Pool,CG-12,department,,2.0,,,5,Africa/Brazzaville,FALSE,1178085440
Ekongo,Ekongo,,-1.0822,16.0400,Congo (Brazzaville),CG,COG,Cuvette,Cuvette,CG-8,department,,3.9,,,5,Africa/Brazzaville,FALSE,1178379652
Mantélo,Mantelo,,-4.3092,14.7422,Congo (Brazzaville),CG,COG,Pool,Pool,CG-12,department,,0.5,,,5,Africa/Brazzaville,FALSE,1178913531
Mboté-Kola,Mbote-Kola,Mboté,-3.5750,12.3897,Congo (Brazzaville),CG,COG,Niari,Niari,CG-9,department,,5.9,,,5,Africa/Brazzaville,FALSE,1178989271
