city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Brazzaville,Brazzaville,Maya-Maya|N’Tamo,-4.2694,15.2711,"Congo (Brazzaville)",CG,COG,Brazzaville,Brazzaville,CG-BZV,department,primary,6567.9,1733263,1733263,1,Africa/Brazzaville,FALSE,1178340306
Pointe-Noire,Pointe-Noire,,-4.7975,11.8503,"Congo (Brazzaville)",CG,COG,Pointe-Noire,Pointe-Noire,CG-16,department,admin,688.6,787799,787799,2,Africa/Brazzaville,FALSE,1178411563
Tchibota,Tchibota,,-4.1794,11.3731,"Congo (Brazzaville)",CG,COG,Kouilou,Kouilou,CG-5,department,,10.2,262931,262931,2,Africa/Brazzaville,FALSE,1178731596
Dolisie,Dolisie,Loubomo|Dolosie,-4.2006,12.6792,"Congo (Brazzaville)",CG,COG,Niari,Niari,CG-9,department,admin,5.9,83798,83798,2,Africa/Brazzaville,FALSE,1178045241
Kayes,Kayes,Kaï|Jacob|Kaye|Nkayi,-4.1683,13.2933,"Congo (Brazzaville)",CG,COG,Bouenza,Bouenza,CG-11,department,,21.3,71620,71620,3,Africa/Brazzaville,FALSE,1178012015
Madingou,Madingou,Madingo,-4.1642,13.5517,"Congo (Brazzaville)",CG,COG,Bouenza,Bouenza,CG-11,department,admin,21.3,36183,36183,2,Africa/Brazzaville,FALSE,1178057279
Impfondo,Impfondo,Desbordesville|Imponfo,1.6186,18.0622,"Congo (Brazzaville)",CG,COG,Likouala,Likouala,CG-7,department,admin,17.1,33911,33911,2,Africa/Brazzaville,FALSE,1178021926
Hinda,Hinda,Inda,-4.6167,12.0406,"Congo (Brazzaville)",CG,COG,Kouilou,Kouilou,CG-5,department,,10.2,32995,32995,3,Africa/Brazzaville,FALSE,1178008443
Sibiti,Sibiti,Sibidi,-3.6850,13.3511,"Congo (Brazzaville)",CG,COG,Lékoumou,Lekoumou,CG-2,department,admin,7.6,32296,32296,2,Africa/Brazzaville,FALSE,1178867178
Ouésso,Ouesso,,1.6106,16.0514,"Congo (Brazzaville)",CG,COG,Sangha,Sangha,CG-13,department,admin,1.9,28179,28179,2,Africa/Brazzaville,FALSE,1178364266
