city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Bilali,Bilali,,-4.3421,28.1135,Congo (Kinshasa),CD,COD,Maniema,Maniema,CD-MA,province,,28.7,,,4,Africa/Lubumbashi,FALSE,1180214147
Kalumbi,Kalumbi,,-5.9026,28.6181,Congo (Kinshasa),CD,COD,Tanganyika,Tanganyika,CD-TA,province,,49.7,,,4,Africa/Lubumbashi,FALSE,1180697764
Kalumbi,Kalumbi,Katumbi,-7.9000,30.4833,Congo (Kinshasa),CD,COD,Tanganyika,Tanganyika,CD-TA,province,,0.0,,,5,Africa/Lubumbashi,TRUE,1180989618
Boyazilifo,Boyazilifo,,3.4218,19.7829,Congo (Kinshasa),CD,COD,Sud-Ubangi,Sud-Ubangi,CD-SU,province,,95.8,,,4,Africa/Kinshasa,FALSE,1180179291
Ngelio,Ngelio,,4.8402,27.2447,Congo (Kinshasa),CD,COD,Haut-Uélé,Haut-Uele,CD-HU,province,,7.0,,,5,Africa/Lubumbashi,FALSE,1180497004
Songa,Songa,Sanga,-5.8422,14.3767,Congo (Kinshasa),CD,COD,Kongo Central,Kongo Central,CD-BC,province,,32.3,,,4,Africa/Kinshasa,FALSE,1180916170
Lukasi,Lukasi,,-5.2580,14.8164,Congo (Kinshasa),CD,COD,Kongo Central,Kongo Central,CD-BC,province,,62.4,,,4,Africa/Kinshasa,FALSE,1180107900
Tshipanga,Tshipanga,,-7.2228,21.5454,Congo (Kinshasa),CD,COD,Kasaï,Kasai,CD-KS,province,,124.2,,,4,Africa/Lubumbashi,FALSE,1180874957
Mulundu,Mulundu,,-6.8986,16.9080,Congo (Kinshasa),CD,COD,Kwango,Kwango,CD-KG,province,,5.0,,,5,Africa/Kinshasa,FALSE,1180404722
Ngbandua,Ngbandua,,3.3333,26.2000,Congo (Kinshasa),CD,COD,Bas-Uélé,Bas-Uele,CD-BU,province,,14.9,,,4,Africa/Lubumbashi,FALSE,1180454333
Tshipanga,Tshipanga,,-7.1803,21.8030,Congo (Kinshasa),CD,COD,Kasaï Central,Kasai Central,CD-KC,province,,88.2,,,4,Africa/Lubumbashi,FALSE,1180543345
Bakavai,Bakavai,Bakarai,1.2436,27.5320,Congo (Kinshasa),CD,COD,Tshopo,Tshopo,CD-TO,province,,5.6,,,5,Africa/Lubumbashi,FALSE,1180878831
Mulundu,Mulundu,,-6.6404,20.5040,Congo (Kinshasa),CD,COD,Kasaï,Kasai,CD-KS,province,,124.2,,,4,Africa/Lubumbashi,FALSE,1180225601
Lidisu,Lidisu,,3.4354,30.6942,Congo (Kinshasa),CD,COD,Ituri,Ituri,CD-IT,province,,153.2,,,4,Africa/Lubumbashi,FALSE,1180027269
Bena-Kande,Bena-Kande,,-6.3123,23.6449,Congo (Kinshasa),CD,COD,Kasaï Oriental,Kasai Oriental,CD-KE,province,,363.9,,,3,Africa/Lubumbashi,FALSE,1180768750
Shandondo,Shandondo,,-6.6353,18.4212,Congo (Kinshasa),CD,COD,Kwango,Kwango,CD-KG,province,,17.6,,,4,Africa/Kinshasa,FALSE,1180480767
Kilungulila,Kilungulila,,-7.8279,28.5476,Congo (Kinshasa),CD,COD,Haut-Katanga,Haut-Katanga,CD-HK,province,,61.8,,,4,Africa/Lubumbashi,FALSE,1180571240
Malundu,Malundu,,-2.1127,16.9584,Congo (Kinshasa),CD,COD,Mai-Ndombe,Mai-Ndombe,CD-MN,province,,18.8,,,4,Africa/Kinshasa,FALSE,1180568289
Buya-Mukola,Buya-Mukola,Buya Mukoka,-8.8427,25.3711,Congo (Kinshasa),CD,COD,Haut-Lomami,Haut-Lomami,CD-HL,province,,34.0,,,4,Africa/Lubumbashi,FALSE,1180802728
Mapaluma,Mapaluma,Mopaluma,1.8667,23.6667,Congo (Kinshasa),CD,COD,Tshopo,Tshopo,CD-TO,province,,15.7,,,4,Africa/Lubumbashi,FALSE,1180849870
Djom,Djom,,-4.1667,25.0667,Congo (Kinshasa),CD,COD,Maniema,Maniema,CD-MA,province,,11.3,,,4,Africa/Lubumbashi,FALSE,1180676652
Eyenge-Maba,Eyenge-Maba,Eyenga-Maba,-4.2833,19.4833,Congo (Kinshasa),CD,COD,Kwilu,Kwilu,CD-KL,province,,59.3,,,4,Africa/Kinshasa,FALSE,1180001535
Bolenge,Bolenge,,0.0001,18.2167,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,143.3,,,4,Africa/Kinshasa,FALSE,1180477863
Bolenge,Bolenge,,-0.0670,19.1608,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,19.9,,,4,Africa/Kinshasa,TRUE,1180702997
Bolenge,Bolenge,,0.0843,18.7811,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,19.9,,,4,Africa/Kinshasa,TRUE,1180816168
Bolenge,Bolenge,,-0.5472,19.0809,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,17.1,,,4,Africa/Kinshasa,TRUE,1180681262
Bolenge,Bolenge,,-0.3333,18.7667,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,17.1,,,4,Africa/Kinshasa,TRUE,1180557318
Kangangwa,Kangangwa,,-4.0576,27.1071,Congo (Kinshasa),CD,COD,Maniema,Maniema,CD-MA,province,,28.7,,,4,Africa/Lubumbashi,FALSE,1180390928
Kangoya,Kangoya,Kangowa,-9.9383,22.7961,Congo (Kinshasa),CD,COD,Lualaba,Lualaba,CD-LU,province,,27.3,,,4,Africa/Lubumbashi,FALSE,1180326419
Sauzanga,Sauzanga,,-10.7787,23.0549,Congo (Kinshasa),CD,COD,Lualaba,Lualaba,CD-LU,province,,40.9,,,4,Africa/Lubumbashi,FALSE,1180521183
Mabako,Mabako,,1.4833,18.1833,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,10.8,,,4,Africa/Kinshasa,FALSE,1180790733
Maka,Maka,,3.1333,26.7833,Congo (Kinshasa),CD,COD,Bas-Uélé,Bas-Uele,CD-BU,province,,17.6,,,4,Africa/Lubumbashi,FALSE,1180342246
Bokombe,Bokombe,,1.1087,19.5837,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,22.8,,,4,Africa/Kinshasa,FALSE,1180989464
Bokombe,Bokombe,,1.1167,18.0667,Congo (Kinshasa),CD,COD,Équateur,Equateur,CD-EQ,province,,10.8,,,4,Africa/Kinshasa,TRUE,1180452094
Sawanda,Sawanda,,-9.6824,22.0833,Congo (Kinshasa),CD,COD,Lualaba,Lualaba,CD-LU,province,,27.3,,,4,Africa/Lubumbashi,FALSE,1180164499
Sawanda,Sawanda,,-9.9265,22.8952,Congo (Kinshasa),CD,COD,Lualaba,Lualaba,CD-LU,province,,27.3,,,4,Africa/Lubumbashi,TRUE,1180825363
Sawanda,Sawanda,,-9.8897,22.3016,Congo (Kinshasa),CD,COD,Lualaba,Lualaba,CD-LU,province,,27.3,,,4,Africa/Lubumbashi,TRUE,1180121452
Mbolo,Mbolo,,-1.2477,19.0948,Congo (Kinshasa),CD,COD,Mai-Ndombe,Mai-Ndombe,CD-MN,province,,16.3,,,4,Africa/Kinshasa,FALSE,1180937259
