city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Avarua,Avarua,,-21.2070,-159.7710,"Cook Islands",CK,COK,,,,,primary,173.1,4009,4009,1,Pacific/Rarotonga,FALSE,1184217570
Amuri,Amuri,,-18.8667,-159.7667,"Cook Islands",CK,COK,,,,,,103.5,234,234,3,Pacific/Rarotonga,FALSE,1184944721
Omoka,Omoka,Omoko,-8.9768,-158.0536,"Cook Islands",CK,COK,,,,,,7.5,,,5,Pacific/Rarotonga,FALSE,1184798330
Arutanga,Arutanga,Arutunga,-18.8652,-159.7981,"Cook Islands",CK,COK,,,,,,103.5,,,4,Pacific/Rarotonga,FALSE,1184374242
Pue,Pue,,-21.2050,-159.7630,"Cook Islands",CK,COK,,,,,,286.2,,,3,Pacific/Rarotonga,FALSE,1184000002
"Auta Village","Auta Village",,-19.8589,-157.7179,"Cook Islands",CK,COK,,,,,,6.7,,,5,Pacific/Rarotonga,FALSE,1184000006
Avatiu,Avatiu,,-21.2038,-159.7866,"Cook Islands",CK,COK,,,,,,141.9,,,4,Pacific/Rarotonga,FALSE,1184012552
Tukao,Tukao,"Tuko Village|Tuko",-10.3752,-161.0102,"Cook Islands",CK,COK,,,,,,14.9,,,4,Pacific/Rarotonga,FALSE,1184801786
Muri,Muri,,-21.2565,-159.7320,"Cook Islands",CK,COK,,,,,,149.3,,,4,Pacific/Rarotonga,FALSE,1184267297
"Ivirua Village","Ivirua Village",Ivirua,-21.9177,-157.8953,"Cook Islands",CK,COK,,,,,,9.3,,,5,Pacific/Rarotonga,FALSE,1184611568
"Oiretumu Village","Oiretumu Village",,-20.1527,-157.3456,"Cook Islands",CK,COK,,,,,,10.2,,,4,Pacific/Rarotonga,FALSE,1184000010
"Ngatiarua Village","Ngatiarua Village",Ngatiarua,-19.9981,-158.1206,"Cook Islands",CK,COK,,,,,,12.8,,,4,Pacific/Rarotonga,FALSE,1184549620
Ngatangiia,Ngatangiia,,-21.2377,-159.7316,"Cook Islands",CK,COK,,,,,,119.3,,,4,Pacific/Rarotonga,FALSE,1184335790
"Atai Village","Atai Village",,-19.8576,-157.7186,"Cook Islands",CK,COK,,,,,,6.7,,,5,Pacific/Rarotonga,FALSE,1184000007
"Karanga Village","Karanga Village",,-21.9078,-157.9021,"Cook Islands",CK,COK,,,,,,9.3,,,5,Pacific/Rarotonga,FALSE,1184375249
Natikitea,Natikitea,,-20.0167,-158.1167,"Cook Islands",CK,COK,,,,,,12.8,,,4,Pacific/Rarotonga,FALSE,1184101342
Nukuao,Nukuao,,-20.1333,-157.3667,"Cook Islands",CK,COK,,,,,,10.2,,,4,Pacific/Rarotonga,FALSE,1184717340
Tauhunu,Tauhunu,"Tauhunu Village",-10.4236,-161.0340,"Cook Islands",CK,COK,,,,,,14.9,,,4,Pacific/Rarotonga,FALSE,1184529003
Toamua,Toamua,,-13.8000,-171.7833,"Cook Islands",CK,COK,,,,,,368.9,,,3,Pacific/Apia,FALSE,1184354189
"Mangarei Village","Mangarei Village",,-19.8609,-157.7187,"Cook Islands",CK,COK,,,,,,6.7,,,5,Pacific/Rarotonga,FALSE,1184000005
"Mangarei Village","Mangarei Village",,-19.6972,-157.7167,"Cook Islands",CK,COK,,,,,,0,,,5,Pacific/Rarotonga,TRUE,1184763340
Reureu,Reureu,,-18.8680,-159.7992,"Cook Islands",CK,COK,,,,,,103.5,,,4,Pacific/Rarotonga,FALSE,1184037428
"Mapumai Village","Mapumai Village",Mapumai,-19.9833,-158.1167,"Cook Islands",CK,COK,,,,,,12.8,,,3,Pacific/Rarotonga,FALSE,1184805807
Vaipeka,Vaipeka,,-18.8453,-159.7746,"Cook Islands",CK,COK,,,,,,103.5,,,4,Pacific/Rarotonga,FALSE,1184000008
Ureia,Ureia,,-18.8616,-159.7969,"Cook Islands",CK,COK,,,,,,103.5,,,4,Pacific/Rarotonga,FALSE,1184000009
Roto,Roto,,-10.8833,-165.8333,"Cook Islands",CK,COK,,,,,,77.3,,,4,Pacific/Rarotonga,FALSE,1184000000
Nukatere,Nukatere,,-19.8167,-157.7167,"Cook Islands",CK,COK,,,,,,6.7,,,5,Pacific/Rarotonga,FALSE,1184456100
"Tamarua Village","Tamarua Village",Tamarua,-21.9505,-157.9080,"Cook Islands",CK,COK,,,,,,9.3,,,5,Pacific/Rarotonga,FALSE,1184391085
Matara,Matara,,-10.0315,-161.1013,"Cook Islands",CK,COK,,,,,,7.8,,,5,Pacific/Rarotonga,FALSE,1184000004
Nikaupara,Nikaupara,,-18.8712,-159.8007,"Cook Islands",CK,COK,,,,,,103.5,,,4,Pacific/Rarotonga,FALSE,1184166069
Papaolematuu,Papaolematuu,,-13.8333,-172.0833,"Cook Islands",CK,COK,,,,,,145.0,,,4,Pacific/Apia,FALSE,1184360404
"Teenui Village","Teenui Village","Teenui|Te Enui",-19.9927,-158.1226,"Cook Islands",CK,COK,,,,,,12.8,,,4,Pacific/Rarotonga,FALSE,1184692355
Nikao,Nikao,,-21.2056,-159.8096,"Cook Islands",CK,COK,,,,,,289.1,,,3,Pacific/Rarotonga,FALSE,1184000001
Vaipae,Vaipae,,-18.8710,-159.7782,"Cook Islands",CK,COK,,,,,,103.5,,,4,Pacific/Rarotonga,FALSE,1184661746
Titikaveka,Titikaveka,Titikaweka,-21.2713,-159.7587,"Cook Islands",CK,COK,,,,,,138.3,,,4,Pacific/Rarotonga,FALSE,1184410346
"Kimiangatau Village","Kimiangatau Village",,-20.1437,-157.3565,"Cook Islands",CK,COK,,,,,,10.2,,,4,Pacific/Rarotonga,FALSE,1184629329
Areora,Areora,,-19.9993,-158.1161,"Cook Islands",CK,COK,,,,,,12.8,,,4,Pacific/Rarotonga,FALSE,1184826731
Areora,Areora,,-20.1633,-157.3444,"Cook Islands",CK,COK,,,,,,10.2,,,4,Pacific/Rarotonga,TRUE,1184029979
"Te Tautua","Te Tautua",Tautua,-8.9590,-157.9257,"Cook Islands",CK,COK,,,,,,7.5,,,5,Pacific/Rarotonga,FALSE,1184886602
Papapapaitai,Papapapaitai,,-13.9333,-171.7500,"Cook Islands",CK,COK,,,,,,368.9,,,3,Pacific/Apia,FALSE,1184057360
Oneroa,Oneroa,"Temakatea Village",-21.9200,-157.9603,"Cook Islands",CK,COK,,,,,,9.3,,,5,Pacific/Rarotonga,FALSE,1184317109
Matavera,Matavera,,-21.2232,-159.7335,"Cook Islands",CK,COK,,,,,,213.6,,,3,Pacific/Rarotonga,FALSE,1184915550
Ngatiarua,Ngatiarua,,-20.1528,-157.3433,"Cook Islands",CK,COK,,,,,,10.2,,,4,Pacific/Rarotonga,FALSE,1184750661
Tautu,Tautu,,-18.8810,-159.7785,"Cook Islands",CK,COK,,,,,,103.5,,,4,Pacific/Rarotonga,FALSE,1184488360
Papapapaiuta,Papapapaiuta,,-13.9333,-171.7500,"Cook Islands",CK,COK,,,,,,368.9,,,3,Pacific/Apia,FALSE,1184561069
Palmerston,Palmerston,"Palmerston Island Village|Home|Village",-18.0552,-163.2088,"Cook Islands",CK,COK,,,,,,34.4,,,4,Pacific/Rarotonga,FALSE,1184205801
"Tengatangi Village","Tengatangi Village",Tengatangi,-19.9935,-158.1147,"Cook Islands",CK,COK,,,,,,12.8,,,4,Pacific/Rarotonga,FALSE,1184459803
Arorangi,Arorangi,,-21.2282,-159.8274,"Cook Islands",CK,COK,,,,,,366.4,,,3,Pacific/Rarotonga,FALSE,1184673131
"Takaue Village","Takaue Village",,-19.8624,-157.7190,"Cook Islands",CK,COK,,,,,,6.7,,,5,Pacific/Rarotonga,FALSE,1184000003
