city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Montecito,Montecito,,10.0666,-84.0923,Costa Rica,CR,CRI,Heredia,Heredia,CR-H,province,,1157.4,,,3,America/Costa_Rica,FALSE,1188000460
Mina,Mina,La Mina,9.8330,-83.5378,Costa Rica,CR,CRI,Cartago,Cartago,CR-C,province,,32.3,,,4,America/Costa_Rica,FALSE,1188000776
Sándalo,Sandalo,El Sandalo,8.5751,-83.3591,Costa Rica,CR,CRI,Puntarenas,Puntarenas,CR-P,province,,16.5,,,4,America/Costa_Rica,FALSE,1188748854
Pisco,Pisco,,9.9317,-83.8716,Costa Rica,CR,CRI,Cartago,Cartago,CR-C,province,,137.3,,,4,America/Costa_Rica,FALSE,1188001639
San Juan Abajo,San Juan Abajo,,10.0199,-84.1627,Costa Rica,CR,CRI,Heredia,Heredia,CR-H,province,,2021.6,,,2,America/Costa_Rica,FALSE,1188388603
Finca Zona Siete,Finca Zona Siete,,10.3086,-83.8631,Costa Rica,CR,CRI,Heredia,Heredia,CR-H,province,,50.1,,,4,America/Costa_Rica,FALSE,1188000075
Cayuga,Cayuga,,10.3064,-83.7823,Costa Rica,CR,CRI,Limón,Limon,CR-L,province,,51.6,,,4,America/Costa_Rica,FALSE,1188000966
San Lucas,San Lucas,,10.4594,-85.5534,Costa Rica,CR,CRI,Guanacaste,Guanacaste,CR-G,province,,110.3,,,4,America/Costa_Rica,FALSE,1188000969
San Lucas,San Lucas,,9.7333,-85.2333,Costa Rica,CR,CRI,Guanacaste,Guanacaste,CR-G,province,,27.5,,,4,America/Costa_Rica,TRUE,1188946946
Flor de Coto,Flor de Coto,,8.5078,-83.0479,Costa Rica,CR,CRI,Puntarenas,Puntarenas,CR-P,province,,19.0,,,4,America/Costa_Rica,FALSE,1188001572
Poró,Poro,,9.8887,-84.4148,Costa Rica,CR,CRI,San José,San Jose,CR-SJ,province,,47.6,,,4,America/Costa_Rica,FALSE,1188000309
Loma Larga,Loma Larga,,9.7692,-84.0675,Costa Rica,CR,CRI,Cartago,Cartago,CR-C,province,,360.2,,,3,America/Costa_Rica,FALSE,1188000371
Ocotal,Ocotal,,10.5441,-85.7183,Costa Rica,CR,CRI,Guanacaste,Guanacaste,CR-G,province,,77.8,,,4,America/Costa_Rica,FALSE,1188557970
La Quesera,La Quesera,,9.8666,-84.6437,Costa Rica,CR,CRI,Alajuela,Alajuela,CR-A,province,,41.0,,,4,America/Costa_Rica,FALSE,1188001177
Cedros,Cedros,,10.5461,-84.6261,Costa Rica,CR,CRI,Alajuela,Alajuela,CR-A,province,,16.9,,,4,America/Costa_Rica,FALSE,1188000293
Cedros,Cedros,,10.4697,-85.1054,Costa Rica,CR,CRI,Guanacaste,Guanacaste,CR-G,province,,116.3,,,4,America/Costa_Rica,FALSE,1188999735
Cerdas,Cerdas,,9.6877,-84.3089,Costa Rica,CR,CRI,San José,San Jose,CR-SJ,province,,13.9,,,4,America/Costa_Rica,FALSE,1188999927
Guanacasteca,Guanacasteca,,9.9596,-83.5787,Costa Rica,CR,CRI,Cartago,Cartago,CR-C,province,,45.4,,,4,America/Costa_Rica,FALSE,1188999844
Cien Manzanas,Cien Manzanas,,9.8539,-83.5656,Costa Rica,CR,CRI,Cartago,Cartago,CR-C,province,,76.6,,,4,America/Costa_Rica,FALSE,1188000884
Catarata,Catarata,,9.6334,-82.8109,Costa Rica,CR,CRI,Limón,Limon,CR-L,province,,50.1,,,4,America/Costa_Rica,FALSE,1188001407
San Lucas,San Lucas,,9.9333,-84.9000,Costa Rica,CR,CRI,Puntarenas,Puntarenas,CR-P,province,,209.9,,,3,America/Costa_Rica,FALSE,1188473354
Mogos,Mogos,,8.7468,-83.3807,Costa Rica,CR,CRI,Puntarenas,Puntarenas,CR-P,province,,4.2,,,5,America/Costa_Rica,FALSE,1188171860
Isla Chica,Isla Chica,,11.0260,-84.5783,Costa Rica,CR,CRI,Alajuela,Alajuela,CR-A,province,,33.6,,,4,America/Costa_Rica,FALSE,1188000700
Catarata,Catarata,,10.0894,-84.5054,Costa Rica,CR,CRI,Alajuela,Alajuela,CR-A,province,,564.0,,,3,America/Costa_Rica,FALSE,1188732103
Mollejones,Mollejones,,9.9005,-83.5631,Costa Rica,CR,CRI,Cartago,Cartago,CR-C,province,,48.1,,,4,America/Costa_Rica,FALSE,1188999717
Bajo Brujo,Bajo Brujo,,8.5942,-82.8555,Costa Rica,CR,CRI,Puntarenas,Puntarenas,CR-P,province,,120.4,,,4,America/Costa_Rica,FALSE,1188001323
Amparo,Amparo,El Amparo,10.8539,-84.6984,Costa Rica,CR,CRI,Alajuela,Alajuela,CR-A,province,,20.7,,,4,America/Costa_Rica,FALSE,1188586162
Casavieja,Casavieja,,10.6208,-85.1867,Costa Rica,CR,CRI,Guanacaste,Guanacaste,CR-G,province,,17.0,,,4,America/Costa_Rica,FALSE,1188000739
Iguanita,Iguanita,,10.0693,-85.3521,Costa Rica,CR,CRI,Guanacaste,Guanacaste,CR-G,province,,31.7,,,4,America/Costa_Rica,FALSE,1188725008
Rivas,Rivas,,9.4219,-83.6583,Costa Rica,CR,CRI,San José,San Jose,CR-SJ,province,,21.3,,,4,America/Costa_Rica,FALSE,1188358450
Villa Mills,Villa Mills,,9.5616,-83.7058,Costa Rica,CR,CRI,Cartago,Cartago,CR-C,province,,24.4,,,4,America/Costa_Rica,FALSE,1188965713
Roble Alto,Roble Alto,,10.0667,-84.1167,Costa Rica,CR,CRI,Heredia,Heredia,CR-H,province,,236.9,,,3,America/Costa_Rica,FALSE,1188309646
Marsella,Marsella,,10.3380,-84.2529,Costa Rica,CR,CRI,Alajuela,Alajuela,CR-A,province,,90.1,,,4,America/Costa_Rica,FALSE,1188257730
Teca,Teca,,9.5635,-84.3388,Costa Rica,CR,CRI,Puntarenas,Puntarenas,CR-P,province,,42.6,,,4,America/Costa_Rica,FALSE,1188001155
