city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tomašići,Tomasici,,45.3833,15.3667,Croatia,HR,HRV,Karlovačka Županija,Karlovacka Zupanija,HR-04,county,,21.8,,,4,Europe/Zagreb,FALSE,1191877062
Žumberak,Zumberak,,45.7500,15.4333,Croatia,HR,HRV,Zagrebačka Županija,Zagrebacka Zupanija,HR-01,county,minor,6.4,,,3,Europe/Zagreb,FALSE,1191376697
Šimci,Simci,,44.7078,15.2056,Croatia,HR,HRV,Ličko-Senjska Županija,Licko-Senjska Zupanija,HR-09,county,,5.4,,,5,Europe/Zagreb,FALSE,1191467128
Pavlinovići,Pavlinovici,,43.3142,17.1600,Croatia,HR,HRV,Splitsko-Dalmatinska Županija,Splitsko-Dalmatinska Zupanija,HR-17,county,,13.0,,,4,Europe/Zagreb,FALSE,1191272407
Tiborjanci,Tiborjanci,,45.6833,18.3358,Croatia,HR,HRV,Osječko-Baranjska Županija,Osjecko-Baranjska Zupanija,HR-14,county,,154.7,,,4,Europe/Zagreb,FALSE,1191772995
Poljana,Poljana,Poljane,44.8353,15.1244,Croatia,HR,HRV,Ličko-Senjska Županija,Licko-Senjska Zupanija,HR-09,county,,16.4,,,4,Europe/Zagreb,FALSE,1191636223
Poljana,Poljana,,44.3206,15.7003,Croatia,HR,HRV,Ličko-Senjska Županija,Licko-Senjska Zupanija,HR-09,county,,2.7,,,5,Europe/Zagreb,TRUE,1191306881
Donja Vala,Donja Vala,,43.1567,17.2478,Croatia,HR,HRV,Splitsko-Dalmatinska Županija,Splitsko-Dalmatinska Zupanija,HR-17,county,,39.9,,,4,Europe/Zagreb,FALSE,1191110025
Crni Dabar,Crni Dabar,Dabar Crni,44.5608,15.1447,Croatia,HR,HRV,Ličko-Senjska Županija,Licko-Senjska Zupanija,HR-09,county,,3.3,,,5,Europe/Zagreb,FALSE,1191269657
Bulja,Bulja,,43.7136,16.6339,Croatia,HR,HRV,Splitsko-Dalmatinska Županija,Splitsko-Dalmatinska Zupanija,HR-17,county,,112.5,,,4,Europe/Zagreb,FALSE,1191355157
Šimatovo,Simatovo,,45.5047,14.9389,Croatia,HR,HRV,Primorsko-Goranska Županija,Primorsko-Goranska Zupanija,HR-08,county,,15.1,,,4,Europe/Zagreb,FALSE,1191571558
Krčenik,Krcenik,Kod Topole,45.2294,17.5467,Croatia,HR,HRV,Brodsko-Posavska Županija,Brodsko-Posavska Zupanija,HR-12,county,,31.1,,,4,Europe/Zagreb,FALSE,1191840306
Vinčazovići,Vincazovici,,45.2333,17.8742,Croatia,HR,HRV,Brodsko-Posavska Županija,Brodsko-Posavska Zupanija,HR-12,county,,60.4,,,4,Europe/Zagreb,FALSE,1191727490
Mali Podol,Mali Podol,Podol Mali|Podolli Píccolo|Podolić,44.8794,14.3547,Croatia,HR,HRV,Primorsko-Goranska Županija,Primorsko-Goranska Zupanija,HR-08,county,,9.2,,,4,Europe/Zagreb,FALSE,1191001194
Leskur,Leskur,,44.0517,15.9528,Croatia,HR,HRV,Šibensko-Kninska Županija,Sibensko-Kninska Zupanija,HR-15,county,,15.9,,,4,Europe/Zagreb,FALSE,1191468268
Ravnice,Ravnice,,45.1192,16.4017,Croatia,HR,HRV,Sisačko-Moslavačka Županija,Sisacko-Moslavacka Zupanija,HR-03,county,,18.0,,,4,Europe/Zagreb,FALSE,1191225009
Ravnice,Ravnice,,46.0333,15.8667,Croatia,HR,HRV,Krapinsko-Zagorska Županija,Krapinsko-Zagorska Zupanija,HR-02,county,,260.0,,,3,Europe/Zagreb,FALSE,1191376342
Opanci,Opanci,,43.4833,16.9833,Croatia,HR,HRV,Splitsko-Dalmatinska Županija,Splitsko-Dalmatinska Zupanija,HR-17,county,,10.6,,,4,Europe/Zagreb,FALSE,1191597027
Grabovac,Grabovac,,43.4308,16.9867,Croatia,HR,HRV,Splitsko-Dalmatinska Županija,Splitsko-Dalmatinska Zupanija,HR-17,county,,15.9,,,4,Europe/Zagreb,FALSE,1191227986
Modrići,Modrici,,44.8208,15.0789,Croatia,HR,HRV,Ličko-Senjska Županija,Licko-Senjska Zupanija,HR-09,county,,10.1,,,4,Europe/Zagreb,FALSE,1191915030
Brestik,Brestik,,45.2256,16.1919,Croatia,HR,HRV,Sisačko-Moslavačka Županija,Sisacko-Moslavacka Zupanija,HR-03,county,,16.2,,,4,Europe/Zagreb,FALSE,1191046982
Žankovci,Zankovci,,45.3183,18.8128,Croatia,HR,HRV,Vukovarsko-Srijemska Županija,Vukovarsko-Srijemska Zupanija,HR-16,county,,374.3,,,3,Europe/Zagreb,FALSE,1191133870
Žankovci,Zankovci,Zankovići|Zancovici,45.2339,14.1136,Croatia,HR,HRV,Istarska Županija,Istarska Zupanija,HR-18,county,,20.9,,,4,Europe/Zagreb,FALSE,1191478204
Prigorje,Prigorje,,46.1667,15.8000,Croatia,HR,HRV,Krapinsko-Zagorska Županija,Krapinsko-Zagorska Zupanija,HR-02,county,,128.7,,,4,Europe/Zagreb,FALSE,1191376233
Donja Velika,Donja Velika,,45.9833,16.4167,Croatia,HR,HRV,Zagrebačka Županija,Zagrebacka Zupanija,HR-01,county,,93.6,,,4,Europe/Zagreb,FALSE,1191688043
Stanovi,Stanovi,,44.7344,15.9044,Croatia,HR,HRV,Ličko-Senjska Županija,Licko-Senjska Zupanija,HR-09,county,,6.1,,,5,Europe/Zagreb,FALSE,1191693056
Dorontići,Dorontici,,44.8656,15.3619,Croatia,HR,HRV,Ličko-Senjska Županija,Licko-Senjska Zupanija,HR-09,county,,12.9,,,4,Europe/Zagreb,FALSE,1191362872
Praputnjak,Praputnjak,,45.2989,14.5736,Croatia,HR,HRV,Primorsko-Goranska Županija,Primorsko-Goranska Zupanija,HR-08,county,,72.6,,,4,Europe/Zagreb,FALSE,1191485050
