city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Marsillán Escuela,Marsillan Escuela,,22.2918,-80.3036,Cuba,CU,CUB,Cienfuegos,Cienfuegos,CU-06,province,,41.0,,,4,America/Havana,FALSE,1192000377
La Hilda,La Hilda,,23.1333,-82.1167,Cuba,CU,CUB,La Habana,La Habana,CU-03,province,,698.3,,,3,America/Havana,FALSE,1192693252
El Marañón,El Maranon,,23.0164,-82.5508,Cuba,CU,CUB,Artemisa,Artemisa,CU-15,province,,262.9,,,3,America/Havana,FALSE,1192112703
Santa,Santa,,21.1183,-75.7733,Cuba,CU,CUB,Holguín,Holguin,CU-11,province,,101.2,,,4,America/Havana,FALSE,1192191715
Felicito Rodríguez,Felicito Rodriguez,,22.2129,-79.0329,Cuba,CU,CUB,Sancti Spíritus,Sancti Spiritus,CU-07,province,,42.3,,,4,America/Havana,FALSE,1192000724
Palo Seco,Palo Seco,,20.4167,-77.0260,Cuba,CU,CUB,Granma,Granma,CU-12,province,,100.3,,,4,America/Havana,FALSE,1192644623
Palo Seco,Palo Seco,,20.2639,-76.2847,Cuba,CU,CUB,Santiago de Cuba,Santiago de Cuba,CU-13,province,,267.2,,,3,America/Havana,FALSE,1192641592
Palo Seco,Palo Seco,,20.8029,-77.2810,Cuba,CU,CUB,Las Tunas,Las Tunas,CU-10,province,,44.2,,,4,America/Havana,FALSE,1192318784
Cananova,Cananova,Cananove|Canavao|Cananovas,20.6290,-75.0937,Cuba,CU,CUB,Holguín,Holguin,CU-11,province,,57.9,,,4,America/Havana,FALSE,1192276466
Sevilla Arriba,Sevilla Arriba,,19.9675,-77.4205,Cuba,CU,CUB,Granma,Granma,CU-12,province,,80.6,,,4,America/Havana,FALSE,1192356527
La Serrana,La Serrana,,22.0737,-78.5330,Cuba,CU,CUB,Ciego de Ávila,Ciego de Avila,CU-08,province,,14.6,,,4,America/Havana,FALSE,1192053806
Elizondo,Elizondo,,22.9833,-82.1833,Cuba,CU,CUB,Mayabeque,Mayabeque,CU-16,province,,143.7,,,4,America/Havana,FALSE,1192178891
Sucesión de Ruiz,Sucesion de Ruiz,,22.7833,-80.2833,Cuba,CU,CUB,Villa Clara,Villa Clara,CU-05,province,,69.2,,,4,America/Havana,FALSE,1192927987
Hatico,Hatico,,22.1368,-79.4415,Cuba,CU,CUB,Sancti Spíritus,Sancti Spiritus,CU-07,province,,117.5,,,4,America/Havana,FALSE,1192278015
Baire Abajo,Baire Abajo,,20.3833,-76.2833,Cuba,CU,CUB,Granma,Granma,CU-12,province,,66.6,,,4,America/Havana,FALSE,1192257519
El Derumbadero,El Derumbadero,,22.7833,-83.0833,Cuba,CU,CUB,Artemisa,Artemisa,CU-15,province,,62.3,,,4,America/Havana,FALSE,1192838310
Juan Sáez,Juan Saez,,21.0833,-76.4667,Cuba,CU,CUB,Las Tunas,Las Tunas,CU-10,province,,65.7,,,4,America/Havana,FALSE,1192560325
El Bledo,El Bledo,,20.9487,-76.7064,Cuba,CU,CUB,Las Tunas,Las Tunas,CU-10,province,,65.7,,,4,America/Havana,FALSE,1192302735
Tomi,Tomi,,20.8285,-76.3617,Cuba,CU,CUB,Holguín,Holguin,CU-11,province,,63.1,,,4,America/Havana,FALSE,1192410284
Pararrayo,Pararrayo,,22.4433,-80.0140,Cuba,CU,CUB,Villa Clara,Villa Clara,CU-05,province,,490.7,,,3,America/Havana,FALSE,1192000393
El Quinto,El Quinto,,20.1111,-75.7204,Cuba,CU,CUB,Santiago de Cuba,Santiago de Cuba,CU-13,province,,438.1,,,3,America/Havana,FALSE,1192892339
Cabada,Cabada,,22.2167,-80.1833,Cuba,CU,CUB,Cienfuegos,Cienfuegos,CU-06,province,,85.6,,,4,America/Havana,FALSE,1192482519
Abel Santa María Nuevo,Abel Santa Maria Nuevo,,21.9543,-79.4944,Cuba,CU,CUB,Sancti Spíritus,Sancti Spiritus,CU-07,province,,140.5,,,4,America/Havana,FALSE,1192000632
Añiles,Aniles,,20.9135,-77.1333,Cuba,CU,CUB,Las Tunas,Las Tunas,CU-10,province,,44.2,,,4,America/Havana,FALSE,1192939158
Villa Nueva,Villa Nueva,,22.0000,-78.6500,Cuba,CU,CUB,Ciego de Ávila,Ciego de Avila,CU-08,province,,45.8,,,4,America/Havana,FALSE,1192636280
Rosalba,Rosalba,,22.2167,-80.1167,Cuba,CU,CUB,Cienfuegos,Cienfuegos,CU-06,province,,85.6,,,4,America/Havana,FALSE,1192000034
Jesús María,Jesus Maria,,20.9292,-76.2641,Cuba,CU,CUB,Holguín,Holguin,CU-11,province,,625.4,,,3,America/Havana,FALSE,1192868582
Jesús María,Jesus Maria,,20.7781,-76.3035,Cuba,CU,CUB,Holguín,Holguin,CU-11,province,,62.2,,,4,America/Havana,TRUE,1192935875
Jesús María,Jesus Maria,,20.4622,-76.5475,Cuba,CU,CUB,Granma,Granma,CU-12,province,,66.6,,,4,America/Havana,FALSE,1192869071
Jesús María,Jesus Maria,,20.1006,-75.8136,Cuba,CU,CUB,Santiago de Cuba,Santiago de Cuba,CU-13,province,,438.1,,,3,America/Havana,FALSE,1192706301
Llerena,Llerena,,22.8167,-80.7667,Cuba,CU,CUB,Matanzas,Matanzas,CU-04,province,,132.1,,,4,America/Havana,FALSE,1192810667
Santiago de Cartagena,Santiago de Cartagena,Santiago,22.5074,-80.5208,Cuba,CU,CUB,Cienfuegos,Cienfuegos,CU-06,province,,80.1,,,4,America/Havana,FALSE,1192408067
Maguaraya Arriba,Maguaraya Arriba,,22.5366,-79.9689,Cuba,CU,CUB,Villa Clara,Villa Clara,CU-05,province,,44.3,,,4,America/Havana,FALSE,1192896747
Puerto Príncipe,Puerto Principe,,22.4500,-80.7167,Cuba,CU,CUB,Cienfuegos,Cienfuegos,CU-06,province,,30.7,,,4,America/Havana,FALSE,1192991182
Vaquería,Vaqueria,,22.2000,-80.3167,Cuba,CU,CUB,Cienfuegos,Cienfuegos,CU-06,province,,105.9,,,4,America/Havana,FALSE,1192391682
Santa Amelia,Santa Amelia,Reparto Santa Amelia,22.9880,-82.2365,Cuba,CU,CUB,La Habana,La Habana,CU-03,province,,1744.9,,,3,America/Havana,FALSE,1192126208
Las Tunas,Las Tunas,,20.9344,-77.5247,Cuba,CU,CUB,Las Tunas,Las Tunas,CU-10,province,,56.7,,,4,America/Havana,TRUE,1192633294
Minas Sun,Minas Sun,Minas,20.1744,-76.7572,Cuba,CU,CUB,Granma,Granma,CU-12,province,,59.8,,,4,America/Havana,FALSE,1192392186
