city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Willemstad,Willemstad,,12.1080,-68.9350,Curaçao,CW,CUW,,,,,primary,575.7,150000,150000,1,America/Curacao,FALSE,1531000000
"Santa Rosa","Santa Rosa",,12.1136,-68.8733,Curaçao,CW,CUW,,,,,,1354.7,,,3,America/Curacao,FALSE,1531346049
Weis,Weis,"Weis Afó",12.1500,-68.9333,Curaçao,CW,CUW,,,,,,2044.7,,,2,America/Curacao,FALSE,1531044315
"Dorp Soto","Dorp Soto",Soto,12.2667,-69.1000,Curaçao,CW,CUW,,,,,,87.7,,,4,America/Curacao,FALSE,1531906550
"Kura Juri","Kura Juri","Koera Joeri",12.3500,-69.1500,Curaçao,CW,CUW,,,,,,27.9,,,4,America/Curacao,FALSE,1531378798
Blomonte,Blomonte,Blomonti,12.1500,-68.9333,Curaçao,CW,CUW,,,,,,2044.7,,,2,America/Curacao,FALSE,1531889943
"Suriname Dorp","Suriname Dorp",,12.1500,-68.9333,Curaçao,CW,CUW,,,,,,2044.7,,,2,America/Curacao,FALSE,1531108843
"Dorp Sint Michiel","Dorp Sint Michiel","Sint Michiel",12.1333,-68.9833,Curaçao,CW,CUW,,,,,,325.8,,,3,America/Curacao,FALSE,1531067805
Fontein,Fontein,,12.2500,-69.0833,Curaçao,CW,CUW,,,,,,56.0,,,4,America/Curacao,FALSE,1531280372
"Montan’i Rei","Montan'i Rei","Montanja di Reij|Montange|Montanje",12.1000,-68.8667,Curaçao,CW,CUW,,,,,,788.2,,,3,America/Curacao,FALSE,1531904584
Weitje,Weitje,,12.0167,-68.9833,Curaçao,CW,CUW,,,,,,1489.6,,,3,America/Curacao,FALSE,1531892265
"Dorp Sint Willebrordus","Dorp Sint Willebrordus","Willebrordus|Sint Willebrordus|Dorp Sint Willibrordus",12.2167,-69.0500,Curaçao,CW,CUW,,,,,,60.1,,,4,America/Curacao,FALSE,1531443785
"Saliña Abou","Salina Abou",Salinja,12.1000,-68.9000,Curaçao,CW,CUW,,,,,,1382.6,,,3,America/Curacao,FALSE,1531171819
Parera,Parera,Pareira,12.1000,-68.9167,Curaçao,CW,CUW,,,,,,1704.2,,,3,America/Curacao,FALSE,1531826427
Barber,Barber,,12.2833,-69.0667,Curaçao,CW,CUW,,,,,,271.3,,,3,America/Curacao,FALSE,1531779128
"Bou’i Seru","Bou'i Seru","Bau Seroe",12.3000,-69.1000,Curaçao,CW,CUW,,,,,,284.3,,,3,America/Curacao,FALSE,1531167060
Roosendaal,Roosendaal,Rozendaal,12.1333,-68.9500,Curaçao,CW,CUW,,,,,,925.8,,,3,America/Curacao,FALSE,1531763081
"Fortuna Abou","Fortuna Abou","Fortuna Abu|Fortuna Abau",12.1667,-68.9167,Curaçao,CW,CUW,,,,,,970.4,,,3,America/Curacao,FALSE,1531070868
