city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Nicosia,Nicosia,Lefkoşa|Lefkosía,35.1725,33.3650,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,primary,1246.5,330000,330000,1,Asia/Famagusta,FALSE,1196944155
Limassol,Limassol,Lemesós|Lemessus|Leymosun|Limasol,34.6747,33.0442,Cyprus,CY,CYP,Lemesós,Lemesos,CY-02,district,admin,5238.6,235056,235056,2,Asia/Nicosia,FALSE,1196136222
Larnaca,Larnaca,Citium|Salines|Chittim|Lapithou|Salina|Kition|Kozan|Kitium|Kittim|Lárnaka,34.9167,33.6333,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,admin,2227.0,84900,51468,2,Asia/Nicosia,FALSE,1196804795
Paphos,Paphos,"Néa Páfos|Nea Paphos|Páfos|Gazibaf|Baf",34.7667,32.4167,Cyprus,CY,CYP,Páfos,Pafos,CY-05,district,admin,1754.4,63600,31738,2,Asia/Nicosia,FALSE,1196607408
Famagusta,Famagusta,"Ammokhostos|Magosa|Ammochostus|Gazi Magosa|Ammóchostos|Mağusa|Gazimağusa",35.1250,33.9417,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,admin,103.5,40920,40920,2,Asia/Famagusta,FALSE,1196128852
Kyrenia,Kyrenia,Kérynia|Kerýneia|Girne,35.3403,33.3192,Cyprus,CY,CYP,Kerýneia,Keryneia,CY-06,district,admin,103.5,33207,33207,2,Asia/Famagusta,FALSE,1196334499
"Káto Polemídia","Kato Polemidia","Kato Polemidhia|Kato Polemidya|Polemidia|Polemidhia|Aşağı Polemitya|Aşağı Binatlı",34.6931,32.9992,Cyprus,CY,CYP,Lemesós,Lemesos,CY-02,district,,1236.0,22369,22369,3,Asia/Nicosia,FALSE,1196458883
Aradíppou,Aradippou,Aradhippou|Aradippu|Aradip,34.9528,33.5900,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,347.0,19199,19199,3,Asia/Nicosia,FALSE,1196144891
Latsia,Latsia,Lakkia|Laxia|Laksa|Lacha|Laçça|Latsi,35.1000,33.3667,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,1030.9,16774,16774,3,Asia/Nicosia,FALSE,1196538391
Paralímni,Paralimni,Paralim|Paralımnı,35.0333,33.9833,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,,294.6,14963,14963,3,Asia/Nicosia,FALSE,1196452575
"Ágios Athanásios","Agios Athanasios","Ayatanas|Saint Athanasios|Ayios Athanasios|Ayios Atanasios|Ayatanasiyo",34.7086,33.0503,Cyprus,CY,CYP,Lemesós,Lemesos,CY-02,district,,1028.7,14578,14578,3,Asia/Nicosia,FALSE,1196729508
"Mésa Geitoniá","Mesa Geitonia",Mesayitonia|Mesayitonia|Mesayitonya,34.7022,33.0453,Cyprus,CY,CYP,Lemesós,Lemesos,CY-02,district,,4012.3,14477,14477,2,Asia/Nicosia,FALSE,1196704525
Germasógeia,Germasogeia,Yermasoyia|Yermasoya,34.7181,33.0856,Cyprus,CY,CYP,Lemesós,Lemesos,CY-02,district,,839.3,13421,13421,3,Asia/Nicosia,FALSE,1196232379
Dáli,Dali,Dhali|Idalion|Dalı,35.0211,33.4200,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,334.2,10466,10466,3,Asia/Nicosia,FALSE,1196765328
Géri,Geri,Yeri,35.1069,33.4214,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,246.8,8235,8235,3,Asia/Nicosia,FALSE,1196343994
Geroskípou,Geroskipou,Yeroskipos|Yeroşibo|Yeroşibu,34.7667,32.4667,Cyprus,CY,CYP,Páfos,Pafos,CY-05,district,,725.4,7878,7878,3,Asia/Nicosia,FALSE,1196873140
Livádia,Livadia,Livatya|Livadhia|Livatia|Leivadia|Livadya|Sazlıköy,34.9494,33.6311,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,922.5,7177,7177,3,Asia/Nicosia,FALSE,1196810840
Tséri,Tseri,Xeri|Bilen|Seri,35.0669,33.3167,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,260.1,7035,7035,3,Asia/Nicosia,FALSE,1196695842
Xylofágou,Xylofagou,Xylophaghou|Ksilofagu|Xylophagou|Ksilofogo|Ksilofago|Xylophago,34.9750,33.8517,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,210.4,6231,6231,3,Asia/Nicosia,FALSE,1196962746
Voróklini,Voroklini,Voroglini|Vorglini,34.9828,33.6544,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,699.4,6134,6134,3,Asia/Nicosia,FALSE,1196134228
Derýneia,Deryneia,"Dherinia|Derinya|Derinköy|Derinia|Yukarı Derinya",35.0556,33.9569,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,,182.8,5844,5844,3,Asia/Nicosia,FALSE,1196610554
Sotíra,Sotira,Sotıra,35.0267,33.9503,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,,213.4,5474,5474,3,Asia/Nicosia,FALSE,1196872875
Dromolaxiá,Dromolaxia,"Dhromolaxia|Mor Menekshe|Mormenekşe|Dromolaksia",34.8833,33.5833,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,307.3,5064,5064,3,Asia/Nicosia,FALSE,1196322526
Athíenou,Athienou,Kiracıköy|Atienu|Athiænou|Atiyenu,35.0667,33.5333,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,77.6,4996,4996,3,Asia/Nicosia,FALSE,1196593465
Chlórakas,Chlorakas,Khlorakas|Klorakas|Hloraka|Hiloraka,34.8011,32.4086,Cyprus,CY,CYP,Páfos,Pafos,CY-05,district,,1521.7,4420,4420,3,Asia/Nicosia,FALSE,1196842063
Frénaros,Frenaros,Phrenaros|Frenaro|Frennaros|Frenaros,35.0408,33.9192,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,,180.2,4298,4298,4,Asia/Nicosia,FALSE,1196046748
Kíti,Kiti,Kition|Çite,34.8472,33.5719,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,630.0,4252,4252,3,Asia/Nicosia,FALSE,1196268750
"Miá Miliá","Mia Milia","Haspolat|Mia Milea|Miyamilya|Birincimil",35.2049,33.4215,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,142.9,4204,4204,4,Asia/Famagusta,FALSE,1196789410
Ormídeia,Ormideia,Ormidhia|Ormiteia|Ormitya|Ormidia|Ormidya,34.9925,33.7803,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,207.5,4189,4189,3,Asia/Nicosia,FALSE,1196316238
Pégeia,Pegeia,Peyia|Peya,34.8833,32.3833,Cyprus,CY,CYP,Páfos,Pafos,CY-05,district,,78.1,3953,3953,3,Asia/Nicosia,FALSE,1196440574
Episkopí,Episkopi,Piskobu|Yalova,34.6708,32.9019,Cyprus,CY,CYP,Lemesós,Lemesos,CY-02,district,,177.7,3681,3681,4,Asia/Nicosia,FALSE,1196290305
Xylotýmvou,Xylotymvou,Xylotymbou|Ksilotimbu|Ksilodimbu|Ksilodimbo|Xylotymbo,35.0167,33.7500,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,153.6,3655,3655,4,Asia/Nicosia,FALSE,1196021797
Áskeia,Askeia,"Asha|Pasha Keuy|Rasa Koy|Aşşa|Aşa|Paşaköy",35.1592,33.6100,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,,103.5,3561,3561,4,Asia/Famagusta,FALSE,1196351403
"Káto Zódeia","Kato Zodeia","Aşağı Zodya|Aşağı Bostancı|Aşağı Zotya|Kato Zodhia|Káto Zodia|Zodia|Kato Zodya|Zodhia|Kato Zadhia",35.1678,33.0072,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,103.5,3317,3317,4,Asia/Famagusta,FALSE,1196793217
"Agía Nápa","Agia Napa","Ayia Napa|Aynapa|Aya Napa",34.9800,34.0000,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,,104.8,3212,3212,3,Asia/Nicosia,FALSE,1196252951
"Páno Defterá","Pano Deftera","Pano Dheftera|Defterá Pano|Yukarı Deftera|Pano Deftera",35.0806,33.2661,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,222.8,2789,2789,3,Asia/Nicosia,FALSE,1196446176
Gerólakkos,Gerolakkos,Alayköy|Yerolakkos|Eskikuyu|Yerolakko,35.1833,33.2500,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,103.5,2777,2777,4,Asia/Famagusta,FALSE,1196864286
Pýla,Pyla,Pila|Pile,35.0139,33.6925,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,181.4,2771,2771,4,Asia/Nicosia,FALSE,1196360832
Akáki,Akaki,Akácha|Akaca,35.1333,33.1292,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,130.7,2675,2675,4,Asia/Nicosia,FALSE,1196672723
Égkomi,Egkomi,Engomi|Enkomi|Alasia|Tuzla,35.1583,33.8911,Cyprus,CY,CYP,Lárnaka,Larnaka,CY-03,district,,103.5,2645,2645,4,Asia/Famagusta,FALSE,1196195960
Lythrodóntas,Lythrodontas,Litrodonda|Lythrodhonda|Litrodontas|Lythrodonda|Lythrodhondas|Litronda,34.9497,33.2961,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,82.5,2628,2628,4,Asia/Nicosia,FALSE,1196241206
Kissónerga,Kissonerga,Kisonerga|Kissoneros|Cisonerga,34.8167,32.4000,Cyprus,CY,CYP,Páfos,Pafos,CY-05,district,,292.9,2505,2505,3,Asia/Nicosia,FALSE,1196432248
Lápithos,Lapithos,Gilderen|Lapitos|Gildirin|Lâpta,35.3367,33.1742,Cyprus,CY,CYP,Kerýneia,Keryneia,CY-06,district,,126.7,2370,2370,4,Asia/Famagusta,FALSE,1196668710
Rizokárpaso,Rizokarpaso,Dipkurpaz|Rizokarpasso|Rizokarpason|Dipkarpas|Dipkarpaz,35.5986,34.3806,Cyprus,CY,CYP,Ammóchostos,Ammochostos,CY-04,district,,103.5,2349,2349,4,Asia/Famagusta,FALSE,1196738872
Astromerítis,Astromeritis,Astromeritia|Astromeriti|Astromerit,35.1333,33.0333,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,123.7,2307,2307,4,Asia/Nicosia,FALSE,1196283739
Mórfou,Morfou,Morphou|Omorfo|Güzelyurt|Güzelköy,35.1981,32.9939,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,38.9,2267,2267,4,Asia/Famagusta,FALSE,1196086957
"Péra Chorió","Pera Chorio","Perakhorio|Pera Chorion|Perachorio|Perahorio|Perahorya|Perahoryo|Pera Horıo",35.0117,33.3903,Cyprus,CY,CYP,Lefkosía,Lefkosia,CY-01,district,,368.1,2236,2236,3,Asia/Nicosia,FALSE,1196022634
