city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Neratov,Neratov,Bärnwald,50.2143,16.5407,Czechia,CZ,CZE,Královéhradecký Kraj,Kralovehradecky Kraj,CZ-52,,,5.6,,,5,Europe/Prague,FALSE,1203410182
Milkov,Milkov,,49.6574,16.8780,Czechia,CZ,CZE,Olomoucký Kraj,Olomoucky Kraj,CZ-71,,,33.0,,,4,Europe/Prague,FALSE,1203251005
Babí,Babi,Babý,50.4304,16.1733,Czechia,CZ,CZE,Královéhradecký Kraj,Kralovehradecky Kraj,CZ-52,,,597.5,,,3,Europe/Prague,FALSE,1203707525
Babí,Babi,Trautenbach,50.6179,15.9027,Czechia,CZ,CZE,Královéhradecký Kraj,Kralovehradecky Kraj,CZ-52,,,279.4,,,3,Europe/Prague,TRUE,1203676928
Střemily,Stremily,Richterhof,48.8798,14.1728,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,8.7,,,5,Europe/Prague,FALSE,1203526441
Zbudov,Zbudov,,49.0921,14.3082,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,32.6,,,4,Europe/Prague,FALSE,1203007715
Kvasetice,Kvasetice,,49.4013,13.4957,Czechia,CZ,CZE,Plzeňský Kraj,Plzensky Kraj,CZ-32,,,29.6,,,4,Europe/Prague,FALSE,1203181097
Rehořinky,Rehorinky,,49.1603,14.8323,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,54.4,,,4,Europe/Prague,FALSE,1203889160
Pernštejn,Pernstejn,Pernstein,49.4493,16.3018,Czechia,CZ,CZE,Vysočina,Vysocina,CZ-63,,,32.5,,,4,Europe/Prague,FALSE,1203195764
Nové Město,Nove Mesto,Nenstadt,50.6893,13.6975,Czechia,CZ,CZE,Ústecký Kraj,Ustecky Kraj,CZ-42,region,,10.0,,,5,Europe/Prague,FALSE,1203877816
Velíková,Velikova,,49.2829,17.7592,Czechia,CZ,CZE,Zlínský Kraj,Zlinsky Kraj,CZ-72,,,643.3,,,3,Europe/Prague,FALSE,1203951789
Pohoří,Pohori,,50.5688,15.3652,Czechia,CZ,CZE,Liberecký Kraj,Liberecky Kraj,CZ-51,,,59.5,,,4,Europe/Prague,FALSE,1203732799
Pohoří,Pohori,,50.5536,15.1273,Czechia,CZ,CZE,Liberecký Kraj,Liberecky Kraj,CZ-51,,,32.3,,,4,Europe/Prague,TRUE,1203433140
Krtín,Krtin,Guratin,49.6547,13.0070,Czechia,CZ,CZE,Plzeňský Kraj,Plzensky Kraj,CZ-32,,,8.3,,,5,Europe/Prague,FALSE,1203974772
Chrášťany,Chrast'any,,49.2981,17.4956,Czechia,CZ,CZE,Zlínský Kraj,Zlinsky Kraj,CZ-72,,,216.1,,,3,Europe/Prague,FALSE,1203136340
Malý Jindřichov,Maly Jindrichov,Čtyřdomí|Klein Heinrichschlag|Vierhausl,48.7056,14.6911,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,20.1,,,4,Europe/Prague,FALSE,1203024080
Záhoří,Zahori,,49.5039,15.3247,Czechia,CZ,CZE,Vysočina,Vysocina,CZ-63,,,47.2,,,4,Europe/Prague,FALSE,1203666152
Ruprechtov,Ruprechtov,Ruppelsgrün,50.2924,12.8499,Czechia,CZ,CZE,Karlovarský Kraj,Karlovarsky Kraj,CZ-41,,,89.5,,,4,Europe/Prague,FALSE,1203668592
Podměstí,Podmesti,,49.8167,16.1167,Czechia,CZ,CZE,Pardubický Kraj,Pardubicky Kraj,CZ-53,,,31.6,,,4,Europe/Prague,FALSE,1203945227
Selibov,Selibov,,49.2519,14.1933,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,77.2,,,4,Europe/Prague,FALSE,1203877759
Císařský,Cisarsky,Kaiserwalde|Kaiserswalde,51.0023,14.4310,Czechia,CZ,CZE,Ústecký Kraj,Ustecky Kraj,CZ-42,region,,125.4,,,4,Europe/Prague,FALSE,1203542518
Nové Dvory,Nove Dvory,,49.8500,13.0833,Czechia,CZ,CZE,Plzeňský Kraj,Plzensky Kraj,CZ-32,,,34.3,,,4,Europe/Prague,FALSE,1203315536
Nové Dvory,Nove Dvory,,49.5042,13.0910,Czechia,CZ,CZE,Plzeňský Kraj,Plzensky Kraj,CZ-32,,,7.0,,,5,Europe/Prague,TRUE,1203895521
Nové Dvory,Nove Dvory,,49.1026,15.3448,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,31.3,,,4,Europe/Prague,FALSE,1203260697
Nové Dvory,Nove Dvory,,49.3982,14.8859,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,20.1,,,4,Europe/Prague,TRUE,1203203788
Nové Dvory,Nove Dvory,,49.0295,15.4758,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,19.5,,,4,Europe/Prague,TRUE,1203781997
Krasetín,Krasetin,,48.8836,14.3160,Czechia,CZ,CZE,Jihočeský Kraj,Jihocesky Kraj,CZ-31,,,70.2,,,4,Europe/Prague,FALSE,1203504236
Vojnice,Vojnice,,50.4220,13.9424,Czechia,CZ,CZE,Ústecký Kraj,Ustecky Kraj,CZ-42,region,,36.4,,,4,Europe/Prague,FALSE,1203351201
Svatý Kopeček,Svaty Kopecek,Heiligberg,49.6304,17.3443,Czechia,CZ,CZE,Olomoucký Kraj,Olomoucky Kraj,CZ-71,,,971.7,,,3,Europe/Prague,FALSE,1203894819
