city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Prague,Prague,"Cheshskaya Praga|Praga|Praha|Prag",50.0875,14.4214,Czechia,CZ,CZE,Praha,Praha,CZ-10,,primary,2735.4,1357326,1357326,1,Europe/Prague,FALSE,1203744823
Brno,Brno,Berno|Brünn,49.1925,16.6083,Czechia,CZ,CZE,"Jihomoravský Kraj","Jihomoravsky Kraj",CZ-64,,admin,1720.8,396101,396101,2,Europe/Prague,FALSE,1203676514
Ostrava,Ostrava,,49.8356,18.2925,Czechia,CZ,CZE,"Moravskoslezský Kraj","Moravskoslezsky Kraj",CZ-80,,admin,1323.4,283504,283504,2,Europe/Prague,FALSE,1203687206
Plzeň,Plzen,Pilsen,49.7475,13.3775,Czechia,CZ,CZE,"Plzeňský Kraj","Plzensky Kraj",CZ-32,,admin,1316.5,181240,181240,2,Europe/Prague,FALSE,1203402469
Liberec,Liberec,Reichenberg,50.7667,15.0667,Czechia,CZ,CZE,"Liberecký Kraj","Liberecky Kraj",CZ-51,,admin,1012.3,107389,107389,2,Europe/Prague,FALSE,1203577727
Olomouc,Olomouc,Ołomuniec|Olomouch|Olmütz,49.5939,17.2508,Czechia,CZ,CZE,"Olomoucký Kraj","Olomoucky Kraj",CZ-71,,admin,985.4,101825,101825,2,Europe/Prague,FALSE,1203328061
"České Budějovice","Ceske Budejovice","Budweis|Böhmisch Budweis|Budejovice",48.9747,14.4747,Czechia,CZ,CZE,"Jihočeský Kraj","Jihocesky Kraj",CZ-31,,admin,1734.0,96417,96417,2,Europe/Prague,FALSE,1203398046
"Hradec Králové","Hradec Kralove","Königgrätz|Gradets Kralove",50.2092,15.8322,Czechia,CZ,CZE,"Královéhradecký Kraj","Kralovehradecky Kraj",CZ-52,,admin,884.8,93506,93506,2,Europe/Prague,FALSE,1203430618
Pardubice,Pardubice,Pardubitz,50.0386,15.7792,Czechia,CZ,CZE,"Pardubický Kraj","Pardubicky Kraj",CZ-53,,admin,1114.9,92149,92149,2,Europe/Prague,FALSE,1203857442
"Ústí nad Labem","Usti nad Labem","Ústina Labe|Ústí|Auszig|Aussig",50.6583,14.0417,Czechia,CZ,CZE,"Ústecký Kraj","Ustecky Kraj",CZ-42,,admin,978.6,91963,91963,2,Europe/Prague,FALSE,1203734193
Zlín,Zlin,Gottwaldov|Gottwald|Gottvoldov,49.2331,17.6669,Czechia,CZ,CZE,"Zlínský Kraj","Zlinsky Kraj",CZ-72,,admin,721.5,74191,74191,2,Europe/Prague,FALSE,1203582141
Havířov,Havirov,,49.7831,18.4228,Czechia,CZ,CZE,"Moravskoslezský Kraj","Moravskoslezsky Kraj",CZ-80,,,2189.9,70245,70245,2,Europe/Prague,FALSE,1203173875
Kladno,Kladno,,50.1431,14.1053,Czechia,CZ,CZE,"Středočeský Kraj","Stredocesky Kraj",CZ-20,,,1851.3,68436,68436,3,Europe/Prague,FALSE,1203557079
Most,Most,Brüx,50.5031,13.6367,Czechia,CZ,CZE,"Ústecký Kraj","Ustecky Kraj",CZ-42,,,734.5,63856,63856,3,Europe/Prague,FALSE,1203813984
Opava,Opava,Opawa|Troppau,49.9381,17.9044,Czechia,CZ,CZE,"Moravskoslezský Kraj","Moravskoslezsky Kraj",CZ-80,,,612.6,55512,55512,3,Europe/Prague,FALSE,1203142483
Frýdek-Místek,Frydek-Mistek,Frýdek|Friedek|Friedeck,49.6856,18.3506,Czechia,CZ,CZE,"Moravskoslezský Kraj","Moravskoslezsky Kraj",CZ-80,,,1051.0,54188,54188,3,Europe/Prague,FALSE,1203111584
Jihlava,Jihlava,Igława|Iglau,49.4003,15.5906,Czechia,CZ,CZE,Vysočina,Vysocina,CZ-63,,admin,598.0,52548,52548,2,Europe/Prague,FALSE,1203810604
Teplice,Teplice,Teplice-Šanov|Teplitz-Schönau|Teplitz,50.6444,13.8319,Czechia,CZ,CZE,"Ústecký Kraj","Ustecky Kraj",CZ-42,,,2137.8,50843,50843,2,Europe/Prague,FALSE,1203801370
