city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ravnsnæs,Ravnsnaes,,55.8620,12.4572,Denmark,DK,DNK,Hovedstaden,Hovedstaden,DK-84,region,,578.4,,,3,Europe/Copenhagen,FALSE,1208907993
Gåskær,Gaskaer,Gaaskær,55.3991,9.3268,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,36.8,,,4,Europe/Copenhagen,FALSE,1208176313
Gåskær,Gaskaer,Gaaskær,54.9701,9.2238,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,32.5,,,4,Europe/Copenhagen,TRUE,1208302823
Nørre Løgum,Norre Logum,,55.1148,8.9506,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,25.0,,,4,Europe/Copenhagen,FALSE,1208020178
Børsmose,Borsmose,,55.6636,8.1809,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,38.4,,,4,Europe/Copenhagen,FALSE,1208857676
Store Slemminge,Store Slemminge,Slemminge,54.7557,11.6264,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,20.6,,,4,Europe/Copenhagen,FALSE,1208612161
Sørvad,Sorvad,,56.2629,8.6563,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,31.6,,,4,Europe/Copenhagen,FALSE,1208244509
Hærup,Haerup,,56.5756,9.6052,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,51.0,,,4,Europe/Copenhagen,FALSE,1208631440
Sneglerup,Sneglerup,,55.8198,11.5729,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,64.3,,,4,Europe/Copenhagen,FALSE,1208541357
Bøtø By,Boto By,Bøtø,54.6785,11.9555,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,81.2,,,4,Europe/Copenhagen,FALSE,1208582848
Kandestederne,Kandestederne,Kandester|Kannesteder,57.6600,10.3896,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,104.1,,,4,Europe/Copenhagen,FALSE,1208244660
Dunkær,Dunkaer,Dunkjær|Dungkiær,54.8480,10.4177,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,29.7,,,4,Europe/Copenhagen,FALSE,1208496104
Øster Rendbæk,Oster Rendbaek,,57.2348,9.7332,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,33.0,,,4,Europe/Copenhagen,FALSE,1208229452
Ballerup,Ballerup,,55.7198,12.3520,Denmark,DK,DNK,Hovedstaden,Hovedstaden,DK-84,region,minor,1757.9,,,3,Europe/Copenhagen,FALSE,1208732961
Kokkedal,Kokkedal,,55.9098,12.5152,Denmark,DK,DNK,Hovedstaden,Hovedstaden,DK-84,region,minor,614.9,,,3,Europe/Copenhagen,FALSE,1208823826
Kværnholt,Kvaernholt,,54.9473,9.0614,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,22.3,,,4,Europe/Copenhagen,FALSE,1208906615
Remmerslund,Remmerslund,Rimmerslund,55.7810,9.7118,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,419.8,,,3,Europe/Copenhagen,FALSE,1208276419
Tuen,Tuen,,57.5879,10.2894,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,17.6,,,4,Europe/Copenhagen,FALSE,1208092566
Lildfrost,Lildfrost,Lilfrost,55.7167,9.3820,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,82.9,,,4,Europe/Copenhagen,FALSE,1208154941
Blåhøj Stationsby,Blahoj Stationsby,Blaahöj,55.8741,9.0328,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,31.3,,,4,Europe/Copenhagen,FALSE,1208163504
Evetofte,Evetofte,,55.9815,11.9777,Denmark,DK,DNK,Hovedstaden,Hovedstaden,DK-84,region,,181.3,,,4,Europe/Copenhagen,FALSE,1208277947
Refsnæs,Refsnaes,Rævsnæs,57.3352,9.9369,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,129.8,,,4,Europe/Copenhagen,FALSE,1208689711
Klink,Klink,Klinken,55.8281,9.0827,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,15.0,,,4,Europe/Copenhagen,FALSE,1208775806
Tandrup,Tandrup,,56.8111,9.2757,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,19.9,,,4,Europe/Copenhagen,FALSE,1208976133
Vinum,Vinum,,55.1284,8.8137,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,15.7,,,4,Europe/Copenhagen,FALSE,1208873285
Merring,Merring,,55.8307,9.6863,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,44.5,,,4,Europe/Copenhagen,FALSE,1208837630
Sædballe,Saedballe,,54.7889,10.7218,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,26.1,,,4,Europe/Copenhagen,FALSE,1208960002
Vringelby,Vringelby,,57.3481,9.7618,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,23.5,,,4,Europe/Copenhagen,FALSE,1208507331
Skalbjerg,Skalbjerg,Skalbjærg,55.3673,10.1526,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,123.0,,,4,Europe/Copenhagen,FALSE,1208726190
Skoven,Skoven,,57.2667,11.0500,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,15.0,,,4,Europe/Copenhagen,FALSE,1208818085
Hellestrup,Hellestrup,,55.6727,11.6921,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,91.1,,,4,Europe/Copenhagen,FALSE,1208526163
Skoven,Skoven,,55.9060,11.9329,Denmark,DK,DNK,Hovedstaden,Hovedstaden,DK-84,region,,116.8,,,4,Europe/Copenhagen,FALSE,1208259325
Engelstrup,Engelstrup,,56.9186,9.3085,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,28.6,,,4,Europe/Copenhagen,FALSE,1208218919
Engelstrup,Engelstrup,,55.8010,11.5765,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,57.4,,,4,Europe/Copenhagen,FALSE,1208103365
Engelstrup,Engelstrup,,55.1932,11.9818,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,31.8,,,4,Europe/Copenhagen,TRUE,1208161542
Endelave By,Endelave By,Endelave,55.7573,10.2710,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,18.5,,,4,Europe/Copenhagen,FALSE,1208540971
Hovby,Hovby,,55.2454,12.1019,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,123.7,,,4,Europe/Copenhagen,FALSE,1208903332
Søllested,Sollested,,54.8102,11.2712,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,106.5,,,4,Europe/Copenhagen,FALSE,1208451548
Søllested,Sollested,,55.2914,10.0469,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,26.4,,,4,Europe/Copenhagen,FALSE,1208849513
Snoghøj,Snoghoj,,55.5225,9.7212,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,1028.7,,,3,Europe/Copenhagen,FALSE,1208593150
Strands,Strands,,56.1847,10.4876,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,21.5,,,4,Europe/Copenhagen,FALSE,1208415073
Holmdrup,Holmdrup,,55.0959,10.6583,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,124.1,,,4,Europe/Copenhagen,FALSE,1208155228
Arnitlund,Arnitlund,,55.1973,9.3310,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,39.3,,,4,Europe/Copenhagen,FALSE,1208917930
Tureby,Tureby,,55.3730,12.0769,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,46.3,,,4,Europe/Copenhagen,FALSE,1208842930
Tylstrup,Tylstrup,,57.1947,9.9531,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,45.2,,,4,Europe/Copenhagen,FALSE,1208263193
Karlsmose,Karlsmose,,56.2124,8.8289,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,19.9,,,4,Europe/Copenhagen,FALSE,1208675655
Bov,Bov,,54.8394,9.3693,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,87.4,,,4,Europe/Copenhagen,FALSE,1208861469
Bov,Bov,,54.9388,9.0808,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,22.3,,,4,Europe/Copenhagen,TRUE,1208839567
Tisted,Tisted,,56.7770,10.0314,Denmark,DK,DNK,Nordjylland,Nordjylland,DK-81,region,,23.1,,,4,Europe/Copenhagen,FALSE,1208834986
Bjernæs Husby,Bjernaes Husby,,54.6443,11.4632,Denmark,DK,DNK,Sjælland,Sjaelland,DK-85,region,,8.9,,,5,Europe/Copenhagen,FALSE,1208867698
Lyngå,Lynga,Lyngaa,56.3162,9.9798,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,31.3,,,4,Europe/Copenhagen,FALSE,1208408982
Hinge,Hinge,,56.2642,9.5107,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,28.8,,,4,Europe/Copenhagen,FALSE,1208727093
Hinge,Hinge,,56.3710,10.0549,Denmark,DK,DNK,Midtjylland,Midtjylland,DK-82,region,,21.3,,,4,Europe/Copenhagen,TRUE,1208029987
Bønderby,Bonderby,,54.9469,8.7782,Denmark,DK,DNK,Syddanmark,Syddanmark,DK-83,region,,37.7,,,4,Europe/Copenhagen,FALSE,1208963791
