city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Roseau,Roseau,"Charlotte Town",15.3014,-61.3883,Dominica,DM,DMA,"Saint George","Saint George",DM-04,parish,primary,391.7,14725,14725,1,America/Dominica,FALSE,1212060440
Portsmouth,Portsmouth,Grand-Anse,15.5683,-61.4564,Dominica,DM,DMA,"Saint John","Saint John",DM-05,parish,,120.3,3633,3633,3,America/Dominica,FALSE,1212166772
Marigot,Marigot,"Petit Marigot",15.5333,-61.3000,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,2676,2676,3,America/Dominica,FALSE,1212106756
Salisbury,Salisbury,Barroui|Baroui,15.4358,-61.4369,Dominica,DM,DMA,"Saint Joseph","Saint Joseph",DM-06,parish,,43.3,2590,2590,4,America/Dominica,FALSE,1212237963
Mahaut,Mahaut,,15.3667,-61.4000,Dominica,DM,DMA,"Saint Paul","Saint Paul",DM-10,parish,,161.0,2370,2370,4,America/Dominica,FALSE,1212015019
"Grand Bay","Grand Bay","Grand Baie|Berekua",15.2389,-61.3139,Dominica,DM,DMA,"Saint Patrick","Saint Patrick",DM-09,parish,,78.4,2288,2288,4,America/Dominica,FALSE,1212496538
Wesley,Wesley,"La Soie",15.5667,-61.3167,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,1930,1930,4,America/Dominica,FALSE,1212177356
Soufrière,Soufriere,Soufriere,15.2322,-61.3597,Dominica,DM,DMA,"Saint Mark","Saint Mark",DM-08,parish,,172.7,1530,1530,4,America/Dominica,FALSE,1212138523
"Woodford Hill","Woodford Hill",,15.5667,-61.3167,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,1034,1034,4,America/Dominica,FALSE,1212999034
Colihaut,Colihaut,Kulihao|Coulihaut,15.4853,-61.4617,Dominica,DM,DMA,"Saint Peter","Saint Peter",DM-11,parish,,40.1,773,773,3,America/Dominica,FALSE,1212142817
"Vieille Case","Vieille Case","Northern Loop|Itassi|Vielle Case|Veille Case",15.6144,-61.4069,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,726,726,3,America/Dominica,FALSE,1212534709
Peineville,Peineville,Penville,15.6292,-61.4194,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,524,524,4,America/Dominica,FALSE,1212508122
Bells,Bells,,15.4535,-61.3198,Dominica,DM,DMA,"Saint Joseph","Saint Joseph",DM-06,parish,,43.3,500,500,4,America/Dominica,FALSE,1212681863
Hampstead,Hampstead,,15.5944,-61.3694,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,495,495,4,America/Dominica,FALSE,1212956743
Dublanc,Dublanc,,15.5144,-61.4689,Dominica,DM,DMA,"Saint Peter","Saint Peter",DM-11,parish,,40.1,423,423,4,America/Dominica,FALSE,1212584581
"Paix Bouche","Paix Bouche",,15.5917,-61.4111,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,306,306,4,America/Dominica,FALSE,1212269319
Galion,Galion,,15.2228,-61.3572,Dominica,DM,DMA,"Saint Mark","Saint Mark",DM-08,parish,,158.6,134,134,4,America/Dominica,FALSE,1212907269
Warner,Warner,,15.3930,-61.3938,Dominica,DM,DMA,"Saint Paul","Saint Paul",DM-10,parish,,161.0,,,4,America/Dominica,FALSE,1212000005
Tobino,Tobino,,15.6144,-61.4059,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,,,4,America/Dominica,FALSE,1212825985
"Fond Saint Jean","Fond Saint Jean",,15.2448,-61.2821,Dominica,DM,DMA,"Saint Patrick","Saint Patrick",DM-09,parish,,78.4,,,4,America/Dominica,FALSE,1212274427
"La Source","La Source",,15.5879,-61.4057,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,,,4,America/Dominica,FALSE,1212906135
"Scotts Head","Scotts Head","Scotts Head Village|Cachacrou",15.2125,-61.3667,Dominica,DM,DMA,"Saint Mark","Saint Mark",DM-08,parish,,158.6,,,4,America/Dominica,FALSE,1212274471
Picard,Picard,,15.5537,-61.4609,Dominica,DM,DMA,"Saint John","Saint John",DM-05,parish,,120.3,,,4,America/Dominica,FALSE,1212000006
Salybia,Salybia,Salibia,15.4833,-61.2667,Dominica,DM,DMA,"Saint David","Saint David",DM-03,parish,,43.4,,,4,America/Dominica,FALSE,1212467559
Méro,Mero,,15.4167,-61.4333,Dominica,DM,DMA,"Saint Joseph","Saint Joseph",DM-06,parish,,43.3,,,4,America/Dominica,FALSE,1212231281
Layou,Layou,,15.3833,-61.4333,Dominica,DM,DMA,"Saint Joseph","Saint Joseph",DM-06,parish,,43.3,,,4,America/Dominica,FALSE,1212956638
Lagon,Lagon,,15.5800,-61.4578,Dominica,DM,DMA,"Saint John","Saint John",DM-05,parish,,120.3,,,4,America/Dominica,FALSE,1212046616
Bioche,Bioche,,15.5090,-61.4668,Dominica,DM,DMA,"Saint Peter","Saint Peter",DM-11,parish,,40.1,,,4,America/Dominica,FALSE,1212902849
Clifton,Clifton,,15.6238,-61.4628,Dominica,DM,DMA,"Saint John","Saint John",DM-05,parish,,120.3,,,4,America/Dominica,FALSE,1212295988
Larieu,Larieu,,15.5862,-61.3287,Dominica,DM,DMA,"Saint Andrew","Saint Andrew",DM-02,parish,,47.0,,,4,America/Dominica,FALSE,1212316628
