city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
El Anón,El Anon,,18.3737,-71.2035,Dominican Republic,DO,DOM,Enriquillo,Enriquillo,DO-38,region,,737.7,,,3,America/Santo_Domingo,FALSE,1214000008
El Grumo,El Grumo,,18.8632,-69.1328,Dominican Republic,DO,DOM,Yuma,Yuma,DO-42,region,,35.0,,,4,America/Santo_Domingo,FALSE,1214812099
Avedaño,Avedano,,18.4776,-70.0712,Dominican Republic,DO,DOM,Ozama,Ozama,DO-40,region,,2301.1,,,2,America/Santo_Domingo,FALSE,1214903221
Yaroa,Yaroa,,19.6045,-70.5912,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,87.6,,,4,America/Santo_Domingo,FALSE,1214968296
El Catey,El Catey,Catey,19.6184,-70.8339,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,460.4,,,3,America/Santo_Domingo,FALSE,1214069186
El Catey,El Catey,,19.5683,-70.5193,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,223.5,,,3,America/Santo_Domingo,TRUE,1214269118
El Catey,El Catey,,19.2538,-69.7022,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,65.6,,,4,America/Santo_Domingo,FALSE,1214777714
El Catey,El Catey,,19.3449,-70.2079,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,58.5,,,4,America/Santo_Domingo,TRUE,1214985900
Batey Número Diecisiete,Batey Numero Diecisiete,Batey Número 17|Batey El-17,18.5819,-69.0066,Dominican Republic,DO,DOM,Yuma,Yuma,DO-42,region,,58.4,,,4,America/Santo_Domingo,FALSE,1214148862
Boca Nueva,Boca Nueva,Monte Llano|Baca Nueva,19.7667,-70.6167,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,296.9,,,3,America/Santo_Domingo,FALSE,1214591264
Sabana de Palmarejo,Sabana de Palmarejo,Palmarejo,18.6952,-68.8015,Dominican Republic,DO,DOM,Yuma,Yuma,DO-42,region,,367.7,,,3,America/Santo_Domingo,FALSE,1214085510
La Plumita,La Plumita,Plumitas|Plumita,18.4833,-69.2000,Dominican Republic,DO,DOM,Higuamo,Higuamo,DO-39,region,,1993.5,,,3,America/Santo_Domingo,FALSE,1214335483
Cienaguita,Cienaguita,La Cienaguita|La Cienaga,19.1335,-70.6703,Dominican Republic,DO,DOM,Cibao Sur,Cibao Sur,DO-36,region,,147.0,,,4,America/Santo_Domingo,FALSE,1214520968
Madre Vieja,Madre Vieja,,18.4859,-70.1582,Dominican Republic,DO,DOM,Valdesia,Valdesia,DO-41,region,,335.3,,,3,America/Santo_Domingo,FALSE,1214926449
Los Yayales,Los Yayales,El Yayal,19.3000,-69.8000,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,69.4,,,4,America/Santo_Domingo,FALSE,1214324156
El Arroyazo,El Arroyazo,El Arroyaso,19.4209,-70.2568,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,143.9,,,4,America/Santo_Domingo,FALSE,1214146956
Magdalena,Magdalena,,19.7207,-71.5433,Dominican Republic,DO,DOM,Cibao Noroeste,Cibao Noroeste,DO-34,region,,44.2,,,4,America/Santo_Domingo,FALSE,1214044765
Villa Turey,Villa Turey,,19.2167,-70.5333,Dominican Republic,DO,DOM,Cibao Sur,Cibao Sur,DO-36,region,,448.6,,,3,America/Santo_Domingo,FALSE,1214953693
Los Barreros,Los Barreros,,18.8667,-71.5667,Dominican Republic,DO,DOM,El Valle,El Valle,DO-37,region,,105.5,,,4,America/Santo_Domingo,FALSE,1214073772
Los Barreros,Los Barreros,,18.9167,-71.4000,Dominican Republic,DO,DOM,El Valle,El Valle,DO-37,region,,83.7,,,4,America/Santo_Domingo,TRUE,1214414974
Los Baos,Los Baos,,18.6833,-71.2000,Dominican Republic,DO,DOM,El Valle,El Valle,DO-37,region,,38.9,,,4,America/Santo_Domingo,FALSE,1214514798
Palmarito,Palmarito,,19.6839,-70.4688,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,214.1,,,3,America/Santo_Domingo,FALSE,1214208809
Palmarito,Palmarito,Los Palmaritos,19.2480,-70.6820,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,96.8,,,4,America/Santo_Domingo,TRUE,1214949445
Palmarito,Palmarito,,19.6035,-70.7359,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,96.5,,,4,America/Santo_Domingo,TRUE,1214729502
Palmarito,Palmarito,Parmarito,19.5667,-70.2000,Dominican Republic,DO,DOM,Cibao Norte,Cibao Norte,DO-35,region,,83.8,,,4,America/Santo_Domingo,TRUE,1214698437
Palmarito,Palmarito,,18.9315,-70.3744,Dominican Republic,DO,DOM,Cibao Sur,Cibao Sur,DO-36,region,,521.1,,,3,America/Santo_Domingo,FALSE,1214864210
Palmarito,Palmarito,Palmarejo,19.2229,-70.5119,Dominican Republic,DO,DOM,Cibao Sur,Cibao Sur,DO-36,region,,448.6,,,3,America/Santo_Domingo,TRUE,1214238157
Palmarito,Palmarito,,19.3775,-70.4387,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,407.1,,,3,America/Santo_Domingo,FALSE,1214076297
Palmarito,Palmarito,,19.2769,-69.4026,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,209.1,,,3,America/Santo_Domingo,TRUE,1214399128
Palmarito,Palmarito,Los Palmaritos,19.4875,-70.0948,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,63.9,,,4,America/Santo_Domingo,TRUE,1214479210
Palmarito,Palmarito,,19.2833,-69.2500,Dominican Republic,DO,DOM,Cibao Nordeste,Cibao Nordeste,DO-33,region,,57.0,,,4,America/Santo_Domingo,TRUE,1214002962
