city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Santiago,Santiago,"Santiago de los Caballeros",19.4572,-70.6889,"Dominican Republic",DO,DOM,"Cibao Norte","Cibao Norte",DO-35,region,admin,2563.7,1343423,1343423,1,America/Santo_Domingo,FALSE,1214985348
"Santo Domingo","Santo Domingo","Saint Domingue|Santo Domingo City|Santa Domingo|Ciudad Trujillo|Santo Domingo de Guzmán",18.4667,-69.9500,"Dominican Republic",DO,DOM,Ozama,Ozama,DO-40,region,primary,866.7,1128678,1128678,1,America/Santo_Domingo,FALSE,1214636202
"Santo Domingo Este","Santo Domingo Este",,18.4855,-69.8734,"Dominican Republic",DO,DOM,Ozama,Ozama,DO-40,region,admin,8927.0,948855,948855,2,America/Santo_Domingo,FALSE,1214664832
"Puerto Plata","Puerto Plata","Port Plata|San Felipe de Puerto Plata",19.8000,-70.6833,"Dominican Republic",DO,DOM,"Cibao Norte","Cibao Norte",DO-35,region,minor,633.0,318419,318419,2,America/Santo_Domingo,FALSE,1214279422
"Los Alcarrizos","Los Alcarrizos","Los Alcarizos|Alcarrizos|Los Acarrizos",18.5167,-70.0167,"Dominican Republic",DO,DOM,Ozama,Ozama,DO-40,region,,6034.9,272776,272776,2,America/Santo_Domingo,FALSE,1214807042
Higüey,Higuey,"Salvaleón de Higüey",18.6167,-68.7000,"Dominican Republic",DO,DOM,Yuma,Yuma,DO-42,region,minor,123.8,251243,251243,2,America/Santo_Domingo,FALSE,1214313712
"San Cristóbal","San Cristobal","Benemérita de San Cristóbal",18.4167,-70.1056,"Dominican Republic",DO,DOM,Valdesia,Valdesia,DO-41,region,admin,1094.9,232769,232769,2,America/Santo_Domingo,FALSE,1214335207
"La Vega","La Vega","Concepción de La Vega",19.2200,-70.5300,"Dominican Republic",DO,DOM,"Cibao Sur","Cibao Sur",DO-36,region,admin,343.1,220279,220279,2,America/Santo_Domingo,FALSE,1214691060
"San Pedro de Macorís","San Pedro de Macoris","San Pedro Macoris",18.4500,-69.3000,"Dominican Republic",DO,DOM,Higuamo,Higuamo,DO-39,region,admin,1282.1,195307,195307,2,America/Santo_Domingo,FALSE,1214233006
"San Francisco de Macorís","San Francisco de Macoris",,19.3000,-70.2500,"Dominican Republic",DO,DOM,"Cibao Nordeste","Cibao Nordeste",DO-33,region,admin,247.7,188118,188118,2,America/Santo_Domingo,FALSE,1214710545
Bávaro,Bavaro,,18.7167,-68.4500,"Dominican Republic",DO,DOM,Yuma,Yuma,DO-42,region,,194.7,150000,150000,2,America/Santo_Domingo,FALSE,1214902144
Baní,Bani,Banti,18.2900,-70.3300,"Dominican Republic",DO,DOM,Valdesia,Valdesia,DO-41,region,minor,196.5,145595,145595,2,America/Santo_Domingo,FALSE,1214720035
"Boca Chica","Boca Chica",,18.4539,-69.6064,"Dominican Republic",DO,DOM,Ozama,Ozama,DO-40,region,,1007.9,142019,142019,2,America/Santo_Domingo,FALSE,1214362164
"La Romana","La Romana",Romana,18.4300,-68.9700,"Dominican Republic",DO,DOM,Yuma,Yuma,DO-42,region,admin,513.1,139671,139671,2,America/Santo_Domingo,FALSE,1214760518
