city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Guayaquil,Guayaquil,,-2.1900,-79.8875,Ecuador,EC,ECU,Guayas,Guayas,EC-G,province,admin,1303.4,2650288,2650288,1,America/Guayaquil,FALSE,1218802178
Quito,Quito,,-0.2200,-78.5125,Ecuador,EC,ECU,Pichincha,Pichincha,EC-P,province,primary,4735.0,1763275,1763275,1,America/Guayaquil,FALSE,1218441993
Cuenca,Cuenca,,-2.8974,-79.0045,Ecuador,EC,ECU,Azuay,Azuay,EC-A,province,admin,5121.5,361524,361524,2,America/Guayaquil,FALSE,1218041020
Santo Domingo de los Colorados,Santo Domingo de los Colorados,Santo Domingo,-0.2542,-79.1719,Ecuador,EC,ECU,Santo Domingo de los Tsáchilas,Santo Domingo de los Tsachilas,EC-SD,province,admin,367.6,334826,334826,2,America/Guayaquil,FALSE,1218148017
Eloy Alfaro,Eloy Alfaro,Durán|Alfaro,-2.1733,-79.8311,Ecuador,EC,ECU,Guayas,Guayas,EC-G,province,,955.9,295211,295211,2,America/Guayaquil,FALSE,1218127217
Machala,Machala,,-3.2667,-79.9667,Ecuador,EC,ECU,El Oro,El Oro,EC-O,province,admin,1471.0,288072,288072,2,America/Guayaquil,FALSE,1218378191
Manta,Manta,Puerto de Manta,-0.9500,-80.7162,Ecuador,EC,ECU,Manabí,Manabi,EC-M,province,,1333.3,258697,258697,2,America/Guayaquil,FALSE,1218160109
Portoviejo,Portoviejo,,-1.0561,-80.4553,Ecuador,EC,ECU,Manabí,Manabi,EC-M,province,admin,621.7,244129,244129,2,America/Guayaquil,FALSE,1218169586
Loja,Loja,,-3.9833,-79.2000,Ecuador,EC,ECU,Loja,Loja,EC-L,province,admin,704.2,203496,203496,2,America/Guayaquil,FALSE,1218739896
Quevedo,Quevedo,,-1.0333,-79.4500,Ecuador,EC,ECU,Los Ríos,Los Rios,EC-R,province,,1025.6,177792,177792,2,America/Guayaquil,FALSE,1218928435
Ambato,Ambato,,-1.2417,-78.6197,Ecuador,EC,ECU,Tungurahua,Tungurahua,EC-T,province,admin,3813.2,177316,177316,2,America/Guayaquil,FALSE,1218046148
Riobamba,Riobamba,,-1.6731,-78.6483,Ecuador,EC,ECU,Chimborazo,Chimborazo,EC-H,province,admin,4411.6,177213,177213,2,America/Guayaquil,FALSE,1218552075
Daule,Daule,,-1.8667,-79.9833,Ecuador,EC,ECU,Guayas,Guayas,EC-G,province,,575.0,161498,161498,2,America/Guayaquil,FALSE,1218253183
Milagro,Milagro,,-2.1347,-79.5872,Ecuador,EC,ECU,Guayas,Guayas,EC-G,province,,789.1,159970,159970,2,America/Guayaquil,FALSE,1218568564
Ibarra,Ibarra,,0.3627,-78.1307,Ecuador,EC,ECU,Imbabura,Imbabura,EC-I,province,admin,683.3,157941,157941,2,America/Guayaquil,FALSE,1218479054
Esmeraldas,Esmeraldas,Volcán Chimborazo,0.9667,-79.6528,Ecuador,EC,ECU,Esmeraldas,Esmeraldas,EC-E,province,admin,5459.5,155487,155487,2,America/Guayaquil,FALSE,1218601363
La Libertad,La Libertad,,-2.2333,-80.9000,Ecuador,EC,ECU,Guayas,Guayas,EC-G,province,,4489.8,112154,112154,2,America/Guayaquil,FALSE,1218254479
Babahoyo,Babahoyo,Babahoya,-1.8167,-79.5167,Ecuador,EC,ECU,Los Ríos,Los Rios,EC-R,province,admin,703.5,98251,98251,2,America/Guayaquil,FALSE,1218156392
Sangolquí,Sangolqui,,-0.3344,-78.4475,Ecuador,EC,ECU,Pichincha,Pichincha,EC-P,province,,1680.8,96647,96647,3,America/Guayaquil,FALSE,1218715616
Latacunga,Latacunga,,-0.9319,-78.6161,Ecuador,EC,ECU,Cotopaxi,Cotopaxi,EC-X,province,admin,440.5,77267,77267,2,America/Guayaquil,FALSE,1218947988
Samborondón,Samborondon,Zamborondón|Samrondón,-2.1833,-79.8833,Ecuador,EC,ECU,Guayas,Guayas,EC-G,province,,326.4,72425,72425,3,America/Guayaquil,FALSE,1218370377
Montecristi,Montecristi,,-1.0500,-80.6667,Ecuador,EC,ECU,Manabí,Manabi,EC-M,province,,121.3,71066,71066,3,America/Guayaquil,FALSE,1218883853
Pasaje,Pasaje,,-3.3269,-79.8049,Ecuador,EC,ECU,El Oro,El Oro,EC-O,province,,467.2,60147,60147,3,America/Guayaquil,FALSE,1218997966
Santa Rosa,Santa Rosa,,-3.4522,-79.9617,Ecuador,EC,ECU,El Oro,El Oro,EC-O,province,,356.6,56842,56842,3,America/Guayaquil,FALSE,1218626394
Tulcán,Tulcan,,0.8117,-77.7186,Ecuador,EC,ECU,Carchi,Carchi,EC-C,province,admin,517.5,56719,56719,2,America/Guayaquil,FALSE,1218976878
Huaquillas,Huaquillas,,-3.4814,-80.2432,Ecuador,EC,ECU,El Oro,El Oro,EC-O,province,,3136.7,56021,56021,2,America/Guayaquil,FALSE,1218443042
Nueva Loja,Nueva Loja,Lago Agrio,0.0847,-76.8828,Ecuador,EC,ECU,Sucumbíos,Sucumbios,EC-U,province,admin,217.7,55627,55627,2,America/Guayaquil,FALSE,1218895755
Chone,Chone,,-0.6833,-80.1000,Ecuador,EC,ECU,Manabí,Manabi,EC-M,province,,105.6,54629,54629,3,America/Guayaquil,FALSE,1218083347
Santa Elena,Santa Elena,,-2.2267,-80.8583,Ecuador,EC,ECU,Santa Elena,Santa Elena,EC-SE,province,admin,131.0,54565,54565,2,America/Guayaquil,FALSE,1218296446
Puerto Francisco de Orellana,Puerto Francisco de Orellana,La Coca|Coca|Francisco de Orellana,-0.4625,-76.9842,Ecuador,EC,ECU,Orellana,Orellana,EC-D,province,admin,572.1,51281,51281,2,America/Guayaquil,FALSE,1218387446
Playas,Playas,Villamil|General Villamil,-2.6300,-80.3900,Ecuador,EC,ECU,Guayas,Guayas,EC-G,province,,192.0,48156,48156,3,America/Guayaquil,FALSE,1218216648
