city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
‘Izbat Tis‘īn,`Izbat Tis`in,,31.0484,32.0400,Egypt,EG,EGY,Banī Suwayf,Bani Suwayf,EG-BNS,governorate,,566.6,,,3,Africa/Cairo,FALSE,1818952922
‘Izbat ‘Abd Rabbuh,`Izbat `Abd Rabbuh,,31.1514,30.1391,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,3674.4,,,2,Africa/Cairo,FALSE,1818623702
Zāwiyat Ashţūr,Zawiyat Ashtur,Zawia Ashtuh|Zâwyet Ashtûr,31.2022,27.7957,Egypt,EG,EGY,Maţrūḩ,Matruh,EG-MT,governorate,,88.7,,,4,Africa/Cairo,FALSE,1818900151
Naj‘ al Gharbāwī,Naj` al Gharbawi,,30.8997,30.4922,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,747.4,,,3,Africa/Cairo,FALSE,1818044008
‘Izbat al Faransāwīyah,`Izbat al Faransawiyah,,31.1868,30.4358,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,1408.9,,,3,Africa/Cairo,FALSE,1818826343
Munsha’at Ramallū,Munsha'at Ramallu,Minshât Damallu|Minshāt Damallū,30.5194,31.1609,Egypt,EG,EGY,Al Minūfīyah,Al Minufiyah,EG-MNF,governorate,,2430.3,,,2,Africa/Cairo,FALSE,1818472549
Naj‘ Bishlāw,Naj` Bishlaw,Nag‘ Bishlây,25.8093,32.7426,Egypt,EG,EGY,Qinā,Qina,EG-KN,governorate,,1251.4,,,3,Africa/Cairo,FALSE,1818396248
‘Izbat ‘Abd al Ḩalīm ‘Abd al Jalīl,`Izbat `Abd al Halim `Abd al Jalil,,30.7321,31.5388,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,2176.7,,,2,Africa/Cairo,FALSE,1818378898
Kafr Qashshāsh,Kafr Qashshash,Kafr Qashash,30.8114,31.9942,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,566.6,,,3,Africa/Cairo,FALSE,1818244144
‘Izbat ‘Abd al Fattāḩ ad Dardīrī,`Izbat `Abd al Fattah ad Dardiri,‘Izbat ‘Abd al-Fattāḥ ad-Dardīrī,31.0151,30.8589,Egypt,EG,EGY,Al Gharbīyah,Al Gharbiyah,EG-GH,governorate,,1488.4,,,3,Africa/Cairo,FALSE,1818034095
Shūbak Ikrāsh,Shubak Ikrash,Shawbak Ikrāsh|Shôbak Ikrâsh,30.7322,31.4943,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,2126.2,,,2,Africa/Cairo,FALSE,1818157433
Naj‘ as Sarāwirah,Naj` as Sarawirah,Beit Khallâf,26.3167,31.7833,Egypt,EG,EGY,Sūhāj,Suhaj,EG-SHG,governorate,,2630.9,,,2,Africa/Cairo,FALSE,1818097020
‘Ezbet Disûqi ‘Abdalla,`Ezbet Disuqi `Abdalla,,31.0333,31.1500,Egypt,EG,EGY,Al Gharbīyah,Al Gharbiyah,EG-GH,governorate,,1716.1,,,3,Africa/Cairo,FALSE,1818754864
‘Izbat Ţāhir,`Izbat Tahir,‘Izbat Ṭāhir|‘Ezbet ‘Osmân Bey Ṭâhir,31.1400,30.8417,Egypt,EG,EGY,Kafr ash Shaykh,Kafr ash Shaykh,EG-KFS,governorate,,1722.0,,,3,Africa/Cairo,FALSE,1818476182
‘Izbat Tall al Ba‘ar,`Izbat Tall al Ba`ar,,30.5430,31.7490,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,1706.9,,,3,Africa/Cairo,FALSE,1818671540
Qaryat al Khartūm,Qaryat al Khartum,,30.5558,30.6648,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,269.7,,,3,Africa/Cairo,FALSE,1818814795
‘Izbat Abū an Nuhā ‘Ammār,`Izbat Abu an Nuha `Ammar,,30.7871,30.6864,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,1621.0,,,3,Africa/Cairo,FALSE,1818001054
‘Izbat Riyāḑ ‘Afīfī,`Izbat Riyad `Afifi,Riyāḑ ‘Afīfī|‘Izbat Riyaḍ ‘Afīfī,30.9763,30.7007,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,1584.1,,,3,Africa/Cairo,FALSE,1818001010
‘Izbat Na‘īmah Muḩarram,`Izbat Na`imah Muharram,‘Izbat Na‘īmah Muḥarram,31.1854,31.4513,Egypt,EG,EGY,Ad Daqahlīyah,Ad Daqahliyah,EG-DK,governorate,,2688.0,,,2,Africa/Cairo,FALSE,1818203685
‘Izbat ‘Azīz,`Izbat `Aziz,,31.1128,30.3077,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,1022.7,,,3,Africa/Cairo,FALSE,1818025720
‘Izbat Sulaymān Balba‘,`Izbat Sulayman Balba`,,31.2089,30.4235,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,1022.7,,,3,Africa/Cairo,FALSE,1818112365
Kafr ash Sharābīyah,Kafr ash Sharabiyah,Kafr el-Sharâbîya,30.3901,31.3438,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,3017.0,,,2,Africa/Cairo,FALSE,1818131410
Al Ja‘farīyah,Al Ja`fariyah,,30.6926,31.1015,Egypt,EG,EGY,Al Gharbīyah,Al Gharbiyah,EG-GH,governorate,,2150.5,,,2,Africa/Cairo,FALSE,1818392912
‘Izbat Ḩabīb,`Izbat Habib,‘Izbat Habīb,31.1372,30.9926,Egypt,EG,EGY,Kafr ash Shaykh,Kafr ash Shaykh,EG-KFS,governorate,,1144.2,,,3,Africa/Cairo,FALSE,1818190748
Qaryat Ţūkh,Qaryat Tukh,Ṭûkh el-Qarâmîs wa Kafr Sarkîs Manṣûr|Ţūkh al Qarāmūs wa Kafr Sarkīs Manşūr|Ţūkh al Qarāmūs,30.6918,31.6591,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,2159.4,,,2,Africa/Cairo,FALSE,1818181455
Qaryat Şan‘ā’,Qaryat San`a',,25.0884,30.5458,Egypt,EG,EGY,Al Wādī al Jadīd,Al Wadi al Jadid,EG-WAD,governorate,,85.5,,,4,Africa/Cairo,FALSE,1818999890
Kafr as Sawāqī,Kafr as Sawaqi,Kafr as Sawāqī wa Kafr Muhayr|Kafr el-Sawâqi wa Kafr Miheir,30.6953,31.7391,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,2159.4,,,2,Africa/Cairo,FALSE,1818251199
‘Izbat Sayyid Darwīsh,`Izbat Sayyid Darwish,,30.8194,29.5894,Egypt,EG,EGY,Maţrūḩ,Matruh,EG-MT,governorate,,166.4,,,4,Africa/Cairo,FALSE,1818001565
‘Izbat Munīr,`Izbat Munir,,31.1973,30.0505,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,1289.1,,,3,Africa/Cairo,FALSE,1818955116
‘Izbat ash Shaghāmīyah,`Izbat ash Shaghamiyah,‘Izbat ash-Shaghāmiyyah,30.6917,31.8423,Egypt,EG,EGY,Ash Sharqīyah,Ash Sharqiyah,EG-SHR,governorate,,1577.4,,,3,Africa/Cairo,FALSE,1818000053
‘Izbat al Ḩamrā’,`Izbat al Hamra',,30.9269,30.1475,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,320.8,,,3,Africa/Cairo,FALSE,1818458901
‘Izbat al Ḩamrā’,`Izbat al Hamra',‘Izbat al-Ḥamrā‘,30.4352,30.2780,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,0.0,,,5,Africa/Cairo,TRUE,1818745594
‘Izbat Husayn Khafājah,`Izbat Husayn Khafajah,,31.2639,31.5971,Egypt,EG,EGY,Ad Daqahlīyah,Ad Daqahliyah,EG-DK,governorate,,1670.5,,,3,Africa/Cairo,FALSE,1818413052
‘Abd al ‘Az̧īm Abū al ‘Aţā,`Abd al `Azim Abu al `Ata,‘Abd el-‘Azîm Abu el-‘Aṭa|‘Abd al-‘Aẓīm Abū al-‘Aṭá,30.7077,30.1098,Egypt,EG,EGY,Al Buḩayrah,Al Buhayrah,EG-BH,governorate,,320.8,,,3,Africa/Cairo,FALSE,1818972348
‘Izbat al Jazāyir,`Izbat al Jazayir,‘Ezbet el-Gazâyir,31.3384,31.4697,Egypt,EG,EGY,Ad Daqahlīyah,Ad Daqahliyah,EG-DK,governorate,,804.6,,,3,Africa/Cairo,FALSE,1818387824
Qaryat Shurūq,Qaryat Shuruq,,30.9811,29.5861,Egypt,EG,EGY,Al Iskandarīyah,Al Iskandariyah,EG-ALX,governorate,,166.4,,,4,Africa/Cairo,FALSE,1818137815
Ar Raml,Ar Raml,Qism ar Raml|Ramleh|Ramlah|Er Raml|Er-Ramleh,31.2482,29.9737,Egypt,EG,EGY,Al Iskandarīyah,Al Iskandariyah,EG-ALX,governorate,,70904.0,,,2,Africa/Cairo,FALSE,1818001524
Al Amal Numrah Thamāniyah,Al Amal Numrah Thamaniyah,Al Amal (Nimrah Thamāniyah)|Al-Amal Number Eight,28.1042,30.6033,Egypt,EG,EGY,Al Minyā,Al Minya,EG-MN,governorate,,1949.3,,,3,Africa/Cairo,FALSE,1818791509
