city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Los Lagartos,Los Lagartos,,13.7339,-89.5622,El Salvador,SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,335.6,,,3,America/El_Salvador,FALSE,1222075828
El Chayal,El Chayal,,13.2836,-88.1144,El Salvador,SV,SLV,San Miguel,San Miguel,SV-SM,department,,85.8,,,4,America/El_Salvador,FALSE,1222703170
San Martín,San Martin,,13.7833,-88.9167,El Salvador,SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,,381.2,,,3,America/El_Salvador,FALSE,1222614484
El Pezote,El Pezote,El Pezate,13.8578,-89.4894,El Salvador,SV,SLV,Santa Ana,Santa Ana,SV-SA,department,,252.7,,,3,America/El_Salvador,FALSE,1222424781
La Barahona,La Barahona,Barahona,13.4667,-87.9167,El Salvador,SV,SLV,La Unión,La Union,SV-UN,department,,53.8,,,4,America/El_Salvador,FALSE,1222077933
El Molino,El Molino,Cantón El Molino|Molino,13.8536,-89.0286,El Salvador,SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,,645.2,,,3,America/El_Salvador,FALSE,1222656764
La Flor,La Flor,,13.7333,-89.0500,El Salvador,SV,SLV,San Salvador,San Salvador,SV-SS,department,,1947.6,,,3,America/El_Salvador,FALSE,1222840048
La Gloria,La Gloria,,13.3908,-88.1344,El Salvador,SV,SLV,San Miguel,San Miguel,SV-SM,department,,392.9,,,3,America/El_Salvador,FALSE,1222052755
Joya Verde,Joya Verde,,13.5333,-89.5000,El Salvador,SV,SLV,La Libertad,La Libertad,SV-LI,department,,92.9,,,4,America/El_Salvador,FALSE,1222821795
Corralito,Corralito,Coralito,13.8167,-87.9500,El Salvador,SV,SLV,Morazán,Morazan,SV-MO,department,,131.3,,,4,America/El_Salvador,FALSE,1222762825
Milingo,Milingo,,13.9097,-89.0439,El Salvador,SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,,150.4,,,4,America/El_Salvador,FALSE,1222615025
El Palmo,El Palmo,,13.4333,-88.5667,El Salvador,SV,SLV,Usulután,Usulutan,SV-US,department,,109.1,,,4,America/El_Salvador,FALSE,1222606615
Lomas de San Marcelino,Lomas de San Marcelino,Lomas San Marcelino|San Marcelino|Cantón San Marcelino,13.8333,-89.6000,El Salvador,SV,SLV,Santa Ana,Santa Ana,SV-SA,department,,623.1,,,3,America/El_Salvador,FALSE,1222973755
