city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"San Salvador","San Salvador",,13.6989,-89.1914,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,primary,4374.9,316090,316090,1,America/El_Salvador,FALSE,1222647454
"Santa Ana","Santa Ana",,13.9950,-89.5561,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,admin,613.4,280000,245421,2,America/El_Salvador,FALSE,1222021362
Soyapango,Soyapango,Soyopango,13.7333,-89.1500,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,8122.6,241403,241403,2,America/El_Salvador,FALSE,1222702692
"San Miguel","San Miguel","San Miquel",13.4814,-88.1775,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,admin,367.7,218410,218410,2,America/El_Salvador,FALSE,1222009747
"Santa Tecla","Santa Tecla","Nueva San Salvador|Ciudad de Nueva San Salvador|La Ciudad de Nueva San Salvador",13.6731,-89.2406,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,admin,1086.5,199103,121908,2,America/El_Salvador,FALSE,1222613306
Mejicanos,Mejicanos,Mexicanos,13.7333,-89.2167,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,6363.1,140751,140751,2,America/El_Salvador,FALSE,1222243504
Apopa,Apopa,,13.8000,-89.1833,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,2532.5,131286,131286,2,America/El_Salvador,FALSE,1222101845
Delgado,Delgado,"Villa Delgado|Villa Delcado",13.7167,-89.1667,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,3596.6,120200,120200,2,America/El_Salvador,FALSE,1222858341
Ahuachapán,Ahuachapan,,13.9167,-89.8500,"El Salvador",SV,SLV,Ahuachapán,Ahuachapan,SV-AH,department,admin,451.4,110511,110511,2,America/El_Salvador,FALSE,1222480039
Ilopango,Ilopango,Ylopango,13.7000,-89.1167,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,2999.2,103862,103862,2,America/El_Salvador,FALSE,1222852644
Colón,Colon,,13.7167,-89.3667,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,1153.9,96989,96989,3,America/El_Salvador,FALSE,1222369620
Tonacatepeque,Tonacatepeque,,13.7833,-89.1167,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,1345.6,90896,90896,3,America/El_Salvador,FALSE,1222948232
"San Juan Opico","San Juan Opico",Opico,13.8833,-89.3500,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,339.3,74280,74280,3,America/El_Salvador,FALSE,1222760219
Chalchuapa,Chalchuapa,,13.9833,-89.6833,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,,446.6,74038,74038,3,America/El_Salvador,FALSE,1222559007
Usulután,Usulutan,,13.3500,-88.4500,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,admin,522.6,73064,73064,2,America/El_Salvador,FALSE,1222984157
"San Martín","San Martin",,13.7333,-89.0500,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,1303.0,72758,72758,3,America/El_Salvador,FALSE,1222884099
Sonsonate,Sonsonate,"Ciudad de Sonsonate",13.7167,-89.7167,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,admin,307.7,71541,71541,2,America/El_Salvador,FALSE,1222380208
Izalco,Izalco,Yzalco,13.7333,-89.6667,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,403.4,70959,70959,3,America/El_Salvador,FALSE,1222502574
Cuscatancingo,Cuscatancingo,,13.7333,-89.1833,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,6695.3,66400,66400,2,America/El_Salvador,FALSE,1222934169
Zacatecoluca,Zacatecoluca,Zacateccoluca,13.5000,-88.8667,"El Salvador",SV,SLV,"La Paz","La Paz",SV-PA,department,admin,204.9,65826,65826,2,America/El_Salvador,FALSE,1222647953
"San Marcos","San Marcos",,13.5833,-89.2167,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,4297.0,63209,63209,2,America/El_Salvador,FALSE,1222304332
Ilobasco,Ilobasco,Hilobasco|Gilovasco|Xilobasco,13.8400,-88.8500,"El Salvador",SV,SLV,Cabañas,Cabanas,SV-CA,department,,246.3,61510,61510,3,America/El_Salvador,FALSE,1222256705
"Ciudad Arce","Ciudad Arce","El Chilamatal|Chilamatal",13.8333,-89.4333,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,695.2,60314,60314,3,America/El_Salvador,FALSE,1222728065
Metapán,Metapan,,14.3314,-89.4428,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,,88.3,59004,59004,3,America/El_Salvador,FALSE,1222716890
"San Vicente","San Vicente","San Vincente",13.6453,-88.7842,"El Salvador",SV,SLV,"San Vicente","San Vicente",SV-SV,department,admin,199.1,53213,53213,2,America/El_Salvador,FALSE,1222913273
Quezaltepeque,Quezaltepeque,Quezaltepque,13.8333,-89.2667,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,419.8,52643,52643,3,America/El_Salvador,FALSE,1222731128
Acajutla,Acajutla,"Puerto Acajutla",13.5900,-89.8336,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,314.3,52359,52359,3,America/El_Salvador,FALSE,1222402975
Cojutepeque,Cojutepeque,,13.7167,-88.9333,"El Salvador",SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,admin,1600.9,50315,50315,2,America/El_Salvador,FALSE,1222979186
Nahuizalco,Nahuizalco,Nauizalco,13.7833,-89.7333,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,1430.1,49081,49081,3,America/El_Salvador,FALSE,1222682318
Jiquilisco,Jiquilisco,Ilquilisco,13.3167,-88.5833,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,111.1,47784,47784,3,America/El_Salvador,FALSE,1222869394
"San Pedro Perulapán","San Pedro Perulapan",,13.7667,-89.0333,"El Salvador",SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,,494.4,44730,44730,3,America/El_Salvador,FALSE,1222471656
"San Francisco Menéndez","San Francisco Menendez",,13.8425,-90.0167,"El Salvador",SV,SLV,Ahuachapán,Ahuachapan,SV-AH,department,,188.4,42607,42607,3,America/El_Salvador,FALSE,1222612864
Panchimalco,Panchimalco,,13.6167,-89.1833,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,458.6,41260,41260,3,America/El_Salvador,FALSE,1222019251
Sensuntepeque,Sensuntepeque,Sensuntepque,13.8667,-88.6333,"El Salvador",SV,SLV,Cabañas,Cabanas,SV-CA,department,admin,131.7,40332,40332,2,America/El_Salvador,FALSE,1222098918
"Santiago Nonualco","Santiago Nonualco",Santiago,13.5167,-88.9500,"El Salvador",SV,SLV,"La Paz","La Paz",SV-PA,department,,328.3,39887,39887,3,America/El_Salvador,FALSE,1222183134
Conchagua,Conchagua,,13.3000,-87.8667,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,,186.3,37362,37362,3,America/El_Salvador,FALSE,1222328489
Coatepeque,Coatepeque,,13.9167,-89.5000,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,,290.0,36768,36768,3,America/El_Salvador,FALSE,1222820033
"La Libertad","La Libertad","Puerto La Libertad",13.4833,-89.3167,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,222.2,35997,35997,3,America/El_Salvador,FALSE,1222663809
Armenia,Armenia,Guaymoco,13.7500,-89.5000,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,531.9,34912,34912,3,America/El_Salvador,FALSE,1222071319
Ayutuxtepeque,Ayutuxtepeque,Ayutuxtepegue,13.7353,-89.2001,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,4127.2,34710,34710,2,America/El_Salvador,FALSE,1222570043
"La Unión","La Union","San Carlos de La Unión",13.3369,-87.8439,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,admin,235.8,34045,34045,2,America/El_Salvador,FALSE,1222307415
"Antiguo Cuscatlán","Antiguo Cuscatlan",,13.6731,-89.2406,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,1736.1,33698,33698,3,America/El_Salvador,FALSE,1222807849
Atiquizaya,Atiquizaya,,13.9667,-89.7500,"El Salvador",SV,SLV,Ahuachapán,Ahuachapan,SV-AH,department,,504.0,33587,33587,3,America/El_Salvador,FALSE,1222716346
Tacuba,Tacuba,Taucba,13.9000,-89.9333,"El Salvador",SV,SLV,Ahuachapán,Ahuachapan,SV-AH,department,,199.1,29858,29858,3,America/El_Salvador,FALSE,1222693059
Olocuilta,Olocuilta,,13.5667,-89.1167,"El Salvador",SV,SLV,"La Paz","La Paz",SV-PA,department,,329.3,29529,29529,3,America/El_Salvador,FALSE,1222567022
Nejapa,Nejapa,,13.8167,-89.2333,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,353.4,29458,29458,3,America/El_Salvador,FALSE,1222106178
Chalatenango,Chalatenango,Chalatenanga,14.0333,-88.9333,"El Salvador",SV,SLV,Chalatenango,Chalatenango,SV-CH,department,admin,222.1,29271,29271,2,America/El_Salvador,FALSE,1222515741
"Nueva Concepción","Nueva Concepcion",Chicunhuexo,14.1333,-89.3000,"El Salvador",SV,SLV,Chalatenango,Chalatenango,SV-CH,department,,111.2,28625,28625,3,America/El_Salvador,FALSE,1222433381
Jujutla,Jujutla,,13.7833,-89.8500,"El Salvador",SV,SLV,Ahuachapán,Ahuachapan,SV-AH,department,,108.4,28599,28599,3,America/El_Salvador,FALSE,1222833658
"Santa Rosa de Lima","Santa Rosa de Lima","Santa Rosa",13.6167,-87.9000,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,,215.3,27693,27693,3,America/El_Salvador,FALSE,1222685662
"San Antonio del Monte","San Antonio del Monte",,13.7167,-89.7333,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,1071.4,26902,26902,3,America/El_Salvador,FALSE,1222683305
"San Pedro Masahuat","San Pedro Masahuat",,13.5500,-89.0333,"El Salvador",SV,SLV,"La Paz","La Paz",SV-PA,department,,209.6,25446,25446,3,America/El_Salvador,FALSE,1222970423
"Santo Tomás","Santo Tomas",,13.6333,-89.1333,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,1042.1,25344,25344,3,America/El_Salvador,FALSE,1222067749
Sonzacate,Sonzacate,,13.7356,-89.7161,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,2976.8,25005,25005,2,America/El_Salvador,FALSE,1222944408
"Ciudad Barrios","Ciudad Barrios","Villa de Cacahuatique",13.7667,-88.2667,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,,364.3,24817,24817,3,America/El_Salvador,FALSE,1222390192
Suchitoto,Suchitoto,Suchioto,13.9333,-89.0333,"El Salvador",SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,,75.3,24786,24786,3,America/El_Salvador,FALSE,1222451223
Juayúa,Juayua,,13.8333,-89.7333,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,237.3,24465,24465,3,America/El_Salvador,FALSE,1222293042
"El Congo","El Congo",,13.9000,-89.4833,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,,264.9,24219,24219,3,America/El_Salvador,FALSE,1222555785
Tecoluca,Tecoluca,,13.5333,-88.7833,"El Salvador",SV,SLV,"San Vicente","San Vicente",SV-SV,department,,84.0,23893,23893,3,America/El_Salvador,FALSE,1222261273
"Candelaria de La Frontera","Candelaria de La Frontera",Candelaria|Candelario,14.1167,-89.6500,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,,248.9,22686,22686,3,America/El_Salvador,FALSE,1222926680
Moncagua,Moncagua,,13.5333,-88.2500,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,,220.0,22659,22659,3,America/El_Salvador,FALSE,1222775983
Zaragoza,Zaragoza,,13.5833,-89.2833,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,991.9,22525,22525,3,America/El_Salvador,FALSE,1222511136
Chinameca,Chinameca,,13.5000,-88.3500,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,,288.5,22311,22311,3,America/El_Salvador,FALSE,1222091549
"San Luis Talpa","San Luis Talpa","San Luis",13.4667,-89.0833,"El Salvador",SV,SLV,"La Paz","La Paz",SV-PA,department,,328.6,21675,21675,3,America/El_Salvador,FALSE,1222408635
Aguilares,Aguilares,,13.9500,-89.1833,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,630.7,21267,21267,3,America/El_Salvador,FALSE,1222041807
"San Francisco","San Francisco","Gotera|San Francisco Gotera",13.7000,-88.1000,"El Salvador",SV,SLV,Morazán,Morazan,SV-MO,department,admin,352.2,21049,21049,2,America/El_Salvador,FALSE,1222399599
"San Pablo Tacachico","San Pablo Tacachico",Tacachico,13.9833,-89.3333,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,157.3,20366,20366,3,America/El_Salvador,FALSE,1222464650
Chirilagua,Chirilagua,,13.2167,-88.1386,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,,96.6,19984,19984,3,America/El_Salvador,FALSE,1222360893
"Santiago Texacuangos","Santiago Texacuangos",,13.6500,-89.1167,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,636.6,19428,19428,3,America/El_Salvador,FALSE,1222859867
Guaymango,Guaymango,,13.7500,-89.8333,"El Salvador",SV,SLV,Ahuachapán,Ahuachapan,SV-AH,department,,316.1,19037,19037,3,America/El_Salvador,FALSE,1222351635
"San Julián","San Julian","San Julian Cacaluta",13.6976,-89.5596,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,228.4,18648,18648,3,America/El_Salvador,TRUE,1222097757
"San Sebastián Salitrillo","San Sebastian Salitrillo",,13.9500,-89.6333,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,,438.7,18566,18566,3,America/El_Salvador,FALSE,1222442997
Jucuapa,Jucuapa,,13.5167,-88.3833,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,510.7,18442,18442,3,America/El_Salvador,FALSE,1222623868
"El Tránsito","El Transito",,13.3500,-88.3500,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,,420.0,18363,18363,3,America/El_Salvador,FALSE,1222690970
Apastepeque,Apastepeque,Apastepeq,13.6667,-88.7667,"El Salvador",SV,SLV,"San Vicente","San Vicente",SV-SV,department,,152.1,18342,18342,3,America/El_Salvador,FALSE,1222195494
"Santiago de María","Santiago de Maria",Santiago,13.4833,-88.4667,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,482.7,18201,18201,3,America/El_Salvador,FALSE,1222971304
Texistepeque,Texistepeque,,14.1333,-89.5000,"El Salvador",SV,SLV,"Santa Ana","Santa Ana",SV-SA,department,,100.1,17923,17923,3,America/El_Salvador,FALSE,1222835765
Berlín,Berlin,,13.5000,-88.5333,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,121.0,17787,17787,3,America/El_Salvador,FALSE,1222050508
"San Alejo","San Alejo",,13.4333,-87.9667,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,,69.9,17598,17598,3,America/El_Salvador,FALSE,1222190285
"Santa Elena","Santa Elena",,13.3833,-88.4167,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,315.8,17342,17342,3,America/El_Salvador,FALSE,1222446102
"San Juan Nonualco","San Juan Nonualco","Nonualco|San Juan",13.5072,-88.8997,"El Salvador",SV,SLV,"La Paz","La Paz",SV-PA,department,,289.3,17256,17256,3,America/El_Salvador,FALSE,1222379264
"San Rafael Cedros","San Rafael Cedros","San Rafael",13.7333,-88.8833,"El Salvador",SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,,584.0,17069,17069,3,America/El_Salvador,FALSE,1222366819
"El Rosario","El Rosario","Rosario de la Paz",13.5000,-89.0333,"El Salvador",SV,SLV,"La Paz","La Paz",SV-PA,department,,463.0,16784,16784,3,America/El_Salvador,FALSE,1222543838
"Puerto El Triunfo","Puerto El Triunfo","Puerto Del Triunfo",13.2833,-88.5500,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,98.3,16584,16584,3,America/El_Salvador,FALSE,1222465303
Pasaquina,Pasaquina,Pasaguina,13.5844,-87.8411,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,,55.5,16375,16375,3,America/El_Salvador,FALSE,1222645421
Corinto,Corinto,,13.8167,-87.9667,"El Salvador",SV,SLV,Morazán,Morazan,SV-MO,department,,162.2,15410,15410,3,America/El_Salvador,FALSE,1222976576
Lolotique,Lolotique,,13.5500,-88.3500,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,,157.9,14916,14916,3,America/El_Salvador,FALSE,1222136023
Anamorós,Anamoros,,13.7333,-87.8667,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,,134.7,14551,14551,3,America/El_Salvador,FALSE,1222875440
"El Paisnal","El Paisnal",Paisnal,13.9667,-89.2167,"El Salvador",SV,SLV,"San Salvador","San Salvador",SV-SS,department,,115.9,14551,14551,3,America/El_Salvador,FALSE,1222184186
Huizúcar,Huizucar,,13.5833,-89.2333,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,326.3,14465,14465,3,America/El_Salvador,FALSE,1222927503
"San Sebastián","San Sebastian",,13.7333,-88.8333,"El Salvador",SV,SLV,"San Vicente","San Vicente",SV-SV,department,,229.8,14411,14411,3,America/El_Salvador,FALSE,1222133372
Tepecoyo,Tepecoyo,,13.7003,-89.4678,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,234.2,14322,14322,3,America/El_Salvador,FALSE,1222039134
Tejutla,Tejutla,"Santo Tomás Tejutla",14.1667,-89.1000,"El Salvador",SV,SLV,Chalatenango,Chalatenango,SV-CH,department,,126.6,13608,13608,3,America/El_Salvador,FALSE,1222169556
"San José Villanueva","San Jose Villanueva",,13.5833,-89.2667,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,417.5,13576,13576,3,America/El_Salvador,FALSE,1222497651
Tamanique,Tamanique,,13.6000,-89.4167,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,455.7,13544,13544,3,America/El_Salvador,FALSE,1222928536
Jucuarán,Jucuaran,,13.2544,-88.2489,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,56.0,13424,13424,3,America/El_Salvador,FALSE,1222034395
Lislique,Lislique,,13.8000,-87.8833,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,,135.4,13385,13385,3,America/El_Salvador,FALSE,1222181387
"El Carmen","El Carmen",,13.7167,-88.9000,"El Salvador",SV,SLV,Cuscatlán,Cuscatlan,SV-CU,department,,2187.7,13345,13345,2,America/El_Salvador,FALSE,1222575606
"San Rafael Oriente","San Rafael Oriente","San Rafael de Oriente",13.3833,-88.3500,"El Salvador",SV,SLV,"San Miguel","San Miguel",SV-SM,department,,295.2,13290,13290,3,America/El_Salvador,FALSE,1222301206
"Mercedes Umaña","Mercedes Umana",Mercedes,13.5667,-88.5000,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,213.2,13092,13092,3,America/El_Salvador,FALSE,1222697666
"Concepción de Ataco","Concepcion de Ataco",Ataco,13.8667,-89.8500,"El Salvador",SV,SLV,Ahuachapán,Ahuachapan,SV-AH,department,,209.5,12786,12786,3,America/El_Salvador,FALSE,1222271937
Cuisnahuat,Cuisnahuat,,13.6333,-89.6000,"El Salvador",SV,SLV,Sonsonate,Sonsonate,SV-SO,department,,173.6,12676,12676,3,America/El_Salvador,FALSE,1222033035
Victoria,Victoria,"Villa Victorias|Chocoaique|Villa Victoria",13.9500,-88.6333,"El Salvador",SV,SLV,Cabañas,Cabanas,SV-CA,department,,85.9,12626,12626,3,America/El_Salvador,FALSE,1222943235
Ozatlán,Ozatlan,,13.3833,-88.5000,"El Salvador",SV,SLV,Usulután,Usulutan,SV-US,department,,247.8,12443,12443,3,America/El_Salvador,FALSE,1222834795
"El Carmen","El Carmen",Carmen,13.3500,-88.0000,"El Salvador",SV,SLV,"La Unión","La Union",SV-UN,department,,116.9,12324,12324,3,America/El_Salvador,FALSE,1222743777
Teotepeque,Teotepeque,,13.5853,-89.5183,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,112.3,12320,12320,3,America/El_Salvador,FALSE,1222208271
Sacacoyo,Sacacoyo,Zacacoyo,13.7333,-89.4667,"El Salvador",SV,SLV,"La Libertad","La Libertad",SV-LI,department,,487.7,12299,12299,3,America/El_Salvador,FALSE,1222848424
"La Palma","La Palma",,14.3167,-89.1667,"El Salvador",SV,SLV,Chalatenango,Chalatenango,SV-CH,department,,90.2,12235,12235,3,America/El_Salvador,FALSE,1222549274
