city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Movo,Movo,Mavo,1.2969,10.5777,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226087175
Biconete,Biconete,,1.8612,9.9752,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226881977
Mboete,Mboete,,1.7493,10.7932,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226120904
Niemoyong,Niemoyong,,1.1955,10.5903,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226694042
Malabo,Malabo,,3.3483,8.6603,Equatorial Guinea,GQ,GNQ,Bioko Sur,Bioko Sur,GQ-BS,province,,26.8,,,4,Africa/Malabo,FALSE,1226953117
Nsimi,Nsimi,,1.8840,10.7864,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226030471
Moga,Moga,,1.6490,10.3170,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226476251
Asen,Asen,Aseng,1.2651,9.4338,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226159238
Olop,Olop,,1.1459,9.5617,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226344020
Ncolábam,Ncolabam,,1.0389,10.6375,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226203041
Bisum,Bisum,,1.4707,9.8496,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226190556
Mimbamengui,Mimbamengui,Mibammangui,1.9312,10.4706,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,31.4,,,4,Africa/Malabo,FALSE,1226007620
Nomenam,Nomenam,,1.2854,9.5997,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226064819
Enoc,Enoc,Enuk|Enuc,1.7126,11.2427,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226309386
Berbere,Berbere,Berebere,1.1163,9.9721,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226473344
Micomibe,Micomibe,Mikomibe,1.6629,9.7158,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226823884
Bocoricho Ombori,Bocoricho Ombori,Bokoricho-Ombori,3.4255,8.5677,Equatorial Guinea,GQ,GNQ,Bioko Sur,Bioko Sur,GQ-BS,province,,26.8,,,4,Africa/Malabo,FALSE,1226993291
Eningabe,Eningabe,Enigabe,0.9855,9.9670,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226870583
Olong,Olong,,1.3396,10.8837,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226725720
Ayaantang,Ayaantang,Aya’ntang,1.7354,9.6813,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226005199
Bisabicuna,Bisabicuna,,1.8549,9.9149,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226496418
Bebogo,Bebogo,Bibogo,1.6727,9.9223,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226421060
Alarmitang,Alarmitang,,1.8253,10.2590,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226970267
Eyamayong,Eyamayong,,1.8251,10.5947,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226997488
Bacaké Grande,Bacake Grande,Bakake Grande,3.5585,8.8523,Equatorial Guinea,GQ,GNQ,Bioko Norte,Bioko Norte,GQ-BN,province,,561.1,,,3,Africa/Malabo,FALSE,1226713662
Bisong,Bisong,,1.6764,10.5840,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226130221
Alenasi,Alenasi,,1.0390,10.3070,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226202525
Mfulayong,Mfulayong,Nfulayong,1.1514,10.5319,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226253004
Mfulayong,Mfulayong,,1.4594,10.6278,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,TRUE,1226595481
Mgundu,Mgundu,Ngundu,1.1928,9.3740,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226938208
Bimbon,Bimbon,,1.8457,9.9240,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226619200
Ayacmbong,Ayacmbong,,1.7307,10.0635,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226245383
King,King,,1.5651,9.6203,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226442178
King,King,,1.1111,9.9151,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,TRUE,1226134001
Bidogo,Bidogo,Bidok,1.6025,11.1224,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226844703
Eboloua,Eboloua,Ebolua,1.4835,10.4879,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226158962
Binguara,Binguara,Binguala,0.9725,10.1132,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,2.5,,,5,Africa/Libreville,FALSE,1226940349
Masoc,Masoc,Mosok,2.0273,10.4714,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226777490
Masoc,Masoc,Mosok,2.0732,10.8260,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,TRUE,1226469234
Eboga,Eboga,,1.5964,9.7473,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226481985
Ecuac,Ecuac,Ekuak,1.6535,11.2921,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226364446
Ayacbenvilá,Ayacbenvila,Aya’bivila,1.8042,9.9381,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226659318
Mocoga,Mocoga,Makoga,1.4958,10.7379,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226985120
Buabe,Buabe,,2.3260,9.7885,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226690206
Elongo,Elongo,Etongo,0.9330,9.3105,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226787099
Biadibe,Biadibe,Viadibe,2.0281,9.7852,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226162274
Mbarangun,Mbarangun,,1.8698,11.1019,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226940916
Basilé,Basile,Basilé Radio|Rasilé,3.6943,8.8036,Equatorial Guinea,GQ,GNQ,Bioko Norte,Bioko Norte,GQ-BN,province,,561.1,,,3,Africa/Malabo,FALSE,1226212394
Súa,Sua,,0.9935,11.0725,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,12.2,,,4,Africa/Libreville,FALSE,1226780563
Asa,Asa,,1.4830,9.6818,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226106073
Molon,Molon,Molong,1.2065,10.5471,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226383098
Moyó,Moyo,Monyó,2.0854,11.2121,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226954417
Ntobo,Ntobo,Tobo,1.7508,10.7007,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226828738
Abiara,Abiara,,1.8967,11.1863,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226894037
Acoga,Acoga,Akoga,1.9064,10.7783,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226637969
Chimi,Chimi,,1.7196,10.6426,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226091442
Dumandui,Dumandui,Dumanduiñ,1.9469,10.3683,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226805926
Ucodi,Ucodi,Okodi,0.9000,9.3000,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226231662
Ebesang,Ebesang,,1.7268,10.7215,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226174415
Matungu,Matungu,,2.1610,9.7953,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226522434
Ansem,Ansem,Amsen,1.1061,10.1588,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226796126
Ansem,Ansem,,1.0872,9.9530,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,TRUE,1226673884
Ansem,Ansem,,1.5339,9.8946,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,TRUE,1226125352
Meseng,Meseng,,1.0018,9.9075,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226711002
Meseng,Meseng,,1.8154,9.9011,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,TRUE,1226958555
Mofono,Mofono,Mafono,1.4136,10.6289,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226270007
Masomo,Masomo,,2.1368,11.3093,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226649410
Acam,Acam,,1.6033,11.0253,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226456087
Acam,Acam,Akam,1.8584,10.7030,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,TRUE,1226044326
Abenelang,Abenelang,,1.3485,10.8869,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226502380
Abenelang,Abenelang,,1.8862,10.8945,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,TRUE,1226295450
Ebansoc,Ebansoc,Ebansok,1.9508,10.2582,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226203730
Macomo,Macomo,Mokomo,1.9514,11.3185,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226649725
Macomo,Macomo,Mokomo,1.8677,11.0877,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,TRUE,1226853507
Macomo,Macomo,,1.9392,11.1282,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,TRUE,1226108039
Macomo,Macomo,,2.1208,11.2309,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,TRUE,1226239961
Macomo,Macomo,,1.7617,11.1705,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,TRUE,1226618986
Macomo,Macomo,Makomo,2.0476,11.2540,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,TRUE,1226526079
Macomo,Macomo,,2.0654,11.0955,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,TRUE,1226484318
Obandoc,Obandoc,Ovandoc,1.1497,10.3767,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226225620
Efula,Efula,,1.3920,10.4759,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226098369
Asasi,Asasi,,1.8267,10.7563,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226025260
Asasi,Asasi,,1.1433,11.2680,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,TRUE,1226102497
Ngon,Ngon,Ngom,2.1619,10.3113,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226863713
Ngon,Ngon,Ngom,1.8115,10.4406,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,TRUE,1226453883
Ngon,Ngon,Ngom,1.3554,10.4854,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,TRUE,1226106410
Efon,Efon,Efong,1.0017,10.2628,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226620318
Ncomayang,Ncomayang,Nko Mayang,1.9363,10.6001,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226481542
Minlom,Minlom,,1.1147,10.2419,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,43.1,,,4,Africa/Malabo,FALSE,1226342419
Motup,Motup,Mofup|Mofub,1.0631,10.7939,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226926432
Bingono,Bingono,Bingon,1.7874,11.1535,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226505989
Eboamvam,Eboamvam,,2.1000,11.0833,Equatorial Guinea,GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,,,4,Africa/Malabo,FALSE,1226091134
Masungmeñing,Masungmening,Masuguening,1.1932,9.8851,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226446557
Fimacoc,Fimacoc,Fimakok,1.3430,10.4686,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226691442
Nnoayong,Nnoayong,Nloayong,1.8996,10.8202,Equatorial Guinea,GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,,,4,Africa/Malabo,FALSE,1226592623
Evina,Evina,,1.2500,10.0000,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226533536
Sengayong,Sengayong,,1.4185,10.5818,Equatorial Guinea,GQ,GNQ,Centro Sur,Centro Sur,GQ-CS,province,,17.4,,,4,Africa/Malabo,FALSE,1226005465
Alen,Alen,,1.1899,9.8339,Equatorial Guinea,GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,,,4,Africa/Malabo,FALSE,1226070410
