city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Malabo,Malabo,"Malaba|Port Clarence|Ciudad de Malabo|Santa Isabel|Rev Malebo",3.7456,8.7744,"Equatorial Guinea",GQ,GNQ,"Bioko Norte","Bioko Norte",GQ-BN,province,primary,561.1,297000,297000,1,Africa/Malabo,FALSE,1226861333
Bata,Bata,Kokapipa,1.8650,9.7700,"Equatorial Guinea",GQ,GNQ,Litoral,Litoral,GQ-LI,province,admin,100.3,250770,250770,2,Africa/Malabo,FALSE,1226528087
"Sevilla de Niefang","Sevilla de Niefang",Niefang,1.8500,10.2500,"Equatorial Guinea",GQ,GNQ,"Centro Sur","Centro Sur",GQ-CS,province,,17.4,41084,41084,3,Africa/Malabo,FALSE,1226184611
Ebebiyín,Ebebiyin,Ebibeying|Ebibeyin,2.1500,11.3167,"Equatorial Guinea",GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,admin,32.0,36565,36565,2,Africa/Malabo,FALSE,1226449195
"Santiago de Baney","Santiago de Baney",Baney|Laka-Baney|Bany,3.7000,8.9167,"Equatorial Guinea",GQ,GNQ,"Bioko Norte","Bioko Norte",GQ-BN,province,,561.1,29366,29366,3,Africa/Malabo,FALSE,1226687832
Añisoc,Anisoc,Añisok,1.8500,10.7667,"Equatorial Guinea",GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,16626,16626,3,Africa/Malabo,FALSE,1226309663
Bengonbeyene,Bengonbeyene,Mongomeyen|Mangomayen,1.6931,11.0342,"Equatorial Guinea",GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,15644,15644,3,Africa/Malabo,FALSE,1226996248
Mbini,Mbini,"San Benito|Benito|Río Benito",1.5833,9.6167,"Equatorial Guinea",GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,14034,14034,3,Africa/Malabo,FALSE,1226662822
Aconibe,Aconibe,Akonebe,1.3000,10.9333,"Equatorial Guinea",GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,13382,13382,3,Africa/Malabo,FALSE,1226173790
Rebola,Rebola,,3.7192,8.8531,"Equatorial Guinea",GQ,GNQ,"Bioko Norte","Bioko Norte",GQ-BN,province,,561.1,10000,10000,3,Africa/Malabo,FALSE,1226355446
Luba,Luba,"San Carlos|Ciudad de Luba",3.4500,8.5500,"Equatorial Guinea",GQ,GNQ,"Bioko Sur","Bioko Sur",GQ-BS,province,admin,26.8,7739,7739,2,Africa/Malabo,FALSE,1226278217
Abaamang,Abaamang,,1.6667,10.6333,"Equatorial Guinea",GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,7729,7729,4,Africa/Malabo,FALSE,1226353778
Mongomo,Mongomo,"Margomo|Mongomo de Guadalupe",1.6287,11.3168,"Equatorial Guinea",GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,admin,34.4,7251,7251,2,Africa/Malabo,FALSE,1226565454
Mikomeseng,Mikomeseng,Mekomeseng|Mikomesen|Micomeseng|Mikamesen,2.1333,10.6167,"Equatorial Guinea",GQ,GNQ,Kié-Ntem,Kie-Ntem,GQ-KN,province,,54.6,5813,5813,3,Africa/Malabo,FALSE,1226529757
Palé,Pale,"San Antonio|Annobón|Ambo|San Antonio de Palé",-1.4069,5.6322,"Equatorial Guinea",GQ,GNQ,Annobón,Annobon,GQ-AN,province,admin,174.9,5008,5008,2,Africa/Malabo,FALSE,1226970205
Nsok,Nsok,Nsorc|N’Zork|Nsork|Ensorc|Nsoc,1.1333,11.2667,"Equatorial Guinea",GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,4620,4620,4,Africa/Malabo,FALSE,1226462540
Cogo,Cogo,"Koga|Puerto Iradier|Kogo",1.0833,9.7000,"Equatorial Guinea",GQ,GNQ,Litoral,Litoral,GQ-LI,province,,54.9,4607,4607,3,Africa/Malabo,FALSE,1226629092
Ayene,Ayene,Ajene,1.9089,10.6353,"Equatorial Guinea",GQ,GNQ,Wele-Nzas,Wele-Nzas,GQ-WN,province,,34.4,3482,3482,3,Africa/Malabo,FALSE,1226021938
Nkimi,Nkimi,,1.9333,10.3500,"Equatorial Guinea",GQ,GNQ,"Centro Sur","Centro Sur",GQ-CS,province,,17.4,3313,3313,3,Africa/Malabo,FALSE,1226695809
