city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Avarekha,Avarekha,,15.6161,38.6134,Eritrea,ER,ERI,‘Anseba,'Anseba,ER-AN,region,,23.9,,,4,Africa/Asmara,FALSE,1232617671
Obellet,Obellet,Qbellet,16.2556,39.1904,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,34.0,,,4,Africa/Asmara,FALSE,1232467846
Obellet,Obellet,,16.1402,38.9424,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,34.0,,,4,Africa/Asmara,TRUE,1232988690
Aforum,Aforum,,15.8972,38.3649,Eritrea,ER,ERI,Semienawi K’eyyĭḥ Baḥri,Semienawi K'eyyih Bahri,ER-SK,region,,23.9,,,4,Africa/Asmara,FALSE,1232595849
Embeito,Embeito,Embeyto,14.9033,39.1164,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,,,4,Africa/Asmara,FALSE,1232619673
Adi Felleho,Adi Felleho,Adi Fellekho,14.8408,38.5511,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,,,4,Africa/Asmara,FALSE,1232356067
Bel’ebuy,Bel'ebuy,Buluk-Buydzh|Buluc Buij|Buluc Buī|Buluo Buij|Balobi,13.7868,41.3311,Eritrea,ER,ERI,Debubawi K’eyyĭḥ Baḥri,Debubawi K'eyyih Bahri,ER-DK,region,,5.1,,,4,Africa/Asmara,FALSE,1232921656
Maho,Maho,,16.1743,38.8459,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,34.0,,,4,Africa/Asmara,FALSE,1232914636
Ghela’elo,Ghela'elo,Dagabta,15.1000,40.0500,Eritrea,ER,ERI,Semienawi K’eyyĭḥ Baḥri,Semienawi K'eyyih Bahri,ER-SK,region,,34.0,,,4,Africa/Asmara,FALSE,1232384283
Zeban Debri,Zeban Debri,,14.7586,38.5378,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,,,4,Africa/Asmara,FALSE,1232094613
Ad Auki,Ad Auki,,14.9786,39.1939,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,,,4,Africa/Asmara,FALSE,1232867548
Gogne,Gogne,Gonye|Coghi|Kogi|Gogni,15.0850,37.4019,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,,,4,Africa/Asmara,FALSE,1232287746
Debre-Menkoryos,Debre-Menkoryos,Debra Mercurios,15.0119,38.5619,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,,,4,Africa/Asmara,FALSE,1232968421
Khembel’,Khembel',,15.6790,38.5529,Eritrea,ER,ERI,Semienawi K’eyyĭḥ Baḥri,Semienawi K'eyyih Bahri,ER-SK,region,,23.9,,,4,Africa/Asmara,FALSE,1232147432
La‘ilay Ādī Kefelet,La`ilay Adi Kefelet,,15.1917,38.7355,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,,,4,Africa/Asmara,FALSE,1232241712
Delli,Delli,,14.9628,37.5317,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,,,4,Africa/Asmara,FALSE,1232761876
Tolesuca,Tolesuca,Tolesuka,14.6308,36.9369,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,,,4,Africa/Asmara,FALSE,1232302946
Adi Nebri,Adi Nebri,,15.4371,38.6300,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,,,4,Africa/Asmara,FALSE,1232979684
Fellekhito,Fellekhito,,15.5706,38.4449,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,26.6,,,4,Africa/Asmara,FALSE,1232386685
Eshili,Eshili,Escile,15.0639,37.3758,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,,,4,Africa/Asmara,FALSE,1232671332
Awgaro,Awgaro,Ugolo|Ugaro,14.8244,37.4411,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,,,4,Africa/Asmara,FALSE,1232336444
