city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Asmara,Asmara,Asmera,15.3228,38.9250,Eritrea,ER,ERI,Ma’ĭkel,Ma'ikel,ER-MA,region,primary,79.2,963000,963000,1,Africa/Asmara,FALSE,1232791236
Keren,Keren,Cheren,15.7778,38.4581,Eritrea,ER,ERI,‘Anseba,'Anseba,ER-AN,region,admin,23.9,146500,146500,2,Africa/Asmara,FALSE,1232693598
Gwelej,Gwelej,Gulch|Guluj|Gweluj|Guluy|Guloj|Gwelīj|Gulwy|Gullui,14.7500,36.7167,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,30.8,100000,100000,3,Africa/Asmara,FALSE,1232869245
Assab,Assab,‘Aseb,13.0167,42.7333,Eritrea,ER,ERI,"Debubawi K’eyyĭḥ Baḥri","Debubawi K'eyyih Bahri",ER-DK,region,admin,5.1,74405,74405,2,Africa/Asmara,FALSE,1232396238
Massawa,Massawa,Massowa|Massawah|Massaua|Massau|Mits’iwa|Mitsewa|Masawa|Massowah|Mesewa|Mitsiwa’e,15.6097,39.4500,Eritrea,ER,ERI,"Semienawi K’eyyĭḥ Baḥri","Semienawi K'eyyih Bahri",ER-SK,region,admin,83.4,39758,39758,2,Africa/Asmara,FALSE,1232344222
Mendefera,Mendefera,"Ādī Ugrī|‘Adī Wegrī|Addi Ugri",14.8833,38.8167,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,admin,94.9,28492,28492,2,Africa/Asmara,FALSE,1232751882
Dbarwa,Dbarwa,Debarwa|Deebaroa|Dibarwa|Dubaruba|Debaroa,15.1000,38.8333,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,25000,25000,3,Africa/Asmara,FALSE,1232218993
Barentu,Barentu,"Mai Tsada",15.1167,37.6000,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,admin,27.1,15891,15891,2,Africa/Asmara,FALSE,1232695352
Bēylul,Beylul,Beilil|Beyelul|Beilul|Bailul,13.2644,42.3342,Eritrea,ER,ERI,"Debubawi K’eyyĭḥ Baḥri","Debubawi K'eyyih Bahri",ER-DK,region,,5.1,14055,14055,3,Africa/Asmara,FALSE,1232983964
"Adi Keyh","Adi Keyh","Ādī K’eyih|Adi Keyeh|Adi Keih|Adi Caieh|Addi Caieh|Addicaiè|Addi Kaye",14.8333,39.3667,Eritrea,ER,ERI,Ma’ĭkel,Ma'ikel,ER-MA,region,,94.9,13061,13061,3,Africa/Asmara,FALSE,1232384326
Ghinda’e,Ghinda'e,Ghinda|Gīnda‘,15.4500,39.0833,Eritrea,ER,ERI,"Semienawi K’eyyĭḥ Baḥri","Semienawi K'eyyih Bahri",ER-SK,region,,34.0,11560,11560,3,Africa/Asmara,FALSE,1232629758
Edd,Edd,Adi|Ēd|Eid|‘Idī,13.9333,41.7000,Eritrea,ER,ERI,"Debubawi K’eyyĭḥ Baḥri","Debubawi K'eyyih Bahri",ER-DK,region,,5.1,11259,11259,3,Africa/Asmara,FALSE,1232211688
Dek’emhāre,Dek'emhare,Dekemehre|Dekemehare|Decamere|Dekamere,15.0667,39.0333,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,10959,10959,3,Africa/Asmara,FALSE,1232763839
Ak’ordat,Ak'ordat,"Agordat|Āk’urdet|Āk’irdat|Figordat|Āk’ Wirdet",15.5500,37.8833,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,8857,8857,3,Africa/Asmara,FALSE,1232800240
Nefasīt,Nefasit,"Tappa Nefasit|Nefasi",15.3333,39.0619,Eritrea,ER,ERI,"Semienawi K’eyyĭḥ Baḥri","Semienawi K'eyyih Bahri",ER-SK,region,,34.0,8600,8600,3,Africa/Asmara,FALSE,1232567577
Senafe,Senafe,Sanafè,14.7000,39.4167,Eritrea,ER,ERI,Debub,Debub,ER-DU,region,,94.9,6831,6831,3,Africa/Asmara,FALSE,1232846614
Ādī-Teklezan,Adi-Teklezan,"Ad Teclesan|Ādī Tekelezan Ketema|Ādī Tekelezan",15.5672,38.7786,Eritrea,ER,ERI,‘Anseba,'Anseba,ER-AN,region,,23.9,4000,4000,4,Africa/Asmara,FALSE,1232064016
Teseney,Teseney,Tessenei|Tesenei|Tesene,15.1100,36.6575,Eritrea,ER,ERI,Gash-Barka,Gash-Barka,ER-GB,region,,27.1,3753,3753,3,Africa/Asmara,FALSE,1232609825
Zula,Zula,,15.2500,39.6667,Eritrea,ER,ERI,"Semienawi K’eyyĭḥ Baḥri","Semienawi K'eyyih Bahri",ER-SK,region,,34.0,2612,2612,3,Africa/Asmara,FALSE,1232574217
